date,Afghanistan,Albania,Algeria,Andorra,Angola,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Botswana,Brazil,Bulgaria,Burundi,Cambodia,Cameroon,Canada,Chad,Chile,China,Colombia,Croatia,Cuba,Cyprus,Denmark,Djibouti,Dominica,Ecuador,Eritrea,Estonia,Ethiopia,Fiji,Finland,France,Gabon,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kosovo,Kuwait,Latvia,Lebanon,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Mauritania,Mauritius,Mexico,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Rwanda,Senegal,Serbia,Seychelles,Singapore,Slovenia,Somalia,Spain,Sudan,Suriname,Sweden,Switzerland,Thailand,Togo,Tunisia,Turkey,Uganda,Ukraine,Uruguay,Uzbekistan,Vietnam,Zambia,Zimbabwe
2019-12-31,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,,,0.0,,0.0,,,27.0,,0.0,,,0.0,,,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,,,,0.0,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,,,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,0.0,,
2020-01-01,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,,,0.0,,0.0,,,27.0,,0.0,,,0.0,,,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,,,,0.0,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,,,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,0.0,,
2020-01-02,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,,,0.0,,0.0,,,27.0,,0.0,,,0.0,,,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,,,,0.0,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,,,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,0.0,,
2020-01-03,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,,,0.0,,0.0,,,44.0,,0.0,,,0.0,,,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,,,,0.0,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,,,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,0.0,,
2020-01-04,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,,,0.0,,0.0,,,44.0,,0.0,,,0.0,,,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,,,,0.0,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,,,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,0.0,,
2020-01-05,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,,,0.0,,0.0,,,59.0,,0.0,,,0.0,,,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,,,,0.0,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,,,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,0.0,,
2020-01-06,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,,,0.0,,0.0,,,59.0,,0.0,,,0.0,,,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,,,,0.0,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,,,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,0.0,,
2020-01-07,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,,,0.0,,0.0,,,59.0,,0.0,,,0.0,,,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,,,,0.0,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,,,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,0.0,,
2020-01-08,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,,,0.0,,0.0,,,59.0,,0.0,,,0.0,,,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,,,,0.0,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,,,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,0.0,,
2020-01-09,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,,,0.0,,0.0,,,59.0,,0.0,,,0.0,,,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,,,,0.0,0.0,,,0.0,,,,,,0.0,,0.0,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,,,,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,,,0.0,,
