date,location,new_cases,new_deaths,total_cases,total_deaths,countriesAndTerritories,location_demography,continent,population_year,population,total_cases_per_capita,total_deaths_per_capita,EN.ATM.CO2E.PC,NY.GDP.MKTP.CD,NY.GNP.PCAP.CD,SE.PRM.ENRR,SE.PRM.TENR,SP.DYN.LE00.IN,SP.POP.TOTL
2019-12-31,Afghanistan,0,0,0,0,Afghanistan,Afghanistan,Asia,2020.0,38928341.0,0.0,0.0,0.293946407148718,19362969582.3643,550.0,103.99616,,64.486,37172386.0
2020-01-01,Afghanistan,0,0,0,0,Afghanistan,Afghanistan,Asia,2020.0,38928341.0,0.0,0.0,0.293946407148718,19362969582.3643,550.0,103.99616,,64.486,37172386.0
2020-01-02,Afghanistan,0,0,0,0,Afghanistan,Afghanistan,Asia,2020.0,38928341.0,0.0,0.0,0.293946407148718,19362969582.3643,550.0,103.99616,,64.486,37172386.0
2020-01-03,Afghanistan,0,0,0,0,Afghanistan,Afghanistan,Asia,2020.0,38928341.0,0.0,0.0,0.293946407148718,19362969582.3643,550.0,103.99616,,64.486,37172386.0
2020-01-04,Afghanistan,0,0,0,0,Afghanistan,Afghanistan,Asia,2020.0,38928341.0,0.0,0.0,0.293946407148718,19362969582.3643,550.0,103.99616,,64.486,37172386.0
2020-01-05,Afghanistan,0,0,0,0,Afghanistan,Afghanistan,Asia,2020.0,38928341.0,0.0,0.0,0.293946407148718,19362969582.3643,550.0,103.99616,,64.486,37172386.0
2020-01-06,Afghanistan,0,0,0,0,Afghanistan,Afghanistan,Asia,2020.0,38928341.0,0.0,0.0,0.293946407148718,19362969582.3643,550.0,103.99616,,64.486,37172386.0
2020-01-07,Afghanistan,0,0,0,0,Afghanistan,Afghanistan,Asia,2020.0,38928341.0,0.0,0.0,0.293946407148718,19362969582.3643,550.0,103.99616,,64.486,37172386.0
2020-01-08,Afghanistan,0,0,0,0,Afghanistan,Afghanistan,Asia,2020.0,38928341.0,0.0,0.0,0.293946407148718,19362969582.3643,550.0,103.99616,,64.486,37172386.0
2020-01-09,Afghanistan,0,0,0,0,Afghanistan,Afghanistan,Asia,2020.0,38928341.0,0.0,0.0,0.293946407148718,19362969582.3643,550.0,103.99616,,64.486,37172386.0
2020-01-10,Afghanistan,0,0,0,0,Afghanistan,Afghanistan,Asia,2020.0,38928341.0,0.0,0.0,0.293946407148718,19362969582.3643,550.0,103.99616,,64.486,37172386.0
2020-01-11,Afghanistan,0,0,0,0,Afghanistan,Afghanistan,Asia,2020.0,38928341.0,0.0,0.0,0.293946407148718,19362969582.3643,550.0,103.99616,,64.486,37172386.0
2020-01-12,Afghanistan,0,0,0,0,Afghanistan,Afghanistan,Asia,2020.0,38928341.0,0.0,0.0,0.293946407148718,19362969582.3643,550.0,103.99616,,64.486,37172386.0
2020-01-13,Afghanistan,0,0,0,0,Afghanistan,Afghanistan,Asia,2020.0,38928341.0,0.0,0.0,0.293946407148718,19362969582.3643,550.0,103.99616,,64.486,37172386.0
2020-01-14,Afghanistan,0,0,0,0,Afghanistan,Afghanistan,Asia,2020.0,38928341.0,0.0,0.0,0.293946407148718,19362969582.3643,550.0,103.99616,,64.486,37172386.0
