countriesAndTerritories,location,continent,population_year,population
AC,AC,AC,2020,881935
AL,AL,AL,2020,3337357
AP,AP,AP,2020,845731
AM,AM,AM,2020,4144597
BA,BA,BA,2020,14873064
CE,CE,CE,2020,9132078
DF,DF,DF,2020,3015268
ES,ES,ES,2020,4018650
GO,GO,GO,2020,7018354
MA,MA,MA,2020,7075181
MT,MT,MT,2020,3484466
MS,MS,MS,2020,2778986
MG,MG,MG,2020,21168791
PA,PA,PA,2020,8602865
PB,PB,PB,2020,4018127
PR,PR,PR,2020,11433957
PE,PE,PE,2020,9557071
PI,PI,PI,2020,3273227
RJ,RJ,RJ,2020,17264943
RN,RN,RN,2020,3506853
RS,RS,RS,2020,11377239
RO,RO,RO,2020,1777225
RR,RR,RR,2020,605761
SC,SC,SC,2020,7164788
SP,SP,SP,2020,45919049
SE,SE,SE,2020,2298696
TO,TO,TO,2020,1572866
