Country Name,EN.ATM.CO2E.PC,NY.GDP.MKTP.CD,NY.GNP.PCAP.CD,SE.PRM.ENRR,SE.PRM.TENR,SP.DYN.LE00.IN,SP.POP.TOTL
Afghanistan,0.293946407148718,19362969582.3643,550.0,103.99616,,64.486,37172386.0
Albania,1.97876331208568,15102500898.238,4860.0,106.99342,97.44221,78.458,2866376.0
Algeria,3.7355201474105,173757952824.25,3920.0,109.88282,99.6475,76.693,42228429.0
American Samoa,,636000000.0,,,,,55465.0
Andorra,5.83290621488897,3236543909.3484397,,,,,77006.0
Angola,1.29030677595566,105750987618.63,3370.0,113.47796000000001,81.59926999999999,60.782,30809762.0
Antigua and Barbuda,5.74441995635358,1610574074.07407,15890.0,105.02127,99.3101,76.885,96286.0
Arab World,4.88698751329195,2774314967156.43,6367.23688163545,95.66943,85.38422,71.62252632766871,419790588.0
Argentina,4.78150777487432,519871519807.795,12390.0,109.74146,99.48052,76.52,44494502.0
Armenia,1.8987193736581103,12433089919.0459,4230.0,92.71525,90.84299999999999,74.945,2951776.0
Aruba,8.41006417792511,2700558659.2178802,23630.0,117.10808999999999,99.29199,76.152,105845.0
Australia,15.388766019446699,1433904348500.12,53230.0,100.33898,96.4991,82.74878048780491,24982688.0
Austria,6.8698679296766905,455285818035.125,49310.0,103.11315,88.64471,81.64390243902442,8840521.0
Azerbaijan,3.93156060898919,46939529411.7647,4050.0,99.7221,92.61575,72.86399999999999,9939800.0
"Bahamas, The",6.520069718562571,12424500000.0,30520.0,81.36117,74.38987,73.752,385640.0
Bahrain,23.455406320753003,37746196808.5106,21890.0,99.36305,98.10484,77.163,1569439.0
Bangladesh,0.473657610012808,274024958965.892,1750.0,116.46633999999999,94.9566,72.32,161356039.0
Barbados,4.46747652067059,5145000000.0,15410.0,99.35135,98.38821,79.081,286641.0
Belarus,6.70195770525782,59662495092.2654,5670.0,100.50021,95.20914,74.1756097560976,9483499.0
Belgium,8.32815989783976,542761092103.469,45910.0,103.90557,99.11352,81.5951219512195,11433256.0
Belize,1.40094123373499,1871203164.0827398,4470.0,111.69688000000001,99.01278,74.49600000000001,383071.0
Benin,0.614206089682334,10354274634.9108,870.0,121.95825,97.21103000000001,61.47,11485048.0
Bermuda,8.838314987948849,5573710000.0,106140.0,101.14634000000001,92.71386,81.6517073170732,63973.0
Bhutan,1.3922295342782802,2446674101.3737,2970.0,100.13968,90.06546999999999,71.46,754394.0
Bolivia,1.90636431997446,40287647756.8741,3370.0,98.15092,93.18324,71.23899999999999,11353142.0
Bosnia and Herzegovina,6.3849388185993305,20161865419.4327,5740.0,,,77.262,3323929.0
Botswana,3.3674513337553003,18616018903.4434,7750.0,103.23839,88.25972,69.275,2254126.0
Brazil,2.61293352087838,1868626087908.48,9140.0,115.44783999999999,97.55117,75.672,209469333.0
British Virgin Islands,6.198316602849361,,,128.82535,93.82196,,29802.0
Brunei Darussalam,22.229177902672,13567351175.0315,29660.0,103.15162,96.07682,75.722,428962.0
Bulgaria,5.871615869349929,65132951116.4756,8860.0,89.33377,88.08615,74.8658536585366,7025037.0
Burkina Faso,0.16201843771673802,14124775068.568998,670.0,96.09037,79.34168000000001,61.174,19751535.0
Burundi,0.0446999922899522,3036931818.18182,280.0,121.42156000000001,93.4166,61.247,11175378.0
Cabo Verde,0.9481138173419592,1976814276.50792,3420.0,104.02797,93.52897,72.782,543767.0
Cambodia,0.437653585193574,24542474061.2426,1390.0,107.41485,90.69029,69.57,16249798.0
Cameroon,0.308791722441786,38675205293.0462,1440.0,103.40212,92.87395,58.92100000000001,25216237.0
Canada,15.1589272191963,1713341704877.01,44940.0,100.94368,99.95586999999999,81.94878048780491,37057765.0
Caribbean small states,8.87121971551983,73523538154.6812,9240.08567263888,98.68449,88.92917,73.5174924941115,7358965.0
Cayman Islands,8.919208519589802,5141833913.356529,47140.0,,,82.19024390243901,64174.0
Central African Republic,0.0673571264567361,2219894701.95124,490.0,102.0189,64.17063,52.805,4666377.0
