,China,France,Germany,Italy,Spain,United States,Brazil,South Korea
0,,,,,,,,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.03389830508474576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.03389830508474576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.03389830508474576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.03389830508474576,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0
19,0.05084745762711865,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0
20,0.05084745762711865,0.0,0.0,0.0,0.0,0.0,0.07792207792207792,0.0
21,0.1016949152542373,0.09090909090909091,0.0,0.0,0.0,0.0,0.11224489795918367,0.0
22,0.288135593220339,0.09090909090909091,0.0,0.0,0.0,0.0,0.1487603305785124,0.0
23,0.288135593220339,0.09090909090909091,0.0,0.6666666666666666,0.0,0.0,0.125,0.0
24,0.4126984126984127,0.09090909090909091,0.0,0.6666666666666666,0.0,0.0,0.1452991452991453,0.0
25,0.5125,0.09090909090909091,0.0,2.0,0.0,0.0,0.15807560137457044,0.0
26,0.25925925925925924,0.09090909090909091,0.0,3.6666666666666665,0.0,0.0,0.13317757009345793,0.0
27,0.3446808510638298,0.09090909090909091,0.0,4.0,0.0,0.0,0.12399355877616747,0.0
28,0.27461139896373055,0.09090909090909091,0.0,5.666666666666667,0.0,0.0,0.10176991150442478,0.0
29,0.2509505703422053,0.09090909090909091,0.0,1.2352941176470589,0.0,0.0,0.10106382978723404,0.0
30,0.27287319422150885,0.08333333333333333,0.0,0.3670886075949367,0.0,0.0,0.08796895213454076,0.0
31,0.24149659863945577,0.08333333333333333,0.0,0.26515151515151514,0.0,0.0,0.08408249603384453,0.0
32,0.19576719576719576,0.08333333333333333,0.0,0.22707423580786026,0.0,0.0,0.09132212630622444,0.03571428571428571
33,0.1529175050301811,0.16666666666666666,0.0,0.2484472049689441,0.08333333333333333,0.0,0.09905466502260583,0.07142857142857142
34,0.1300900900900901,0.16666666666666666,0.0,0.2675,0.12,0.0,0.10257289879931389,0.1724137931034483
