date,Belgium,Brazil,France,Germany,Italy,Netherlands,Portugal,South Korea,Spain,Sweden,Switzerland,United States
2019-12-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-20,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0
2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,1.0
2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,1.0
2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,1.0
2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,1.0
2020-01-25,0.0,0.0,3.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,2.0
2020-01-26,0.0,0.0,3.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,2.0
2020-01-27,0.0,0.0,3.0,0.0,0.0,0.0,,4.0,0.0,0.0,0.0,5.0
2020-01-28,0.0,0.0,3.0,1.0,0.0,0.0,,4.0,0.0,0.0,0.0,5.0
2020-01-29,0.0,0.0,4.0,4.0,0.0,0.0,,4.0,0.0,0.0,0.0,5.0
2020-01-30,0.0,0.0,5.0,4.0,0.0,0.0,,4.0,0.0,0.0,0.0,5.0
2020-01-31,0.0,0.0,6.0,5.0,3.0,0.0,,7.0,0.0,0.0,0.0,6.0
2020-02-01,0.0,0.0,6.0,7.0,3.0,0.0,,12.0,1.0,1.0,0.0,7.0
2020-02-02,0.0,0.0,6.0,8.0,3.0,0.0,,15.0,1.0,1.0,0.0,8.0
2020-02-03,0.0,0.0,6.0,9.0,3.0,0.0,,15.0,1.0,1.0,0.0,11.0
2020-02-04,1.0,0.0,6.0,11.0,3.0,0.0,,16.0,1.0,1.0,0.0,11.0
2020-02-05,1.0,0.0,6.0,11.0,3.0,0.0,,18.0,1.0,1.0,0.0,11.0
2020-02-06,1.0,0.0,6.0,11.0,3.0,0.0,,23.0,1.0,1.0,0.0,12.0
2020-02-07,1.0,0.0,6.0,12.0,3.0,0.0,,24.0,1.0,1.0,0.0,12.0
2020-02-08,1.0,0.0,11.0,13.0,3.0,0.0,,24.0,1.0,1.0,0.0,12.0
2020-02-09,1.0,0.0,11.0,13.0,3.0,0.0,,25.0,1.0,1.0,0.0,12.0
2020-02-10,1.0,0.0,11.0,13.0,3.0,0.0,,27.0,2.0,1.0,0.0,12.0
2020-02-11,1.0,0.0,11.0,13.0,3.0,0.0,,28.0,2.0,1.0,0.0,13.0
2020-02-12,1.0,0.0,11.0,15.0,3.0,0.0,,28.0,2.0,1.0,0.0,13.0
2020-02-13,1.0,0.0,11.0,15.0,3.0,0.0,,28.0,2.0,1.0,0.0,14.0
2020-02-14,1.0,0.0,11.0,15.0,3.0,0.0,,28.0,2.0,1.0,0.0,15.0
2020-02-15,1.0,0.0,11.0,15.0,3.0,0.0,,28.0,2.0,1.0,0.0,15.0
2020-02-16,1.0,0.0,11.0,15.0,3.0,0.0,,29.0,2.0,1.0,0.0,15.0
2020-02-17,1.0,0.0,12.0,15.0,3.0,0.0,,30.0,2.0,1.0,0.0,15.0
2020-02-18,1.0,0.0,12.0,15.0,3.0,0.0,,31.0,2.0,1.0,0.0,15.0
2020-02-19,1.0,0.0,12.0,15.0,3.0,0.0,,46.0,2.0,1.0,0.0,15.0
2020-02-20,1.0,0.0,12.0,15.0,3.0,0.0,,80.0,2.0,1.0,0.0,15.0
2020-02-21,1.0,0.0,12.0,15.0,3.0,0.0,,155.0,2.0,1.0,0.0,16.0
2020-02-22,1.0,0.0,12.0,15.0,17.0,0.0,,345.0,2.0,1.0,0.0,35.0
2020-02-23,1.0,0.0,12.0,15.0,79.0,0.0,,601.0,2.0,1.0,0.0,35.0
2020-02-24,1.0,0.0,12.0,15.0,132.0,0.0,,762.0,2.0,1.0,0.0,35.0
2020-02-25,1.0,0.0,12.0,15.0,229.0,0.0,,892.0,3.0,1.0,0.0,53.0
2020-02-26,1.0,1.0,14.0,17.0,322.0,0.0,,1146.0,7.0,1.0,1.0,53.0
2020-02-27,1.0,1.0,17.0,21.0,400.0,0.0,,1595.0,12.0,2.0,1.0,59.0
2020-02-28,1.0,1.0,38.0,47.0,650.0,1.0,,2022.0,25.0,7.0,8.0,60.0
2020-02-29,1.0,1.0,57.0,57.0,888.0,2.0,,2931.0,34.0,12.0,12.0,66.0
2020-03-01,1.0,2.0,100.0,111.0,1128.0,7.0,,3526.0,66.0,13.0,18.0,69.0
2020-03-02,2.0,2.0,130.0,129.0,1689.0,13.0,,4212.0,83.0,14.0,24.0,89.0
2020-03-03,8.0,,178.0,157.0,1835.0,18.0,2.0,4812.0,114.0,15.0,30.0,103.0
2020-03-04,13.0,,212.0,196.0,2502.0,28.0,4.0,5328.0,151.0,24.0,37.0,125.0
2020-03-05,23.0,3.0,285.0,262.0,3089.0,38.0,5.0,5766.0,200.0,35.0,57.0,159.0
2020-03-06,50.0,8.0,423.0,400.0,3858.0,82.0,9.0,6284.0,261.0,61.0,87.0,233.0
2020-03-07,109.0,13.0,613.0,684.0,4636.0,128.0,13.0,6767.0,374.0,137.0,209.0,338.0
2020-03-08,169.0,13.0,716.0,847.0,5883.0,188.0,21.0,7134.0,430.0,161.0,264.0,433.0
2020-03-09,200.0,25.0,1126.0,902.0,7375.0,265.0,30.0,7382.0,589.0,203.0,332.0,554.0
2020-03-10,239.0,,1412.0,1139.0,9172.0,321.0,39.0,7513.0,1204.0,248.0,374.0,754.0
2020-03-11,267.0,34.0,1784.0,1296.0,10149.0,382.0,41.0,7755.0,1639.0,326.0,490.0,1025.0
2020-03-12,314.0,52.0,2281.0,1567.0,12462.0,503.0,59.0,7869.0,2140.0,462.0,642.0,1312.0
2020-03-13,399.0,77.0,2876.0,2369.0,15113.0,614.0,78.0,7979.0,3004.0,620.0,854.0,1663.0
2020-03-14,559.0,98.0,3661.0,3062.0,17660.0,804.0,112.0,8086.0,4231.0,775.0,1121.0,2174.0
2020-03-15,689.0,121.0,4499.0,3795.0,17750.0,959.0,169.0,8162.0,5753.0,924.0,1359.0,2951.0
2020-03-16,886.0,200.0,5423.0,4838.0,23980.0,1135.0,245.0,8236.0,7753.0,1032.0,2200.0,3774.0
2020-03-17,1085.0,234.0,6633.0,6012.0,27980.0,1413.0,331.0,8320.0,9191.0,1121.0,2200.0,4661.0
2020-03-18,1243.0,291.0,7730.0,7156.0,31506.0,1705.0,448.0,8413.0,11178.0,1167.0,2650.0,6427.0
2020-03-19,1486.0,428.0,9134.0,8198.0,35713.0,2051.0,642.0,8565.0,13716.0,1301.0,3010.0,9415.0
2020-03-20,1795.0,621.0,10995.0,14138.0,41035.0,2460.0,785.0,8652.0,17147.0,1423.0,3888.0,14250.0
2020-03-21,2257.0,904.0,12612.0,18187.0,47021.0,2994.0,1020.0,8799.0,19980.0,1623.0,4840.0,19624.0
2020-03-22,2815.0,1128.0,14459.0,21463.0,53578.0,3631.0,1280.0,8897.0,24926.0,1746.0,6077.0,26747.0
2020-03-23,3401.0,1546.0,16018.0,24774.0,59138.0,4204.0,1600.0,8961.0,28572.0,1906.0,6971.0,35206.0
