,China,France,Germany,Iran,Italy,Spain,Switzerland,Turkey,United Kingdom,United States,Brazil,South Korea
0,1.875880916283677e-08,4.596045023592418e-08,1.1935460904830872e-08,2.3811521426089162e-08,4.9618082999409146e-08,2.1388186102799365e-08,1.1554524994632923e-07,1.1856901381183171e-08,2.9461153730598135e-08,3.021123876390028e-09,4.704567088817978e-09,1.9504894392407227e-08
1,1.875880916283677e-08,4.596045023592418e-08,4.774184361932349e-08,5.9528803565222905e-08,4.9618082999409146e-08,2.1388186102799365e-08,1.1554524994632923e-07,2.3713802762366342e-08,2.9461153730598135e-08,3.021123876390028e-09,4.704567088817978e-09,1.9504894392407227e-08
2,1.875880916283677e-08,4.596045023592418e-08,4.774184361932349e-08,2.1430369283480246e-07,4.9618082999409146e-08,2.1388186102799365e-08,9.243619995706338e-07,2.1342422486129707e-07,2.9461153730598135e-08,3.021123876390028e-09,4.704567088817978e-09,1.9504894392407227e-08
3,3.056991122832659e-08,4.596045023592418e-08,5.967730452415435e-08,3.3336129996524827e-07,4.9618082999409146e-08,2.1388186102799365e-08,1.3865429993559508e-06,5.572743649156091e-07,2.9461153730598135e-08,3.021123876390028e-09,4.704567088817978e-09,1.9504894392407227e-08
4,3.056991122832659e-08,6.128060031456557e-08,8.354822633381611e-08,5.11947710660917e-07,4.9618082999409146e-08,2.1388186102799365e-08,2.0798144990339264e-06,1.1619763353559509e-06,2.9461153730598135e-08,6.042247752780056e-09,9.409134177635956e-09,3.9009788784814455e-08
5,4.0991471874347014e-08,7.660075039320697e-08,9.548368723864698e-08,7.262514034957194e-07,4.9618082999409146e-08,2.1388186102799365e-08,2.7730859987119015e-06,2.2646681638059856e-06,2.9461153730598135e-08,6.042247752780056e-09,9.409134177635956e-09,3.9009788784814455e-08
6,4.0991471874347014e-08,9.192090047184836e-08,1.0741914814347785e-07,1.1310472677392352e-06,4.9618082999409146e-08,2.1388186102799365e-08,3.466357498389877e-06,4.256627595844758e-06,2.9461153730598135e-08,1.510561938195014e-08,1.4113701266453936e-08,5.8514683177221686e-08
7,4.0991471874347014e-08,9.192090047184836e-08,1.312900699531396e-07,1.6549007391131967e-06,4.9618082999409146e-08,2.1388186102799365e-08,4.275174248014182e-06,7.944123925392724e-06,4.4191730595897204e-08,1.510561938195014e-08,3.7636536710543824e-08,7.801957756962891e-08
8,4.0991471874347014e-08,9.192090047184836e-08,1.312900699531396e-07,2.916911374695922e-06,4.9618082999409146e-08,2.1388186102799365e-08,6.586079246940766e-06,1.1228485607980463e-05,4.4191730595897204e-08,1.510561938195014e-08,6.115937215463372e-08,7.801957756962891e-08
9,4.0991471874347014e-08,9.192090047184836e-08,1.312900699531396e-07,4.6194351566612975e-06,4.9618082999409146e-08,4.277637220559873e-08,1.0052436745330644e-05,1.4655130107142399e-05,5.892230746119627e-08,1.510561938195014e-08,6.115937215463372e-08,7.801957756962891e-08
10,4.0991471874347014e-08,9.192090047184836e-08,1.4322553085797045e-07,7.060116102835437e-06,4.9618082999409146e-08,4.277637220559873e-08,2.414895723878281e-05,1.8129202211829067e-05,5.892230746119627e-08,1.8126743258340167e-08,1.1761417722044946e-07,7.801957756962891e-08
11,4.0991471874347014e-08,9.192090047184836e-08,1.5516099176280133e-07,1.16438339773576e-05,4.9618082999409146e-08,4.277637220559873e-08,3.0503945985830918e-05,2.2196119385574898e-05,1.1784461492239254e-07,2.1147867134730195e-08,1.5995528101981127e-07,1.365342607468506e-07
12,4.0991471874347014e-08,9.192090047184836e-08,1.5516099176280133e-07,1.7870546830279917e-05,4.9618082999409146e-08,4.277637220559873e-08,3.8361022982181304e-05,2.8847841060418654e-05,1.1784461492239254e-07,2.4168991011120222e-08,2.446374886185349e-07,2.3405873270888674e-07
13,4.0991471874347014e-08,9.192090047184836e-08,1.5516099176280133e-07,2.7811857025672142e-05,4.9618082999409146e-08,4.277637220559873e-08,4.321392347992713e-05,4.3028695112313726e-05,1.325751917876916e-07,3.32323626402903e-08,3.6225166583898434e-07,2.925734158861084e-07
14,4.0991471874347014e-08,1.6852165086505533e-07,1.5516099176280133e-07,3.4788632803516266e-05,4.9618082999409146e-08,4.277637220559873e-08,5.6617172473701327e-05,6.756062406998171e-05,1.325751917876916e-07,3.32323626402903e-08,4.610475747041619e-07,2.925734158861084e-07
15,4.0991471874347014e-08,1.6852165086505533e-07,1.7903191357246307e-07,4.182493738492561e-05,4.9618082999409146e-08,4.277637220559873e-08,7.418005046554336e-05,8.776478402351783e-05,1.325751917876916e-07,3.32323626402903e-08,5.692526177469753e-07,3.1207831027851564e-07
16,4.0991471874347014e-08,1.6852165086505533e-07,1.7903191357246307e-07,5.651664610482263e-05,4.9618082999409146e-08,4.277637220559873e-08,9.867564345416517e-05,0.00010928506003036529,1.325751917876916e-07,3.6253486516680334e-08,9.409134177635957e-07,3.510880990633301e-07
17,4.3770554713285795e-08,1.6852165086505533e-07,1.7903191357246307e-07,6.93272446320586e-05,4.9618082999409146e-08,4.277637220559873e-08,0.00012952622518983507,0.00013676935743194788,1.325751917876916e-07,3.6253486516680334e-08,1.1008686987834069e-06,4.4861257102536626e-07
18,5.5581656778775615e-08,1.6852165086505533e-07,1.7903191357246307e-07,7.817322484185072e-05,4.9618082999409146e-08,4.277637220559873e-08,0.00015702599467706143,0.0001604357325887895,1.325751917876916e-07,3.6253486516680334e-08,1.3690290228460317e-06,4.681174654177735e-07
19,1.5007047330269415e-07,1.6852165086505533e-07,1.7903191357246307e-07,8.525715246611225e-05,4.9618082999409146e-08,4.277637220559873e-08,0.0002541995498819243,0.00018590435675557094,1.325751917876916e-07,3.6253486516680334e-08,2.0135547140140946e-06,4.681174654177735e-07
20,1.6327111678765337e-07,1.6852165086505533e-07,1.7903191357246307e-07,9.574612765430453e-05,4.9618082999409146e-08,4.277637220559873e-08,0.0002541995498819243,0.0002150249065477568,1.325751917876916e-07,3.6253486516680334e-08,2.9215361621559646e-06,4.876223598101807e-07
21,2.681814939575923e-07,1.6852165086505533e-07,1.7903191357246307e-07,0.00010715184641740123,4.9618082999409146e-08,4.277637220559873e-08,0.0003061949123577725,0.0002480582337957331,1.325751917876916e-07,3.927461039307036e-08,4.252928648291452e-06,5.266321485949951e-07
22,3.6544939332044967e-07,1.6852165086505533e-07,1.7903191357246307e-07,0.00011995053918392415,2.8116913699665185e-07,4.277637220559873e-08,0.00034779120233845097,,1.325751917876916e-07,3.927461039307036e-08,5.3067516761866795e-06,5.461370429874024e-07
23,4.328421521647151e-07,1.8384180094369672e-07,1.7903191357246307e-07,0.0001352970647430386,1.3066095189844409e-06,4.277637220559873e-08,0.00044923993179132806,,1.325751917876916e-07,4.229573426946039e-08,7.273260719312595e-06,5.461370429874024e-07
