,Belgium,France,Germany,Italy,Netherlands,Portugal,Spain,Sweden,Switzerland,United States,Brazil,South Korea
20,8.628413572977742e-08,1.6852165086505533e-07,1.7903191357246307e-07,4.9618082999409146e-08,0.00011969741474010341,0.00015691340351350685,4.277637220559873e-08,9.901705766852455e-08,0.0002541995498819243,3.6253486516680334e-08,2.9215361621559646e-06,4.876223598101807e-07
21,8.628413572977742e-08,1.6852165086505533e-07,1.7903191357246307e-07,4.9618082999409146e-08,0.00014356686507101629,0.00020202600702364009,4.277637220559873e-08,9.901705766852455e-08,0.0003061949123577725,3.927461039307036e-08,4.252928648291452e-06,5.266321485949951e-07
22,8.628413572977742e-08,1.6852165086505533e-07,1.7903191357246307e-07,2.8116913699665185e-07,0.00017473137968399298,0.0002316434119368145,4.277637220559873e-08,9.901705766852455e-08,0.00034779120233845097,3.927461039307036e-08,5.3067516761866795e-06,5.461370429874024e-07
23,8.628413572977742e-08,1.8384180094369672e-07,1.7903191357246307e-07,1.3066095189844409e-06,0.0002119070272653903,0.00029372227720184563,4.277637220559873e-08,9.901705766852455e-08,0.00044923993179132806,4.229573426946039e-08,7.273260719312595e-06,5.461370429874024e-07
24,8.628413572977742e-08,1.8384180094369672e-07,1.7903191357246307e-07,2.1831956519740025e-06,0.0002453476019343709,0.0003475631887824177,6.41645583083981e-08,9.901705766852455e-08,0.0005592390097402335,4.5316858145850414e-08,8.896336364954798e-06,5.461370429874024e-07
25,8.628413572977742e-08,1.8384180094369672e-07,1.7903191357246307e-07,3.787513668954898e-06,0.00027715408220416925,0.00041856650387227956,1.4971730271959554e-07,9.901705766852455e-08,0.0007021684839238427,4.5316858145850414e-08,1.035475216248837e-05,5.461370429874024e-07
26,8.628413572977742e-08,1.8384180094369672e-07,1.7903191357246307e-07,5.325674241936582e-06,0.0003244844592661994,0.0005070264351030191,2.566582332335924e-07,1.980341153370491e-07,0.0008054659373758611,4.5316858145850414e-08,1.1446211727094141e-05,5.461370429874024e-07
27,1.7256827145955483e-07,1.8384180094369672e-07,1.7903191357246307e-07,6.615744399921219e-06,0.0003742076174127465,0.0005846985698422049,5.347046525699841e-07,6.931194036796719e-07,0.0009260951783198288,4.5316858145850414e-08,1.3713813063904407e-05,5.656419373798096e-07
28,6.902730858382193e-07,1.8384180094369672e-07,1.7903191357246307e-07,1.0750584649871983e-05,0.0004336769814401309,0.0006284381810715949,7.271983274951784e-07,1.1882046920222947e-06,0.0010155272017782877,4.5316858145850414e-08,1.6075505742491032e-05,5.851468317722168e-07
29,1.1216937644871064e-06,1.8384180094369672e-07,2.0290283538212482e-07,1.4686952567825108e-05,0.0005020755041487614,0.0007299415389693947,1.411620282784758e-06,1.2872217496908193e-06,0.001122406557978642,4.5316858145850414e-08,1.836662991474539e-05,6.04651726164624e-07
30,1.9845351217848807e-06,1.8384180094369672e-07,2.506446790014483e-07,1.865639920777784e-05,0.0005697153401720573,0.0008091828077437156,1.7752194465323473e-06,1.3862388073593438e-06,0.0012379518079249714,4.5316858145850414e-08,2.0022637530009316e-05,8.972251420507325e-07
31,4.314206786488871e-06,1.8384180094369672e-07,5.60966662527051e-07,2.793498072866735e-05,0.0006341453479112451,0.0008859723045881381,2.4382532157191274e-06,1.4852558650278683e-06,0.001398559705350369,4.8337982022240445e-08,2.1542212699697524e-05,1.5603915513925783e-06
32,9.404970794545738e-06,2.1448210110097953e-07,6.803212715753597e-07,3.0349727434638595e-05,0.0006857360425140005,0.0009695286919590805,3.2296161015227043e-06,2.3764093840445895e-06,0.001519651127294122,1.0573933567365097e-07,2.6896010046772382e-05,3.0232586308231203e-06
33,1.4582018938332384e-05,2.604425513369037e-07,1.3248361604362267e-06,4.138148122150723e-05,0.0007350506770607521,,4.277637220559873e-06,3.4655970183983595e-06,0.0016492928977339034,1.0573933567365097e-07,3.21604206191597e-05,6.729188565380494e-06
34,1.7256827145955484e-05,5.82165702988373e-07,1.5396744567231825e-06,5.109008612839162e-05,0.0007945200410881364,,5.582316572830634e-06,6.040040517779998e-06,0.001780783392172826,1.0573933567365097e-07,3.721312567255021e-05,1.1722441529836744e-05
35,2.0621908439416802e-05,8.732485544825594e-07,1.873867362058447e-06,6.380885473724017e-05,0.0008577244780279376,,7.999181602446962e-06,1.3565336900587865e-05,0.0018612028861354712,1.6011956544867146e-07,4.2604559556335614e-05,1.4862729527014308e-05
36,2.303786423985057e-05,1.5320150078641394e-06,2.339350337346851e-06,7.667647759508694e-05,0.0009176023656551175,,9.196920024203727e-06,1.5941746284632455e-05,0.00197235741658384,1.6011956544867146e-07,,1.7398365798027246e-05
37,2.709321861915011e-05,1.991619510223381e-06,3.1270907570656886e-06,9.730106076184134e-05,,,1.2597641614548826e-05,2.0100462706710485e-05,0.0021773346899886283,1.7824630870701165e-07,,2.2352608973698683e-05
38,3.4427370156181186e-05,2.726986713998168e-06,4.774184361932349e-06,0.0001219777873735475,,,2.5751376067770435e-05,2.455623030179409e-05,0.002276934695442364,1.8126743258340165e-07,,3.111030655588953e-05
39,4.823283187294558e-05,3.2478718166719755e-06,8.163855258904316e-06,0.00015169901909019358,,,3.505523702248816e-05,3.2279560799939005e-05,,1.9939417584174184e-07,,3.943889646144742e-05
