,China,France,Germany,Italy,Spain,United States,Brazil,South Korea
20,1.6327111678765337e-07,1.6852165086505533e-07,1.7903191357246307e-07,4.9618082999409146e-08,4.277637220559873e-08,3.6253486516680334e-08,2.9215361621559646e-06,4.876223598101807e-07
21,2.681814939575923e-07,1.6852165086505533e-07,1.7903191357246307e-07,4.9618082999409146e-08,4.277637220559873e-08,3.927461039307036e-08,4.252928648291452e-06,5.266321485949951e-07
22,3.6544939332044967e-07,1.6852165086505533e-07,1.7903191357246307e-07,2.8116913699665185e-07,4.277637220559873e-08,3.927461039307036e-08,5.3067516761866795e-06,5.461370429874024e-07
23,4.328421521647151e-07,1.8384180094369672e-07,1.7903191357246307e-07,1.3066095189844409e-06,4.277637220559873e-08,4.229573426946039e-08,7.273260719312595e-06,5.461370429874024e-07
24,6.127877659860012e-07,1.8384180094369672e-07,1.7903191357246307e-07,2.1831956519740025e-06,6.41645583083981e-08,4.5316858145850414e-08,8.896336364954798e-06,5.461370429874024e-07
25,9.191816489790017e-07,1.8384180094369672e-07,1.7903191357246307e-07,3.787513668954898e-06,1.4971730271959554e-07,4.5316858145850414e-08,1.035475216248837e-05,5.461370429874024e-07
26,1.381204170952574e-06,1.8384180094369672e-07,1.7903191357246307e-07,5.325674241936582e-06,2.566582332335924e-07,4.5316858145850414e-08,1.1446211727094141e-05,5.461370429874024e-07
27,1.927988719513779e-06,1.8384180094369672e-07,1.7903191357246307e-07,6.615744399921219e-06,5.347046525699841e-07,4.5316858145850414e-08,1.3713813063904407e-05,5.656419373798096e-07
28,3.1459217736787e-06,1.8384180094369672e-07,1.7903191357246307e-07,1.0750584649871983e-05,7.271983274951784e-07,4.5316858145850414e-08,1.6075505742491032e-05,5.851468317722168e-07
29,4.1644556341497625e-06,1.8384180094369672e-07,2.0290283538212482e-07,1.4686952567825108e-05,1.411620282784758e-06,4.5316858145850414e-08,1.836662991474539e-05,6.04651726164624e-07
30,5.3733566690881324e-06,1.8384180094369672e-07,2.506446790014483e-07,1.865639920777784e-05,1.7752194465323473e-06,4.5316858145850414e-08,2.0022637530009316e-05,8.972251420507325e-07
31,6.7490026743628285e-06,1.8384180094369672e-07,5.60966662527051e-07,2.793498072866735e-05,2.4382532157191274e-06,4.8337982022240445e-08,2.1542212699697524e-05,1.5603915513925783e-06
32,8.204547311257015e-06,2.1448210110097953e-07,6.803212715753597e-07,3.0349727434638595e-05,3.2296161015227043e-06,1.0573933567365097e-07,2.6896010046772382e-05,3.0232586308231203e-06
33,1.0004003449469876e-05,2.604425513369037e-07,1.3248361604362267e-06,4.138148122150723e-05,4.277637220559873e-06,1.0573933567365097e-07,3.21604206191597e-05,6.729188565380494e-06
34,1.1957698685243839e-05,5.82165702988373e-07,1.5396744567231825e-06,5.109008612839162e-05,5.582316572830634e-06,1.0573933567365097e-07,3.721312567255021e-05,1.1722441529836744e-05
35,1.4206671472655047e-05,8.732485544825594e-07,1.873867362058447e-06,6.380885473724017e-05,7.999181602446962e-06,1.6011956544867146e-07,4.2604559556335614e-05,1.4862729527014308e-05
36,1.6896823660747787e-05,1.5320150078641394e-06,2.339350337346851e-06,7.667647759508694e-05,9.196920024203727e-06,1.6011956544867146e-07,,1.7398365798027246e-05
37,1.9486234095928995e-05,1.991619510223381e-06,3.1270907570656886e-06,9.730106076184134e-05,1.2597641614548826e-05,1.7824630870701165e-07,,2.2352608973698683e-05
38,2.168170953869063e-05,2.726986713998168e-06,4.774184361932349e-06,0.0001219777873735475,2.5751376067770435e-05,1.8126743258340165e-07,,3.111030655588953e-05
39,2.405643582456382e-05,3.2478718166719755e-06,8.163855258904316e-06,0.00015169901909019358,3.505523702248816e-05,1.9939417584174184e-07,,3.943889646144742e-05
