date,Brazil,China,France,Germany,Italy,South Korea,Spain,United States
2019-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-15,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-16,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-17,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-18,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-19,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-20,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-21,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-22,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-25,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-26,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-27,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-28,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-29,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,0.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,0.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,0.0,361.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,0.0,426.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,0.0,492.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,0.0,564.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,0.0,637.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,0.0,723.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,0.0,812.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,0.0,909.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,0.0,1017.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,0.0,1114.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,0.0,1368.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,0.0,1381.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-15,0.0,1524.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,0.0,1666.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,0.0,1771.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,0.0,1869.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,0.0,2008.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,0.0,2120.0,1.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,0.0,2238.0,1.0,0.0,0.0,1.0,0.0,0.0
2020-02-22,0.0,2347.0,1.0,0.0,0.0,2.0,0.0,0.0
2020-02-23,0.0,2445.0,1.0,0.0,2.0,5.0,0.0,0.0
2020-02-24,0.0,2595.0,1.0,0.0,2.0,7.0,0.0,0.0
2020-02-25,0.0,2665.0,1.0,0.0,6.0,8.0,0.0,0.0
2020-02-26,0.0,2717.0,1.0,0.0,11.0,11.0,0.0,0.0
2020-02-27,0.0,2746.0,2.0,0.0,12.0,12.0,0.0,0.0
2020-02-28,0.0,2790.0,2.0,0.0,17.0,13.0,0.0,0.0
2020-02-29,0.0,2837.0,2.0,0.0,21.0,16.0,0.0,0.0
2020-03-01,0.0,2872.0,2.0,0.0,29.0,17.0,0.0,1.0
2020-03-02,0.0,2914.0,2.0,0.0,35.0,22.0,0.0,2.0
2020-03-03,,2946.0,3.0,0.0,52.0,28.0,0.0,6.0
2020-03-04,,2983.0,4.0,0.0,80.0,32.0,0.0,9.0
2020-03-05,0.0,3014.0,4.0,0.0,107.0,35.0,1.0,11.0
2020-03-06,0.0,3044.0,7.0,0.0,148.0,42.0,3.0,12.0
2020-03-07,0.0,3072.0,9.0,0.0,197.0,44.0,5.0,14.0
2020-03-08,0.0,3099.0,10.0,0.0,233.0,50.0,5.0,17.0
2020-03-09,0.0,3122.0,19.0,0.0,366.0,51.0,5.0,21.0
2020-03-10,,3139.0,30.0,2.0,464.0,54.0,28.0,26.0
2020-03-11,0.0,3161.0,33.0,2.0,631.0,60.0,35.0,28.0
2020-03-12,0.0,3172.0,48.0,3.0,827.0,66.0,47.0,30.0
2020-03-13,0.0,3179.0,61.0,5.0,1016.0,67.0,84.0,40.0
2020-03-14,0.0,3194.0,79.0,5.0,1268.0,72.0,121.0,47.0
2020-03-15,0.0,3203.0,91.0,8.0,1441.0,75.0,136.0,57.0
2020-03-16,0.0,3216.0,127.0,12.0,1811.0,75.0,288.0,69.0
2020-03-17,0.0,3225.0,148.0,13.0,2158.0,81.0,309.0,85.0
2020-03-18,1.0,3241.0,175.0,13.0,2505.0,86.0,491.0,108.0
2020-03-19,4.0,3249.0,244.0,13.0,2978.0,91.0,598.0,150.0
2020-03-20,6.0,3253.0,372.0,43.0,3407.0,100.0,767.0,150.0
2020-03-21,11.0,3259.0,450.0,45.0,4032.0,103.0,1002.0,260.0
2020-03-22,18.0,3265.0,562.0,67.0,4827.0,104.0,1326.0,340.0
2020-03-23,25.0,3274.0,674.0,94.0,5476.0,113.0,1720.0,471.0
2020-03-24,34.0,3281.0,860.0,126.0,6077.0,120.0,2182.0,590.0
2020-03-25,46.0,3285.0,1100.0,149.0,6820.0,126.0,2696.0,801.0
2020-03-26,57.0,3291.0,1331.0,198.0,7505.0,131.0,3434.0,1050.0
2020-03-27,77.0,3296.0,1696.0,253.0,8165.0,139.0,4089.0,1296.0
2020-03-28,92.0,3299.0,1995.0,325.0,9136.0,144.0,4858.0,1707.0
2020-03-29,114.0,3304.0,2314.0,389.0,10023.0,152.0,5690.0,2191.0
2020-03-30,136.0,3306.0,2606.0,455.0,10781.0,158.0,6528.0,2509.0
2020-03-31,159.0,3309.0,3024.0,583.0,11591.0,163.0,7340.0,3170.0
2020-04-01,201.0,3310.0,3523.0,732.0,12430.0,163.0,8189.0,4079.0
2020-04-02,241.0,3316.0,4032.0,872.0,13157.0,169.0,9053.0,5138.0
2020-04-03,299.0,3326.0,4503.0,872.0,13917.0,174.0,10003.0,6053.0
2020-04-04,359.0,3330.0,,1017.0,14681.0,177.0,10935.0,7157.0
