date,Belgium,Brazil,France,Germany,Italy,Netherlands,Portugal,South Korea,Spain,Sweden,Switzerland,United States
2019-12-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,1.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,1.0,0.0,2.0,0.0,,5.0,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,1.0,0.0,2.0,0.0,,7.0,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,1.0,0.0,6.0,0.0,,8.0,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,1.0,0.0,11.0,0.0,,11.0,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,2.0,0.0,12.0,0.0,,12.0,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,2.0,0.0,17.0,0.0,,13.0,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,2.0,0.0,21.0,0.0,,16.0,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,2.0,0.0,29.0,0.0,,17.0,0.0,0.0,0.0,1.0
2020-03-02,0.0,0.0,2.0,0.0,35.0,0.0,,22.0,0.0,0.0,0.0,2.0
2020-03-03,0.0,,3.0,0.0,52.0,0.0,0.0,28.0,0.0,0.0,0.0,6.0
2020-03-04,0.0,,4.0,0.0,80.0,0.0,0.0,32.0,0.0,0.0,0.0,9.0
2020-03-05,0.0,0.0,4.0,0.0,107.0,0.0,0.0,35.0,1.0,0.0,0.0,11.0
2020-03-06,0.0,0.0,7.0,0.0,148.0,0.0,0.0,42.0,3.0,0.0,1.0,12.0
2020-03-07,0.0,0.0,9.0,0.0,197.0,1.0,0.0,44.0,5.0,0.0,1.0,14.0
2020-03-08,0.0,0.0,10.0,0.0,233.0,1.0,0.0,50.0,5.0,0.0,1.0,17.0
2020-03-09,0.0,0.0,19.0,0.0,366.0,3.0,0.0,51.0,5.0,0.0,2.0,21.0
2020-03-10,0.0,,30.0,2.0,464.0,3.0,0.0,54.0,28.0,0.0,2.0,26.0
2020-03-11,0.0,0.0,33.0,2.0,631.0,4.0,0.0,60.0,35.0,0.0,3.0,28.0
2020-03-12,3.0,0.0,48.0,3.0,827.0,5.0,0.0,66.0,47.0,1.0,4.0,30.0
2020-03-13,3.0,0.0,61.0,5.0,1016.0,5.0,0.0,67.0,84.0,1.0,4.0,40.0
2020-03-14,3.0,0.0,79.0,5.0,1268.0,5.0,0.0,72.0,121.0,1.0,7.0,47.0
2020-03-15,4.0,0.0,91.0,8.0,1441.0,12.0,0.0,75.0,136.0,1.0,11.0,57.0
2020-03-16,4.0,0.0,127.0,12.0,1811.0,20.0,0.0,75.0,288.0,3.0,13.0,69.0
2020-03-17,5.0,0.0,148.0,13.0,2158.0,24.0,0.0,81.0,309.0,7.0,14.0,85.0
2020-03-18,5.0,1.0,175.0,13.0,2505.0,43.0,1.0,86.0,491.0,8.0,19.0,108.0
2020-03-19,14.0,4.0,244.0,13.0,2978.0,58.0,2.0,91.0,598.0,10.0,21.0,150.0
2020-03-20,21.0,6.0,372.0,43.0,3407.0,76.0,3.0,100.0,767.0,10.0,33.0,150.0
2020-03-21,37.0,11.0,450.0,45.0,4032.0,106.0,6.0,103.0,1002.0,16.0,43.0,260.0
2020-03-22,67.0,18.0,562.0,67.0,4827.0,136.0,12.0,104.0,1326.0,20.0,56.0,340.0
2020-03-23,75.0,25.0,674.0,94.0,5476.0,179.0,14.0,113.0,1720.0,21.0,60.0,471.0
2020-03-24,88.0,34.0,860.0,126.0,6077.0,213.0,23.0,120.0,2182.0,25.0,66.0,590.0
2020-03-25,122.0,46.0,1100.0,149.0,6820.0,276.0,33.0,126.0,2696.0,36.0,86.0,801.0
