,China,France,Germany,Iran,Italy,Spain,Switzerland,Turkey,United Kingdom,United States,Brazil,South Korea
0,0.0,0.0,0.0,2.3811521426089162e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,2.3811521426089162e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,4.7623042852178324e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,5.9528803565222905e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,9.524608570435665e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,1.4286912855653497e-07,0.0,0.0,0.0,1.1856901381183171e-08,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,1.7858641069566873e-07,0.0,0.0,0.0,4.7427605524732685e-08,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,2.2620945354784705e-07,0.0,0.0,0.0,1.0671211243064854e-07,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,3.0954977853915913e-07,0.0,0.0,0.0,2.489949290048466e-07,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,4.047958642435158e-07,0.0,0.0,1.1554524994632923e-07,3.557070414354951e-07,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,5.11947710660917e-07,0.0,0.0,1.1554524994632923e-07,4.387053511037773e-07,0.0,0.0,0.0,0.0
11,6.947707097346952e-10,0.0,0.0,6.429110785044073e-07,0.0,0.0,1.1554524994632923e-07,5.217036607720595e-07,0.0,0.0,0.0,0.0
12,6.947707097346952e-10,0.0,0.0,7.857802070609424e-07,0.0,0.0,2.3109049989265845e-07,6.995571814898071e-07,0.0,0.0,0.0,0.0
13,6.947707097346952e-10,0.0,0.0,9.167435749044328e-07,0.0,0.0,2.3109049989265845e-07,8.892676035887378e-07,0.0,0.0,0.0,0.0
14,6.947707097346952e-10,0.0,0.0,1.0953299856001014e-06,0.0,0.0,3.466357498389877e-07,1.0908349270688517e-06,0.0,0.0,0.0,0.0
15,1.3895414194693904e-09,0.0,0.0,1.27391639629577e-06,0.0,0.0,4.621809997853169e-07,1.2805453491677825e-06,0.0,0.0,0.0,0.0
16,1.3895414194693904e-09,0.0,0.0,1.476314328417528e-06,0.0,0.0,4.621809997853169e-07,1.5532540809349953e-06,0.0,0.0,0.0,0.0
17,1.3895414194693904e-09,0.0,0.0,1.7263353033914643e-06,0.0,0.0,8.088167496243047e-07,1.991959432038773e-06,0.0,0.0,0.0,0.0
