,Belgium,France,Germany,Italy,Netherlands,Portugal,Spain,Sweden,Switzerland,United States,Brazil,South Korea
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,5.8360514256510686e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,5.8360514256510686e-08,0.0,0.0,0.0,1.1554524994632923e-07,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,1.7508154276953206e-07,0.0,0.0,0.0,1.1554524994632923e-07,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,1.7508154276953206e-07,0.0,0.0,0.0,1.1554524994632923e-07,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,2.3344205702604274e-07,0.0,0.0,0.0,2.3109049989265845e-07,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,2.918025712825534e-07,0.0,0.0,0.0,2.3109049989265845e-07,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,2.918025712825534e-07,0.0,0.0,0.0,3.466357498389877e-07,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,2.918025712825534e-07,9.807087719594178e-08,0.0,0.0,4.621809997853169e-07,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,7.003261710781283e-07,1.9614175439188357e-07,0.0,0.0,4.621809997853169e-07,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,1.1672102851302137e-06,2.9421263158782535e-07,0.0,0.0,8.088167496243047e-07,0.0,0.0,0.0
