,Belgium,France,Germany,Italy,Netherlands,Portugal,Spain,Sweden,Switzerland,United States,Brazil,South Korea
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
10,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0
11,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0
12,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0
13,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0
14,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0
15,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,4.0,0.0,0.0,0
16,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,4.0,0.0,0.0,0
17,0.0,0.0,0.0,0.0,20.0,3.0,0.0,0.0,7.0,0.0,0.0,0
18,0.0,0.0,0.0,0.0,24.0,6.0,0.0,0.0,11.0,0.0,1.0,0
19,0.0,0.0,0.0,0.0,43.0,12.0,0.0,0.0,13.0,0.0,4.0,0
20,0.0,0.0,0.0,0.0,58.0,14.0,0.0,0.0,14.0,0.0,6.0,0
21,0.0,1.0,0.0,0.0,76.0,23.0,0.0,0.0,19.0,0.0,11.0,0
22,0.0,1.0,0.0,0.0,106.0,33.0,0.0,0.0,21.0,0.0,18.0,0
23,0.0,1.0,0.0,2.0,136.0,43.0,0.0,0.0,33.0,0.0,25.0,0
24,0.0,1.0,0.0,2.0,179.0,60.0,0.0,0.0,43.0,0.0,34.0,0
25,0.0,1.0,0.0,6.0,213.0,76.0,0.0,0.0,56.0,0.0,46.0,0
26,0.0,1.0,0.0,11.0,276.0,100.0,0.0,0.0,60.0,0.0,57.0,0
27,0.0,1.0,0.0,12.0,356.0,119.0,0.0,0.0,66.0,0.0,77.0,0
28,0.0,1.0,0.0,17.0,434.0,140.0,0.0,0.0,86.0,0.0,92.0,0
29,0.0,1.0,0.0,21.0,546.0,160.0,0.0,0.0,103.0,0.0,114.0,0
30,0.0,1.0,0.0,29.0,639.0,187.0,0.0,0.0,161.0,0.0,136.0,0
31,0.0,1.0,0.0,35.0,771.0,209.0,0.0,0.0,197.0,0.0,159.0,0
32,0.0,1.0,0.0,52.0,864.0,246.0,0.0,0.0,235.0,0.0,201.0,1
33,0.0,2.0,0.0,80.0,1039.0,,1.0,0.0,257.0,0.0,241.0,2
34,0.0,2.0,0.0,107.0,1173.0,,3.0,0.0,295.0,0.0,299.0,5
35,0.0,2.0,0.0,148.0,1339.0,,5.0,0.0,373.0,0.0,359.0,7
36,0.0,2.0,0.0,197.0,1487.0,,5.0,0.0,378.0,0.0,,8
37,3.0,2.0,0.0,233.0,,,5.0,0.0,536.0,0.0,,11
38,3.0,3.0,0.0,366.0,,,28.0,0.0,607.0,0.0,,12
39,3.0,4.0,0.0,464.0,,,35.0,0.0,,0.0,,13
40,4.0,4.0,0.0,631.0,,,47.0,1.0,,1.0,,16
41,4.0,7.0,0.0,827.0,,,84.0,1.0,,2.0,,17
42,5.0,9.0,2.0,1016.0,,,121.0,1.0,,6.0,,22
43,5.0,10.0,2.0,1268.0,,,136.0,1.0,,9.0,,28
44,14.0,19.0,3.0,1441.0,,,288.0,3.0,,11.0,,32
45,21.0,30.0,5.0,1811.0,,,309.0,7.0,,12.0,,35
46,37.0,33.0,5.0,2158.0,,,491.0,8.0,,14.0,,42
47,67.0,48.0,8.0,2505.0,,,598.0,10.0,,17.0,,44
48,75.0,61.0,12.0,2978.0,,,767.0,10.0,,21.0,,50
49,88.0,79.0,13.0,3407.0,,,1002.0,16.0,,26.0,,51
50,122.0,91.0,13.0,4032.0,,,1326.0,20.0,,28.0,,54
51,178.0,127.0,13.0,4827.0,,,1720.0,21.0,,30.0,,60
52,220.0,148.0,43.0,5476.0,,,2182.0,25.0,,40.0,,66
53,289.0,175.0,45.0,6077.0,,,2696.0,36.0,,47.0,,67
54,353.0,244.0,67.0,6820.0,,,3434.0,42.0,,57.0,,72
55,431.0,372.0,94.0,7505.0,,,4089.0,66.0,,69.0,,75
56,513.0,450.0,126.0,8165.0,,,4858.0,92.0,,85.0,,75
57,705.0,562.0,149.0,9136.0,,,5690.0,102.0,,108.0,,81
58,828.0,674.0,198.0,10023.0,,,6528.0,110.0,,150.0,,86
59,1011.0,860.0,253.0,10781.0,,,7340.0,146.0,,150.0,,91
60,1143.0,1100.0,325.0,11591.0,,,8189.0,180.0,,260.0,,100
61,,1331.0,389.0,12430.0,,,9053.0,239.0,,340.0,,103
62,,1696.0,455.0,13157.0,,,10003.0,282.0,,471.0,,104
63,,1995.0,583.0,13917.0,,,10935.0,333.0,,590.0,,113
64,,2314.0,732.0,14681.0,,,,,,801.0,,120
65,,2606.0,872.0,,,,,,,1050.0,,126
66,,3024.0,872.0,,,,,,,1296.0,,131
67,,3523.0,1017.0,,,,,,,1707.0,,139
68,,4032.0,,,,,,,,2191.0,,144
69,,4503.0,,,,,,,,2509.0,,152
70,,,,,,,,,,3170.0,,158
71,,,,,,,,,,4079.0,,163
72,,,,,,,,,,5138.0,,163
73,,,,,,,,,,6053.0,,169
74,,,,,,,,,,7157.0,,174
75,,,,,,,,,,,,177
