,China,France,Germany,Italy,Spain,United States,Brazil,South Korea
15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19,3,0.0,0.0,0.0,0.0,0.0,4.0,0.0
20,3,0.0,0.0,0.0,0.0,0.0,6.0,0.0
21,6,1.0,0.0,0.0,0.0,0.0,11.0,0.0
22,17,1.0,0.0,0.0,0.0,0.0,18.0,0.0
23,17,1.0,0.0,2.0,0.0,0.0,25.0,0.0
24,26,1.0,0.0,2.0,0.0,0.0,34.0,0.0
25,41,1.0,0.0,6.0,0.0,0.0,46.0,0.0
26,56,1.0,0.0,11.0,0.0,0.0,57.0,0.0
27,81,1.0,0.0,12.0,0.0,0.0,77.0,0.0
28,106,1.0,0.0,17.0,0.0,0.0,92.0,0.0
29,132,1.0,0.0,21.0,0.0,0.0,114.0,0.0
