,China,France,Germany,Iran,Italy,Spain,Switzerland,Turkey,United Kingdom,United States,Brazil,South Korea
15,2,0.0,0.0,107.0,0.0,0.0,4.0,108.0,0.0,0.0,0.0,0.0
16,2,0.0,0.0,124.0,0.0,0.0,4.0,131.0,0.0,0.0,0.0,0.0
17,2,0.0,0.0,145.0,0.0,0.0,7.0,168.0,0.0,0.0,0.0,0.0
18,2,0.0,0.0,194.0,0.0,0.0,11.0,214.0,0.0,0.0,1.0,0.0
19,3,0.0,0.0,237.0,0.0,0.0,13.0,277.0,0.0,0.0,4.0,0.0
20,3,0.0,0.0,291.0,0.0,0.0,14.0,356.0,0.0,0.0,6.0,0.0
21,6,1.0,0.0,354.0,0.0,0.0,19.0,425.0,0.0,0.0,11.0,0.0
22,17,1.0,0.0,429.0,0.0,0.0,21.0,,0.0,0.0,18.0,0.0
23,17,1.0,0.0,514.0,2.0,0.0,33.0,,0.0,0.0,25.0,0.0
24,26,1.0,0.0,611.0,2.0,0.0,43.0,,0.0,0.0,34.0,0.0
25,41,1.0,0.0,724.0,6.0,0.0,56.0,,0.0,0.0,46.0,0.0
26,56,1.0,0.0,853.0,11.0,0.0,60.0,,0.0,0.0,57.0,0.0
27,81,1.0,0.0,988.0,12.0,0.0,66.0,,0.0,0.0,77.0,0.0
28,106,1.0,0.0,1135.0,17.0,0.0,86.0,,0.0,0.0,92.0,0.0
29,132,1.0,0.0,1284.0,21.0,0.0,103.0,,0.0,0.0,114.0,0.0
