date,new_patients,er,hospitalized,icu,recovered,dead
2020-03-12,0.0,0,0.0,0.0,0.0,0.0
2020-03-13,48.34783805697052,0,7.252175708545578,2.417391902848526,0.0,0.0
2020-03-14,3.3956564265273124,0,7.761524172524675,2.5871747241748917,0.0,0.0
2020-03-15,44.06875687866124,0,14.371837704323863,4.790612568107954,0.0,0.0
2020-03-16,47.671798217852576,0,21.52260743700175,7.1742024790005825,0.0,0.0
2020-03-17,85.50418319457117,0,34.34823491618742,11.449411638729142,0.0,0.0
2020-03-18,127.00758733750496,0,46.14719730826759,17.79979100560439,6.8895669231182985,0.3626087854272789
2020-03-19,200.99928592641064,0,75.7877417332501,27.849755301924922,7.373447963898441,0.38807620862623377
2020-03-20,311.11627063221806,0,115.84486879628362,42.19687288211156,13.653245819107667,1.9272878366404562
2020-03-21,485.26555651266585,0,181.48393254050563,66.37525929708167,20.446477065151658,2.3697177339375335
2020-03-22,754.884111779401,0,281.8909218282301,103.01774596408521,32.63082317037805,4.112718029863348
2020-03-23,1175.3864389732626,0,439.1477495735937,160.59527295730203,50.72940436597251,6.257069890340951
2020-03-24,1829.5361807970678,0,683.4282838041923,249.93447741729113,79.37180261048603,9.90216911465331
2020-03-25,2848.049338665382,0,1063.968244009167,389.16175466712264,123.7058711755771,15.41073082783257
2020-03-26,4433.3733894015395,0,1656.184418942498,605.8054419890393,192.856212978632,24.07520464983783
2020-03-27,6901.161488338429,0,2578.1260254263525,943.0856096401554,300.4271989071966,37.514742253988786
2020-03-28,10742.38569797223,0,4013.175914276197,1468.0732556259502,467.91976646088654,58.4617794591049
2020-03-29,16721.244101013082,0,6246.9321023085995,2285.263357882119,728.6286722244687,91.05540360956795
2020-03-30,26026.660331656713,0,9723.7237512573,3557.2117134906234,1134.4757029842856,141.80043462388986
2020-03-31,40507.99603500766,0,15134.917148098217,5536.87311072108,1766.231410974005,220.78913956432808
2020-04-01,63040.556753730525,0,23555.82643790703,8617.69971494097,2749.6469230622315,343.7490841935009
2020-04-02,98091.729008781,0,36658.227934528346,13411.451830644983,4280.436885023274,535.1513116633311
2020-04-03,152595.08126984086,0,57039.303509852514,20867.46816097714,6664.4228653690625,833.0896796293899
2020-04-04,237293.8527787138,0,88729.38237691107,32463.516266052866,10373.306854040806,1296.849274566121
2020-04-05,368790.72570704564,0,137971.79182771678,50483.91972995785,16146.798007951365,2018.6903473540056
2020-04-06,572638.5671996512,0,214411.49339460488,78463.98978669354,25131.269140313412,3142.161031298402
2020-04-07,887911.7010681401,0,332884.4892035087,121844.7373346455,39111.478128644565,4890.548899739451
2020-04-08,1373749.8823532395,0,516057.70936601853,188953.04234378075,60859.45239928033,7611.025928106521
2020-04-09,2118194.693060039,0,798192.8354082173,292405.458789415,94678.8514023952,11843.0230491664
2020-04-10,3248804.356197413,0,1230194.8799817725,451023.02166077384,147239.30772241502,18423.830523715264
2020-04-11,4942048.682408,0,1885606.397263025,692180.9778227932,228852.4351872781,28650.96609718049
2020-04-12,7422384.622864878,0,2865777.335532536,1054061.5687205666,355398.72469228256,44530.071997867686
2020-04-13,10929141.173093146,0,4299086.029143522,1586173.2785342583,551187.4675885935,69149.16029550826
2020-04-14,15608127.68188916,0,6322575.97746789,2344336.1316974927,853075.949754169,107233.41302016204
2020-04-15,21266239.282460447,0,9025191.216407346,3373233.147528218,1316101.771745767,165943.19275047362
2020-04-16,26967131.83770765,0,12328953.689702293,4668524.037752364,2020454.543323642,255963.42519503462
