,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-04-06,881185.0,750.0,0.0,0.0,0.0,0.0,0.0,750.0,750.0
2020-04-07,881185.0,0.1751543501929973,0.0,749.824845649807,749.824845649807,0.0,0.0,750.0,750.0
2020-04-08,880906.9450345516,278.05500635379485,278.0549654483997,293.2616041256784,0.17511344479780858,456.73835496892644,456.73835496892644,571.3166104794732,1028.0549654483996
2020-04-09,880798.230159198,108.77981207872116,108.71487535344673,392.6181923205,277.9900696285204,635.3718364026253,178.63348143369882,501.3980043992211,1136.7698408018464
2020-04-10,880652.7008107528,145.55475278830008,145.52934844523506,262.2183651282182,108.75440773565614,874.5260713305632,239.15423492793795,407.77311791651823,1282.2991892470814
2020-04-11,880555.5220158476,97.21278763600823,97.17879490515203,248.0149103558457,145.52076005744388,1034.2502861603796,159.72421482981636,345.2276979918539,1379.4779841522336
2020-04-12,880463.6172001943,91.92751864354987,91.90481565335142,194.13248410675877,97.19008464580978,1185.3227970552762,151.0725108948967,286.0600027503086,1471.382799805585
2020-04-13,880391.6866538645,71.95201500284347,71.93054632978631,167.7872491920304,91.90604997049272,1303.5740819404973,118.25128488522108,239.73926419487387,1543.3133461353711
2020-04-14,880329.5227014321,62.18075604360578,62.16395243236191,137.5187624462115,71.9352113915996,1405.7777800779158,102.2036981374185,199.69951848981728,1605.4772985677332
2020-04-15,880213.0398252107,116.9133857665002,116.48287622137681,115.5026551069343,61.750246498482404,1489.5441339156755,83.76635383775961,232.4160408734345,1721.96017478911
2020-04-16,880115.2182550463,98.63102202261051,97.82157016438812,161.25083460917241,116.10393390827781,1559.8998883217153,70.3557544060397,259.8818566317829,1819.7817449534982
2020-04-17,879978.6667895318,137.23433910960887,136.55146551450122,160.97678972840424,97.94814842750287,1658.1220816299863,98.22219330827103,298.2111288380131,1956.3332104679994
2020-04-18,879842.3685426607,137.24839120293686,136.29824687108035,199.20571925949338,136.28419477775236,1756.1773468766494,98.05526524666321,336.4541104624302,2092.6314573390796
2020-04-19,879673.7281758129,169.59060846964584,168.64036684787695,214.16234082536303,136.29814958116796,1877.5188748919477,121.34152801529831,383.7529492950089,2261.2718241869566
2020-04-20,879492.460823739,182.44151559906004,181.26735207396132,252.12677979496513,168.41644494454712,2007.9708808668927,130.45200597494502,434.5682953940252,2442.539176260918
2020-04-21,879279.104282787,214.61967795595933,213.35654095201087,279.7279979168603,181.17837859511158,2161.548041340109,153.5771604732164,494.34767587281965,2655.895717212929
2020-04-22,879042.4482645228,238.14194133441018,236.6560182641511,322.4719526398605,213.13375488570026,2331.937841502809,170.38980016270008,560.6138939742707,2892.55173547708
2020-04-23,878769.7033520067,274.3936923856511,272.7449125160918,362.5388286503954,236.49316146485089,2528.364126957125,196.426285454316,636.9325210360464,3165.296647993171
2020-04-24,878463.1652481249,308.4378733799218,306.5381038819307,414.2006609894355,272.49392288765995,2749.1962175057447,220.83209054861985,722.6385343693573,3471.834751875102
2020-04-25,878113.0675887255,352.23313437612467,350.09765939935704,468.20236593742686,306.3023984031542,3001.4969109609074,252.30069345516284,820.4355003135515,3821.932411274459
2020-04-26,877717.4834153731,398.02286557978937,395.58417335238533,532.8022327776989,349.79444214872063,3286.6914862693557,285.1945753084485,930.8250983574883,4217.516584626844
2020-04-27,877267.5216115016,452.71752209875217,449.961803871568,603.5252992899764,395.2671473526052,3611.2355671096834,324.5440808403277,1056.2428213887285,4667.478388498412
2020-04-28,876758.0941002596,512.5619088741348,509.42751124198895,685.4850328019278,449.58312446660636,3978.8589580643384,367.62339095465495,1198.0469416760625,5176.905899740401
2020-04-29,876179.8214875767,581.8213439669431,578.2726126829068,776.9509551174322,509.0131775900985,4396.4062133389325,417.5472552745941,1358.7722990843754,5755.178512423308
2020-04-30,875524.820860424,659.028877339348,655.000627152769,881.4824556195108,577.7930937803641,4869.667806617218,473.2615932782855,1540.511332958859,6410.179139576077
2020-05-01,874782.2515448551,747.132113454535,742.5693155688424,999.0140108980954,654.4660794536554,5406.602330792289,536.9345241750708,1746.1461243526305,7152.74845514492
2020-05-02,873941.3862929207,846.0380341065282,840.8652519344232,1132.447206275972,741.95933128243,6015.128466696842,608.5261359045534,1978.4852403825003,7993.613707079343
2020-05-03,872989.1271859047,958.1166660486768,952.2591070160261,1282.8238197087958,840.1804750738775,6704.932328337896,689.8038616410537,2240.9404857574727,8945.872814095368
2020-05-04,872113.5657414404,877.526248205574,875.5614444643074,1457.573405833974,956.1518623074103,7486.334604520129,781.4022761822321,2335.099654039548,9821.434258559677
2020-05-05,871119.7308113651,995.6344675602622,993.8349300752873,1445.453196718067,875.726710720599,8374.181524356634,887.846919836506,2441.087664278329,10815.269188634964
2020-05-06,870135.2830777984,986.4894748243826,984.4477335666463,1558.5817465082048,993.592726302526,9254.645700869023,880.4641765123881,2545.0712213325874,11799.716922201611
2020-05-07,869074.9870270898,1062.3190383880064,1060.2960507085954,1593.674433738819,984.4664871449714,10204.01950078338,949.3737999143573,2655.9934721268255,12860.012972910206
2020-05-08,867992.1386869622,1085.0268310097786,1082.8483401276073,1683.0652875730561,1060.1405475058352,11174.769194454979,970.7496936715982,2768.0921185828347,13942.861313037814
2020-05-09,866849.977142589,1144.3866019809616,1142.161544373171,1740.6670089745817,1082.801773401988,12199.969246455441,1025.2000520004624,2885.0536109555433,15085.022857410984
2020-05-10,865670.2802941918,1182.04363470905,1179.6968483972114,1822.4200245460763,1142.039815669123,13260.25604655307,1060.2868000976284,3004.463659255126,16264.719705808195
2020-05-11,864436.8580811196,1235.8462224211166,1233.4222130722399,1891.9549029114169,1179.6196253601731,14370.340793547903,1110.0847469948326,3127.8011253325335,17498.141918880436
2020-05-12,863158.1987998461,1281.1936232461596,1278.65928127353,1972.8264834091979,1233.311880448487,15522.781093498608,1152.440299950706,3254.0201066553573,18776.801200153965
2020-05-13,861826.8554652218,1333.9706702227872,1331.3433346242716,2049.691429871521,1278.566287647644,16724.48243468393,1201.7013411853206,3383.6621000943082,20108.14453477824
2020-05-14,860445.7740305739,1383.816999800282,1381.0814346478642,2132.40470040315,1331.2351050703694,17973.00426922267,1248.5218345387407,3516.221700203432,21489.2259694261
2020-05-15,859011.2629208142,1437.3488944624808,1434.5111097596546,2214.479217102537,1380.9792150974558,19271.90896762074,1298.9046983980688,3651.828111565018,22923.737079185757
2020-05-16,857524.0222757269,1490.1882073053494,1487.2406450872827,2299.9820691215255,1434.401332244414,20620.807447846164,1348.8984802254254,3790.170276426875,24410.977724273038
2020-05-17,855982.0323932179,1545.045801969171,1541.989882508987,2386.133804237438,1487.1322878451654,22021.788000575416,1400.9805527292526,3931.179606206609,25952.967606782026
2020-05-18,854385.1599700613,1600.0408387366208,1596.8724231566512,2474.553313355733,1541.8773863892013,23475.245877846322,1453.457877270907,4074.5941520923534,27549.840029938678
2020-05-19,852732.2039813364,1656.2371822762857,1652.9559887248845,2563.9963949699777,1596.7596451852196,24982.562441417296,1507.316563570975,4220.233577246263,29202.79601866356
2020-05-20,851022.8151823094,1712.7852340620334,1709.3887990270584,2655.038406974691,1652.8407472413107,26544.361176653892,1561.7987352365974,4367.823641036724,30912.184817690617
2020-05-21,849256.2779710412,1770.0496090325707,1766.537211268163,2747.056385132699,1709.2728362976256,28161.61603479351,1617.2548581396177,4517.105994165269,32678.72202895878
2020-05-22,847432.3103746263,1827.597425868072,1823.9675964148414,2840.170696599591,1766.4197795793402,29834.92150290596,1673.3054681124481,4667.768122467663,34502.68962537362
2020-05-23,845550.567675466,1885.490541554837,1881.7426991603575,2933.9963960664254,1823.8495834735925,31564.945386912717,1730.023884006758,4819.486937621263,36384.43232453398
2020-05-24,843610.977657189,1943.4565817147748,1939.5900182768924,3028.4447488374117,1881.6239781169545,33352.121012258685,1787.1756253459682,4971.901330552187,38324.02234281087
2020-05-25,841613.5426542364,2001.4204369796057,1997.435002952568,3123.209255069997,1939.4711476877371,35196.82765371384,1844.7066414551516,5124.629692049602,40321.45734576344
2020-05-26,839558.482318486,2059.164635886147,2055.0603357505047,3218.095156825946,1997.3161368439632,37099.257888801854,1902.4302350880146,5277.259792712093,42376.51768151395
2020-05-27,837446.1579245111,2116.5471097711716,2112.3243939748186,3312.8093029368956,2054.941920089794,39059.4856627807,1960.2277739788447,5429.356412708067,44488.84207548877
2020-05-28,835277.1351581889,2173.36315599207,2169.0227663222026,3407.095331122617,2112.206720101304,41077.406354696286,2017.9206919155827,5580.458487114687,46657.86484181097
2020-05-29,833052.1574841453,2229.43457601744,2224.97767404366,3500.648753359673,2168.90625401829,43152.75918647752,2075.3528317812343,5730.083329377113,48882.84251585463
2020-05-30,830772.1750065717,2284.554364851082,2279.982477573583,3593.1727203173136,2224.862688739941,45285.09790825982,2132.3387217823,5877.727085168395,51162.824993428214
2020-05-31,828438.3364248856,2338.523502763331,2333.8385816861332,3684.3446210340308,2279.869443773884,47473.79545131699,2188.697543057167,6022.8681237973615,53496.66357511435
2020-06-01,826052.00251467,2391.1295054599136,2386.3339102155287,3773.839743906614,2333.7279075189463,49718.02823596336,2244.232784646363,6164.969249366528,55882.997485329885
2020-06-02,823614.7438601995,2442.1621285094675,2437.2586544705955,3861.319119294246,2386.2260314210416,52016.77489199676,2298.7466560334096,6303.481247803713,58320.25613980048
2020-06-03,821128.3462089004,2491.4057776127893,2486.3976512990457,3946.4404397399403,2437.154002195724,54368.807573746795,2352.0326817500295,6437.84621735273,60806.653791099525
2020-06-04,818594.8084783123,2538.646840539285,2533.5377305881407,4028.8547542266815,2486.2966676616447,56772.689926921696,2403.8823531749035,6567.501594765967,63340.191521687666
2020-06-05,816016.3426765657,2583.67178864442,2578.465801746586,4108.212492951405,2533.440853641451,59226.77304183842,2454.0831149167275,6691.884281595825,65918.65732343425
2020-06-06,813395.3697524902,2626.271243347585,2620.9729240756024,4184.163927658766,2578.3734693724373,61729.1950765035,2502.4220346650764,6810.435171006351,68539.63024750985
2020-06-07,810734.5150160969,2666.240414095548,2660.85473639328,4256.363409712077,2620.8855656453165,64277.88116009551,2548.6860835920056,6922.603823807625,71200.48498390314
2020-06-08,808036.6007634824,2703.381894840473,2697.9142526144637,4324.471463707279,2660.772771869539,66870.54587796984,2592.664717874336,7027.853358547753,73898.3992365176
2020-06-09,805304.637547534,2737.507023972364,2731.963215948483,4388.1583965539885,2697.838086816592,69504.69703193972,2634.1511539698827,7125.665420526353,76630.36245246607
2020-06-10,802541.8131995096,2768.438136233021,2762.8243480242986,4447.107065312448,2731.8932357636418,72177.6415989449,2672.944567005182,7215.545201545468,79393.18680049037
2020-06-11,799751.4802138233,2796.010204129861,2790.332985686341,4501.016206362987,2762.760917789501,74886.49337568386,2708.8517767389617,7297.026410492848,82183.51978617671
2020-06-12,796937.1412192279,2820.0727549027965,2814.338994595349,4549.603374737159,2790.2764438224135,77628.1826511321,2741.689275448241,7369.676129639956,84997.85878077205
2020-06-13,794102.4328632202,2840.4914612346197,2834.7083560076458,4592.608006059494,2814.2896496758226,80399.46766948559,2771.2850183534874,7433.099467294114,87832.5671367797
2020-06-14,791251.108111834,2857.1497291241576,2851.3247513862316,4629.794200827008,2834.6664834966937,83196.94795821476,2797.4802887291794,7486.943929951166,90683.89188816593
2020-06-15,788387.0172160004,2869.9500345754614,2864.0908958337327,4660.953397326561,2851.290590382429,86017.07935209764,2820.1313938828766,7530.903431902022,93547.98278399967
2020-06-16,785514.0874863924,2878.8151178545277,2872.9297296079826,4685.906750354856,2864.0646463289163,88856.19064539827,2839.111293300621,7564.7218682093835,96420.91251360765
2020-06-17,782636.3021260791,2883.6889281295316,2877.7853603132007,4704.507252804181,2872.9115500381968,91710.50169298713,2854.3110475888716,7588.196180933713,99298.69787392084
2020-06-18,779757.6783384853,2884.537350101855,2878.6237875938523,4716.641507636628,2877.775365621529,94576.14280377622,2865.641110789082,7601.178857738483,102177.32166151471
2020-06-19,776882.2449751485,2881.3486656983373,2875.433363336803,4722.231145642387,2878.6220477403203,97449.17521351078,2873.0324097345615,7603.579811340724,105052.7550248515
2020-06-20,774014.0199787731,2874.133759722121,2868.2249963753725,4721.23384034903,2875.439902351589,100325.61242115573,2876.437207644945,7595.367600071151,107920.98002122689
2020-06-21,771156.9878940763,2862.926052481866,2857.0320846968243,4713.643909951544,2868.239791937079,103201.4421434903,2875.8297223345658,7576.56996243341,110778.01210592371
2020-06-22,768315.0777113829,2847.78116690462,2841.9101826933925,4699.492485358057,2857.0550682706385,106072.64863635442,2871.2064928641253,7547.2736522626765,113619.9222886171
2020-06-23,765492.141306548,2828.7763315256866,2822.9364048347984,4678.84724366995,2841.941240213732,108935.23511825627,2862.586481901839,7507.623575195637,116442.85869345191
2020-06-24,762691.9327270231,2806.0095331209636,2800.2085795248745,4651.811708220502,2822.9753779295975,111785.24603163531,2850.010913379046,7457.821241341466,119243.06727297677
2020-06-25,759918.0885594097,2779.598433481158,2773.844167613471,4618.524129348738,2800.255267253277,114618.78887776035,2833.542846125041,7398.122562829896,122016.91144059025
2020-06-26,757174.1095922531,2749.6790719505652,2743.9789671565995,4579.155965919421,2773.898328687192,117432.05536987686,2813.2664921165097,7328.835037869986,124760.89040774685
2020-06-27,754463.3439638771,2716.4043777259767,2710.765628376035,4533.909996989275,2744.0403226006233,120221.34166140763,2789.286291530769,7250.314374715252,127471.65603612288
2020-06-28,751788.9719569482,2679.942520075497,2674.3720069289516,4483.018099057512,2710.833864579431,122983.06742391882,2761.725762511194,7162.9606191330095,130146.02804305183
2020-06-29,749153.9925714891,2640.4751265064997,2634.979385459077,4426.738730854487,2674.4467790280746,125713.79357114992,2730.7261472310997,7067.213857360986,132781.0074285109
2020-06-30,746561.2119761546,2598.1954008494217,2592.780595334477,4365.354172034753,2635.060320991555,128410.2384509612,2696.444879811288,6963.549572884174,135373.78802384538
2020-07-01,744013.2339051366,2553.30617376902,2547.9780710180435,4299.167565799018,2592.867298098445,131069.29235529539,2659.0539043341796,6852.473739568039,137921.76609486341
