,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-04-13,3336487.0,870.0,0.0,0.0,0.0,0.0,0.0,870.0,870.0
2020-04-14,3336487.0,8.031017543059534,0.0,861.9689824569405,861.9689824569405,0.0,0.0,870.0,870.0
2020-04-15,3336158.930532338,328.1436024235534,328.0694676617408,718.5234066296391,7.9568827812469705,151.40245860854836,151.40245860854836,1046.6670090531925,1198.0694676617409
2020-04-16,3335885.4840186806,276.4756251836029,273.4465136575037,917.4312560520893,325.1144908974542,277.60910008355233,126.206641475004,1193.9068812356923,1471.5159813192445
2020-04-17,3335536.3682990274,351.66788125771546,349.11571965302824,1030.2104666502387,273.9234635789157,438.75335306431873,161.1442529807664,1381.878347907954,1820.631700972273
2020-04-18,3335144.3770454726,395.2375189845927,391.9912535550395,1197.678474274874,348.42161582816226,619.7069612678457,180.953608203527,1592.9159932594666,2212.6229545273122
2020-04-19,3334688.718392613,459.3071119959046,455.6586528595361,1378.8986353364073,391.5890598482242,830.0758600545365,210.36889878669078,1838.205747332312,2668.2816073868485
2020-04-20,3334164.1859186054,528.7723630580076,524.5324740073281,1591.7661413418953,455.0672229452252,1072.2755769942737,242.19971693973716,2120.538504399903,3192.814081394177
2020-04-21,3333558.773976552,610.2930686327671,605.4119420534523,1836.0680744536958,523.8912364786928,1351.8648803611661,279.58930336689235,2446.361143086463,3798.226023447629
2020-04-22,3332860.571098977,703.836526242629,698.2028775752757,2118.2272347779926,604.6594199654138,1674.3651400022832,322.50025964111705,2822.0637610206218,4496.428901022905
2020-04-23,3332055.2400714583,811.8281809551307,805.3310275186932,2443.505874815304,697.3393728061915,2046.4258727711629,372.0607327688797,3255.334055770435,5301.759928541598
2020-04-24,3331126.465494991,936.2686067698638,928.7745764673342,2818.6450026760617,804.3341506526011,2475.6208955630063,429.19502279184366,3754.9136094459254,6230.534505008932
2020-04-25,3330055.3994754576,1079.7087662066685,1071.066019533123,3251.183693703425,927.6258600963182,2970.708064631961,495.0871690689547,4330.892459910094,7301.600524542055
2020-04-26,3328820.3689119164,1244.9974141650819,1235.0305635411728,3749.864220033341,1069.7419155827595,3541.7694538848045,571.0613892528434,4994.861634198423,8536.631088083228
2020-04-27,3327396.4323500204,1435.429201061607,1423.936561895833,4324.715755860396,1233.5047749993078,4200.422693057057,658.6532391722526,5760.144956922003,9960.56764997906
2020-04-28,3325754.909797488,1654.7730779296674,1641.5225525324884,4987.270116095237,1422.178675664428,4960.047008486643,759.6243154295863,6642.043194024905,11602.090202511547
2020-04-29,3323862.8368762084,1907.3482219904051,1892.0729212793294,5750.767744016717,1639.4977772185916,5836.047157783754,876.0001492971118,7658.115966007123,13494.163123790877
2020-04-30,3321682.3490788494,2198.0946330275037,2180.48779735908,6630.402742462543,1889.7413863219817,6846.15354565991,1010.1063878761563,8828.497375490046,15674.650921149956
2020-05-01,3319169.984010449,2532.655800077615,2512.3650684004324,7643.59481066742,2177.803901350321,8010.765378805355,1164.6118331454443,10176.250610745035,18187.01598955039
2020-05-02,3317532.9065176565,1642.2628136532558,1637.077492792815,8828.48908297288,2527.470479217174,9353.34158571707,1342.5762069117143,10470.751896626134,19824.093482343204
2020-05-03,3315642.9852598323,1893.2836016632848,1889.9212578241807,8916.689956670652,1638.9004698141516,10904.041181833447,1550.6995961163775,10809.973558333937,21714.014740167382
2020-05-04,3313735.270175375,1911.591364429702,1907.7150844574553,9239.905443660113,1889.407321691038,12470.233016535025,1566.1918347015774,11151.496808089814,23621.72982462484
2020-05-05,3311759.5409524213,1979.6429859600876,1975.729222953558,9524.619307463487,1907.6776014231725,14093.196754154824,1622.9637376197988,11504.262293423573,25597.4590475784
2020-05-06,3309724.1468642866,2039.4471789934166,2035.3940881347971,9827.23626524414,1975.589895101468,15766.169691475638,1672.9729373208143,11866.683444237557,27632.853135713194
2020-05-07,3307625.3747643786,2102.9476329592976,2098.7720999079143,10136.381145413163,2035.2716459420333,17492.29645724865,1726.1267657730104,12239.32877837246,29731.62523562111
