,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-03-25,4143787.0,810.0,0.0,0.0,0.0,0.0,0.0,810.0,810.0
2020-03-26,4143787.0,0.3635535488496089,0.0,809.6364464511504,809.6364464511504,0.0,0.0,810.0,810.0
2020-03-27,4143202.0465935157,584.9535614208273,584.9534064844089,357.4034842339407,0.3633986124311689,452.5963608296409,452.5963608296409,942.357045654768,1394.9534064844088
2020-03-28,4142943.8629678274,258.432916638959,258.1836256884318,742.3149748446508,584.7042704703001,652.389140689231,199.79277985959007,1000.7478914836098,1653.137032172841
2020-03-29,4142407.6577063506,536.3153984032786,536.2052614767164,585.6748935387768,258.3227797123969,1067.3520017075018,414.9628610182708,1121.9902919420554,2189.342293649557
2020-03-30,4141984.654904534,423.23136453354743,423.0028018163198,794.3625285010605,536.0868356860509,1394.751202431269,327.39920072376714,1217.5938930346078,2612.3450954658765
2020-03-31,4141410.9863617686,573.8489122103385,573.6685427654526,773.3554637594029,423.0509950886615,1838.809262261588,444.0580598303191,1347.2043759697415,3186.0136382313294
2020-04-01,4140852.5659427,558.6649775262565,558.4204190685963,914.6449556262985,573.6043537526783,2271.124124147371,432.3148618857827,1473.309933152555,3744.434057299926
2020-04-02,4140192.213008153,660.5910220338345,660.3529345471364,961.7744847550821,558.4268900395584,2782.4214850581457,511.29736091077484,1622.3655067889167,4404.786991847062
2020-04-03,4139497.944355959,694.5501777278963,694.2686521938136,1084.4406554794587,660.3094964997518,3320.064810833521,537.6433257753753,1778.990833207355,5099.055644040876
2020-04-04,4138715.2589015453,782.9814523960208,782.6854544135928,1172.4796674702145,694.2541797454683,3926.2799785882335,606.2151677547124,1955.4611198662353,5881.741098454469
2020-04-05,4137869.192071031,846.4005154482312,846.0668305142701,1299.6974169658288,782.6477674620597,4581.709996554679,655.4300179664455,2146.09793241406,6727.807928968738
2020-04-06,4136931.5160413194,938.0367420877076,937.676029711651,1419.1909736618406,846.0398030721747,5308.256242930842,726.5462463761628,2357.227715749548,7665.48395868039
2020-04-07,4135907.8625485813,1024.0532579271407,1023.6534927380948,1563.483391015185,937.6369768986616,6101.6008024761595,793.3445595453173,2587.536648942326,8689.137451418486
2020-04-08,4134780.4108945676,1127.8880770511387,1127.4516540136601,1713.0944964286432,1023.6168348896622,6975.606531952363,874.0057294762038,2840.982573479782,9816.589105432146
2020-04-09,4133545.4091510605,1235.482418058543,1235.001743506988,1882.8617899145938,1127.4074024995837,7933.246640965996,957.640109013633,3118.3442079731367,11051.590848939133
2020-04-10,4132188.424435983,1357.5112433468028,1356.9847150774315,2065.2756433418376,1234.9558897891718,8985.788677327924,1052.542036361928,3422.78688668864,12408.575564016564
2020-04-11,4130700.4620913253,1488.5408782207458,1487.9623446575285,2267.6948126545044,1356.9327097835856,10140.302217798842,1154.5135404709188,3756.23569087525,13896.537908674092
2020-04-12,4129067.251789618,1633.8446764593666,1633.2103017074137,2487.933063071638,1487.9065034687928,11407.970470850501,1267.6682530516591,4121.777739531005,15529.748210381505
2020-04-13,4127276.132756518,1791.8153322921228,1791.1190330997235,2730.297397365184,1633.1483772669674,12798.754513823922,1390.7840429734213,4522.112729657307,17320.86724348123
2020-04-14,4125407.770693458,1884.4314751834745,1868.3620630599778,2979.774741746962,1775.745920168626,14325.023089610771,1526.2685757868485,4864.206216930436,19189.22930654121
2020-04-15,4123369.6125613814,2055.0581470767884,2038.1581320766518,3181.5768364624023,1867.5314601833377,15990.75245507867,1665.7293654678972,5236.63498353919,21227.387438617858
2020-04-16,4121194.4974711854,2193.5453244440196,2175.1150901961173,3439.665623249554,2036.6279128288863,17769.291581120404,1778.5391260417348,5633.210947693573,23402.502528813977
2020-04-17,4118844.1780106546,2369.9916796457537,2350.319460530981,3690.724914579513,2173.8731053292468,19692.105395119692,1922.8138139992877,6060.716594225267,25752.821989344957
2020-04-18,4116323.748255361,2541.6843859152086,2520.4297552938892,3976.3030328470436,2348.7370490244343,21755.264325876597,2063.158930756904,6517.987418762252,28273.25174463885
2020-04-19,4113609.9562525856,2736.5864130856376,2713.792002775017,4272.392527926304,2518.889975604588,23978.064806401926,2222.8004805253277,7008.978941011941,30987.043747413867
2020-04-20,4110696.00812443,2938.4904646845785,2913.9481281553,4596.118590081291,2712.044076556359,26366.382820803297,2388.3180144013727,7534.60905476587,33900.99187556917
2020-04-21,4107563.486004177,3158.875178767201,3132.52212025331,4938.971279722408,2912.1374061706874,28935.66753733287,2569.28471652957,8097.846458489609,37033.513995822475
2020-04-22,4104199.8550184364,3391.9605050716677,3363.6309857403653,5308.573509248933,3130.5456594358984,31696.610967242243,2760.9434299093737,8700.534014320601,40397.144981562844
2020-04-23,4100587.471139524,3642.8037610734473,3612.3838789124356,5702.55867932133,3361.540622910656,34664.1664200805,2967.5554528382595,9345.362440394776,44009.52886047528
2020-04-24,4096710.4032791452,3909.7373625686223,3877.067860379002,6124.89510994368,3610.134258883827,37851.96424834198,3187.797828261477,10034.632472512301,47886.596720854286
2020-04-25,4092550.133637333,4195.333065950634,4160.269641812289,6575.680154322017,3874.6739384302778,41275.85314239392,3423.888894051941,10771.01322027265,52046.86636266657
2020-04-26,4088088.208821039,4499.549528403996,4461.924816293818,7057.505436357847,4157.708353840456,44951.73621419854,3675.883071804626,11557.054964761843,56508.79117896038
2020-04-27,4083304.562764142,4823.999052230451,4783.6460568972125,7571.472859459565,4459.196533070758,48896.965324167584,3945.22910996904,12395.471911690016,61292.4372358576
2020-04-28,4078178.5497651827,5169.275732265216,5126.012998959723,8119.666192785921,4780.736318924957,53129.508309766185,4232.542985598601,13288.941925051138,66418.45023481733
2020-04-29,4072688.301661328,5536.607357860972,5490.248103854869,8703.59312071715,5122.916478259113,57668.49786009407,4538.989550327884,14240.200478578123,71908.69833867218
2020-04-30,4066811.144387898,5926.810841962495,5877.157273430051,9325.13529246708,5486.953789328528,62533.90947767266,4865.411617578598,15251.946134429574,77785.85561210224
2020-05-01,4060523.373542578,6340.923848467778,6287.770845320032,9985.932079739116,5873.657838814749,67746.77052921537,5212.861051542713,16326.855928206893,84073.62645742226
2020-05-02,4053800.4498508503,6779.790555588112,6722.923691727542,10687.734783931366,6284.0569846072085,73329.02480963033,5582.254280414959,17467.525339519478,90796.5501491498
2020-05-03,4046616.958155174,7244.294417131612,7183.491695676289,11432.152315649342,6718.9878341327885,79303.59511204514,5974.570302414813,18676.446732780954,97980.04184482609
2020-05-04,4038946.7410190576,7735.185635065437,7670.217136116431,12220.769716209368,7179.325918182606,85694.30362966772,6390.708517622579,19955.955351274806,105650.25898094253
2020-05-05,4030762.9553617756,8253.15658160724,8183.78565728179,13055.029444046097,7665.814710739987,92525.85861257097,6831.554982903258,21308.186025653336,113834.04463822431
2020-05-06,4022038.2117510955,8798.759817618284,8724.743610680294,13936.25376911274,8179.140374669251,99823.77466217357,7297.916049602608,22735.013586731024,122558.7882489046
2020-05-07,4012744.7011749344,9372.419878440789,9293.51057616124,14865.573402169415,8719.850515338734,107614.30554445564,7790.53088228206,24237.993280610204,131852.29882506584
2020-05-08,4002854.3718037535,9974.383388861457,9890.32937118071,15843.907701283691,9288.365860760041,115924.3371061014,8310.031561645765,25818.291090145147,141742.62819624654
2020-05-09,3992339.1205738042,10604.703794878662,10515.251229949252,16871.90650547572,9884.930823932047,124781.26912584143,8856.93201974002,27476.610300354383,152257.8794261958
2020-05-10,3981171.024437412,11263.20155973365,11168.096136392105,17949.909352740717,10509.598371537117,134212.86465011354,9431.59552427212,29213.110912474367,163425.9755625879
2020-05-11,3969322.598627156,11949.436793046254,11848.425810256058,19077.888048682158,11162.190576943454,144247.07653111554,10034.211881002013,31027.324841728412,175274.40137284395
2020-05-12,3956767.091700977,12662.67222441637,12555.506926179136,20255.394214563,11842.27149480902,154911.84186004373,10664.765328928177,32918.06643897937,187829.9082990231
2020-05-13,3943478.8124490282,13401.841009621006,13288.279251948912,21481.49946228012,12549.110466744276,166234.8470790709,11323.005219027154,34883.34047190113,201118.18755097204
2020-05-14,3929433.4916207683,14165.511621650097,14045.320828259752,22754.737107154935,13281.65021623066,178243.25965042674,12008.412571355848,36920.24872880503,215163.5083792318
