,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-04-07,844966.0,765.0,0.0,0.0,0.0,0.0,0.0,765.0,765.0
2020-04-08,844966.0,2.3600766469672863,0.0,762.6399233530327,762.6399233530327,0.0,0.0,765.0,765.0
2020-04-09,844239.0620067576,726.9452742381795,726.9379932423892,186.5876826584664,2.3527956511770114,578.4050363457433,578.4050363457433,913.5329568966459,1491.9379932423892
2020-04-10,844061.3621773267,179.94250467971642,177.6998294308893,769.7775545206557,724.7025989893524,719.9177634729064,141.51272712716306,949.7200592003721,1669.6378226732786
2020-04-11,843328.4062498098,733.5110622922024,732.9559275169195,365.34653154172815,179.38736990443354,1303.7361563562674,583.8183928833611,1098.8575938339304,2402.593750190198
2020-04-12,842980.8378254025,349.8313555554715,347.5684244072257,819.5067901729269,731.2481311439566,1580.8240288690254,277.0878725127578,1169.3381457283983,2750.1621745974235
2020-04-13,842201.530324651,780.386754101244,779.3075007514095,546.7246135651358,348.75210220563696,2202.3583076824534,621.534278813428,1327.11136766638,3529.4696753488333
2020-04-14,841833.1555818039,374.45851526180047,368.37474284717905,906.378085965749,774.3029816866226,2617.007816968463,414.64950928600933,1280.8366012275496,3897.8444181960126
2020-04-15,841222.7189092212,613.3558922818972,610.4366725826936,590.4977570074268,371.5392955625969,3304.427441489382,687.4196245209191,1203.853649289324,4508.281090778706
2020-04-16,840825.312891945,402.18764335867127,397.4060172762198,751.223876073018,608.5742661994458,3752.2755886232367,447.8481471338546,1153.4115194316892,4905.687108054926
2020-04-17,840319.9767581262,508.4715254401051,505.33613381882486,580.5293049147174,399.05225173739103,4322.0224115189285,569.7468228956916,1089.0008303548225,5411.0232418737505
2020-04-18,839929.6987957411,394.24192643738087,390.27796238515185,644.749040518878,504.5075613878761,4762.310237302644,440.28782578371545,1038.990966956259,5801.301204258903
2020-04-19,839335.0396363373,595.7055153625505,594.6591594038126,548.9509446607353,393.195570478643,5251.303903639429,488.99366633678574,1144.656460023286,6395.960363662715
2020-04-20,838829.0945747674,507.526121253912,505.94506156986125,726.7373863227019,594.1244556784998,5667.641917655963,416.3380140165332,1234.2635075766138,6901.905425232577
2020-04-21,838159.6949592463,670.746638619228,669.3996155210302,681.7408228349988,506.1790981557142,6218.817579299381,551.1756616434174,1352.4874614542268,7571.3050407536075
2020-04-22,837532.2429074661,629.2322778167103,627.4520517802131,833.6580837334436,668.9664125827308,6735.8667309836665,517.0491516842859,1462.890361550154,8198.75709253382
2020-04-23,836765.5455409441,768.3674094555432,766.6973665220748,828.9533477220157,627.5622348832419,7368.133701878336,632.2669708946698,1597.3207571775588,8965.454459055894
2020-04-24,836003.8729112019,763.711950685625,761.6726297421395,966.5826538387978,766.3280885120578,7996.832484273612,628.6987823952757,1730.2946045244228,9727.127088798035
2020-04-25,835116.549874253,889.3500018574819,887.3230369489534,995.1873773516887,761.6849857770965,8729.912746537817,733.0802622642055,1884.5373792091705,10614.450125746987
2020-04-26,834203.937359948,914.972934675039,912.6125143050992,1127.4021646779915,886.9895814875421,9484.687540699057,754.7747941612391,2042.3750993530307,11527.062640052087
2020-04-27,833171.210268014,1035.1555180298794,1032.7270919339219,1184.8969045932015,912.5445085790815,10339.737309362928,855.0497686638715,2220.052422623081,12559.78973198601
2020-04-28,832087.1603269243,1086.7973433111808,1084.0499410896593,1318.6498147391426,1032.408115808358,11238.392515025345,898.6552056624168,2405.447158050323,13643.839673075669
2020-04-29,830882.3109173046,1207.7338742081483,1204.8494096196396,1402.4659627948122,1083.912878722672,12238.489245692348,1000.0967306670025,2610.1998370029605,14848.68908269531
2020-04-30,829602.7342461371,1282.7821129308322,1279.5766711675296,1543.3294186967337,1204.5284324448457,13302.154222235273,1063.6649765429243,2826.111531627566,16128.26575386284
2020-05-01,828196.8055997296,1409.3332734082828,1405.9286464074032,1652.2075887896442,1279.3774859299526,14472.653538072314,1170.499315837042,3061.540862197927,17534.19440027024
2020-05-02,826694.2427939993,1506.3033116724732,1502.5628057303368,1804.725135327171,1405.5927674661464,15725.728759000935,1253.0752209286195,3311.028446999644,19036.757206000577
2020-05-03,825055.9540377264,1642.2866300152157,1638.2887562728718,1938.282261598594,1502.3054379301293,17094.47707065964,1368.7483116587064,3580.5688916138097,20675.04596227345
2020-05-04,823299.9120554596,1760.400768803755,1756.0419822667657,2106.1687557606874,1637.9278434782264,18564.51841997577,1470.0413493161327,3866.5695245644424,22431.087944540213
2020-05-05,821395.8298016678,1908.7545266036263,1904.082253791726,2264.526620577094,1755.7284959918547,20161.889051151218,1597.3706311754481,4173.28114718072,24335.170198331936
2020-05-06,819353.3188468895,2047.576972719953,2042.5109547783102,2450.7419650726206,1903.6885086619836,21879.362215317677,1717.4731641664569,4498.318937792574,26377.68115311025
2020-05-07,817148.3458507061,2210.4074622377293,2204.972996183495,2634.1809709439226,2042.1425066657184,23738.065716112094,1858.7035007944164,4844.588433181652,28582.654149293747
2020-05-08,814784.7077361735,2369.5047483537473,2363.638114532602,2840.8936060221595,2204.5408284165837,25735.893909450442,1997.828193338347,5210.398354375907,30946.292263826348
2020-05-09,812242.960797448,2548.0358320330984,2541.7469387256247,3049.505277456882,2363.2158550462736,27890.498093061993,2154.604183611551,5597.541109489981,33488.039202551976
2020-05-10,809523.0803434891,2726.643185918995,2719.8804539589055,3277.9579273638137,2541.2731000730087,30203.31854322807,2312.820450166077,6004.601113282809,36207.91965651088
2020-05-11,806609.2310831139,2921.0860334163326,2913.8492603751693,3511.279733261249,2719.406412877832,32689.403150208465,2486.0846069803965,6432.365766677582,39121.768916886045
2020-05-12,803499.2117542501,3117.772171907908,3110.0193288638625,3761.5712711486008,2913.333190372287,35352.4448026934,2663.041652484935,6879.3434430565085,42231.78824574991
2020-05-13,800180.3495568447,3327.1370643622054,3318.8621974054026,4018.1996124083653,3109.4973049511054,38205.31376638474,2852.868963691341,7345.33667677057,45550.650443155304
2020-05-14,796649.7061204287,3539.473977916925,3530.6434364159413,4289.003871499895,3318.3065228612218,41252.81603015443,3047.5022637696925,7828.4778494168195,49081.29387957125
2020-05-15,792897.7451758415,3761.3550486620015,3751.96094458723,4566.196813754605,3530.0798738421536,44505.702961741874,3252.886931587444,8327.551862416607,52833.25482415848
2020-05-16,788922.112238663,3985.615934937422,3975.632937178503,4854.451929460269,3751.3720509030827,47968.81989693929,3463.116935197419,8840.06786439769,56808.887761336984
2020-05-17,784716.6977733031,4215.992673062088,4205.414465359908,5147.752891128417,3975.0377272352416,51650.55666250638,3681.736765567093,9363.745564190505,61014.302226696884
2020-05-18,780280.9682578506,4446.919165156448,4435.729515452475,5448.372423801726,4204.803023358116,55554.74015319119,3904.183490684807,9895.291588958175,65450.03174214937
2020-05-19,775612.7379826158,4680.032826040428,4668.230275234797,5751.30823655112,4435.116614350817,59686.920954792615,4132.180801601423,10431.341062591548,70118.26201738416
2020-05-20,770714.4304595931,4910.728779886224,4898.307523022784,6056.9849689414195,4667.611569176987,64048.855791579306,4361.934836786688,10967.713748827644,75016.56954040696
2020-05-21,765588.3613507727,5139.102654914881,5126.0691088204485,6360.912549312801,4897.695233791792,68642.62344499971,4593.76765342041,11500.015204227682,80142.63864922739
