,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-03-22,14872239.0,825.0,0.0,0.0,0.0,0.0,0.0,825.0,825.0
2020-03-23,14872239.0,5.1187529214533924,0.0,819.8812470785466,819.8812470785466,0.0,0.0,825.0,825.0
2020-03-24,14871884.238110399,354.79364915522245,354.7618896019244,341.41658491587987,5.086993368155347,483.5516555308221,483.5516555308221,696.2102340711024,1179.7618896019244
2020-03-25,14871736.510980394,149.92846458448943,147.72713000494227,492.6473542067696,352.5923145756753,684.9132008156076,201.36154528478554,642.575818791259,1327.4890196068668
2020-03-26,14871386.59702163,350.03371738138844,349.9139587639222,351.9012455974074,149.80870596702323,975.468015391993,290.5548145763854,701.9349629787959,1677.4029783707888
2020-03-27,14871136.657060178,250.21955848604142,249.93996145170695,494.11015070954966,349.75412034705397,1183.0132306269047,207.5452152349117,744.329709195591,1927.3429398224957
2020-03-28,14870785.718272759,351.1386557255054,350.9387874185075,452.71229445543656,250.01969017904358,1474.4307770600612,291.41754643315664,803.8509501809419,2278.281727241003
2020-03-29,14870464.189653648,321.80909873838186,321.52861911054623,536.5686574940606,350.85817609766974,1741.4325901191069,267.0018130590457,858.3777562324425,2599.8103463515495
2020-03-30,14870083.112197993,381.3345076617428,381.07745565457554,541.661871239738,321.5520467312146,2057.8914231046438,316.45883298553713,922.9963789014809,2980.8878020061247
2020-03-31,14869698.427339599,384.98945761436073,384.6848583939506,603.2290580867011,381.0299084413327,2377.3541446990134,319.4627215943696,988.2185157010618,3365.572660400075
2020-04-01,14869270.028934686,428.7059236040946,428.39840491302596,632.1370227405489,384.6819389232921,2733.128118968458,355.77397426944435,1060.8429463446435,3793.9710653131015
2020-04-02,14868821.11373967,449.25763318309146,448.9151950153114,687.6771206951964,428.36348543631453,3105.9515064501247,372.823387481667,1136.934753878288,4242.886260328412
2020-04-03,14868333.798705276,489.6848011886051,487.3150343933598,728.9850188038386,446.88786638784615,3511.5314747293287,405.579968279204,1218.6698199924435,4730.201294721772
2020-04-04,14867817.228201611,519.1535177230062,516.5705036654128,786.144160026286,487.1017871310117,3941.474120637893,429.9426459085642,1305.2976777492922,5246.771798387185
2020-04-05,14867260.173166007,559.7934927331416,557.0550356050612,838.9051104422779,516.4150605949258,4405.1282308168265,463.6541101789339,1398.6986031754195,5803.826833992246
2020-04-06,14866665.754443707,597.3715492160431,594.4187223005064,900.9741780155239,556.8406658176049,4899.899829061185,494.77159824435887,1498.345727231567,6398.245556292753
2020-04-07,14866027.38128254,641.5242067073265,638.3731611664275,963.8158302748969,594.2205036751442,5431.278680476957,531.3788514157711,1605.3400369822234,7036.61871745918
2020-04-08,14865344.511835717,686.2533910257381,682.8694468228769,1033.5143312231412,638.1402625044652,5999.720442033177,568.441761556221,1719.7677222488792,7719.4881642820565
2020-04-09,14864612.294207953,735.8375117219343,732.21762776436,1106.5991168654296,682.6335070681638,6609.269163459053,609.5487214258754,1842.4366285873639,8451.705792046418
2020-04-10,14863828.33655543,787.8390852969875,783.957652521723,1185.902342882582,731.9560789466699,7261.92201638857,652.6528529295175,1973.7414281795695,9235.66344456814
2020-04-11,14862988.241736475,844.2505522513368,840.0948189561557,1270.161182807683,783.6833520018064,7961.346528465276,699.4245120767052,2114.4117350590195,10075.758263524294
2020-04-12,14862088.508696944,904.1863348743512,899.7330395315042,1360.8395338671144,839.7972569084898,8710.465434314334,749.1189058490583,2265.0258687414657,10975.4913030558
2020-04-13,14861124.600975674,968.6771688977734,963.907721269431,1457.657005822199,899.4168872460089,9513.064849605258,802.5994152909243,2426.3341747199725,11939.39902432523
