,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-03-12,212559299.1098901,109.89010989010988,0.0,0.0,0.0,0.0,0.0,109.89010989010988,109.89010989010988
2020-03-13,212559299.1098901,0.270102439726017,0.0,109.62000745038387,109.62000745038387,0.0,0.0,109.89010989010988,109.89010989010988
2020-03-14,212559236.39538833,62.71516565215247,62.71450175866816,52.51138772485205,0.2694385462417089,57.378058271773526,57.378058271773526,115.22655337700452,172.60461164877805
2020-03-15,212559206.3532033,30.196334649314302,30.042185024135048,87.58653201283641,62.56101602697322,84.86393001076237,27.485871738988855,117.78286666215072,202.6467966729131
2020-03-16,212559156.2442547,50.183169144018805,50.108948600716786,71.86350110798246,30.12211410601228,130.70907502162862,45.84514501086623,122.04667025200126,252.75574527362988
2020-03-17,212559115.1305863,41.23701523769767,41.11366841028493,84.30803539376254,50.059822316606066,168.3243630524546,37.61528803082598,125.54505063146021,293.8694136839148
2020-03-18,212559066.89731228,48.3346318087769,48.233274021130136,81.31460108297256,41.13565745005091,212.45345481329548,44.129091760840886,129.64923289174945,342.1026877050449
2020-03-19,212559020.37661555,46.63949997221078,46.52069672424002,86.96818185888786,48.21582856080614,255.01570259818632,42.562247784890836,133.60768183109863,388.62338442928495
2020-03-20,212558970.62147352,49.869778776690104,49.755142047846235,87.97156118201269,46.52486324336691,300.53718651842837,45.52148392024207,137.8413399587028,438.3785264771312
2020-03-21,212558920.2923025,50.45174755679685,50.32917102165961,91.6720837967185,49.74720224155286,346.5838661452754,46.04667962684706,142.12383135351536,488.70769749879076
2020-03-22,212558828.62042946,91.88656376517834,91.67187302809994,93.92550799021421,50.237056819718454,394.56749877149815,47.98363262622274,185.81207175539254,580.3795705268907
2020-03-23,212558734.6951779,94.31626264847768,93.92525153275488,136.25792522291908,91.49555264945555,443.7306341882488,49.163135416750684,230.57418787139676,674.3048220596456
2020-03-24,212558598.43768495,136.6588433481076,136.2574929702305,158.85177708426647,93.91491227060055,515.051694597502,71.32106040925318,295.5106204323741,810.5623150298761
2020-03-25,212558439.58651364,159.43270495588868,158.85117132766982,211.7817970519513,136.07730971988875,598.1989843497059,83.14728975220392,371.21450200784,969.4134863575459
