,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-03-20,9131058.0,1020.0,0.0,0.0,0.0,0.0,0.0,1020.0,1020.0
2020-03-21,9131058.0,6.11639071287766,0.0,1013.8836092871223,1013.8836092871223,0.0,0.0,1020.0,1020.0
2020-03-22,9130843.093376564,214.943300136892,214.90662343556593,658.6156969395315,6.079714011551605,361.34762635914245,361.34762635914245,873.5589970764236,1234.906623435566
2020-03-23,9130703.493975805,140.8882999787347,139.59940075838904,637.5397830625425,213.65440091654634,596.0779411526778,234.73031479353537,778.4280830412772,1374.506024193955
2020-03-24,9130186.988554686,516.7177232429977,516.5054211180615,550.9969116013989,140.67599785379844,823.2968104676198,227.218869314942,1067.7146348443966,1891.0114453120163
2020-03-25,9129740.6214407,447.1457469226336,446.3671139868024,870.5609699871252,515.9390903071666,1019.6718423890601,196.3750319214403,1317.7067169097588,2337.378559298819
2020-03-26,9129035.407342914,705.8878939209219,705.2140977842505,1006.7654135126206,446.4719507859621,1329.9393496495268,310.26750726046663,1712.6533074335425,3042.5926570830693
2020-03-27,9128219.921299512,816.5497335734481,815.4860434028036,1352.778912423657,704.8242037502774,1688.7500544887678,358.810704839241,2169.328645997105,3858.078700485873
2020-03-28,9127124.260122644,1096.8916214370875,1095.6611768680216,1685.9684534812404,815.3192890043821,2170.8798024355665,482.1297479467986,2782.860074918328,4953.739877353894
2020-03-29,9126350.670683816,778.4132387846839,773.5894388273528,2177.157936262738,1092.0678214797563,2771.758141133825,600.8783386982587,2955.571175047422,5727.329316181247
2020-03-30,9125351.78862741,1002.3052840752514,998.8820564065815,2176.2099153686886,774.990011116014,3547.6961731438882,775.9380320100632,3178.51519944394,6726.211372587828
2020-03-31,9124353.45080422,1002.745660840219,998.3378231905698,2398.507203970836,997.8974464256022,4323.296330967343,775.6001578234547,3401.252864811055,7724.549195778398
2020-04-01,9123253.254321756,1104.6062567595989,1100.1964824651814,2542.0162869059627,998.3358865458015,5178.123134578018,854.8268036106749,3646.6225436655614,8824.74567824358
2020-04-02,9122087.370746361,1170.7413020018673,1165.883575395073,2735.791445928329,1099.7485301528045,6084.096505708456,905.9733711304384,3906.532747930196,9990.629253638652
2020-04-03,9120832.773472507,1259.7458425298541,1254.5972738542691,2926.349435478717,1165.5927333262823,7059.13124948435,975.034743775894,4186.095278008572,11245.226527492921
2020-04-04,9119490.973428296,1347.3400281273564,1341.8000442103653,3137.6057753089,1254.205858612863,8102.080768267029,1042.9495187826801,4484.945803436256,12587.026571703285
2020-04-05,9118052.51903108,1444.379594056915,1438.454397215976,3360.779430810084,1341.4148312864174,9220.321944052263,1118.2411757852335,4805.159024866999,14025.480968919263
2020-04-06,9116511.992349828,1546.8786289634227,1540.526681252259,3601.026918845825,1438.0276463457515,10418.102102362272,1197.78015831001,5147.905547809248,15566.00765017152
2020-04-07,9114861.619007312,1657.1760502015434,1650.373342515059,3857.698593657801,1540.0759212769383,11701.506348827235,1283.4042464649622,5514.874643859344,17216.38099268658
2020-04-08,9113093.931482416,1774.97528751869,1767.687524895634,4132.704974419222,1649.8882875784873,13076.388255644302,1374.8819068170667,5907.680261937912,18984.068517582215
2020-04-09,9111200.59687029,1901.1404204187495,1893.3346121247823,4426.980406171376,1767.1694792247229,14549.282303116872,1472.8940474725691,6328.120826590125,20877.403129706996
2020-04-10,9109172.865907095,2036.0916078554258,2027.730963194031,4741.98651337794,1892.7797757573546,16127.055971667662,1577.7736685507903,6778.078121233366,22905.134092901026
2020-04-11,9107001.333160255,2180.48686629904,2171.532746840795,5079.082309473795,2027.137488397181,17817.097663968987,1690.041692301326,7259.569175772835,25076.66683974182
2020-04-12,9104675.986128103,2334.9361585959236,2325.3470321525706,5439.797578876581,2170.8977398556867,19627.28013442189,1810.1824704529015,7774.733737472505,27402.013871894393
2020-04-13,9102186.129391981,2500.1250841711003,2489.856736120953,5825.724171992728,2324.6678105457763,21566.02135185152,1938.7412174296296,8325.849256163829,29891.87060801535
2020-04-14,9099520.358907245,2676.7652840758046,2665.77048473679,6238.5691888809015,2489.1302848320856,23642.306619795432,2076.2852679439115,8915.334472956707,32557.64109275214
2020-04-15,9096666.512330625,2865.6181865143526,2853.8465766207573,6680.139831434833,2664.9936741822094,25865.72965142371,2223.4230316282783,9545.758017949185,35411.487669372895
2020-04-16,9093611.626728522,3067.487730349614,3054.885602103138,7152.357295342004,2853.0160582678764,28246.528245784415,2380.798594360705,10219.845025691619,38466.37327147603
2020-04-17,9090341.8904316,3283.2261868021706,3269.7362969228143,7657.25846646032,3053.997840470258,30795.62491513636,2549.096669351942,10940.48465326249,41736.10956839885
2020-04-18,9086842.594685435,3513.7343889900835,3499.2957461649557,8197.002808704023,3268.787543977043,33524.6681168697,2729.043201733341,11710.737197694107,45235.40531456381
2020-04-19,9083098.082797822,3759.9642362904606,3744.511887613134,8773.87702562073,3498.282040312757,36446.07594026575,2921.4078233960495,12533.841261911191,48979.91720217694
2020-04-20,9079091.697886327,4022.9201050983593,4006.3849114947993,9390.300553932822,3743.4290426869006,39573.08145464056,3127.0055143748073,13413.220659031182,52986.30211367174
2020-04-21,9074805.728940837,4303.6605400405,4285.968945490898,10048.83050373815,4005.228510548757,42919.78001538399,3346.69856074343,14352.49104377865,57272.27105916264
2020-04-22,9070221.355560143,4603.299587371994,4584.373380695151,10752.166521801864,4284.734333363657,46501.178330683935,3581.398315299944,15355.466109173858,61856.644439857795
2020-04-23,9065318.59151565,4923.00797371877,4902.764044492603,11503.155249106254,4583.055658145827,50333.24526152537,3832.0669308414363,16426.163222825024,66759.4084843504
2020-04-24,9060076.227458267,5264.013968083532,5242.364057381823,12304.794363290664,4901.358063017061,54432.96421035802,4099.71894883265,17568.808331374195,72001.7725417322
