,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-03-20,3013963.0,1305.0,0.0,0.0,0.0,0.0,0.0,1305.0,1305.0
2020-03-21,3013963.0,5.57526937637499,0.0,1299.424730623625,1299.424730623625,0.0,0.0,1305.0,1305.0
2020-03-22,3013225.32545114,737.6983677325403,737.6745488600352,464.24204335447337,5.551450503869899,840.7341377730215,840.7341377730215,1201.9404110870137,2042.6745488600352
2020-03-23,3012961.8429161035,266.634157349537,263.48253503641746,898.4219226990176,734.5467454194207,1141.101003847898,300.3668660748765,1165.0560800485546,2306.1570838964526
2020-03-24,3012451.984341318,510.9976991171238,509.85857478596176,582.6335902898038,265.495033018375,1722.3843692754867,581.2833654275888,1093.6312894069276,2816.015658682414
2020-03-25,3012121.3930508154,332.7743938151574,330.5912905022947,714.4814117778549,508.8145958042611,2099.3511435916967,376.9667743162101,1047.2558055930122,3146.606949184709
2020-03-26,3011716.0346664307,406.78007548611174,405.3583843849015,583.5611566748294,331.35270271394717,2561.624101408669,462.2729578169726,990.3412321609411,3551.9653335696103
2020-03-27,3011384.997959686,332.7745676623689,331.03670674453195,611.0364569522089,405.0422145682748,2939.191015699564,377.5669142908952,943.8110246145778,3883.002040314142
2020-03-28,3011038.413440272,348.0062112575049,346.58451941357816,547.0457652082181,331.35287581844216,3334.534583261997,395.343567562433,895.051976465723,4229.58655972772
2020-03-29,3010728.160638787,311.73956652180357,310.25280148547233,539.623933496358,346.51944622117367,3688.4758611950306,353.9412779330338,851.3635000181615,4539.839361213192
2020-03-30,3010376.218198667,353.07972211705675,351.9424401201722,501.0869014007484,310.602284524919,4037.615177815559,349.1393166205286,854.1666235178052,4891.7818013333645
2020-03-31,3010049.447792877,328.058504108259,326.7704057898165,528.6728562828333,351.79162379861424,4361.820846732088,324.2056689165293,856.7313603910923,5218.552207123181
2020-04-01,3009704.7253682464,345.9192410462872,344.72242463055284,513.480627718404,326.86168769252464,4703.874762989042,342.053916256954,859.3998687646912,5563.274631753733
2020-04-02,3009369.947417732,336.0399261102995,334.77795051442854,525.9134228828046,344.6572654504162,5036.0992332750575,332.22447028601556,861.9533489931041,5898.052582268161
2020-04-03,3009027.1017011893,344.0716506211189,342.84571654267097,520.4588655247787,334.81399203185157,5376.367782664935,340.26854938987753,864.5305161458976,6240.898298810832
2020-04-04,3008687.8504931377,340.5064433055034,339.2512080517443,526.5358567137941,342.8164153673598,5713.107206843279,336.73942417834445,867.0423000192975,6580.149506862576
2020-04-05,3008344.676809317,344.4159125573336,343.17368382097123,525.1288041689102,339.264214569141,6053.7784739573035,340.671267114025,869.5447167262438,6923.323190683547
2020-04-06,3008002.459220622,343.47407987796794,342.217588694759,528.5273282874907,343.1594213741247,6393.539371212848,339.76089725554414,872.0014081654587,7265.540779378307
2020-04-07,3007658.0660523386,345.64622349208673,344.3931682838561,528.7885940229744,342.2210246697373,6735.499130147102,341.9597589342536,874.4348175150611,7609.933947662163
2020-04-08,3007313.542090811,345.7849411064137,344.5239615276755,531.0450387970657,344.3852439133485,7077.627929286359,342.1287991392573,876.8299799034794,7954.457909189839
2020-04-09,3006967.5876111314,347.215965325129,345.954479679589,531.9797643455718,344.5234554608737,7421.216659198727,343.5887299123677,879.1957296707008,8300.412388869428
2020-04-10,3006621.064063223,347.79025418751485,346.5235479082927,533.73552149074,345.94925904590684,7765.410161099466,344.1935019007387,881.5257756782548,8646.935936777722
2020-04-11,3006273.436906987,348.89595762425097,347.62715623598797,534.9274889538191,346.52145279925185,8110.739646435639,345.32948533617275,883.82344657807,8994.563093013709
2020-04-12,3005925.0736933053,349.63604887462907,348.363213681397,536.4499172870433,347.6231224310189,8456.840340533434,346.10069409779476,886.0859661616723,9342.926306695106
2020-04-13,3005575.759504616,350.5897238687105,349.31418868951096,537.7247183284742,348.3605136954295,8803.926053187432,347.0857126539986,888.3144421971847,9692.240495384616
2020-04-14,3005168.2539584916,410.1292502795269,407.5055461239736,537.7802228968527,347.9660197131572,9151.83656833221,347.9105151447787,947.9094731763796,10099.74604150859
