,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-03-27,4017840.0,810.0,0.0,0.0,0.0,0.0,0.0,810.0,810.0
2020-03-28,4017840.0,0.1594443408924917,0.0,809.8405556591075,809.8405556591075,0.0,0.0,810.0,810.0
2020-03-29,4017490.75549375,349.2445376360524,349.24450625025264,357.9481376472766,0.159412955092686,452.0518309669236,452.0518309669236,707.192675283329,1159.2445062502525
2020-03-30,4017336.403438523,154.42080222090087,154.35205522693335,507.31779375593095,349.1757906420849,651.8579655003541,199.80613453343057,661.7385959768318,1313.5965614771858
2020-03-31,4017117.649581794,218.78425367082923,218.75385672881663,378.5241377441124,154.39040527888827,935.0420267910608,283.1840612907068,597.3083914149416,1532.3504182060024
2020-04-01,4016954.440037097,163.25261125435034,163.2095446974069,385.9736967261641,218.7411871138858,1146.333654922895,211.29162813183407,549.2263079805144,1695.5599629034095
2020-04-02,4016788.025202085,166.44697045052175,166.41483501224963,333.7442113234813,163.22047581607822,1361.783616141656,215.44996121876102,500.19118177400304,1861.974797915659
2020-04-03,4016644.135378975,143.9225873411143,143.8898231096365,313.8628797985519,166.41420621904393,1548.0791538856292,186.29553774397334,457.7854671396662,2005.8646210252955
2020-04-04,4016508.8220014353,135.34170796178236,135.31337753946366,282.55932957614715,143.8942569187956,1723.2769610268297,175.19780714120034,417.9010375379295,2141.177998564759
2020-04-05,4016236.7093643243,272.32120113704013,272.11263711086855,259.9682629877165,135.13314393561075,1881.001171550871,157.72421052404138,532.2894641247567,2413.2906356756275
2020-04-06,4015986.3695254787,250.75949075491775,250.339838845862,386.7559025014087,271.9015492279844,2026.1150812651633,145.11390971429222,637.5153932563264,2663.6304745214898
2020-04-07,4015613.9610853563,372.794865044685,372.4084401223148,421.24238097882636,250.3730658325475,2242.001668620293,215.88658735512982,794.0372460235114,3036.0389146438047
2020-04-08,4015208.3831230868,406.15244591646183,405.57796226939735,558.325872439681,372.22038139762054,2477.138558557059,235.13688993676584,964.4783183561428,3441.616876913202
2020-04-09,4014670.8735825345,538.1354288362681,537.5095405521946,652.1957327767016,405.5265576323883,2788.7952558524266,311.6566972953677,1190.3311616129697,3979.126417465396
2020-04-10,4014043.078030012,628.6248289762725,627.795552522222,825.4471671155987,537.3061523822176,3152.849973895747,364.05471804332046,1454.0719960918714,4606.9219699876185
2020-04-11,4013248.637038256,795.4097140167365,794.4409917561917,992.3398548427899,627.6561067157277,3613.6133928842837,460.76341898853656,1787.7495688595263,5401.36296174381
2020-04-12,4012293.761351301,956.1014277479438,954.8756869551781,1232.6011513269675,794.1839732239708,4167.536069624077,553.9226767397932,2188.7025790749112,6356.238648698988
2020-04-13,4011107.9772418495,1187.2574790889437,1185.7841094514345,1499.193023282457,954.6280581104346,4855.572255779021,688.036186154945,2686.450502371401,7542.022758150422
2020-04-14,4009666.153275504,1443.6535516501576,1441.8239663458914,1847.7735322185208,1185.4278937846775,5692.419640627635,836.8473848486138,3291.4270838686784,8983.846724496314
2020-04-15,4008492.9529291373,1180.9103279332778,1173.2003463663546,2252.292579764992,1435.9435700832344,6723.844163164398,1031.4245225367633,3433.20290769827,10157.047070862667
2020-04-16,4007063.3311472307,1435.928556028404,1429.6217819064912,2169.669661721866,1174.603553811365,7981.070635018889,1257.2264718544911,3605.59821775027,11586.668852769159
2020-04-17,4005686.6446625697,1384.3552100871902,1376.686484660828,2386.823014238841,1428.2598306020418,9192.177113103957,1211.1064780850668,3771.1782243260313,12963.355337429988
2020-04-18,4004172.6915846034,1521.3463705882639,1513.9530779664667,2431.4637652216334,1376.961917465393,10524.498279586558,1332.3211664826008,3952.8101358098975,14477.308415396456
2020-04-19,4002631.005943989,1549.8105487412681,1541.68564061443,2587.4456583414094,1513.2214624614257,11881.737848928207,1357.2395693416497,4137.256207082677,16018.994056010884
2020-04-20,4000991.050613457,1648.23225455526,1639.9553305319303,2684.670845790858,1541.5336247179384,13326.046286196697,1444.30843726849,4332.903100346118,17658.949386542816
2020-04-21,3999290.169915824,1709.6832529870567,1700.8806976328972,2825.5211482173036,1639.4296992011004,14824.625682971353,1498.5793967746552,4535.204401204361,19359.830084175715
2020-04-22,3997500.81412171,1798.4865349005813,1789.3557941139566,2948.871827832492,1700.552512200432,16401.827515556597,1577.2018325852437,4747.358362733074,21149.18587828967
2020-04-23,3995634.177924185,1876.2412014518402,1866.6361975251061,3091.697354642002,1788.8815309738472,18047.883519720934,1646.0560041643369,4967.938556093843,23015.822075814776
2020-04-24,3993678.046995801,1966.1511891743712,1956.1309283841279,3232.137287924886,1866.2209406615968,19773.664527099645,1725.781007378713,5198.288477099257,24971.953004198902
2020-04-25,3991634.060243876,2054.487186332295,2043.9867519247525,3383.613666966895,1955.6507547668284,21577.838902824464,1804.1743757248198,5438.10085329919,27015.939756123655
2020-04-26,3989495.375771595,2149.6566742461123,2138.6844722811766,3538.400379147124,2043.5149843673594,23466.567175011594,1888.72827218713,5688.057053393237,29154.62422840483
2020-04-27,3987260.053398404,2246.802837680154,2235.3223731914914,3701.446597068476,2138.1762097574497,25441.69716684769,1975.129991836098,5948.24943474863,31389.94660159632
2020-04-28,3984923.0396046713,2349.0130773856267,2337.013793732548,3870.1079954099996,2234.8035540270753,27507.839322533244,2066.1421556855516,6219.121072795626,33726.96039532887
2020-04-29,3982480.9688170785,2454.615935634973,2442.0707875927687,4046.28721960089,2336.4679293434224,29668.128027685776,2160.288705152532,6500.903155235863,36169.03118292164
2020-04-30,3979929.2921497896,2564.7857983514464,2551.67666728881,4229.162329999843,2441.506804572337,31926.75972185916,2258.631694173384,6793.948128351289,38720.70785021045
2020-05-01,3977263.9992787605,2678.9903756735102,2665.292871029274,4419.538306482082,2551.08829370721,34287.47203908413,2360.712317224971,7098.528682155592,41386.000721239725
2020-05-02,3974480.593351622,2797.713353176249,2783.4059271384726,4617.2413432043695,2664.682949635734,36754.45195199758,2466.9799129134462,7414.954696380619,44169.4066483782
2020-05-03,3971574.709961801,2920.8248682376966,2905.883389821446,4822.675754896752,2782.7718747599984,39331.7894150652,2577.337463067616,7743.500623134449,47075.290038199644
2020-05-04,3968541.7545451443,3048.554384891635,3032.955416656782,5035.89099931253,2905.2259000028434,42023.800070652265,2692.0106555870652,8084.445384204165,50108.24545485643
2020-05-05,3965377.1277466547,3180.9079194597916,3164.626798489728,5257.137165515698,3032.2732639215715,44834.82716837067,2811.027097718403,8438.045084975489,53272.872253346155
2020-05-06,3962076.101087045,3318.0146283624204,3301.0266596097495,5486.530727406114,3163.9199507071207,47769.35355718737,2934.5263888167046,8804.545355768534,56573.898912955905
2020-05-07,3958633.903032565,3459.91825583576,3442.198054479822,5724.251609967596,3300.2944270064822,50831.92710163238,3062.573544445,9184.169865803357,60016.09696743573
2020-05-08,3955045.681229345,3606.6998556206163,3588.2218032201195,5970.422814932925,3441.4402034352634,54027.19610010231,3195.268998469935,9577.122670553541,63604.31877065585
2020-05-09,3951306.5404368453,3758.402747262216,3739.140792499957,6225.179305509813,3587.4379008583574,57359.877510383776,3332.6814102814687,9983.58205277203,67343.4595631558
2020-05-10,3947411.537276046,3915.075300593365,3895.0031607996148,6488.623796830651,3738.330607468466,60834.76362653141,3474.886116147628,10403.699097424016,71238.46272395542
2020-05-11,3943355.7027571783,4076.743384686547,4055.8345188674666,6760.849780097664,3894.1664347742844,64456.70407803868,3621.940451507272,10837.593164784212,75294.2972428229
2020-05-12,3939134.0504131326,4243.4246150405115,4221.652344045797,7041.92429077476,4054.971113691832,68230.60068105342,3773.896603014736,11285.348905815272,79515.9495868687
2020-05-13,3934741.5952412994,4415.117621231279,4392.455171833227,7331.894466647862,4220.762165642459,72161.39267082278,3930.7919897693578,11747.012087879142,83908.40475870192
2020-05-14,3930173.368542993,4591.80609201667,4568.226698306467,7630.779770153638,4391.538227521077,76254.04559483808,4092.6529240153004,12222.585862170308,88476.63145700839
2020-05-15,3925424.437600974,4773.453958838444,4748.930942019161,7938.572575694364,4567.283075197387,80513.53586449474,4259.490269656661,12712.026534532808,93225.56239902755
2020-05-16,3920489.924942477,4960.005784594247,4934.51265849683,8255.233638339607,4747.960832741027,84944.83563459052,4431.299770095783,13215.239422933853,98160.07505752437
2020-05-17,3915365.0303509734,5151.384016980604,5124.8945915035965,8580.690478587789,4933.5163591172395,89552.89515345958,4608.059518869059,13732.074495568393,103284.96964902797
