,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-03-28,7017514.0,840.0,0.0,0.0,0.0,0.0,0.0,840.0,840.0
2020-03-29,7017514.0,8.257172620316965,0.0,831.742827379683,831.742827379683,0.0,0.0,840.0,840.0
2020-03-30,7017237.700757033,276.3804107049258,276.29924296720947,374.9925320444768,8.17600488260064,464.9263002178069,464.9263002178069,651.3729427494026,1116.2992429672095
2020-03-31,7017113.135723361,127.28184410116535,124.56503367251689,439.0433953140548,273.66360027627735,674.5390372245062,209.6127370066993,566.3252394152202,1240.8642766397263
2020-04-01,7016967.296860346,147.09003939386616,145.8388630150857,319.6582750079518,126.03066772238488,919.954825252994,245.41578802848792,466.74831440181794,1386.703139654812
2020-04-02,7016861.11685402,107.62589661821758,106.18000632535521,286.6203432527167,145.6441491010038,1098.636906109233,178.68208085623888,394.24623987093423,1492.8831459801672
2020-04-03,7016765.912406882,96.26240619402411,95.20444713831814,232.97369119807894,106.56793756251162,1258.8514957263824,160.21458961714936,329.23609739210303,1588.0875931184855
2020-04-04,7016605.678238881,160.7428190334084,160.23416800121515,198.50017810916287,95.75375516183087,1389.0787639771293,130.22726825074693,359.2429971425713,1748.3217611197006
2020-04-05,7016469.15731073,137.3702940046071,136.5209281508781,247.4363132779228,159.8934531796794,1500.0360819880486,110.95731801091948,384.8066072825299,1884.8426892705786
2020-04-06,7016298.983267501,170.89990854450681,170.17404322905546,245.7691799254088,136.64442868915575,1638.3476440297184,138.31156204166976,416.6690884699156,2055.016732499634
2020-04-07,7016129.95989285,169.92641061534042,169.02337465021313,278.38638204791994,169.99687257937953,1775.7273144865867,137.37967045686838,448.3127926632603,2224.0401071498472
2020-04-08,7015938.509230755,192.348554092431,191.45066209519405,291.80291775982505,169.02851861810348,1931.339297392785,155.61198290619834,484.151471852256,2415.490769245041
2020-04-09,7015737.8372834725,201.68831799730995,200.6719472826325,320.023564156562,191.33218337775352,2094.4508343738016,163.11153698101657,521.7118821538719,2616.1627165276736
2020-04-10,7015517.764381336,221.13862421000556,220.07290213649043,341.7598904691537,200.62259592379482,2273.337103985005,178.8862696112031,562.8985146791592,2836.235618664164
2020-04-11,7015282.751275848,236.18160307624285,235.013105488145,370.69360991308486,219.9701266219077,2464.3735111629812,191.03640717797649,606.8752129893277,3071.248724152309
2020-04-12,7015027.85027513,256.148985480882,254.90100071777889,398.4174959653181,234.93361831313973,2671.583243423888,207.2097322609065,654.5664814462001,3326.149724870088
2020-04-13,7014753.895381858,275.3083857835344,273.9548932726835,430.50620236195516,254.79549297003106,2894.2900299972816,222.706786573394,705.8145881454896,3600.104618142771
2020-04-14,7014457.887610906,297.46250182879635,296.00777095163545,463.7161759569731,273.8536549063735,3134.933711308637,240.6436813113556,761.1786777857694,3896.1123890944064
2020-04-15,7014139.0587563785,320.4006478640119,318.8288545276908,500.39954422142324,295.89070849247526,3394.1410515366624,259.2073402280251,820.8001920854351,4214.941243622097
2020-04-16,7013795.023827057,345.7279279347535,344.0349293209132,539.3946416261178,318.7076492501716,3673.853603382139,279.7125518454769,885.1225695608714,4558.97617294301
2020-04-17,7013424.197159567,372.65349557801323,370.82666749054994,581.7857712839535,343.9010998472902,3975.363573571594,301.5099701894545,954.4392668619668,4929.802840433561
2020-04-18,7013024.248299081,401.91796340686943,399.94886048631577,627.2644666292358,370.68439265745957,4300.569270883771,325.2056973121773,1029.1824300361052,5329.751700919876
2020-04-19,7012640.15069252,385.94825916210704,384.09760656073985,676.7044703778424,400.06731080550225,4651.196577940667,350.6273070568956,1062.6527295399494,5713.8493074806165
2020-04-20,7012225.801808419,416.126003351294,414.34888410099455,682.6124075340696,384.1711399118076,5029.459780696247,378.26320275558044,1098.7384108853635,6128.19819158161
2020-04-21,7011807.860166463,419.85771623094485,417.9416419553121,715.2567244151446,414.20992907566125,5411.025392890833,381.5656121945862,1135.1144406460894,6546.139833536923
2020-04-22,7011369.957559641,439.83586396763815,437.9026068219248,733.3681022912749,417.9244590852315,5810.8384740999345,399.81308120910126,1173.2039662589132,6984.042440358848
2020-04-23,7010920.994639525,450.9881677041969,448.9629201165386,761.2417678829909,437.8106163799799,6220.775424888198,409.9369507882639,1212.2299355871878,7433.005360475387
2020-04-24,7010454.997493955,468.0737445319869,465.9971455696691,784.6356079922193,448.9115687418791,6646.293153520849,425.5177286326506,1252.7093525242062,7899.002506045055
2020-04-25,7009974.711642487,482.44112187631737,480.2858514683787,811.9597014562885,465.91847412404826,7084.887534180828,438.59438065997915,1294.4008233326058,8379.288357513433
2020-04-26,7009477.7344015995,499.1986666468628,496.97724088714114,838.31143803387,480.2196961165957,7538.755493719842,453.8679595390142,1337.5101046807329,8876.265598400574
2020-04-27,7008964.664395744,515.3685926193856,513.0700058550667,866.6135060246471,496.90007988254393,8007.353505611609,468.5980118917668,1381.9820986440327,9389.33560425564
2020-04-28,7008434.311556952,532.7258808388335,530.3528387918711,895.1907991602726,512.9955505724232,8491.771763048406,484.4182574367977,1427.9166799991062,9919.688443047511
2020-04-29,7007886.511351061,550.2531704935682,547.8002058914561,925.0713674956675,530.2729162367215,8992.164110949732,500.3923479013266,1475.3245379892355,10467.488648938968
2020-04-30,7007320.470372287,568.574648712234,566.0409787743378,955.6959269598237,547.719500555672,9509.259052041249,517.0949410915157,1524.2705756720577,11033.529627713306
2020-05-01,7006735.7377967825,587.3506076616079,584.7325755045193,987.4391342398128,565.9566165551454,10043.472461316405,534.2134092751563,1574.7897419014207,11618.262203217826
2020-05-02,7006131.633885538,606.808398301639,604.103911244704,1020.1280773853265,584.6461206046729,10595.429638775564,551.9571774591592,1626.9364756869654,12222.36611446253
2020-05-03,7005507.585063281,626.8429037446542,624.048822257653,1053.9128026070357,604.0143168146378,11165.659230368492,570.2295915929287,1680.75570635169,12846.414936720183
2020-05-04,7004862.926342579,647.5450521332995,644.6587207023024,1088.7548506488868,623.9565723136571,11754.773754640299,589.1145242718061,1736.299902782186,13491.073657422485
2020-05-05,7004197.016677489,668.8913206625234,665.9096650901404,1124.7277696085982,644.5633965609164,12363.364232241503,608.590477601205,1793.6190902711216,14156.983322512626
2020-05-06,7003509.170472082,690.9261510056072,687.8462054064529,1161.8405812906144,665.8113750633692,12992.062795622856,628.6985633813531,1852.7667322962216,14844.829527919079
2020-05-07,7002798.697080589,713.6547976383757,710.4733914930208,1200.1415015445275,687.7447448602522,13641.506620229196,649.4438246063391,1913.796299182903,15555.302919412099
2020-05-08,7002064.876866917,737.1062750769146,733.8202136714167,1239.6570248813127,710.3687362328778,14312.359833125289,670.8532128960927,1976.7632999582274,16289.123133083516
2020-05-09,7001306.974522757,761.2963891383322,757.9023441598691,1280.4277168689891,733.7122300984515,15005.301371236064,692.9415381107751,2041.7241060073213,17047.025477243387
2020-05-10,7000524.230498812,786.2494535879237,782.7440239449494,1322.4872008364173,757.7909594953579,15721.032846763994,715.7314755279298,2108.736654424341,17829.769501188333
2020-05-11,6999715.865287732,811.985538432908,808.3652110798531,1365.8745072081354,782.6291262348687,16460.274666627145,739.2418198631507,2177.860045641043,18638.134712268187
2020-05-12,6998881.0761586195,838.5279596348329,834.7891291127141,1410.6268268370372,808.2467079107893,17223.769054909033,763.4943882818875,2249.15478647187,19472.923841380903
2020-05-13,6998019.03832436,865.8988807696137,862.0378342598652,1456.7837702934025,834.6669131250844,18012.27902457775,788.5099696687192,2322.6826510630162,20334.961675640767
2020-05-14,6997128.903507843,894.1218938868227,890.1348165175164,1504.3848682156581,861.9118034003073,18826.589730055803,814.3107054780518,2398.506762102481,21225.096492158285
2020-05-15,6996209.800038769,923.2205008056577,919.1034690740207,1553.4710378867348,890.0048621551857,19667.50842253991,840.9186924841089,2476.6915386923924,22144.199961232305
2020-05-16,6995260.832057013,953.2189995680078,948.967981755893,1604.0837183147946,918.9694829935429,20535.865225105394,868.3568025654831,2557.3027178828024,23093.167942988195
2020-05-17,6994281.079247538,984.1419569674747,979.7528094751111,1656.2653711565208,948.8298520756442,21432.51342433931,896.6481992339179,2640.4073281239953,24072.920752463306
2020-05-18,6993269.596272403,1016.0145090260681,1011.4829751345792,1710.0591765928848,979.6104230759858,22358.330041978934,925.8166176396218,2726.073685618953,25084.403727597888
2020-05-19,6992225.412391895,1048.8621732579313,1044.1838805082925,1765.5091982969318,1011.3362162764295,23314.216236551318,955.8861945723825,2814.371371554863,26128.58760810618
2020-05-20,6991147.530988365,1082.7109450933692,1077.8814035298078,1822.6602693163015,1044.03263169437,24301.097797226317,986.8815606750002,2905.3712144096708,27206.46901163599
2020-05-21,6990034.9291634215,1117.5872249744814,1112.6018249438853,1881.558037724996,1077.725545062773,25319.925573880395,1018.8277766540787,2999.1452626994774,28319.07083657987
2020-05-22,6988886.557311057,1153.5178420775924,1148.371852364612,1942.248914188119,1112.441235261501,26371.675932678772,1051.750358798378,3095.7667562657116,29467.442688944484
2020-05-23,6987701.338726795,1190.5300184092553,1185.2185842621745,2004.7800724499943,1148.2064079305117,27457.351182347407,1085.6752496686363,3195.3100908592496,30652.661273206657
2020-05-24,6986478.169220711,1228.6513647619977,1223.169506083926,2069.1994138107625,1185.0481597311837,28577.980000717824,1120.6288183704155,3297.85077857276,31875.830779290583
2020-05-25,6985215.916756501,1267.9098546508967,1262.2524642095834,2135.55554743416,1222.9939743206844,29734.61784141511,1156.6378406972867,3403.4654020850567,33138.083243500165
2020-05-26,6983913.421107117,1308.3338076265427,1302.4956493842017,2203.897755719413,1262.0716964085557,30928.347329538414,1193.7294881233024,3512.2315633459557,34440.57889288437
2020-05-27,6982569.493536268,1349.9518633286527,1343.9275708486234,2274.2759624192936,1302.3095151465134,32160.278637985048,1231.9313084466328,3624.2278257479466,35784.50646373299
2020-05-28,6981182.916504312,1392.7929569832675,1386.577031956148,2346.740692752581,1343.7359383015332,33431.5498459533,1271.2712079682462,3739.5336497358485,37171.08349568915
2020-05-29,6979752.443403598,1436.8862898321968,1430.4731007148007,2421.343031422816,1386.3797678658714,34743.327275148935,1311.7774291956364,3858.2293212550126,38601.55659640395
2020-05-30,6978276.798324736,1482.2612980713839,1475.645078861856,2498.1345746692746,1430.270070622669,36096.805802525145,1353.4785273762102,3980.3958727406584,40077.2016752658
2020-05-31,6976754.675857627,1528.9476179530868,1522.1224671090456,2577.1673782018,1475.4361472273426,37493.20914621996,1396.403343694817,4106.114996154887,41599.32414237485
2020-06-01,6975184.740929937,1576.9750481726599,1569.9349276900264,2658.49389950181,1521.9074974704533,38933.790122390405,1440.5809761704434,4235.46894767447,43169.25907006487
2020-06-02,6973565.628686649,1626.3735086235188,1619.1122432885393,2742.166934935771,1569.7137828376804,40419.830869794125,1486.0407474037193,4368.54044355929,44788.37131335342
2020-06-03,6971895.944414024,1677.1729957933117,1669.6842726244947,2828.239550965766,1618.8847854547018,41952.643039218834,1532.8121694247072,4505.4125467590775,46458.05558597791
2020-06-04,6970174.2635117555,1729.4035343733783,1721.6809022688124,2916.765009413418,1669.4503636887457,43533.56794445993,1580.924905241094,4646.168543786796,48179.73648824672
2020-06-05,6968399.131517086,1783.0951250614728,1775.131994668961,3007.7966863319484,1721.4404039808664,45163.976671522265,1630.4087270623359,4790.891811393421,49954.868482915685
2020-06-06,6966569.064184962,1838.2776882970006,1830.0673321245406,3101.3879842700735,1774.8847688890128,46845.27014247315,1681.2934709508877,4939.665672567075,51784.935815040226
2020-06-07,6964682.547628368,1894.981003808587,1886.5165565939246,3197.592237572797,1829.8132410823382,48578.87913025277,1733.6089877796148,5092.573241381384,53671.45237163415
2020-06-08,6962738.038523237,1953.2346457723986,1944.509105130938,3296.4626104429444,1886.2554631671264,50366.26422054975,1787.3850902969787,5249.697256215343,55615.96147676509
2020-06-09,6960733.964382436,2013.0679134299155,2004.0741408011966,3398.051987440991,1944.2408731436797,52208.91571669538,1842.651496145633,5411.119900870906,57620.03561756629
2020-06-10,6958668.723903534,2074.5097569887394,2065.240478902389,3502.4128561303673,2003.7986353435651,54108.35348334957,1899.4377666541889,5576.922613119106,59685.276096468675
2020-06-11,6956540.6873952,2137.5886986510823,2128.0365083339593,3609.597181563511,2064.9575666716164,56066.126724588044,1957.7732412384728,5747.185880214593,61813.31260480264
2020-06-12,6954348.197287242,2202.332748610779,2192.4901079577485,3719.6562723196257,2127.7460579980516,58083.81369182998,2017.686967241937,5921.989020930405,64005.802712760385
2020-06-13,6952089.568729438,2268.7693158728143,2258.6285578043157,3832.6406378082515,2192.1919905422806,60163.021316883634,2079.2076250536547,6101.409953681066,66264.4312705647
2020-06-14,6949763.090284453,2336.9251137552073,2326.4784449854624,3948.599836567225,2258.3226471030694,62305.38476522773,2142.363448344096,6285.524950322432,68590.90971555017
2020-06-15,6947367.024720266,2406.826059946091,2396.0655641864296,4067.582315295813,2326.164617995546,64512.56690449469,2207.182139266958,6474.408375241904,70986.9752797366
2020-06-16,6944899.609907643,2478.4971710006944,2467.4148126230757,4189.635238382127,2395.7437015684723,66786.25768297685,2273.6907784821587,6668.132409382821,73454.39009235967
2020-06-17,6942359.059828278,2551.9624511788365,2540.550079365163,4314.804307703807,2467.084799187021,69128.1734128422,2341.91572986534,6866.766758882644,75994.94017172484
2020-06-18,6939743.565699333,2627.2447755406492,2615.4941289439344,4443.133572505594,2540.2118045821217,71540.05595262253,2411.8825397803353,7070.378348046243,78610.43430066877
2020-06-19,6937051.297220151,2704.365767238467,2692.268479182296,4574.665229185239,2615.147487484478,74023.67178342736,2483.6158308048334,7279.030996423706,81302.70277985107
2020-06-20,6934280.403946943,2783.3456689653294,2770.8932732083335,4709.439410851688,2691.913371481471,76580.81097324238,2557.1391898150223,7492.7850798170175,84073.59605305939
2020-06-21,6931429.016801304,2864.2032085460205,2851.3871456382767,4847.493966556122,2770.5296060575856,79213.28602359553,2632.4750503531513,7711.697175102143,86924.98319869768
2020-06-22,6928495.249718361,2946.9554586848644,2933.7670829431863,4988.8642301380205,2851.0148328043424,81922.93059281798,2709.6445692224447,7935.819688822885,89858.75028164087
2020-06-23,6925477.201440316,3031.6176909159476,3018.0482780449747,5133.582778674875,2933.3860458138915,84711.59809009502,2788.667497277037,8165.200469590823,92876.79855968585
2020-06-24,6922372.957461094,3118.2032238360475,3104.2439792218306,5281.6791805760295,3017.6584463017307,87581.1601344956,2869.562044400576,8399.882404412077,95981.04253890767
2020-06-25,6919180.592127653,3206.723265738487,3192.3653334408905,5433.179733418374,3103.845291538451,90533.5048731917,2952.344738696107,8639.90299915686,99173.40787234856
2020-06-26,6915898.170903375,3297.186751807525,3282.421224277232,5588.107191684681,3191.957738208194,93570.53515313359,3037.0302799418864,8885.293943492206,102455.82909662579
2020-06-27,6912523.752798753,3389.600176077736,3374.4181046228978,5746.480484634387,3282.004680352687,96694.16654053658,3123.6313874029815,9136.080660712123,105830.2472012487
2020-06-28,6909055.392974315,3483.9674184113137,3468.359824437957,5908.314424611644,3373.992582104379,99906.3251826637,3212.1586421271213,9392.281843022958,109298.60702568665
2020-06-29,6905491.145520468,3580.2895667982316,3564.24745384735,6073.619406176884,3467.925305460432,103208.9455065589,3302.620323895193,9653.908972975116,112862.85447953401
2020-06-30,6901829.066418526,3678.564735339839,3662.0791019427184,6242.401096535724,3563.803933401111,106603.96774960117,3395.022243042271,9920.965831875563,116524.93358147674
2020-07-01,6898067.216686819,3778.787878335652,3761.8497317072997,6414.660117833153,3661.626588711487,110093.33531701523,3489.3675674140577,10193.447996168805,120286.78331318403
2020-07-02,6894203.665715274,3880.9506009557513,3863.55097154437,6590.391721981242,3761.3882489242706,113678.99196179141,3585.6566447761816,10471.342322936993,124150.33428472841
2020-07-03,6890236.494791319,3985.0409670471836,3967.1709239554157,6769.58545879532,3863.0805578639834,117362.87878284132,3683.886821049905,10754.626425842504,128117.50520868383
2020-07-04,6886163.8008193355,4091.0433046919616,4072.6939719831003,6952.22483832624,3966.6916343383223,121146.93103764873,3784.052254807402,11043.268143018202,132190.19918066694
2020-07-05,6881983.70023523,4198.938010206315,4180.100584105831,7138.286988394939,4072.2058785914774,125033.0747661715,3886.143728522779,11337.224998601254,136370.29976477276
2020-07-06,6877694.333116884,4308.7013513455995,4289.367118345167,7327.742308459539,4179.603777205883,129023.22322331279,3990.148457141282,11636.44365980514,140659.66688311793
2020-07-07,6873293.86749046,4420.305270556256,4400.465626423928,7520.55412107434,4288.861707213272,133119.27311791125,4096.049894598471,11940.859391630596,145060.13250954184
2020-07-08,6868780.503831569,4533.717189195015,4513.363658891342,7716.67832233361,4399.9517402525835,137323.10065690457,4203.827538993314,12250.395511528624,149573.4961684332
2020-07-09,6864152.479759358,4648.899813715738,4628.024072211362,7916.063032830443,4512.841447690639,141636.55739409837,4313.456737193806,12564.962846546181,154201.52024064455
2020-07-10,6859408.074920467,4765.810944905038,4744.404838890715,8118.648250801358,4627.493707701415,146061.46588382887,4424.9084897305,12884.459195706397,158945.9250795353
2020-07-11,6854545.616058663,4884.403291328877,4862.458861803879,8324.365509269577,4743.86651538004,150599.6151407407,4538.14925691182,13208.768800598453,163808.38394133915
2020-07-12,6849563.4822647115,5004.624288232354,4982.133793951874,8533.137539143427,4861.912797048397,155252.75590791524,4653.140767174546,13537.76182737578,168790.517735291
2020-07-13,6844460.110399742,5126.415923213708,5103.371864970144,8744.877940369128,4981.58022998879,160022.59573667834,4769.839828763089,13871.293863582836,173893.88960026117
2020-07-14,6839234.000683965,5249.714570069527,5226.10971577646,8959.490863378775,5102.8110689206405,164910.79388258932,4888.198145910993,14209.205433448302,179119.99931603763
