,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-03-31,7074416.0,765.0,0.0,0.0,0.0,0.0,0.0,765.0,765.0
2020-04-01,7074416.0,2.2925598008022234,0.0,762.7074401991978,762.7074401991978,0.0,0.0,765.0,765.0
2020-04-02,7073993.015003299,422.9918670676177,422.98499670102916,468.7534667574929,2.285689434213656,296.23966287591855,296.23966287591855,891.7453338251106,1187.984996701029
2020-04-03,7073733.067586927,261.21504271339757,259.9474163728675,708.411345410165,421.72424072708765,478.3060249503341,182.06636207441557,969.6263881235626,1447.9324130738967
2020-04-04,7073340.23223723,393.61816160064365,392.8353496969972,693.6928079424049,260.4322308097511,753.4567932278453,275.1507682775112,1087.3109695430485,1840.7677627708938
2020-04-05,7072955.580120848,385.8317153025113,384.6521163820521,816.6973612852257,392.4385626801844,1022.8908025652089,269.4340093373636,1202.529076587737,2225.419879152946
2020-04-06,7072502.746703055,453.9896822120556,452.833417793262,884.163174203959,384.67545088371776,1340.1004405301933,317.20963796498444,1338.1528564160146,2678.253296946208
2020-04-07,7072012.536966243,491.5702577213877,490.20973681234415,993.3786137461402,452.62916130301204,1683.5141622910241,343.41372176083087,1484.9488714675279,3168.4630337585522
2020-04-08,7071461.812698894,552.1974101099775,550.7242673490337,1097.6421441181778,490.0971149604439,2069.3477468794304,385.83358458840615,1649.8395542281553,3719.187301107586
2020-04-09,7070853.3326262245,610.1349034990452,608.4800726696005,1221.8546240790483,550.5425792805328,2495.6778461990925,426.33009931966234,1831.9895275780937,4327.667373777186
2020-04-10,7070095.92733589,763.015823731639,757.4052903347588,1351.8041010530892,604.524370102165,2970.2527393272167,474.5748931281242,2114.8199247847283,5085.072664111945
2020-04-11,7069258.058505391,844.885189893038,837.8688304996583,1582.7555980270038,755.9994643382593,3495.3007066915616,525.0479673643447,2427.640787920042,5922.941494611603
2020-04-12,7068277.158668381,988.6690312439955,980.899837009672,1805.1208254854823,837.1159956587145,4110.051474891798,614.750768200236,2793.789856729478,6903.8413316212755
2020-04-13,7067158.605027541,1127.645008317811,1118.5536408408082,2083.5798733747306,979.5776637669925,4811.170090769542,701.1186158777444,3211.2248816925417,8022.394972462083
2020-04-14,7065867.706931382,1301.2674258630707,1290.8980961579357,2391.5819475469234,1117.275678612676,5620.443695210026,809.2736044404834,3692.849373409994,9313.29306862002
2020-04-15,7064386.254411399,1493.4184054115874,1481.4525199832865,2751.9802250262437,1289.3015404347698,6549.346958165475,928.9032629554497,4245.398630437831,10794.745588603306
2020-04-16,7062681.912537744,1718.0746953487806,1704.3418736547167,3162.781920722366,1479.6855837175235,7618.230846186876,1068.8838880214012,4880.856616071147,12499.087462258023
2020-04-17,7060723.627691778,1974.0835085256767,1958.2848459654645,3636.6164822960463,1702.2760327885683,8846.672317401764,1228.4414712148882,5610.699990821723,14457.372308223486
2020-04-18,7058472.58524741,2269.1952518687813,2251.042444367856,4180.065825536972,1955.9307010247517,10259.153675185591,1412.4813577838265,6449.261077405753,16708.414752591343
2020-04-19,7055885.9760249825,2607.4757482921896,2586.609222427764,4804.83455239826,2248.3287260043558,11882.71367432866,1623.5599991430674,7412.310300690449,19295.02397501911
2020-04-20,7053685.895077489,2211.0011181445757,2200.080947492998,5535.166604534416,2596.555577640612,13748.937199833115,1866.2235255044554,7746.1677226789925,21495.10492251211
2020-04-21,7051152.193382592,2542.9614203376764,2533.701694897552,5587.019583326102,2201.7413927044513,15898.825613745881,2149.888413912765,8129.981003663779,24028.80661740966
2020-04-22,7048595.674819545,2567.1685461540283,2556.518563047319,5949.3026314103545,2532.311437230967,18068.854002892596,2170.0283891467147,8516.471177564383,26585.32518045698
2020-04-23,7045874.369136537,2732.0570461342445,2721.305683007003,6194.978745206816,2556.417183026787,20379.59507212292,2310.741069230325,8927.03579134106,29306.63086346398
2020-04-24,7043041.781311526,2844.0297451110437,2832.587825011433,6509.430880981061,2720.6151260346337,22785.75806238331,2406.162990260388,9353.460626092105,32139.218688475412
2020-04-25,7040066.610169637,2987.0820063237898,2975.1711418890513,6813.251874341239,2832.1188806763053,25314.055949699436,2528.297887316127,9800.333880665028,35114.38983036447
2020-04-26,7036953.891425959,3125.228714396698,3112.7187436785894,7141.520318341165,2974.5720356056813,27960.35954130519,2646.303591605755,10266.749032737862,38227.10857404306
2020-04-27,7033692.6417440735,3274.338214313023,3261.249681885147,7479.855683387821,3112.1401819688217,30734.164358227357,2773.8048169221656,10754.193897700843,41488.3582559282
2020-04-28,7030278.470709932,3427.8840407125763,3414.171034141106,7835.264802731679,3260.6252077415525,33639.38044662505,2905.216088397694,11263.148843444254,44902.5292900693
2020-04-29,7026703.809606907,3589.017163181739,3574.661103025506,8205.533885618723,3413.527980556343,36682.63934429435,3043.2588976692987,11794.551048800462,48477.19039309482
2020-04-30,7022962.125157469,3756.7153389558957,3741.684449437918,8592.44676275477,3573.986273663761,39869.71274082207,3187.073396527715,12349.162101710665,52218.874842532736
2020-05-01,7019046.0966516,3931.7617193486835,3916.0285058690692,8996.076453838963,3740.9821254762815,43207.06517521416,3337.352434392088,12927.838173187647,56134.9033484018
2020-05-02,7014948.399097951,4114.163865546182,4097.697553648651,9417.247488784687,3915.295407451152,46701.18954771959,3494.1243725054283,13531.41135433087,60232.60090205046
2020-05-03,7010661.363073254,4304.266241135095,4287.036024696938,9856.471675181743,4096.933649108025,50358.899010430556,3657.709462710969,14160.737916316837,64519.63692674739
2020-05-04,7006177.120100286,4502.269342691644,4484.242972968434,10314.4050527704,4286.239871411884,54187.20550425378,3828.3064938232274,14816.674395462043,69003.87989971583
2020-05-05,7001487.539948903,4708.435762820058,4689.580151382919,10791.648508826916,4483.413731254505,58193.37577945177,4006.1702751979897,15500.084271646974,73693.46005109875
2020-05-06,6996584.258978702,4923.000011524732,4903.280970200699,11288.8310356449,4688.716721496025,62384.90997412981,4191.534194678042,16211.831047169631,78596.74102129944
2020-05-07,6991458.670795968,5146.205824252173,5125.588182734786,11806.57084940651,4902.382370007344,66769.55253037554,4384.642556245735,16952.776673658682,83722.32920403422
2020-05-08,6986101.934829525,5378.288399229997,5356.735966442929,12345.48876248771,5124.653391465105,71355.28800875945,4585.735478383905,17723.777161717706,89079.06517047716
2020-05-09,6980504.979059837,5619.480169836613,5596.955769687748,12906.198673617851,5355.763999081132,76150.34209671045,4795.054087950992,18525.678843454465,94676.02094016492
2020-05-10,6974658.507308519,5870.00626835663,5846.471751317319,13489.307499907161,5595.945652797302,81163.17892321844,5012.836826507991,19359.31376826379,100522.49269148223
2020-05-11,6968553.006801101,6130.084233736112,6105.500507418324,14095.410618028443,5845.422542038842,86402.498347136,5239.319423917559,20225.494851764553,106627.99319890056
2020-05-12,6962178.758042328,6399.921697815493,6374.2487587729,14725.088785047432,6104.411294693519,91877.23147481053,5474.73312767453,21125.010482862926,113002.24195767345
2020-05-13,6955525.846330675,6679.71473643347,6652.911711652642,15378.903951142205,6373.118673034665,97596.53498175042,5719.303506939893,22058.618687575676,119655.1536693261
2020-05-14,6948584.175409409,6969.645725968573,6941.670921265792,16057.395056694351,6651.739931730688,103569.78380792896,5973.248826178542,23027.040782662923,126596.82459059189
2020-05-15,6941343.483252893,7269.881199121088,7240.692156516006,16761.07332733091,6940.456683363492,109806.5622206559,6236.778412726934,24030.954526452,133837.5167471079
2020-05-16,6933793.360203032,7580.569485791177,7550.123049860527,17490.417261159222,7239.434763190438,116316.65305001804,6510.090829362125,25070.9867469504,141387.63979696843
2020-05-17,6925923.269578247,7901.838230673742,7870.090624785096,18245.867213744867,7548.821879902531,123110.02497733492,6793.371927316888,26147.705444418607,149257.73042175354
2020-05-18,6917722.570914812,8233.791750493285,8200.698663435183,19027.819614304426,7868.745143615642,130196.817720391,7086.792743056081,27261.61136479771,157458.42908518872
2020-05-19,6909180.545979419,8576.508251713196,8542.024935393252,19836.62079666289,8199.308434173341,137587.32497220588,7390.507251814878,28413.129048376086,166000.45402058196
2020-05-20,6900286.427692706,8930.036907917727,8894.118286713017,20672.560455661856,8540.589630508486,145291.9749437154,7704.6499715095215,29602.59736357958,174894.572307295
2020-05-21,6891029.432091469,9294.394808889318,9256.995601236775,21535.864734755894,8892.637700265184,153321.30836488656,8029.333421171148,30830.25954364521,184151.56790853175
2020-05-22,6881398.793446801,9669.563791904433,9630.638644668572,22426.688960278232,9255.469661653457,161685.9538010177,8364.64543613112,32096.252752182663,193782.20655320035
2020-05-23,6871383.802639875,10055.487170814744,10014.990806926,23345.11004232309,9629.067428015689,170396.60014698852,8710.64634597083,33400.59721313784,203797.19736012636
2020-05-24,6860973.84887894,10452.06638114335,10409.953760935101,24291.11856994597,10013.374550606495,179463.96616997215,9067.366022983613,34743.18495108932,214207.15112106147
