,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-03-21,21167966.0,825.0,0.0,0.0,0.0,0.0,0.0,825.0,825.0
2020-03-22,21167966.0,3.780695612529712,0.0,821.2193043874703,821.2193043874703,0.0,0.0,825.0,825.0
2020-03-23,21167383.50682548,582.5105001662164,582.4931745185623,305.7092890931675,3.7633699648756496,519.2733852591784,519.2733852591784,888.2197892593839,1407.4931745185622
2020-03-24,21167166.67232931,219.50394452580503,216.83449617158573,692.2442451954545,579.8410518119971,712.5794809688886,193.30609570971015,911.7481897212595,1624.327670690148
2020-03-25,21166675.680070095,491.99817145775336,490.99225921532707,473.0224008169654,218.49803228337873,1150.2993576307563,437.71987666186783,965.0205722747187,2115.319929905475
2020-03-26,21166340.184395578,337.75033552100894,335.49567451712653,663.6643898339308,489.74351045387095,1449.4008790676617,299.1015214369055,1001.4147253549397,2450.8156044226016
2020-03-27,21165869.481522758,472.25066822990675,470.7028728218647,580.2186672430888,336.20254011296686,1869.0491417714707,419.6482627038089,1052.4693354729957,2921.5184772444663
2020-03-28,21165457.971542396,413.6741452468059,411.5099803626955,683.4213066560776,470.08650334579636,2235.933005704278,366.8838639328075,1097.0954519028835,3333.0284576071617
2020-03-29,21164973.27631187,486.5909590423036,484.6952305259986,663.0587671650833,411.7784167305009,2668.0739619257733,432.1409562214952,1149.649726207387,3817.72368813316
2020-03-30,21164503.033345863,472.47284758706337,470.2429660065205,728.1545292450987,484.3610774617607,3087.3392773075184,419.26531538174527,1200.627376832162,4287.96665413968
2020-03-31,21163986.635773204,518.5627557163652,516.3975726595023,738.0355265345299,470.3076645302005,3547.7659445482877,460.42666724076935,1256.5982822508952,4804.364226799183
2020-04-01,21163463.24349848,525.7686722190302,523.3922747216263,787.547265370332,516.1863582189613,4014.4405639314473,466.6746193831593,1313.3159375893622,5327.756501520809
2020-04-02,21162904.752821397,560.9000968586832,558.4906770862419,812.9246360521108,523.3592524465889,4512.4224456962575,497.98188176481005,1373.824732910794,5886.247178607051
2020-04-03,21162368.58516071,538.8862897825494,536.1676606870259,857.0776031844641,558.1814677631597,5026.450946327064,514.0285006308064,1395.9638929670136,6422.414839294078
2020-04-04,21161803.310557567,567.8865334234747,565.2746031442923,851.4046581643722,536.274359503367,5568.398250850523,541.9473045234589,1419.291191587847,6987.68944243837
2020-04-05,21161241.79247225,564.2705770018337,561.5180853168305,878.1785119379385,565.1340417384715,6106.758438815428,538.3601879649052,1442.449088939772,7549.2075277552
2020-04-06,21160662.631872945,581.8955647966774,579.1605993064298,884.4242924390217,561.5356115115861,6662.048269825931,555.289831010503,1466.3198572356991,8128.368127061631
2020-04-07,21160079.368131835,586.0841332281759,583.2637411086665,904.2603022194833,579.075172677168,7221.287432722637,559.2391628967064,1490.3444354476592,8711.631868170296
2020-04-08,21159483.039295472,599.1695300716141,596.3288363617319,915.7218732644924,583.2434395182937,7793.069301195922,571.7818684732846,1514.8914033361066,9307.960704532028
2020-04-09,21158879.16896244,606.7744504076738,603.8703330314663,932.9580369572809,596.2654126954066,8372.09855019854,579.029249002618,1539.7324873649547,9911.831037563494
2020-04-10,21158263.94984573,618.1600944074719,615.2191167101295,946.8634897498226,603.8334727103314,8962.02657011633,589.9280199177897,1565.0235841572944,10527.050154273624
2020-04-11,21157639.579232007,627.3667765465021,624.3706137222139,963.3067055950293,615.1639315831836,9560.747285854306,598.720715737977,1590.6734821415314,11151.420767995838
2020-04-12,21157004.384553295,638.2354654438928,635.1946787122874,978.5146055346514,624.3259898148967,10169.86537572958,609.1180898752746,1616.7500709785443,11786.615446708123
2020-04-13,21156359.181310367,648.2967091554949,645.2032429288562,994.9222556847934,635.1419992172541,10788.599724796692,618.7343490671121,1643.2189648402882,12431.81868963698
2020-04-14,21155703.17936005,659.1441824300063,656.0019503178833,1010.9674984238297,645.1544770433719,11417.708959101026,629.1092343043356,1670.1116808538359,13087.820639954862
2020-04-15,21155036.618648462,669.7555203658574,666.560711588795,1027.66190998707,655.9493736529439,12056.96392119073,639.2549620897038,1697.4174303529273,13754.381351543658
2020-04-16,21154359.07216696,680.7927224190405,677.5464815024288,1044.3600171345058,666.5092794492457,12706.77509349254,649.8111723018098,1725.1527395535463,14431.927833046087
2020-04-17,21153622.282812335,740.0337639012357,736.7893546252976,1061.5386109719175,677.5483131431024,13367.144812798231,660.3697193056909,1801.5723748731532,15168.717187671384
2020-04-18,21152873.40015283,752.4093899340285,748.8826595078023,1126.8135567966456,736.5070334750095,14038.376900448513,671.2320876502814,1879.222946730674,15917.599847179186
2020-04-19,21152078.496180087,798.4896808786174,794.9039727421806,1163.1304976206295,748.8236817975917,14750.88364142212,712.5067409736077,1961.6201784992468,16712.503819921367
2020-04-20,21151258.003470257,824.2980197897591,820.492709829661,1222.344199777709,794.6843709185192,15486.35431018356,735.4706687614397,2046.6422195674681,17532.996529751028
2020-04-21,21150395.773820825,866.1579525033823,862.2296494333368,1269.8012399695317,820.3697167197137,16259.266986711451,772.912676527891,2135.959192472914,18395.226179184363
2020-04-22,21149500.10495253,899.7966605035257,895.6688682945487,1328.910688387718,862.0301602944053,17062.18769858767,802.9207118762191,2228.707348891244,19290.895047478913
2020-04-23,21148562.782251917,941.6108026098054,937.3227006139106,1384.1224489761837,895.5085585076308,17902.484496506833,840.2967979191651,2325.733251585989,20228.217748092822
2020-04-24,21147586.56021894,980.7094058907145,976.2220329771856,1446.0375806537252,937.1234296962765,18777.692794525567,875.208298018735,2426.7469865444396,21204.439781070007
2020-04-25,21146566.71650095,1024.517420556353,1019.843717990665,1507.714810296592,976.0357033250265,19692.051268207728,914.3584736821596,2532.232230852945,22224.28349906067
2020-04-26,21145503.42509974,1068.1738767568495,1063.2914012056974,1573.9915361692415,1019.634945005201,20645.40948734028,953.3582191325514,2642.165412926091,23287.57490026637
2020-04-27,21144393.448927835,1115.0666981701067,1109.9761719057387,1641.8085686523982,1063.0833504924815,21640.675805349605,995.2663180093249,2756.875266822505,24397.55107217211
2020-04-28,21143235.709074825,1163.053853319755,1157.7398530085031,1713.412882959123,1109.7526978588548,22678.824188901734,1038.14838355213,2876.4667362788778,25555.290925180612
2020-04-29,21142027.542786505,1213.7089778728305,1208.166288320101,1787.4988236129361,1157.5111637670257,23762.249412014946,1083.4252231132125,3001.2078014857666,26763.45721350071
2020-04-30,21140767.208843064,1266.1180368044845,1260.3339434432805,1865.1524634944658,1207.9248845116265,24892.520656645043,1130.2712446300968,3131.2705002989505,28023.791156943993
2020-05-01,21139452.201081462,1321.0416173825706,1315.0077616027306,1945.8634508194461,1260.0841810246445,26071.893850344706,1179.3731936996642,3266.905068202017,29338.798918546723
2020-05-02,21138080.37415274,1378.1225302143282,1371.8269287247779,2030.2011020274906,1314.7460158930203,27302.302215029682,1230.4083646849758,3408.323632241819,30710.6258472715
2020-05-03,21136649.182356827,1437.7594241666238,1431.1917959103766,2118.0192562321117,1371.554901958081,28586.038962783143,1283.73674775346,3555.7786803987356,32141.81764318188
2020-05-04,21135156.184179947,1499.8500127767095,1492.9981768819914,2209.660922049703,1430.9075882719058,29925.304885237456,1339.2659224543145,3709.5109348264123,33634.81582006387
2020-05-05,21133598.69753743,1564.6343794634136,1557.4866425183445,2305.1504178876958,1492.7022758316405,31322.517665231102,1397.2127799936477,3869.7847973511093,35192.302462582215
2020-05-06,21131974.024548966,1632.1294640195395,1624.6729884624194,2404.7356244073,1557.1779039062935,32780.110362617794,1457.5926973866895,4036.865088426839,36816.97545104464
2020-05-07,21130279.294073105,1702.508608320396,1694.7304758606638,2508.5245414355677,1624.3513315598072,34300.67277714933,1520.5624145315392,4211.033149755964,38511.7059269053
2020-05-08,21128511.56043727,1775.8471695709145,1767.7336358339905,2616.729394140897,1694.395074583472,35886.86299902747,1586.1902218781427,4392.576563711811,40279.43956273928
2020-05-09,21126667.730125606,1852.2933501772306,1843.8303116636403,2729.5032115546073,1767.384131057324,37541.473312671085,1654.6103136436138,4581.796561731838,42123.269874402926
2020-05-10,21124744.603655476,1931.9538231971965,1923.1264701289676,2847.0497555195584,1843.4659971090018,39267.39276581514,1725.9194531440507,4779.003578716754,44046.396344531895
2020-05-11,21122738.839998018,2014.9706432226938,2005.763657457051,2969.5501098844948,1922.7468374315538,41067.63924888175,1800.2464830666174,4984.520753107188,46052.16000198894
2020-05-12,21120646.97274355,2101.4698680568827,2091.867254470789,3097.212233171709,2005.3680296366,42945.34515523114,1877.7059063493855,5198.682101228592,48144.02725645973
2020-05-13,21118465.39136771,2191.5962131119245,2181.5813758369286,3230.2380446297648,2091.4550307818868,44903.77437455497,1958.4292193238314,5421.83425774169,50325.60863229666
2020-05-14,21116190.345704112,2285.4900100920236,2275.045663598915,3368.845811680675,2181.151866618816,46946.31847412287,2042.5440995679053,5654.335821772698,52600.65429589557
2020-05-15,21113817.934663948,2383.3028501746253,2372.411040164585,3513.2554498261698,2274.598200081983,49076.50703605936,2130.1885619364884,5896.5583000007955,54973.06533606016
2020-05-16,21111344.105330482,2485.187283719257,2473.8293334653217,3663.698686348642,2371.94489992069,51298.008699457576,2221.501663398218,6148.885970067899,57446.89466952547
2020-05-17,21108764.644916315,2591.3039083925196,2579.460414168474,3820.4125460970495,2473.3437894952112,53614.63862920438,2316.6299297468036,6411.7164544895695,60026.355083693954
2020-05-18,21106075.177331515,2701.8167920691276,2689.467584798976,3983.6440106862065,2578.954701122368,56030.36186573759,2415.723236533211,6685.460802755334,62715.822668492925
