,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-04-04,3483566.0,900.0,0.0,0.0,0.0,0.0,0.0,900.0,900.0
2020-04-05,3483566.0,6.077099843042902,0.0,893.9229001569571,893.9229001569571,0.0,0.0,900.0,900.0
2020-04-06,3483267.2674866915,298.77354791110804,298.73251330832767,320.812748608055,6.036065240262555,579.1462167891647,579.1462167891647,619.586296519163,1198.7325133083277
2020-04-07,3483160.0669885543,109.21791667170902,107.20049813713575,409.7237834899016,296.7561293765348,786.9913112838528,207.84509449468814,518.9417001616107,1305.9330114454635
2020-04-08,3483023.1608271743,137.64363714047954,136.9061613801872,252.7562991998771,108.48044091141668,1052.439236485294,265.4479252014412,390.39993634035665,1442.8391728256506
2020-04-09,3482938.707505276,85.38273759362994,84.45332189844964,225.71718752714486,136.71422144529924,1216.1925696033254,163.7533331180315,311.0999251207748,1527.2924947241002
2020-04-10,3482863.290575435,75.99346253147549,75.41692984122125,164.28790031181137,84.8062049033757,1362.4280617220347,146.2354921187092,240.28136284328684,1602.7094245653216
2020-04-11,3482745.3803156666,118.29745564726291,117.91025976833366,133.45689377993097,75.60626665254624,1468.8653349064614,106.43727318442664,251.75434942719386,1720.6196843336552
2020-04-12,3482649.6008684104,96.38218709418304,95.77944725593098,164.68883396980343,117.69471580901084,1555.3281105255999,86.46277561913838,261.07102106398645,1816.3991315895864
2020-04-13,3482531.4101085137,118.68183879227763,118.19075989677924,153.8829159212763,95.89110819868465,1662.0251367728117,106.69702624721178,272.56475471355395,1934.5898914863656
2020-04-14,3482420.9780828655,111.03672396516394,110.4320256483175,172.26386495934275,118.0771404754312,1761.7213282101766,99.69619143736475,283.3005889245067,2045.0219171346832
2020-04-15,3482297.359133999,124.18469439924145,123.61894886670555,171.13017853422326,110.47097843262804,1873.3259930679242,111.60466485774754,295.3148729334647,2168.640866001389
2020-04-16,3482174.5580936465,123.43377638397793,122.80104035253892,183.81195395990858,123.55195836780244,1984.1961760100412,110.87018294211711,307.2457303438865,2291.4419063539276
2020-04-17,3482042.661409083,132.5255945772211,131.8966845638531,187.53049004653792,122.80486637060993,2103.282506294022,119.08633028398057,320.05608462375903,2423.338590917781
2020-04-18,3481908.1015370623,135.23510594673257,134.55987202050247,197.88539082733098,131.850360650991,2224.77796616422,121.49545987019795,333.12049677406355,2557.8984629382835
2020-04-19,3481766.1171383187,142.67343795781898,141.9843987435912,204.2273636325279,134.5460667325048,2352.9820600915277,128.2040939273079,346.9008015903469,2699.8828616818746
2020-04-20,3481619.5882971827,147.25577955127628,146.52884113618492,213.860992577762,141.94649954272762,2485.2949306890214,132.31287059749351,361.1167721290383,2846.41170281806
2020-04-21,3481466.1539872475,154.18459593476558,153.43430993526724,221.81227217167014,146.50549355177793,2623.849144646891,138.5542139578698,375.9968681064357,2999.8460127533267
2020-04-22,3481307.022054627,159.91752177704103,159.13193262040028,231.50566603499476,153.39900677812483,2767.554757561691,143.7056129148002,391.4231878120358,3158.977945373727
2020-04-23,3481140.943506328,166.89334740581572,166.07854829891883,240.62271250657443,159.10272267014415,2917.5404337602554,149.98567619856448,407.5160599123901,3325.0564936726455
2020-04-24,3480968.332766241,173.4610818687115,172.61074008688422,250.77337708273762,166.04300562398845,3073.4327748080805,155.89234104782525,424.23445895144914,3497.6672337595296
2020-04-25,3480799.7837378574,170.10219265121722,168.54902838351762,260.2126381772325,171.9079176010119,3235.9014313145976,162.46865650651696,430.3148308284498,3666.2162621430475
2020-04-26,3480624.8988907957,176.40793595655015,174.88484706169828,260.2076672504104,168.57910375636536,3404.485505997785,168.58407468318745,436.61560320696054,3841.1011092047456
2020-04-27,3480450.0261711385,176.45226994988494,174.8727196570202,266.4551987474232,174.82838566368542,3573.0663601644574,168.5808541666726,442.9074686973081,4015.9738288617655
2020-04-28,3480270.9637910333,180.64232736303336,179.06238010519212,268.69907633387686,174.8723226920437,3745.6948052700473,172.62844510559006,449.3414036969102,4195.036208966958
2020-04-29,3480090.4027773985,182.1784785155124,180.5610136347923,273.64175176607165,179.02486248231324,3919.776992320166,174.08218705011845,455.82023028158403,4375.59722260175
2020-04-30,3479906.529913597,185.50408332453824,183.87286380183093,276.904610434135,180.5472589928051,4097.061392644908,177.28440032474174,462.4086937586733,4559.470086403581
2020-05-01,3479720.4744112785,187.71649918643178,186.05550231826908,281.3493869062279,183.84308645637554,4276.45970262919,179.39830998428266,469.06588609265964,4745.52558872185
2020-05-02,3479531.442518021,190.71270001758987,189.03189325763492,285.1071300888907,186.03569242647683,4458.737651873004,182.277949243814,475.8198301064806,4934.557481979485
2020-05-03,3479339.896293502,193.2538591531334,191.54622451905433,289.3997155240689,189.0050653835108,4643.450131821337,184.71247994833263,482.6535746772023,5126.103706498539
2020-05-04,3479145.476843908,196.14983767511578,194.41944959383494,293.4296674611095,191.52347107185255,4830.943650956149,187.49351913481192,489.5795051362253,5320.523156092375
2020-05-05,3478948.3610776677,198.87208480858166,197.11576624011653,297.71878072474397,194.39351910665064,5021.048056799165,190.1044058430162,496.59086553332565,5517.638922332491
2020-05-06,3478748.3753665723,201.76640456622314,199.9857110951574,301.92697655004736,197.09139133751592,5213.931252311378,192.8831955122125,503.69338111627053,5717.624633427648
2020-05-07,3478545.5745557565,204.6074199216695,202.80081081593553,306.2772108449724,199.95979546048918,5409.540813476941,195.60956116556414,510.88463076664186,5920.425444243583
2020-05-08,3478339.863736596,207.5428666154115,205.71081916070307,310.62463396813837,202.77537246696107,5607.968762820737,198.4279493437951,518.1675005835499,6126.136263404286
2020-05-09,3478131.2453123215,210.47675561287,208.61842427439154,315.06465299811134,205.68453527693305,5809.213279067697,201.24451624696005,525.5414086109813,6334.754687678678
2020-05-10,3477919.6576205636,213.47229303250154,211.5876917578094,319.5357340358861,208.59215433817786,6013.3343523681,204.12107330040308,533.0080270683876,6546.342379436487
2020-05-11,3477705.080343178,216.488700594489,214.5772773858356,324.07884934943,211.56086982384815,6220.352106878404,207.01775451030426,540.567549943919,6760.919656822323
2020-05-12,3477487.465662449,219.55311274182716,217.61468072871097,328.6680133331321,214.5502685813728,6430.313211476075,209.96110459767075,548.2211260749592,6978.534337551034
2020-05-13,3477266.7832284183,222.6483046795602,220.68243403065622,333.3209671691232,217.5872420929232,6643.247499733006,212.93428825693206,555.9692718486834,7199.2167715816895
2020-05-14,3477042.99079549,225.78601781431507,223.79243292849083,338.026887487414,220.65471979373595,6859.196299208452,215.94879947544513,563.8129053017291,7423.009204510181
2020-05-15,3476816.0534036146,228.95907173150948,226.9373918755012,342.79359933391714,223.76433795830678,7078.193925320255,218.99762611180364,571.7526710654266,7649.946596385682
2020-05-16,3476585.930857328,232.17263755249286,230.12254628620983,347.61674201724884,226.90898046522645,7300.27976310215,222.08583778189472,579.7893795697416,7880.069142671892
2020-05-17,3476352.585907745,235.42381500197072,233.34494958328833,352.4999048283578,230.09377213381046,7525.490372424852,225.2106093227015,587.9237198303285,8113.41409225518
2020-05-18,3476115.97891571,238.71496837923075,236.60699203498464,357.4414773563758,233.3158386577246,7753.864638554558,228.37426612970657,596.1564457356066,8350.021084290165
2020-05-19,3475876.0713429074,242.04501801537725,239.9075728025526,362.4432356574591,236.5775231664061,7985.440403419881,231.5757648653228,604.4882536728364,8589.928657092718
2020-05-20,3475632.82347909,245.41512617463044,243.24786381752878,367.50473513191275,239.8777556582756,8220.256659603703,234.81625618382196,612.9198613065432,8833.176520910247
2020-05-21,3475386.1959331194,248.82498415463743,246.62754597068835,372.6269710803872,243.21768799068136,8458.35211164591,238.09545204220692,621.4519552350246,9079.804066880935
2020-05-22,3475136.1486670165,252.27523603190994,250.0472661026528,377.80998803942595,246.5970142253803,8699.766108912252,241.41399726634154,630.0852240713359,9329.851332983588
2020-05-23,3474882.641634545,255.765895831921,253.5070324718573,383.05444000113664,250.01637267184623,8944.538029622388,244.77192071013553,638.8203358330577,9583.358365455446
2020-05-24,3474625.634372708,259.297380438659,257.0072618367066,388.3605711553661,253.47577722996863,9192.707675698128,248.16964607573917,647.657951594025,9840.365627292153
2020-05-25,3474365.0862772516,262.86983484420455,260.5480954565173,393.7288806398035,256.9756410509717,9444.315007264662,251.60733156653433,656.598715484008,10100.91372274867
2020-05-26,3474100.956432105,266.4835721619818,264.12984514645945,399.1596879094136,260.5161078286822,9699.400307823735,255.0853005590721,665.6432600713954,10365.04356789513
2020-05-27,3473833.2037304593,270.1387859349906,267.75270164592683,404.65341576355274,264.097487872918,9958.004067842514,258.60376001877887,674.7922016985433,10632.796269541057
2020-05-28,3473561.7868059576,273.83573744314447,271.41692450185576,410.21040489239766,267.7199729937019,10220.16705170737,262.162983864857,684.0461423355421,10904.213194042914
2020-05-29,3473286.6640883107,277.5746329584202,275.12271764673216,415.8310342034552,271.38382213145644,10485.93024452777,265.7631928203989,693.4056671618754,11179.335911689644
2020-05-30,3473007.7937782,281.35570335769967,278.8703101104861,421.5156415462866,275.08923971120663,10755.334876896146,269.40463236837525,702.8713449039863,11458.206221800132
2020-05-31,3472725.133875361,285.1791516542754,282.65990283914687,427.26457469733,278.8364545425711,11028.422398287674,273.08752139152773,712.4437263516054,11740.866124639278
2020-06-01,3472438.6421724753,289.04518671906243,286.49170288585566,433.0781573144705,282.62566782106865,11305.234483491602,276.8120852039281,722.1233440335329,12027.357827525135
2020-06-02,3472148.276271903,292.95400074407814,290.3659005724074,438.9567103679115,286.45708654739167,11585.813016985552,280.57853349395066,731.9107111119897,12317.723728097542
2020-06-03,3471853.993588047,296.90578340742087,294.2826838560199,444.9005373518885,290.3309011926772,11870.200091194252,284.3870742087002,741.8063207593093,12612.006411953562
2020-06-04,3471555.751359639,300.90071207885455,298.2422284080863,450.9099331154225,294.2472997366526,12158.43799516737,288.2379039731186,751.8106451942771,12910.248640361648
2020-06-05,3471253.5066561084,304.9389576486245,302.2447035306895,456.9851772651731,298.2064579609195,12450.56920897854,292.13121381116895,761.9241349137976,13212.493343892338
2020-06-06,3470947.216388379,309.0206801523362,306.2902677292897,463.12653761901225,302.20854522557806,12746.63639385028,296.0671848717389,772.1472177713484,13518.783611621628
2020-06-07,3470636.837317355,313.14603104308026,310.37907102402477,469.3342670861836,306.2537201332807,13046.682384516389,300.04599066610933,782.4802981292639,13829.162682645652
2020-06-08,3470322.3260645,317.3151511168119,314.51125285474416,475.60860482049463,310.34213278101254,13350.75017956309,304.0677950467015,792.9237559373065,14143.673935500397
2020-06-09,3470003.6391216493,321.5281712634587,318.68694285069375,481.94977457034526,314.4739227040469,13658.882932517286,308.1327529541963,803.4779458338039,14462.36087835109
2020-06-10,3469680.7328619277,325.7852113648989,322.9062597217679,488.35798484210636,318.64921962032776,13971.123941865853,312.24100934856665,814.1431962070053,14785.267138072859
2020-06-11,3469353.563550562,330.08638039206943,327.16931136548567,494.83342786549616,322.8681423383151,14287.516641180779,316.3926993149253,824.9198082575656,15112.436449438344
2020-06-12,3469022.0873563904,334.4317757104362,331.47619417159115,501.37627932549725,327.13079885322435,14608.104588574002,320.58794739322326,835.8080550359334,15443.912643609936
2020-06-13,3468686.2603635495,338.8214828924886,335.82699284076665,507.9866975796453,331.4372856587143,14932.931455978569,324.82686740456626,846.8081804721339,15779.739636450702
2020-06-14,3468346.0385836903,343.255575190462,340.2217798590348,514.6648231965871,335.7876875610614,15262.04101792269,329.1095619441196,857.9203983870491,16119.961416309738
2020-06-15,3468001.377968502,347.73411322177725,344.6606151879185,521.410778271037,340.18207715660327,15595.477140004843,333.4361220821534,869.1448914928142,16464.622031497656
2020-06-16,3467652.2344226968,352.2571445071441,349.14354580536127,528.2246658708082,344.6205145199944,15933.283766925066,337.80662692022315,880.4818103779523,16813.765577303016
2020-06-17,3467298.563817361,356.8247030963898,353.67060533569156,535.1065693843364,349.1030467464459,16275.504910157983,342.22114323291765,891.9312724807262,17167.43618263871
2020-06-18,3466940.3220037473,361.43680912902767,358.241813613542,542.0565519201016,353.6297075809041,16622.18463520312,346.6797250451389,903.4933610491292,17525.67799625225
2020-06-19,3466577.464827464,366.09346842963083,362.857176283157,549.0746556596501,358.20051698255384,16973.367048446125,351.18241324300527,915.168124089281,17888.535172535405
2020-06-20,3466209.9481430966,370.794672073104,367.51668436728835,556.160901228772,362.8154807238152,17329.09628360082,355.7292351546934,926.955573301876,18256.051856902694
2020-06-21,3465837.7278292477,375.5403959625317,372.22031384893563,563.3152870452371,367.4745899595079,17689.41648774386,360.32020414304276,938.8556830077689,18628.27217075163
2020-06-22,3465460.7598040095,380.33060039216343,376.9680252381111,570.5377886707432,372.1778208084794,18054.371806926833,364.9553191829733,950.8683890629067,19005.24019598974
2020-06-23,3465079.0000408674,385.1652296138321,381.75976314217166,577.8283581496147,376.925133920503,18424.006371368465,369.63456444163154,962.9935877634468,19386.99995913191
2020-06-24,3464692.4045850392,390.0442113953153,386.5954558280619,585.1869233462403,381.7164740465787,18798.36428021842,374.3579088499531,975.2311347415556,19773.595414959975
2020-06-25,3464300.929570255,394.96745657858867,391.4750147845222,592.6133872740809,386.55176960124885,19177.489585891828,379.12530567340826,987.5808438526695,20165.070429744497
2020-06-26,3463904.531235975,399.9348586332791,396.39833427949713,600.1076274216016,391.4309322248067,19561.426277969113,383.93669207728595,1000.0424860548807,20561.468764023994
2020-06-27,3463503.1659450587,404.9462932088893,401.3652909163587,607.6694950723652,396.35385634074845,19950.218266659096,388.7919886899849,1012.6157882812545,20962.83405494035
2020-06-28,3463096.7902018717,410.0016176840114,406.37574318712865,615.2988146218493,401.32041871200653,20343.90936582162,393.69109916252245,1025.3004323058608,21369.20979812748
2020-06-29,3462685.3606708474,415.10067071425806,411.4295310244467,622.9953828901287,406.33047799420007,20742.54327554754,398.6339097259206,1038.0960536043867,21780.639329151927
2020-06-30,3462268.8341954956,420.2432717783882,416.52647535174367,630.7589684318291,411.38387428761354,21146.163564293456,403.6202887459132,1051.0022402102172,22197.165804503675
2020-07-01,3461847.167817863,425.4292207235953,421.66637763259354,638.5893108433304,416.48042868738645,21554.81365056934,408.65008627588514,1064.0185315669257,22618.832182136266
2020-07-02,3461420.318798444,430.65829730998513,426.8490194192633,646.4861200681735,421.61994283287345,21968.53678417737,413.7231336080303,1077.1444173781586,23045.68120155553
2020-07-03,3460988.2446365426,435.9302607549163,432.0741619011314,654.449075701029,426.80219845620024,22387.376027000715,418.8392428233448,1090.3793364559451,23477.75536345666
2020-07-04,3460550.9030910893,441.244849277481,437.34154545324935,662.4778262910246,432.0269569306846,22811.374233341405,423.99820634068897,1103.7226755685056,23915.09690890991
2020-07-05,3460108.2522019036,446.60177964369655,442.65088918561105,670.5719886449863,437.2939588193955,23240.574029806838,429.19979646543385,1117.1737682886828,24357.74779809552
2020-07-06,3459660.25031141,452.0007467128156,448.00189049353617,678.7311471313517,442.6029234244171,23675.01779474489,434.4437649380517,1130.7318938441672,24805.749688589058
2020-07-07,3459206.8560868003,457.44142298530016,453.3942246097058,686.954852985431,447.95354833722126,24114.747637228033,439.729842483142,1144.396275970731,25259.143913198764
2020-07-08,3458748.028542642,462.9234581529482,458.82754415833716,695.2426236167893,453.3455089906891,24559.805375587363,445.0577383593308,1158.1660817697375,25717.9714573571
2020-07-09,3458283.72706393,468.44647865172686,464.30147871204423,703.5939419195112,458.7784582132656,25010.232515497904,450.4271399105437,1172.040420571238,26182.27293606914
2020-07-10,3457813.911429578,474.01008721785826,469.81563435192805,712.0082555861607,464.25202578579666,25466.070227617052,455.8377121191472,1186.0183428040189,26652.08857042107
2020-07-11,3457338.5418363465,479.6138624477377,475.3695932314695,720.4849764262674,469.76581800159005,25927.359324778536,461.28909716148337,1200.0988388740052,27127.45816365254
2020-07-12,3456857.5789232017,485.2573583622757,480.9629131448117,729.0234796902039,475.3194172302737,26394.140238744872,466.78091396633727,1214.2808380524796,27608.421076797353
2020-07-13,3456370.9837961015,490.9401039762765,486.5951271000396,737.6231033993458,480.9123814860388,26866.45299652177,472.3127577768969,1228.5632073756224,28095.016203897394
2020-07-14,3455878.7180532035,496.6616028734861,492.26574289808366,746.2831476834359,486.544244000874,27344.337196238554,477.88419971678394,1242.944750556922,28587.281946795476
2020-07-15,3455380.7438104856,502.42133278795666,497.9742427178892,755.002874126103,492.21451280341864,27827.831982599306,483.49478636075156,1257.4242069140596,29085.256189513366
2020-07-16,3454877.023727777,508.21874519239736,503.7200827085159,763.781505119513,497.9226703040752,28316.97602190997,489.1440393106653,1272.0002503119103,29588.97627222188
2020-07-17,3454367.521035188,514.0532648941967,509.5026925888458,772.618223229159,503.66817288704647,28811.80747668737,494.8314547774005,1286.6714881233556,30098.478964810725
2020-07-18,3453852.199559932,519.9242896398207,515.3214752555989,781.5121705698249,509.45045050997487,29312.363979856676,500.55650316930894,1301.4364602096457,30613.800440066323
2020-07-19,3453331.0237535317,525.8311897283057,521.1758064003678,790.4624481937838,515.2689063118828,29818.6826085446,506.31862868792393,1316.2936379220896,31134.97624646669
2020-07-20,3452803.9587193956,531.7733076345863,527.065034136407,799.4681154923182,521.1229162301264,30330.79985747619,512.1172489315919,1331.2414231269045,31662.041280603094
2020-07-21,3452270.9702407597,537.7499576434087,532.9884786359182,808.5281896116787,527.0118286270958,30848.751611983927,517.9517545077354,1346.2781472550873,32195.029759239016
2020-07-22,3451732.024808981,543.7604254946032,538.9454317786013,817.641644884616,532.9349639274069,31372.573120638397,523.8215086544697,1361.4020703792191,32733.975191017616
2020-07-23,3451187.0896521686,549.8039680404945,544.9351568122412,826.8074122786563,538.8916142663498,31902.298967510706,529.7258468723095,1376.6113803191508,33278.91034782986
2020-07-24,3450636.1327641425,555.879812916257,550.9568880261294,836.0243788623005,544.8810431503668,32437.963044077427,535.6640765667227,1391.9041917785576,33829.867235855985
2020-07-25,3450079.1229337044,561.9871582240179,557.0098304381198,845.2913872903632,550.902485130359,32979.59852077972,541.6354767022963,1407.2785455143812,34386.8770662941
2020-07-26,3449516.029774208,568.1251722315417,563.0931594961419,854.6072353096777,556.9551454886181,33527.23781824902,547.6392974693036,1422.7324075412193,34949.97022579024
2020-07-27,3448946.8237534133,574.2929930863287,569.2060207949961,863.9706752864222,563.0381999402091,34080.91257821248,553.6747599634646,1438.263668372751,35519.17624658524
2020-07-28,3448371.476223604,580.4897285459773,575.347529809277,873.3804137563367,569.1507943496284,34640.653634092196,559.7410558797139,1453.870142302314,36094.52377639451
2020-07-29,3447789.9594519604,586.714455725667,581.5167716432707,882.8351109991164,575.292044463581,35206.490981313,565.8373472208012,1469.5495667247833,36676.04054803778
2020-07-30,3447202.246651162,592.966220863632,587.7128007986882,892.333380638288,581.4610356607233,35778.45374733455,571.9627660215517,1485.2996015019198,37263.75334883647
2020-07-31,3446608.3120102007,599.2440391054936,593.9346409610998,901.8737892678874,587.6568227192382,36356.570161424184,578.1164140896387,1501.1178283733811,37857.68798979757
2020-08-01,3446008.130725395,605.5468943083418,600.1812848059459,911.454856107266,593.8784296030976,36940.8675241879,584.2973627637191,1517.0017504156078,38457.86927460351
2020-08-02,3445401.67903157,611.8737388654422,606.4516938249989,921.0750526853725,600.1248492678985,37531.372176877696,590.504652689792,1532.9487915508148,39064.32096842851
2020-08-03,3444788.934233396,618.2234935524639,612.7447981741608,930.7328025558564,606.3950434871391,38128.10947049435,596.7372936166552,1548.9562961083202,39677.065766602675
2020-08-04,3444169.8747368525,624.5950473961201,619.0594965434807,940.4264810443528,612.6879426998245,38731.103734705684,602.9942642113281,1565.021528440473,40296.125263146154
2020-08-05,3443544.480080802,630.9872575661104,625.3946560502728,950.1544150293096,619.0024458802825,39340.37824660101,609.2745118953258,1581.14167259542,40921.51991919643
2020-08-06,3442912.730968646,637.3989492912605,631.749112156224,959.9148827577205,625.337420431074,39955.95519930367,615.576952702663,1597.313832048981,41553.269031352655
2020-08-07,3442274.6093000364,643.8289158007452,638.121668609368,969.7061136971304,631.6917020998833,40577.855670464145,621.9004711604734,1613.5350294978757,42191.39069996202
2020-08-08,3441630.098202625,650.2759182912833,644.511097411806,979.5262884252704,638.0640949212678,41206.09959065727,628.2439201931278,1629.8022067165539,42835.90179737382
2020-08-09,3440979.182063811,656.7386859211764,650.9161388140391,989.3735385586842,644.453371184146,41840.705711708004,634.6061210507322,1646.1122244798607,43486.817936187865
2020-08-10,3440321.846562474,663.2159158320706,657.3355013367845,999.2459467216876,650.8582714258904,42481.69157497089,640.985863262887,1662.4618625537582,44144.15343752465
2020-08-11,3439658.078700653,669.7062731992946,663.7678618211177,1009.1415465570045,657.2775044538936,43129.07347958947,647.3819046185766,1678.847819756299,44807.92129934577
2020-08-12,3438987.866835145,676.2083913116259,670.2118655077877,1019.0583227794007,663.7097473954565,43782.86645076253,653.7929711730603,1695.2667140910266,45478.133164853556
2020-08-13,3438311.2007089984,682.7208716813199,676.6661261465332,1028.9942112736203,670.1536457768392,44443.08420804515,660.2177572826197,1711.71508295494,46154.79929100009
2020-08-14,3437628.0714828623,689.2422841852176,683.1292261362039,1038.947099237917,676.6078136323061,45109.739133713156,666.6549256680095,1728.1893834231346,46837.92851713629
2020-08-15,3436938.471766166,695.7711672377338,689.5997166964858,1048.9148253744402,683.0708336439695,45782.842241220606,673.1031075074463,1744.685992612174,47527.52823383278
