,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-04-03,8601740.0,1125.0,0.0,0.0,0.0,0.0,0.0,1125.0,1125.0
2020-04-04,8601740.0,0.6714137349440534,0.0,1124.328586265056,1124.328586265056,0.0,0.0,1125.0,1125.0
2020-04-05,8601155.563472915,584.4369277925496,584.4365270846354,427.65196791528945,0.6710130270298564,697.3476313767964,697.3476313767964,1012.088895707839,1709.4365270846354
2020-04-06,8600933.28107934,222.6311926682555,222.28239357445236,746.4954959497172,584.0881286987465,962.592232041115,265.24460066431874,969.1266886179727,1931.7189206590879
2020-04-07,8600545.28212265,388.13182570507763,387.9989566912248,505.9913910496077,222.49832365440264,1425.5946605956271,463.0024285545121,894.1232167546854,2319.7178773503124
2020-04-08,8600282.299590996,263.2141734654578,262.98253165323797,580.0581437231771,387.9001838928578,1739.4280918149157,313.83343121928846,843.2723171886348,2582.7004090035507
2020-04-09,8599980.83103362,301.62564680782157,301.46855737555785,483.3430245698384,263.0570840331941,2099.2002950014485,359.77220318653275,784.96867137766,2884.1689663791085
2020-04-10,8599729.636186698,251.37486078980692,251.194846921293,485.00252964241815,301.44563293930764,2398.9864228681763,299.7861278667279,736.3773904322251,3135.3638133004015
2020-04-11,8599254.567676041,476.07589771317816,475.0685106570988,434.5545928372893,250.3674737337275,2699.8018334070325,300.8154105388563,910.6304905504675,3610.4323239575
2020-04-12,8598828.93732112,427.5382334393404,425.6303549205387,639.1967636979009,474.1680191943765,2969.3276817407973,269.52584833376494,1066.7349971372414,4036.0626788780387
2020-04-13,8598202.898420898,627.7522636069335,626.0389002220961,668.5696048760669,425.824870054503,3365.7797106171342,396.4520288763369,1296.3218684830003,4662.101579100135
2020-04-14,8597548.138992665,657.27515117662,654.7594282328251,879.1360605957857,625.2365406631386,3780.449795560554,414.67008494341985,1536.4112117724057,5316.86100733296
2020-04-15,8596687.228197299,863.5448315521195,860.9107953660921,988.5064629106877,654.6411149905927,4325.720508236244,545.2707126756907,1852.0512944628072,6177.7718026990515
2020-04-16,8595719.311275974,971.3775851432082,967.9169213245724,1235.4845965786853,860.0841677334837,4938.82654230173,613.1060340654859,2206.8621817218936,7145.688724023624
2020-04-17,8594509.69672173,1213.5073588091254,1209.6145542432098,1436.6789283035523,967.4847805772927,5705.116991154156,766.2904488524257,2650.1862871126777,8355.303278266834
2020-04-18,8593103.298621664,1411.2612419174461,1406.3981000667436,1754.2449854247666,1208.644216958423,6596.195150991364,891.0781598372087,3165.5062273422127,9761.701378333577
2020-04-19,8591386.308805134,1722.6454588767194,1716.9898165289233,2071.8069290874137,1405.60559956965,7684.238806898367,1088.0436559070029,3794.452387964133,11478.6911948625
2020-04-20,8589358.906333162,2034.3059894200744,2027.4024719719337,2502.542269849038,1715.7419414285787,8969.245407565322,1285.0066006669545,4536.8482592691125,13506.093666834435
2020-04-21,8586910.578245103,2456.4805879355717,2448.3280880578686,2976.532143151087,2026.153489542371,10521.409023805645,1552.163616240322,5433.012731086659,15954.421754892304
2020-04-22,8584698.805058293,2236.332216486035,2211.7731868102537,3562.3051065071654,2431.9215582597903,12367.557618709357,1846.148594903712,5798.6373229932005,18166.194941702557
