,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-04-08,4017302.0,825.0,0.0,0.0,0.0,0.0,0.0,825.0,825.0
2020-04-09,4017302.0,3.195762793700851,0.0,821.8042372062991,821.8042372062991,0.0,0.0,825.0,825.0
2020-04-10,4016812.156528542,489.8558507307031,489.8434714581775,258.59296592778185,3.1833835211752723,566.3946547996926,566.3946547996926,748.4488166584849,1314.8434714581776
2020-04-11,4016658.0387653667,156.01529420781497,154.117763175037,568.3267559394149,487.9583196979251,744.6191844859846,178.22452968629207,724.3420501472299,1468.9612346332146
2020-04-12,4016319.3370244903,339.30608981241846,338.70174087608194,332.04193940998704,155.41094527147845,1136.314946286891,391.69576180090627,671.3480292224056,1807.6629755092965
2020-04-13,4016121.468987535,199.18239062460077,197.86803695490545,441.1874721180967,337.99173614272314,1365.1611497215044,228.84620343461344,640.3698627426975,2005.531012464202
2020-04-14,4015858.5726846703,263.6678661051824,262.89630286503876,335.52804206294786,198.41082738445715,1669.2314071611104,304.070257439606,599.1959081681302,2268.4273153292406
2020-04-15,4015658.6501729223,200.9438692709556,199.92251174805443,366.9256948278142,262.64650858228123,1900.4802629785254,231.2488558174149,567.8695640987698,2468.3498270772952
2020-04-16,4015440.0304291053,219.39813041226105,218.61974381706298,314.20278529275555,200.16548267575752,2153.3686551893416,252.88839221081616,533.6009157050166,2686.969570894358
2020-04-17,4015140.264459888,300.78196051499674,299.7659692174663,316.0336217298901,218.38213911473062,2369.9199578669377,216.55130267759603,616.8155822448869,2986.735540111825
2020-04-18,4014838.774285421,302.88303890845424,301.49017446716135,397.6095866699526,299.38909607370385,2587.733089000579,217.81313113364135,700.4926255784069,3288.2257145789863
2020-04-19,4014459.490645419,380.68623414020436,379.28364000176606,425.05403309497234,301.48044477001594,2861.7690873455754,274.0359983449962,805.7402672351767,3667.509354580752
2020-04-20,4014054.0657861563,407.1877453012554,405.4248592627586,511.02643077999517,378.9233481017076,3154.7200377622603,292.95095041668475,918.2141760812506,4072.934213843511
2020-04-21,4013566.6879964666,489.2633992201914,487.3777896896555,564.1246890931018,405.30213577071953,3506.9239152198734,352.20387745761286,1053.388088313293,4560.312003533167
2020-04-22,4013028.734488242,540.2191946044597,537.9535082247544,662.3227412880535,486.9977128404861,3895.723575865408,388.79966064553435,1202.5419358925133,5098.265511757922
2020-04-23,4012397.22324071,634.0129005746919,631.5112475321355,743.5616673428162,537.7175415619033,4352.202191372548,456.4786155071406,1377.5745679175081,5729.776759290056
2020-04-24,4011688.3638987606,711.7953359265289,708.8593419492989,862.169381363949,631.076906597462,4864.6713839488775,512.4691925763292,1573.964717290478,6438.636101239355
2020-04-25,4010866.5775214625,825.082567040536,821.7863772983299,976.453862999259,708.4991461843227,5458.88604849789,594.2146645490128,1801.536430039795,7260.4224785376855
2020-04-26,4009936.0502695115,934.3480534602082,930.5272519507237,1124.7351015116155,821.2617655310514,6131.866575516585,672.9805270186947,2059.0831549718237,8190.949730488408
2020-04-27,4008864.4647181747,1075.9123406734577,1071.5855513366648,1279.579114508434,930.0212641234153,6907.043826643182,775.1772511265968,2355.491455181892,9262.535281825074
2020-04-28,4007645.6781207854,1223.7689441983518,1218.7865973890341,1468.612011669036,1070.92999386414,7788.9409233467195,881.897096703538,2692.380955867388,10481.321879214107
2020-04-29,4006247.264815801,1404.0803477948573,1398.4133049847967,1674.533693335299,1218.1019013882913,8801.121143068747,1012.1802197220284,3078.6140411301562,11879.735184198904
2020-04-30,4004653.329128944,1600.4377177162944,1593.9356868570865,1918.0087698066254,1397.5783169356494,9955.22438353307,1154.1032404643229,3518.4464875229196,13473.67087105599
2020-05-01,4002828.363588007,1832.3768656841064,1824.9655409367906,2189.126774020609,1593.0263929689786,11277.132772288065,1321.908388754995,4021.503639704715,15298.63641199278
2020-05-02,4001418.6561162136,1426.7647615873188,1409.7074717934952,2495.681065736638,1815.3195758902827,12785.898056462318,1508.7652841742536,3922.445827323957,16708.343883786274
2020-05-03,3999812.1062981864,1619.831332578925,1606.5498180271002,2189.1191344662575,1413.483247035494,14505.943234768192,1720.0451783058747,3808.9504670451824,18314.893701813373
2020-05-04,3998403.46600124,1423.719035918807,1408.6402969462983,2285.111709145974,1604.7525936064162,16014.703253694892,1508.7600189266996,3708.8307450647812,19723.533998759674
2020-05-05,3996933.574863568,1483.1443000729137,1469.8911376719664,2120.6586432332924,1410.4658735178598,17589.622193125433,1574.9189394305413,3603.802943306206,21193.42513643164
2020-05-06,3995569.9691314152,1377.4120743994215,1363.6057321528137,2128.4201503645854,1469.337957826306,19051.198643820448,1461.576450695013,3505.832224764007,22557.030868584454
2020-05-07,3994201.839583271,1380.9516467847263,1368.1295481441332,2026.0843769539877,1364.5899757588284,20518.124392989874,1466.9257491694261,3407.036023738714,23925.160416728588
2020-05-08,3992899.9364997996,1314.7581313996548,1301.903083471689,1997.7859350878941,1368.0965988567605,21914.51943371273,1396.395040722854,3312.5440664875487,25227.06350020028
2020-05-09,3991616.635600748,1295.539762615204,1283.3008990516776,1923.4136953863979,1302.5192678361284,23291.410941250353,1376.8915075376246,3218.9534580016016,26510.364399251954
2020-05-10,3990381.5056630396,1247.1899006909866,1235.1299377083724,1881.2599843683204,1283.4797996325897,24617.04445190102,1325.6335106506672,3128.4498850593072,27745.494336960328
2020-05-11,3989173.818757806,1219.2967874376884,1207.68690523364,1820.2591978486685,1235.5800184869381,25913.62525690761,1296.58080500659,3039.555985286357,28953.18124219397
2020-05-12,3988005.645352586,1179.523635097666,1168.1734052200159,1773.667225020658,1207.9465575600382,27168.16378729566,1254.5385303880487,2953.190860118324,30121.354647413984
2020-05-13,3986867.7062377753,1148.9191030651891,1137.9391148109642,1719.783935906456,1168.5436468434411,28390.590723253303,1222.426935957643,2868.703038971645,31259.29376222495
2020-05-14,3985764.6520863255,1113.7492472335448,1103.0541514496726,1672.717840499644,1138.224007281317,29575.880825941433,1185.290102688129,2786.4670877331887,32362.34791367462
2020-05-15,3984692.082542653,1082.937249150235,1072.5695436724523,1623.2476434181788,1103.381541755762,30728.73256477866,1152.8517388372272,2706.1848925684135,33434.917457347074
2020-05-16,3983651.5140579804,1050.649366413301,1040.5684846726417,1577.3475637038935,1072.8563674095756,31847.489011902522,1118.7564471238609,2627.9969301171946,34475.48594201972
2020-05-17,3982640.6334635736,1020.66091364702,1010.8805944068957,1531.094899409269,1040.8690471731768,32934.61072337032,1087.1217114678013,2551.755813056289,35486.36653642661
2020-05-18,3981659.6439824156,990.4906429065869,980.9894811579604,1487.0106798668253,1011.1597518983936,33989.85469481116,1055.2439714408372,2477.501322773412,36467.35601758457
2020-05-19,3980707.1344260676,961.7298680919264,952.5095563479116,1443.4202685613602,981.2703311625721,35014.7154372792,1024.8607424680372,2405.1501366532866,37419.86557393249
2020-05-20,3979782.7680340777,933.318974491034,924.3663919897836,1401.3797037088275,952.7772855906759,36009.53328772241,994.8178504432086,2334.6986781998617,38344.23196592227
2020-05-21,3978885.532818156,905.9233261662404,897.2352159220499,1360.1674418314574,924.6308642468435,36975.37641384662,965.8431261242138,2266.0907679976976,39241.46718184432
2020-05-22,3978014.880139038,879.085767853382,870.652679117767,1320.2184038151295,897.4902374306254,37912.81568929357,937.4392754469534,2199.3041716685116,40112.119860962084
2020-05-23,3977169.984037295,853.0793641364644,844.8961017428395,1281.2148595919634,870.9025054597571,38822.7217389765,909.906049682923,2134.294223728428,40957.01596270493
2020-05-24,3976350.2230606624,827.7021497634889,819.7609766327237,1243.328584102171,845.1381910056991,39705.746205471994,883.0244664954917,2071.03073386566,41776.77693933765
