,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-03-27,9556216.0,855.0,0.0,0.0,0.0,0.0,0.0,855.0,855.0
2020-03-28,9556216.0,1.9217383194880995,0.0,853.0782616805119,853.0782616805119,0.0,0.0,855.0,855.0
2020-03-29,9555650.4898256,565.5144937895525,565.5101743998816,339.8099034527538,1.917418929817235,515.1857771575753,515.1857771575753,905.3243972423063,1420.5101743998816
2020-03-30,9555425.24134073,226.51956191508305,225.2484848707072,698.8374132173917,564.2434167451767,720.4016841381141,205.21590698053873,925.3569751324748,1645.7586592705889
2020-03-31,9554962.016589664,463.7338871151213,463.22475106571096,502.8102465110155,226.01042586567266,1142.4392767101629,422.0375925720488,966.5441336261368,2108.9834103362996
2020-04-01,9554628.744707344,334.314192472261,333.2718823191449,661.8477518040565,462.6915769620052,1446.093348379127,303.6540716689642,996.1619442763176,2442.2552926554445
2020-04-02,9554190.075141562,439.4209861263499,438.66956578199586,595.7115001853405,333.562772127907,1845.7923721257503,399.6990237466231,1035.1324863116904,2880.924858437441
2020-04-03,9553795.258498719,395.8043061731244,394.8166428428013,674.3863975584625,438.43332279602674,2205.5507975486553,359.7584254229048,1070.1907037315868,3275.741501280242
2020-04-04,9553348.317369474,447.8307576681459,446.9411292445303,662.0297897330349,394.9146777495088,2612.8220831235917,407.27128557493637,1109.8605474011808,3722.6826305247723
2020-04-05,9552687.130703552,664.705443304998,661.1866659220201,706.5328110450882,444.311980285168,3012.6310420967066,399.80895897311467,1371.2382543500862,4383.869296446793
2020-04-06,9551981.546529675,710.8070185346976,705.5841738769906,939.3304597927756,659.482598647291,3439.31599199631,426.6849498996035,1650.1374783274732,5089.453470323783
2020-04-07,9551043.546564426,943.5850475993054,937.9999652492107,1077.2777218076114,705.2219361846029,4006.590666166077,567.2746741697671,2020.8627694069169,6027.453435572994
2020-04-08,9549967.900367921,1083.0603047759305,1075.6461965049907,1362.8657248990553,936.1709393283658,4657.173602402999,650.5829362369218,2445.926029674986,7103.099632077985
2020-04-09,9548607.251942804,1369.1584437788015,1360.6484251175311,1614.3625243847268,1074.5502861146601,5480.227089031987,823.0534866289886,2983.5209681635283,8463.748057195515
2020-04-10,9546995.745523144,1622.2644207202363,1611.506419660264,1997.8270800949958,1358.4004427188293,6455.162976040548,974.9358870085604,3620.0915008152324,10075.25447685578
2020-04-11,9545001.789541462,2006.702733116533,1993.955981681764,2400.829306286618,1609.5176692854673,7661.678419134392,1206.515443093845,4407.5320394031505,12069.210458537542
2020-04-12,9542606.112670802,2411.444300812581,2395.6768706601324,2941.8705402758474,1990.9353029640847,9111.572488109246,1449.8940689748551,5353.314841088428,14464.887329197674
2020-04-13,9539671.292486649,2953.767823458386,2934.82018415332,3557.7308383114696,2392.496661507515,10888.20885158114,1776.6363634718928,6511.498661769856,17399.707513350993
2020-04-14,9537111.583957871,2567.499919921634,2559.7085287769855,4355.144343652621,2945.9764323137374,13036.771778553724,2148.562926972586,6922.644263574255,19959.41604212798
2020-04-15,9533978.994845742,3139.3616133329365,3132.589112129189,4285.739775537171,2560.7274187178864,15666.90376538706,2630.131986833336,7425.101388870107,23092.005154257167
2020-04-16,9530897.339926723,3089.935865841699,3081.6549190185556,4828.602835135121,3131.080666509793,18255.121372298905,2588.2176069118436,7918.53870097682,26173.660073275725
2020-04-17,9527426.462368196,3479.028131078925,3470.87755852835,4994.328001300411,3081.785293291124,21171.18149942474,2916.0601271258333,8473.356132379336,29644.537631804076
2020-04-18,9523837.766264204,3597.8730165295165,3588.6961039918433,5448.035369614925,3469.851218541252,24187.325349651477,3016.1438502267383,9045.908386144441,33233.23373579592
2020-04-19,9519924.531311475,3922.7253519882806,3913.23495273011,5746.273973196487,3588.3826172713457,27477.46936334126,3290.144013689784,9668.999325184766,37146.46868852603
2020-04-20,9515798.772357378,4136.106242508706,4125.7589540970575,6188.3975998475125,3912.3780635766325,30947.723800266867,3470.2544369256066,10324.503842356218,41272.22764262308
2020-04-21,9511357.499298874,4452.183198865662,4441.273058503487,6576.334683628007,4125.19610214653,34684.9828186329,3737.2590183660363,11028.51788249367,45713.50070112657
2020-04-22,9506640.015366979,4729.227813887417,4717.483931895576,7045.23440440546,4440.439316873821,38656.52241472927,3971.539596096368,11774.462218292876,50430.98463302215
2020-04-23,9501588.676395895,5063.813635956855,5051.338971083905,7507.272921797717,4716.7531490144665,42911.23704635148,4254.71463162221,12571.086557754572,55482.32360410605
2020-04-24,9496208.922023004,5393.111601717864,5379.754372890328,8023.983237529322,5050.45640712932,47444.983137749194,4533.746091397715,13417.094839247186,60862.07797699638
2020-04-25,9490462.145746743,5761.0021208384,5746.776276260498,8557.074387287676,5378.885757139962,52290.7777451308,4845.794607381608,14318.076508126076,66608.85425325687
2020-04-26,9484337.27842518,6140.063580576893,6124.867321564211,9135.144513208528,5745.805861825717,57458.51348103567,5167.735735904866,15275.208093785423,72733.72157482109
2020-04-27,9477802.867704922,6550.606860193535,6534.410720256824,9742.171662768054,6123.867440640182,62975.35377211632,5516.840291080656,16292.77852296159,79268.13229507791
2020-04-28,9470839.048844157,6981.097923757432,6963.818860766344,10392.067066090847,6533.327797202447,68858.78616599597,5883.432393879653,17373.16498984828,86231.95115584426
2020-04-29,9463416.135105751,7441.328342325721,7422.913738404888,11078.837157086156,6962.683319836599,75134.69939483727,6275.91322884129,18520.165499411876,93654.86489424914
2020-04-30,9455508.873025704,7926.890670788072,7907.262080046999,11809.87371027689,7421.699751584647,81825.36259323118,6690.663198393913,19736.76438106496,101562.12697429614
2020-05-01,9447086.893588977,8442.888834305639,8421.979436726562,12583.70868593968,7905.981273208996,88957.50889077739,7132.146297546206,21026.59752024532,109984.10641102272
2020-05-02,9438121.061886456,8988.102189989775,8965.831702520709,13404.851075999022,8420.618346836573,96556.98484755462,7599.475956777231,22392.9532659888,118949.93811354341
2020-05-03,9428579.234542781,9565.53598429742,9541.827343674377,14273.869406607113,8964.393549366732,104652.36006631325,8095.3752187586415,23839.405390904532,128491.76545721779
