,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-04-12,3272462.0,765.0,0.0,0.0,0.0,0.0,0.0,765.0,765.0
2020-04-13,3272462.0,5.230251605813464,0.0,759.7697483941865,759.7697483941865,0.0,0.0,765.0,765.0
2020-04-14,3272082.18439435,379.85136451543326,379.81560565025666,363.0583923184981,5.194492740636845,401.9058488163253,401.9058488163253,742.9097568339314,1144.8156056502567
2020-04-15,3271900.709363581,184.07204803581996,181.47503076885621,548.2607506018159,377.2543472484695,593.957837781477,192.0519889651517,732.3327986376358,1326.2906364191128
2020-04-16,3271626.6759835547,275.29186777143786,274.0333800265689,441.0532843791184,182.81356029095105,883.9788642951255,290.0210265136485,716.3451521505563,1600.3240164456818
2020-04-17,3271406.245833444,222.31230139627618,220.43015011068277,481.152981604167,273.40971648584446,1117.2888835559213,233.31001926079585,703.4652830004432,1820.7541665563645
2020-04-18,3271165.790809656,241.97495747611796,240.45502378805267,447.42324193597403,220.7923677082109,1371.8109909323252,254.52210737640385,689.398199412092,2061.209190344417
2020-04-19,3270942.208575591,225.2365999603968,223.5822340650947,451.06421023553526,240.32059158081586,1608.4906142135799,236.67962328125466,676.3008101959321,2284.791424409512
2020-04-20,3270520.144861059,423.53808453847125,422.06371453233515,436.22080385255776,223.76222995426068,1847.096250550818,238.60563633723814,859.758888391029,2706.855138941847
2020-04-21,3270215.6808406897,306.8557712713142,304.46402036898127,626.6134218870294,421.1463336361383,2077.8499661524847,230.75371560166667,933.4691931583436,3011.3191593108286
2020-04-22,3269778.371387598,439.042290337191,437.3094530915771,600.2680397083994,305.1229340257003,2409.318282356815,331.4683162043303,1039.3103300455905,3448.6286124024055
2020-04-23,3269359.504226765,421.34646513266523,418.8671608329809,719.2989885383006,436.5629860375067,2726.8503195644207,317.5320372076055,1140.6454536709657,3867.4957732353864
2020-04-24,3268857.6415436617,504.2420577686889,501.86268310330547,757.7686044059186,418.9670904672818,3107.3477941640845,380.4974745996638,1262.0106621746074,4369.358456338692
2020-04-25,3268329.0193520924,531.4696837798207,528.6221915691103,858.3158937939668,501.3945655579785,3508.195070334015,400.8472761699303,1389.7855775737876,4897.980647907802
2020-04-26,3267730.351827147,601.6687735748243,598.6675249453695,932.7491708232006,528.4684351503658,3962.230228455147,454.035158121132,1534.417944398025,5496.648172853172
2020-04-27,3267079.886937857,653.8625573737,650.4648892899165,1037.6111243642656,598.2711054910408,4455.639380405123,493.4091519499758,1691.4736817379658,6147.113062143089
2020-04-28,3266356.439223593,727.140124506747,723.4477142638655,1138.9018503806217,650.1701471308185,5004.518801519585,548.8794211144624,1866.0419748873687,6870.560776406954
2020-04-29,3265562.5449867668,798.0004509129534,793.8942368264288,1259.475191841437,723.0339104202225,5606.979370478993,602.4605689594072,2057.4756427543903,7664.4550132333825
2020-04-30,3264684.8160844236,882.2352699359623,877.7289023430385,1386.7273681758343,793.4940833200296,6273.221277464625,666.2419069856322,2268.9626381117964,8542.183915576421
2020-05-01,3263718.6648308206,971.1333014515212,966.1512536027695,1530.4243501501792,877.2532220872106,7006.7775175774905,733.5562401128658,2501.5576516017004,9508.33516917919
2020-05-02,3262652.7135451157,1071.435347315332,1065.9512857047607,1686.5039818351077,965.6492398409501,7816.347125733512,809.5696081560217,2757.9393291504393,10574.286454883952
2020-05-03,3261478.435354107,1180.3286656936586,1174.2781910084238,1859.7556578169429,1065.384872630097,8708.480322381774,892.133196648262,3040.0843235106013,11748.564645892377
2020-05-04,3260183.9916261486,1301.1091312698786,1294.4437279583947,2049.6384027125373,1173.6632623821747,9692.260839868355,983.7805174865804,3350.747533982416,13043.008373850771
2020-05-05,3258757.9502200717,1433.388865614441,1426.0414060769135,2259.1746709594463,1293.761671732351,10776.486243353796,1084.2254034854418,3692.563536573887,14469.049779927684
2020-05-06,3257186.8109292393,1579.233743817707,1571.1392908325329,2489.4023996685482,1425.294412629267,11971.552927273962,1195.0666839201651,4068.636143486255,16040.189070760218
2020-05-07,3255456.394829932,1739.3341491111476,1730.4160993072283,2742.864683028903,1570.3156940137876,13288.406337927396,1316.8534106534328,4482.19883214005,17770.605170067447
2020-05-08,3253550.8066919553,1915.4102866158667,1905.5881379769119,3021.4458443212307,1729.5120004721928,14739.337177107262,1450.9308391798654,4936.856130937097,19676.19330804436
2020-05-09,3251452.9047594797,2108.718396091599,2097.901932475716,3327.743921431031,1904.5938229999833,16337.632922997444,1598.2957458901828,5436.46231752263,21774.095240520073
2020-05-10,3249143.818577937,2320.9942703565093,2309.086181542928,3664.2317781075935,2096.8103072780177,18097.9553735989,1760.322450601455,5985.226048464103,24083.181422063004
2020-05-11,3246603.05270411,2553.872700209562,2540.7658738270325,4033.800164034495,2307.8874439739798,20036.27443164598,1938.3190580470782,6587.672864244058,26623.947295890037
2020-05-12,3243808.216582917,2809.2580292999723,2794.8361211926394,4439.436228308688,2539.450792102229,22170.089159474013,2133.8147278280353,7248.69425760866,29418.783417082675
2020-05-13,3240734.981608694,3089.0990621809087,3073.2349742234205,4884.44055638291,2793.393941342484,24518.478772742277,2348.389613268263,7973.539618563818,32492.018391306097
