,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-03-22,11433147.0,810.0,0.0,0.0,0.0,0.0,0.0,810.0,810.0
2020-03-23,11433147.0,2.6676955669898916,0.0,807.3323044330101,807.3323044330101,0.0,0.0,810.0,810.0
2020-03-24,11432453.939077396,693.069708529528,693.0609226040489,153.92612302769408,2.6589096415107094,656.0650910468268,656.0650910468268,846.9958315572221,1503.0609226040488
2020-03-25,11432321.807966758,134.41370198336438,132.13111063884682,719.6277514193738,690.7871171850105,781.1505798401575,125.08548879333075,854.0414534027382,1635.1920332428958
2020-03-26,11431704.082312271,618.1683394703861,617.7256544865296,268.80531513777373,133.97101699950792,1365.9440331212654,584.793453281108,886.9736546081598,2252.9176877294253
2020-03-27,11431473.353346102,232.76487350009455,230.7289661681703,666.4976048697108,616.1324321384618,1584.3841755277901,218.4401424065247,899.2624783698054,2483.6466538975956
2020-03-28,11430901.276862198,572.8430836824464,572.076483903203,356.8777500698275,231.99827372085116,2126.002304048525,541.6181285207344,929.7208337522738,3055.7231378007987
2020-03-29,11430594.972458547,308.19103445997143,306.3044036514276,637.8234696849127,570.9564528739025,2416.013037307342,290.0107332588174,946.0145041448841,3362.027541452226
2020-03-30,11430047.549980232,548.4374904825193,547.4224783141058,426.6829197138068,307.176022291558,2934.329609570006,518.3165722626638,975.120410196326,3909.450019766332
2020-03-31,11429681.359888008,367.99634440071463,366.1900922252439,626.5774214464893,546.6312383070485,3281.0663461443723,346.7367365743661,994.573765847204,4275.640111991576
2020-04-01,11429143.632497817,538.9393682353972,537.7273901901796,484.18412850111696,366.784366355497,3790.244005445242,509.1776593008694,1023.1234967365142,4813.367502181756
2020-04-02,11428728.126273245,417.2811951443324,415.50622457208806,627.8843942271687,537.1643976631528,4183.708137382343,393.4641319371011,1045.165589371501,5228.873726753844
2020-04-03,11428189.32218176,540.1783867865295,538.8040914847087,533.5515452034067,415.9068998425117,4693.947886248617,510.23974886627377,1073.7299319899362,5767.677818238553
2020-04-04,11427731.48917131,459.61206166923216,457.83301044970847,638.3691435353534,538.3993355670058,5127.529623483676,433.5817372350591,1097.9812052045854,6225.510828688261
2020-04-05,11427183.735611808,549.2672694526568,547.7535595027184,577.7074902661957,458.0983517192938,5646.289628472127,518.7600049884516,1126.9747597188525,6773.26438819098
2020-04-06,11426702.807133377,486.06098476619366,480.9284784312696,652.37792609418,544.1347631177327,6115.753955761876,469.46432728974844,1138.4389108603737,7254.192866622249
2020-04-07,11426159.740055015,547.6089675700758,543.067078362008,603.7530138753539,481.51909555812585,6645.897963538828,530.144007776952,1151.3619814454296,7797.259944984257
2020-04-08,11425657.1743038,507.6827619150996,502.5657512147982,655.6151844192705,542.4919568697744,7136.527749864686,490.62978632585776,1163.29794633437,8299.825696199056
2020-04-09,11425111.462335682,550.4558972344801,545.7119681191379,625.7793056214426,502.9388327997574,7669.302461462271,532.7747115975852,1176.2352028559226,8845.537664318193
2020-04-10,11424590.609624967,525.9963239186999,520.8527107147535,662.5625058243662,545.3122840305336,8177.8315452898805,508.52908382761007,1188.558829743066,9366.390375032946
2020-04-11,11424039.16642186,556.3582592459352,551.4432031069636,645.223437490881,521.0812677797283,8716.251881403094,538.4203361132135,1201.5816967368162,9917.83357813991
2020-04-12,11423502.18024776,542.1849406191383,536.9861741007682,672.0528979149682,551.1594927275651,9240.581913706572,524.3300323034779,1214.2378385341065,10454.819752240679
2020-04-13,11422942.891588684,564.3549861580141,559.2886590761161,663.0389669747284,537.1186135372403,9786.714458184051,546.1325444774801,1227.3939531327424,11014.108411316793
2020-04-14,11422391.131421806,557.0336570393538,551.7601668776546,683.3129386748768,559.0814959963149,10325.521982480217,538.8075242961664,1240.3465957142307,11565.868578194448
2020-04-15,11421822.527360065,573.809139365521,568.6040617420731,679.8586898630091,551.8285794159059,10880.80481070799,555.2828282277736,1253.66782922853,12134.47263993652
2020-04-16,11421256.82583855,571.0633539161834,565.7015215139621,695.8302061081366,568.4473069632998,11433.280601426162,552.4757907181722,1266.8935600243199,12700.174161450483
2020-04-17,11420677.86330367,584.2987098983103,578.96253488002,696.102608804458,565.727178897893,11998.735377627734,565.4547762015717,1280.4013187027683,13279.136696330503
2020-04-18,11420098.703477362,584.6196761795894,579.1598263089983,709.265329136562,578.8388600277192,12564.41151732335,565.6761396956152,1293.8850053161514,13858.2965226395
2020-04-19,11419508.622146733,595.5441796978378,590.0813306289264,712.0495520775933,579.156827110678,13140.784121492996,576.3726041696467,1307.593731775431,14448.377853268426
2020-04-20,11418916.255059706,597.9320176986381,592.3670870264133,723.393644738791,589.979249025613,13719.41927785741,578.6351563644153,1321.325662437429,15040.74494029484
2020-04-21,11418314.481831409,607.3604715919674,601.773228296458,727.8846756557626,592.3447744031287,14307.273021343568,587.853743486157,1335.24514724773,15642.518168591298
