,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-03-18,17263998.0,945.0,0.0,0.0,0.0,0.0,0.0,945.0,945.0
2020-03-19,17263998.0,5.608093215647841,0.0,939.3919067843522,939.3919067843522,0.0,0.0,945.0,945.0
2020-03-20,17263284.637679562,713.3956016114315,713.3623204373412,448.3094151797713,5.574812041557476,496.65730364613836,496.65730364613836,1161.7050167912028,1658.3623204373412
2020-03-21,17262944.211252965,344.6600657867144,340.42642659785724,920.4498068028481,709.1619624225743,733.678874445636,237.0215707994976,1265.1098725895627,1998.7887470351986
2020-03-22,17262245.27598881,700.9806459277963,698.9352641535708,776.4218916117918,342.6146840124888,1220.3214736491811,486.64259920354516,1477.4025375395881,2697.7240111887695
2020-03-23,17261655.73089407,593.7050574961456,589.5450947398195,1062.7476573853105,696.8206831714703,1630.8163910471326,410.4949173979515,1656.4527148814561,3287.269105928589
2020-03-24,17260848.803272072,810.4509588289499,806.9276219982198,1091.0537836781575,590.1817206654156,2192.6919854197013,561.8755943725686,1901.5047425071075,4094.1967279268088
2020-03-25,17260020.421978503,833.1909068220536,828.38129356933,1319.8540617286599,805.6413455762262,2769.533052945425,576.8410675257237,2153.0449685507137,4922.578021496139
2020-03-26,17259018.37243729,1006.9941044647946,1002.0495412141192,1450.2924353032934,828.2463435713782,3467.3410229421697,697.8079699967448,2457.286539768088,5924.627562710258
2020-03-27,17257614.749299496,1413.1732813881258,1403.6231377928643,1680.9655466327338,997.443960869533,4234.111872482263,766.7708495400926,3094.1388280208594,7328.250700503122
2020-03-28,17255988.008242693,1640.143327683058,1626.7410568034122,2192.0086365755506,1399.77101050848,5122.839793047926,888.7279205656632,3832.1519642586086,8954.991757306534
2020-03-29,17254631.734212235,1356.2883192450993,1356.274030458968,2673.2208366662653,1640.1290388969267,6281.756631854138,1158.9168388062117,4029.5091559113644,10311.265787765502
2020-03-30,17252977.847008497,1653.8990196046916,1653.8872037387248,2616.163199948187,1356.2765033791325,7695.090771951348,1413.3341400972106,4270.062219552879,11965.152991504227
2020-03-31,17251359.415772017,1618.4456451053984,1618.4312364808743,2886.8800921087404,1653.8846109801675,9078.258490770962,1383.1677188196138,4505.325737214139,13583.584227985102
2020-04-01,17249573.679073483,1785.7507982902962,1785.7366985324898,2979.015666476049,1618.431545347592,10604.554461751246,1526.2959709802833,4764.766464766345,15369.32092651759
2020-04-02,17247731.14084175,1842.553789038729,1842.538231732968,3189.742779600222,1785.735240984535,12179.562589611607,1575.008127860362,5032.296568638951,17211.859158250558
2020-04-03,17245758.47742046,1972.679473458147,1972.663421289667,3345.860783875673,1842.537736870249,13865.982322206406,1686.4197325947982,5318.54025733382,19184.522579540226
2020-04-04,17243689.501095343,2068.993510927702,2068.976325115568,3549.5636166937247,1972.662287646013,15634.941777034368,1768.9594548279613,5618.557127621427,21253.498904655797
2020-04-05,17241494.82459642,2194.6945238139947,2194.6764989223366,3741.881786166111,2068.975486036044,17511.599093598026,1876.657316563658,5936.576309980106,23448.175403578134
2020-04-06,17239181.53324544,2313.3104709671925,2313.2913509792347,3958.221092929646,2194.675403826037,19489.93519066053,1978.3360970625017,6271.531563896839,25761.46675455737
2020-04-07,17236734.825783093,2446.7276157085757,2446.7074623487947,4178.796537168451,2313.2903176074115,21582.650064029134,2092.7148733686063,6625.5241528770275,28208.17421690616
2020-04-08,17234152.139943503,2582.7071552667016,2582.6858395883505,4416.169538021828,2446.7063000302246,23791.98336320598,2209.3332991768484,6998.87669328853,30790.86005649451
2020-04-09,17231423.15578221,2729.00666161141,2728.9841612911277,4664.02158545076,2582.6846549464194,26126.81597072347,2334.8326075174878,7393.02824706217,33519.84421778564
2020-04-10,17228541.4671441,2881.712412979392,2881.6886381105246,4927.132275458354,2728.9828867425426,28592.68816745842,2465.8721967349475,7808.844688437746,36401.53285589616
2020-04-11,17225497.72337837,3043.768870958334,3043.743765730232,5203.84053989033,2881.68730775129,31197.667210777734,2604.9790433193148,8247.609410848663,39445.2766216264
2020-04-12,17222283.610577513,3214.1393179078113,3214.1128008579312,5496.307954680426,3043.742353908454,33948.942149896095,2751.2749391183575,8710.447272588237,42659.38942248433
2020-04-13,17218889.490915533,3394.1476632801,3394.1196619776924,5804.516560110936,3214.1113166054038,36854.84486107099,2905.9027111748937,9198.664223391035,46053.50908446203
2020-04-14,17215305.750469204,3583.770015847724,3583.7404463282555,6129.781789700738,3394.1180937606314,39923.697725241815,3068.852864170829,9713.551805548463,49637.24953079028
2020-04-15,17211521.97715606,3783.8045346370714,3783.773313144147,6472.699715124159,3583.7387943547997,43164.51859417319,3240.8208689313788,10256.50424976123,53421.02284393442
2020-04-16,17207527.406659298,3994.603460939285,3994.5704967630168,6834.349416524975,3783.771570460803,46586.640463233176,3422.1218690599876,10828.95287746426,57415.593340697436
2020-04-17,17203310.62607275,4216.815387187018,4216.7805865488235,7215.59170167553,3994.568660301091,50199.96683838371,3613.3263751505356,11432.407088862548,61632.37392724626
2020-04-18,17198859.710705455,4450.952103823002,4450.915367293818,7617.480855325708,4216.778650657834,54014.85633539137,3814.889497007656,12068.432959148711,66083.28929454008
2020-04-19,17194162.106958907,4697.642522856393,4697.6037465484815,8041.025546961504,4450.913327515091,58042.22497127067,4027.3686358792947,12738.668069817897,70780.89304108857
2020-04-20,17189204.662996974,4957.484887387241,4957.443961933838,8487.330068180083,4697.601597402991,62293.52204745508,4251.297076184412,13444.814955567323,75738.3370030224
2020-04-21,17183973.57254718,5231.133638970996,5231.090449793495,8957.513108555991,4957.44169820974,66780.78070528891,4487.258657833831,14188.646747526987,80969.4274528159
2020-04-22,17178454.369097885,5519.2490224763915,5519.203449294749,9452.756341384022,5231.088065789353,71516.62553825023,4735.844832961322,14972.005363860413,86488.63090211064
2020-04-23,17172631.890458524,5822.526722578707,5822.478639360883,9974.276927395236,5519.200939258567,76514.30589149758,4997.680353247351,15796.803649973943,92311.10954147152
2020-04-24,17166490.26062424,6141.680559629435,6141.629834282644,10523.344192016892,5822.475997231916,81787.71462410784,5273.408732610262,16665.024751646328,98452.73937575417
2020-04-25,17160012.861747798,6477.452382229742,6477.398876442459,11101.270181371205,6141.627053842152,87351.41568859568,5563.701064487838,17578.722563600946,104930.13825219663
2020-04-26,17153182.312349826,6830.605828973097,6830.549397970877,11709.415103812942,6477.395951227522,93220.66671738146,5869.251028785786,18540.02093278604,111760.6876501675
2020-04-27,17145980.44263388,7201.929223590396,7201.869715946039,12349.183656318375,6830.54632132874,99411.44448620477,6190.777768823306,19551.11287990877,118962.55736611354
2020-04-28,17138388.272558402,7592.232818057395,7592.170075475894,13022.026188235472,7201.866481008895,105940.46843529657,6529.0239490917975,20614.259006292865,126554.72744158944
2020-04-29,17130385.98972847,8002.348972804816,8002.282829932321,13729.4364928898,7592.1666751849,112825.22480582714,6884.756370530573,21731.785465694615,134557.01027152175
2020-04-30,17121952.9292253,8433.130218936953,8433.060503168159,14472.950946978803,8002.2792570360225,120083.98960877415,7258.764802947018,22906.081165915755,142990.0707746899
2020-05-01,17113067.554589137,8885.44810485897,8885.374636161398,15254.146167204572,8433.05675023938,127735.85113878777,7651.861530013612,24139.594272063543,151875.4454108513
2020-05-02,17103707.440913495,9360.191084896036,9360.11367564435,16074.636752484193,8885.370695607284,135800.73124911543,8064.880110327662,25434.82783738023,161235.55908649566
