,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-03-28,3505833.0,1020.0,0.0,0.0,0.0,0.0,0.0,1020.0,1020.0
2020-03-29,3505833.0,9.495012536990316,0.0,1010.5049874630097,1010.5049874630097,0.0,0.0,1020.0,1020.0
2020-03-30,3505615.485012815,217.6033746980676,217.5149871852464,642.5374041044495,9.406625024169136,377.37420838272936,377.37420838272936,860.140778802517,1237.5149871852464
2020-03-31,3505477.185008731,140.32563817289935,138.30000408383117,618.1588384719752,215.57774060899942,617.330514624203,239.95630624147373,758.4844766448746,1375.8149912690776
2020-04-01,3505222.32324448,255.2171093801451,254.86176425147187,527.2770276499763,139.9702930442261,848.182618490428,230.852103866225,782.4941370301214,1630.6767555205492
2020-04-02,3504986.325188317,237.89140413512135,235.99805616327237,583.688598246258,253.32376140829612,1045.0948093024424,196.91219081201433,821.5800023813794,1866.6748116838216
2020-04-03,3504725.0960942376,262.99390995965473,261.2290940794284,601.8360320803346,236.126588254895,1263.073963723261,217.97915442081845,864.8299420399893,2127.9039057632503
2020-04-04,3504455.7652140087,271.2819210004006,269.33088022872147,638.122567553695,261.0428691879756,1487.830297437876,224.75633371461512,909.4044885540957,2397.234785991972
2020-04-05,3504170.217496529,287.5602435056099,285.5477174795418,669.0843818932061,269.2693949743325,1726.1378780726975,238.30758063482145,956.6446253988161,2682.7825034715133
2020-04-06,3503870.8393514724,301.51143308410985,299.37814505671986,704.6410328298175,285.4269554782199,1976.008182614306,249.87030454160845,1006.1524659139274,2982.160648528233
2020-04-07,3503555.5785140945,317.49762339002524,315.2608373778901,740.7667046297872,299.2746470719747,2239.157157886311,263.148975272005,1058.2643280198124,3297.421485906123
2020-04-08,3503224.184643411,333.74925149148083,331.39387068346065,779.2687997368328,315.14224258200505,2515.7973053612704,276.64014747495946,1113.0180512283137,3628.815356589584
2020-04-09,3502875.5992178004,351.06137038529323,348.5854256104612,819.5233088556995,331.2733067166488,2806.8161029590524,291.0187975977821,1170.5846792409927,3977.400782200045
2020-04-10,3502509.0434725066,369.1601213689502,366.5557452938984,861.928414488909,348.45699431024144,3112.8679916360843,306.05188867703197,1231.0885358578591,4343.956527493943
2020-04-11,3502123.5611474216,388.2209681516198,385.48232508502053,906.4617703813349,366.4214783023509,3434.7561140460093,321.8881224099251,1294.6827385329548,4729.438852578964
2020-04-12,3501718.20667988,408.2345149819948,405.3544675413497,953.2835375296107,385.34092071097473,3773.2752676087084,338.5191535626989,1361.5180525116054,5134.793320120314
2020-04-13,3501291.963646423,429.2715529510208,426.2430334569431,1002.4847385803371,405.2059954879171,4129.280062045899,356.0047944371907,1431.7562915313579,5561.036353577258
2020-04-14,3500843.775771321,451.3724594984406,448.1878751023307,1054.1926695935153,426.08696855491087,4503.659099587632,374.3790375417326,1505.565129091956,6009.224228679588
2020-04-15,3500372.5307993623,474.59351364845566,471.2449719585373,1108.5271656709135,448.02391780852224,4897.348521318756,393.68942173112407,1583.1206793193692,6480.469200638125
2020-04-16,3499877.0639363527,498.9876718956359,495.4668630098156,1165.6191708765118,471.07270476263534,5311.329220875793,413.98069955703704,1664.6068427721477,6975.9360636479405
2020-04-17,3499356.152997068,524.6127181304892,520.9109392848004,1225.6032917010557,495.28589304994716,5746.6309931011965,435.3017722254033,1750.2160098315449,7496.847002932742
2020-04-18,3498808.5168944392,551.5279828728986,547.6361026290899,1288.6212209082441,520.7208378866804,6204.333901780688,457.7029086794921,1840.1492037811427,8044.483105561831
2020-04-19,3498232.8126112805,579.7958363872068,575.7042831589513,1354.82062631382,547.4364296446431,6685.5709260197555,481.2370242390674,1934.6164627010266,8620.187388720782
2020-04-20,3497627.6326831,609.4811886780703,605.1799281803852,1424.3559365896358,575.4945758895217,7191.530191633461,505.95926561370584,2033.8371252677061,9225.367316901167
2020-04-21,3496991.5023455084,640.6518211838032,636.1303375917886,1497.388337313494,604.9597050860557,7723.457495995659,531.9273043621974,2138.0401584972974,9861.497654492956
2020-04-22,3496322.876700685,673.3783701765784,668.6256448234635,1574.086097726829,635.8990958306883,8282.658831413013,559.2013354173536,2247.4644679034072,10530.12329931642
2020-04-23,3495620.137756802,707.734453684553,702.7389438828893,1654.6247589877178,668.3828603749147,8870.50303052704,587.8441991140259,2362.3592126722706,11232.86224319931
2020-04-24,3494881.591404088,743.7967357930424,738.5463527143148,1739.1873781011413,702.4840706058254,9488.424482019442,617.921451492402,2482.984113894184,11971.408595913625
2020-04-25,3494105.4643046227,781.6450133877486,776.1270994649635,1827.9647445773667,738.2788218702574,10137.925937413474,649.5014553940321,2609.609757965115,12747.535695378589
2020-04-26,3493289.900710181,821.3622887550615,815.563594441824,1921.1556022787358,775.846319074511,10820.581398786617,682.6554613731419,2742.5178910337972,13563.099289820413
2020-04-27,3492432.959208103,863.034842087064,856.941502078063,2018.9668604792337,815.2689487460605,11538.03908933218,717.4576905455626,2882.001702566298,14420.040791898478
2020-04-28,3491532.609402515,906.7522966740797,900.3498055876898,2121.613798070748,856.6323510006741,12292.02450274134,753.9854134091598,3028.366094744828,15320.390597486168
2020-04-29,3490586.72853665,952.6076782877619,945.8808658650097,2229.3202562171873,900.0254842513275,13084.343528846228,792.3190261048885,3181.927934504949,16266.271463351177
2020-04-30,3489593.098064329,1000.6974664578436,993.6304723208344,2342.3188180042534,945.5406841507528,13916.885651209914,832.5421223636865,3343.0162844620972,17259.90193567201
2020-05-01,3488549.4001795435,1051.1216367556078,1043.6978847855537,2460.850971895161,993.2737144877894,14791.627211806795,874.7415605968818,3511.972608650769,18303.599820457566
2020-05-02,3487453.21431472,1103.983692422024,1096.1858648235868,2585.16725611342,1043.3238091571707,15710.634736745707,919.0075249389117,3689.150948535444,19399.785685281153
2020-05-03,3486302.0136197875,1159.3906838017876,1151.200694932788,2715.5273804992103,1095.7937035530244,16676.06831591294,965.4335791672341,3874.9180643009977,20550.986380213937
2020-05-04,3485093.16143595,1217.4532137805993,1208.8521838375516,2852.2003221482255,1150.78965385874,17690.185028122665,1014.1167122097245,4069.6535359288246,21759.83856405149
2020-05-05,3483823.907779979,1278.2854273079313,1269.253655971241,2995.4643907310256,1208.421442443909,18755.342401983773,1065.1573738611091,4273.749818038957,23029.09222002273
2020-05-06,3482491.385856924,1342.0049828981985,1332.5219230550879,3145.607259019297,1268.8023674648207,19874.00190116032,1118.6594991765492,4487.612241917495,24361.614143077815
2020-05-07,3481092.608621412,1408.7330038332036,1398.7772355120567,3302.9259537246417,1332.0492145770515,21048.73242103203,1174.7305198717072,4711.6589575578455,25760.391378589877
2020-05-08,3479624.4654101455,1478.5940065998839,1468.1432112665996,3467.726801323079,1398.2822084999193,22282.21378193351,1233.4813609014818,4946.320807922963,27228.534589856474
2020-05-09,3478083.7186708534,1551.7158039068063,1540.7467392920428,3640.325323080091,1467.6249419851204,23577.24020216162,1295.0264202281087,5192.041126986897,28769.281329148518
2020-05-10,3476467.000815782,1628.2293794251093,1616.7178550710075,3821.0460730146497,1540.2042795527045,24936.723731779766,1359.4835296181461,5449.275452439759,30385.999184219523
2020-05-11,3474770.811230847,1708.2687311989964,1696.1895849351476,4010.2224120459473,1616.1502331612605,26363.69762590973,1426.973894129963,5718.4911432449435,32082.188769154673
2020-05-12,3472991.513474798,1791.9706804683258,1779.2977560494103,4208.196211057446,1695.595806780081,27861.31963367831,1497.6220077685825,6000.1668915257715,33861.48652520408
2020-05-13,3471125.332706192,1879.4746424441626,1866.1807686058535,4415.317475092837,1778.6768066300167,29432.875176272937,1571.555542594625,6294.792117537,35727.66729380994
2020-05-14,3469168.3533795965,1970.9223553801858,1956.979326595572,4631.943880372517,1865.5316136595488,31081.780384652808,1648.905208379869,6602.866235752703,37684.64662040551
2020-05-15,3467116.5172562585,2066.4575640920807,2051.8361233379946,4858.440215293074,1956.3009146260997,32811.58496435835,1729.804579705543,6924.897779385155,39736.4827437435
2020-05-16,3464965.6217784896,2166.2256538976594,2150.89547776884,5095.177716053373,2051.1273879632613,34625.97485156131,1814.3898872029627,7261.403369951033,41887.37822151234
