,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-04-14,1776190.0,1035.0,0.0,0.0,0.0,0.0,0.0,1035.0,1035.0
2020-04-15,1776190.0,6.101063271353723,0.0,1028.8989367286463,1028.8989367286463,0.0,0.0,1035.0,1035.0
2020-04-16,1775788.0394476883,401.9965165369147,401.96055231175427,680.8126668961374,6.065099046193278,354.15136887870216,354.15136887870216,1082.809183433052,1436.9605523117543
2020-04-17,1775522.1261540984,268.2829613988519,265.9132935899094,846.100914111087,399.62684872797223,588.4899703917248,234.33860151302267,1114.383875509939,1702.8738459016636
2020-04-18,1775191.7037032049,332.0039111082437,330.4224508936345,821.5708995016756,266.7015011842427,879.7214861853789,291.2315157936541,1153.5748106099193,2033.296296795298
2020-04-19,1774870.9205125894,322.74026971492304,320.78319061539815,868.8295505695867,330.0468320087188,1162.5096671261867,282.7881809408077,1191.5698202845097,2354.0794874106964
2020-04-20,1774531.746434743,341.0765501225073,339.17407784642563,890.6125393458778,320.8377974388414,1461.5644757887371,299.0548086625503,1231.6890894683852,2693.2535652571223
2020-04-21,1774184.1351442412,349.6218505142286,347.6112905019847,923.1259238594034,339.0659901102634,1768.117081385475,306.55260559673786,1272.747774373632,3040.864855759107
2020-04-22,1773768.170219237,418.7987475631517,415.96492500420607,952.1701016541674,346.7880279552829,2085.860931545994,317.743850160519,1370.968849217319,3456.829780763313
2020-04-23,1773339.218442925,432.3463048196627,428.95177631191325,1039.8333416214261,415.4042190554023,2413.6019106341373,327.74097908814355,1472.1796464410888,3885.7815570752264
2020-04-24,1772870.8877398618,471.8350398490548,468.3307030632597,1110.7602723321822,428.8419680338676,2771.5169479572487,357.91503732311156,1582.595312181237,4354.112260138486
2020-04-25,1772370.7443657161,503.9677826548065,500.14337414584554,1196.442516597396,468.0106313400938,3153.845335032129,382.32838707488,1700.4102992522025,4854.255634284331
2020-04-26,1771832.1727225385,542.6565002006358,538.5716431776309,1284.5048640246384,499.8829256318016,3565.6659132366876,411.82057820455907,1827.1613642252742,5392.827277461962
2020-04-27,1771254.136027468,582.4351393605564,578.036695070632,1380.630909018858,538.2580559107115,4007.79792415318,442.13201091649205,1963.0660483794143,5970.863972532594
2020-04-28,1770633.0445896985,625.8123035693569,621.0914377693075,1483.1261801184576,577.714273560507,4483.016926614087,475.2190024609073,2108.9384836878144,6591.955410301902
2020-04-29,1769966.0785227471,672.0385217219847,666.9660669514599,1593.367720328486,620.7398487988321,4993.515235202891,510.4983085888036,2265.4062420504706,7258.921477253361
2020-04-30,1769249.8064298742,721.7192293163763,716.2720928730013,1711.5151922761866,666.5913852786097,5541.9591485338005,548.4439133309093,2433.2344215925627,7975.193570126363
2020-05-01,1768480.7344510115,774.9217969739849,769.0719788626354,1838.2738302419132,715.8694112050268,6131.069921773101,589.1107732393002,2613.195627215898,8744.265548988998
2020-05-02,1767655.0623495867,831.9531472646082,825.6721014247853,1974.1729484378682,768.640751134162,6763.8115547113075,632.741632938207,2806.1260957024765,9569.937650413784
2020-05-03,1766870.6656861901,786.636167380482,784.3966633966884,2124.367907098869,829.7136432808146,7443.330239331121,679.5186846198136,2911.0040744793514,10354.334313810472
2020-05-04,1766026.966729519,845.8164735487442,843.6989566712169,2177.670132504607,784.5186505029548,8174.546664428338,731.2164250972168,3023.4866060533514,11198.03327048169
2020-05-05,1765162.511620831,866.7319308483505,864.4551086879937,2271.64650720728,843.5396513883874,8924.109941114051,749.5632766857141,3138.378438055631,12062.488379169681
2020-05-06,1764261.1927448492,903.6519996899243,901.3188759816987,2354.1349717301932,864.398807140125,9706.020283731263,781.9103426172119,3257.7869714201174,12963.80725515138
2020-05-07,1763327.6219436412,936.0033086873859,933.5708012079414,2445.051242698885,901.2194922104798,10516.32350497305,810.303221241788,3381.0545513862708,13897.37805635932
2020-05-08,1762358.5098890308,971.631647384965,969.1120546103701,2536.9379720956404,933.483715912791,11357.920491489085,841.5969865160356,3508.5696194806055,14866.490110969691
2020-05-09,1761353.5305611999,1007.5948272159369,1004.9793278308417,2632.7293324067823,969.0161479998699,12231.145279177814,873.2247876887277,3640.324159622719,15871.469438800534
2020-05-10,1760311.1992929867,1045.043575555334,1042.3312682132448,2731.4152729319694,1004.8825198738479,13137.341858526475,906.196579348661,3776.4588484873034,16913.80070701378
2020-05-11,1759230.4369474445,1083.5754597884331,1080.7623455422895,2833.481036471462,1042.2304613091903,14077.506556296174,940.1646977696976,3917.0564962598955,17994.56305255607
2020-05-12,1758109.977712746,1123.3760715020774,1120.4592346983272,2938.8434938786486,1080.658622984683,15052.80272187367,975.2961655774967,4062.2195653807257,19115.022287254396
2020-05-13,1756948.594572814,1164.4071145340931,1161.3831399320388,3047.633221410724,1120.352096900023,16064.365091241618,1011.5623693679473,4212.040335944817,20276.405427186437
2020-05-14,1755745.0150958602,1206.7139015066593,1203.5794769536294,3159.8976573503423,1161.2726899810632,17113.373345283064,1049.0082540414453,4366.611558857002,21479.984904140067
2020-05-15,1754497.954718533,1250.308685959262,1247.060377327209,3275.713102169284,1203.4655928746063,18201.02349333873,1087.6501480556644,4526.021788128546,22727.045281467275
2020-05-16,1753206.1057470674,1295.2146312895677,1291.8489714655934,3395.141813948635,1246.9430261352877,19328.537807694665,1127.5143143559367,4690.3564452382025,24018.894252932867
2020-05-17,1751868.143332835,1341.4489547137118,1337.9624142322223,3518.247722319432,1291.7280908080782,20497.159990131946,1168.6221824372815,4859.696677033144,25356.85666716509
2020-05-18,1750482.7252553378,1389.0290744482136,1385.418077497226,3645.0899229328697,1337.8379577627243,21708.15574728123,1210.9957571492864,5034.118997381083,26742.274744662314
2020-05-19,1749048.4942872243,1437.9700442334286,1434.2309681135055,3775.7245417959425,1385.2899983282905,22962.81112674645,1254.6553794652177,5213.694586029371,28176.50571277582
2020-05-20,1747564.079836869,1488.2852688663309,1484.4144503554269,3910.2033993242285,1434.0992257225246,24262.431494940687,1299.6203681942384,5398.488668190559,29660.920163131246
2020-05-21,1746028.1001293526,1539.9859677240893,1535.9797075162805,4048.5738478400285,1484.2790086585221,25608.34005508341,1345.908560142722,5588.559815564118,31196.899870647525
2020-05-22,1744439.1644617815,1593.0810989828733,1588.9356675712083,4190.878129972027,1535.8405363124243,27001.876309263833,1393.5362541804257,5783.9592289549,32785.83553821873
2020-05-23,1742795.8757197163,1647.5770983018854,1643.2887420652287,4337.1528823193075,1588.7927427462166,28444.39429966277,1442.517990398936,5984.729980621193,34429.12428028396
2020-05-24,1741096.8330953387,1703.4776763843174,1699.04262437762,4487.428549343772,1643.142046295188,29937.260678933493,1492.8663792707234,6190.906225728089,36128.166904661586
2020-05-25,1739340.6350400893,1760.7835839597933,1756.1980552493012,4641.728797109165,1698.8921476738253,31481.852578841925,1544.5918999084322,6402.512381068958,37884.36495991088
2020-05-26,1737525.882448912,1819.4923795463217,1814.7525911774196,4800.069894428685,1756.0437955908912,33079.55527711329,1597.7026982713705,6619.562273975007,39699.117551088304
2020-05-27,1735651.1820855737,1879.5981877480506,1874.7003633382583,4962.460075411314,1814.5945551365294,34731.759651267195,1652.2043741539,6842.058263159365,41573.81791442656
2020-05-28,1733715.1502526212,1941.0914539699338,1936.0318329525328,5128.898880370781,1874.5385667306496,36439.85941303838,1708.0997617711835,7069.990334340715,43509.84974737909
2020-05-29,1731716.4167102727,2003.958694820669,1998.7335423486024,5299.376478971388,1935.8663014978672,38205.24811593564,1765.3887028972601,7303.335173792057,45508.5832897277
2020-05-30,1729653.6288465667,2068.1822461843158,2062.7878637059703,5473.872977424735,1998.5643123423235,40029.31592982462,1824.0678138889762,7542.055223609051,47571.37115343367
2020-05-31,1727525.4560998967,2133.7400101567746,2128.172746669919,5652.357712902032,2062.61498269746,41913.44617704478,1884.1302472201628,7786.097723058807,49699.543900103585
2020-06-01,1725330.594633329,2200.605202580748,2194.8614665676837,5834.788538430374,2127.9962741437103,43859.011625660154,1945.5654486153692,8035.393741011121,51894.40536667127
2020-06-02,1723067.7722583255,2268.7461029610754,2262.822375003389,6021.111102145303,2194.6814746230616,45867.37053656828,2008.3589109081317,8289.857205106378,54157.227741674666
2020-06-03,1720735.7536034803,2338.12580877878,2332.018654845289,6211.258125216229,2262.638949027584,47939.86246252494,2072.4919259566586,8549.38393399501,56489.24639651996
2020-06-04,1718333.3455216945,2408.7019963898274,2402.4080817858776,6405.14868328836,2331.8318941748303,50077.80379862764,2137.9413361026996,8813.850679678188,58891.65447830583
2020-06-05,1715859.4027268477,2480.4266908863633,2473.9427948467574,6602.687496797762,2402.2181003502214,52282.48308546846,2204.6792868408197,9083.114187684125,61365.59727315258
2020-06-06,1713312.8336484707,2553.2460474755144,2546.5690783769396,6803.764236043712,2473.7497217877885,54555.1560680103,2272.6729825418383,9357.010283519227,63912.16635152952
2020-06-07,1710692.606490205,2627.1001471036757,2620.22715826563,7008.252847425389,2546.3730586374686,56897.04051526609,2341.884447255792,9635.352994529065,66532.39350979516
2020-06-08,1707997.755474955,2701.9228092140384,2694.8510152499102,7216.010907765185,2620.0283531395476,59309.31080806584,2412.2702927997507,9917.933716979223,69227.24452504507
2020-06-09,1705227.387256613,2777.641424669913,2770.368218342089,7426.87901413823,2694.649602886215,61793.09230457901,2483.78149651317,10204.520438808142,71997.61274338716
2020-06-10,1702380.6874750874,2854.176812001015,2846.69978152574,7640.680217098237,2770.1643941946377,64349.45549581364,2556.3631912346304,10494.857029099252,74844.3125249129
2020-06-11,1699456.9274281177,2931.4431002303354,2923.7600469695312,7857.219505622674,2846.493758740211,66979.40996602942,2629.954470215774,10788.66260585301,77768.07257188243
2020-06-12,1696455.4708300387,3009.3476416104963,3001.4565980790003,8076.283352484261,2923.5520566988394,69683.89817586666,2704.4882098372527,11085.630994094758,80769.52916996142
2020-06-13,1693375.7806242951,3087.790957635903,3079.6902057436055,8297.639329078786,3001.246889718199,72463.78908899034,2779.890913123675,11385.430286714689,83849.21937570503
2020-06-14,1690217.4258131601,3166.666721695594,3158.3548111349046,8521.035798988292,3079.4790470752137,75319.87166615605,2856.082577165707,11687.702520683886,87007.57418683993
2020-06-15,1686980.0882647934,3245.861781686766,3237.3375483667755,8746.201699720668,3158.1424883756035,78252.84825379927,2932.976587643227,11992.063481407435,90244.9117352067
2020-06-16,1683663.569454558,3325.2562258156745,3316.518810235445,8972.846422128037,3237.1243661065364,81263.32789749843,3010.4796436991664,12298.102647943711,93561.43054544214
2020-06-17,1680267.7970944464,3404.7234946668837,3395.7723601116104,9200.659796953627,3316.3050912604012,84351.81961393324,3088.4917164348117,12605.38329162051,96957.20290555376
