,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-04-08,604981.0,780.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0
2020-04-09,604981.0,1.3076260750350457,0.0,778.692373924965,778.692373924965,0.0,0.0,780.0,780.0
2020-04-10,604706.367300721,274.6348914405143,274.63269927903724,554.5213280669899,1.3054339135579796,225.47647977153304,225.47647977153304,829.1562195075041,1054.6326992790373
2020-04-11,604510.8850256514,195.9426849992323,195.48227506953742,668.1298130462594,274.1744815108194,386.04247630308294,160.5659965315499,864.0724980454918,1250.1149743485748
2020-04-12,604275.4291323642,235.7843801642694,235.45589328719586,670.2817874191979,195.61419812215877,579.5047000523032,193.46222374922027,906.0661675834674,1485.5708676357706
2020-04-13,604039.3068659622,236.51754563738731,236.1222664020171,711.5855435533695,235.38910092889918,773.5900448470309,194.08534479472763,948.1030891907568,1721.6931340377878
2020-04-14,603788.73234686,250.9710274482217,250.57451910222332,741.6614097484928,236.12103729138894,979.6352159432965,206.04517109626562,992.6324371967145,1972.2676531400111
2020-04-15,603527.6753876746,261.4776979797782,261.05695918545814,777.4578245335889,250.55028865390165,1194.3890898121022,214.75387386880558,1038.9355225133672,2233.3246123254694
2020-04-16,603254.1367893091,273.9769510013367,273.5385983655438,813.3781635579365,261.0393453439853,1419.5080961317399,225.11900631963766,1087.3551145592733,2506.863210691013
2020-04-17,602968.0897834795,286.50631275918965,286.04700582958975,851.375785624488,273.5176440717368,1655.0281181369253,235.52002200518535,1137.8820983836777,2792.910216520603
2020-04-18,602668.821831451,299.74826372742234,299.2679520284146,890.8792554086274,286.0260010601819,1901.5506494129677,246.52253127604246,1190.6275191360496,3092.1781685490173
2020-04-19,602355.8234013281,313.500941207016,312.998430122918,932.1639374965364,299.24575264332435,2159.511719968383,257.9610705554154,1245.6648787035524,3405.1765986719356
2020-04-20,602028.490244182,327.8587238195574,327.3331571461339,975.2239382127611,312.9753745335925,2429.427093785751,269.9153738173677,1303.0826620323185,3732.5097558180696
2020-04-21,601686.222489503,342.8173913663519,342.2677546789235,1020.1492908429093,327.309087132129,2711.8108282877315,282.38373450198077,1362.9666822092613,4074.777510496993
2020-04-22,601328.3911389329,358.4060646212931,357.83135057010577,1066.9997457053473,342.24267731516454,3007.203050740458,295.3922224527266,1425.4058103266404,4432.608861067099
2020-04-23,600954.3489295657,374.64305695116826,374.04220936713045,1115.846823900029,357.8052170372553,3316.1611895830315,308.9581388425737,1490.4898808511973,4806.651070434229
2020-04-24,600563.42644301,391.55055454305614,390.9224865557482,1166.7596196973382,374.01498896386033,3639.2633827495824,323.1021931665511,1558.3101742403942,5197.573556989977
2020-04-25,600154.9332166307,409.14963883413895,408.49322637924803,1219.8093695733373,390.8941420881652,3977.1077749617484,337.844392212166,1628.9590084074762,5606.066783369224
2020-04-26,599728.1572705285,427.4618624308227,426.7759461021936,1275.0677290194783,408.46372250550985,4330.313138021117,353.2053630593689,1702.529591450301,6032.842729471418
2020-04-27,599429.1247809534,302.3212940259913,299.03248957507225,1330.0349328820816,424.17305797990366,4699.518992138417,369.2058541173004,1632.356226908073,6331.87521904649
2020-04-28,599117.3567565471,314.09402282804643,311.76802440623123,1244.9081896921336,299.9952956041761,5084.641030932541,385.12203879412414,1559.0022125201801,6643.643243452721
2020-04-29,598825.694717052,294.07861489292435,291.66203949504046,1196.1127139887478,311.67744743016254,5445.11395406609,360.47292313354836,1490.1913288816722,6935.305282947762
2020-04-30,598545.6010970402,282.3562009402745,280.09362001181455,1141.5849372378586,291.8160339644644,5791.457764781443,346.3438107153536,1423.941138178133,7215.398902959576
2020-05-01,598278.4012802467,269.37220785815293,267.1998167935647,1091.2138815108647,280.1838098756863,6122.012630384123,330.5548656026803,1360.5860893690176,7482.598719753141
2020-05-02,598023.1053513197,257.36842379501957,255.29592892700978,1042.5440628607644,267.2997129901431,6437.9821620243665,315.9695316402435,1299.912486655784,7737.894648680151
2020-05-03,597779.3000941692,245.78539735031376,243.80525715046127,996.0555422492829,255.38828359516708,6739.858966231015,301.87680420664856,1241.8409395995966,7981.699905830612
2020-05-04,597546.46142337,234.72969355421318,232.8386707991541,951.5342281287584,243.89437459525467,7028.274654946794,288.4156887157792,1186.2639216829716,8214.538576629766
2020-05-05,597324.116725823,224.15065997024936,222.344697546996,908.9337659776234,232.92373113095982,7303.798848228888,275.5241932820948,1133.0844259478727,8436.883274176762
2020-05-06,597111.805494172,214.0358011459435,212.3112316510312,868.1709608623823,222.42609047533705,7566.987743819466,263.188895590578,1082.2067620083258,8649.194505827792
2020-05-07,596909.0878289021,204.3644131025668,202.7176652699956,829.1743082795491,212.3890533133723,7818.373449715672,251.38570589620554,1033.538721382116,8851.912171097789
2020-05-08,596715.5416012754,195.11856577069338,193.54622762665613,791.8724637284931,202.79207495852955,8058.467369225257,240.0939195095856,986.9910294991865,9045.458398724444
2020-05-09,596530.7623200628,186.28048369161297,184.77928121260246,756.1969489487687,193.61736329168286,8287.760247296665,229.29287807140722,942.4774326403817,9230.237679937047
2020-05-10,596354.3623739185,177.8331502210888,176.3999461443544,722.0814753989786,184.84727961487857,8506.723000461334,218.96275316466878,899.9146256200673,9406.637626081401
2020-05-11,596185.9704391403,169.76014679285242,168.39193477823622,689.4620631827704,176.4649382064726,8715.807350884015,209.08435042268076,859.2222099756228,9575.029560859639
2020-05-12,596025.2308664732,162.0456726387698,160.73957266721652,658.2769660390494,168.45404682129916,8915.446494849035,199.63914396502014,820.3226386778192,9735.769133526854
2020-05-13,595871.8030917082,154.67452114458547,153.42777476492967,628.4666376203049,160.79892625911398,9106.055749526893,190.6092546778585,783.1411587648904,9889.196908291784
2020-05-14,595725.361059952,147.63206599855877,146.44203175622584,599.9736840729702,153.48448690225254,9288.03318997648,181.9774404495873,747.605750071529,10035.63894004801
2020-05-15,595345.1361806685,380.2540277936964,380.22487928350625,573.8495191212495,147.6029174883686,9461.76027241657,173.72708244008928,954.1035469149459,10415.863819331516
2020-05-16,594981.6992370061,363.51202110795487,363.43694366235366,787.8658437358167,380.1789503480952,9627.922898150098,166.162625733528,1151.3778648437715,10779.30076299387
2020-05-17,594483.0236353782,498.74737352772826,498.6756016279052,923.1733630927909,363.44024920813183,9856.055628001255,228.13272985115768,1421.9207366205192,11277.976364621774
2020-05-18,593899.1955785837,583.9265295944205,583.8280567944819,1154.5101812842906,498.6489007277897,10123.367710537545,267.31208253628995,1738.436710878711,11861.804421416255
2020-05-19,593169.7838473049,729.52702187163,729.4117312788779,1404.0239489696926,583.8112390016684,10457.66518185381,334.29747131626635,2133.550970841323,12591.216152695133
2020-05-20,592283.8204591259,886.1074261674928,885.9633881789488,1726.8607945710673,729.382983883086,10864.211320135522,406.5461382817113,2612.9682207385604,13477.179540874084
