,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-03-21,11376204.0,1035.0,0.0,0.0,0.0,0.0,0.0,1035.0,1035.0
2020-03-22,11376204.0,5.752341160640071,0.0,1029.24765883936,1029.24765883936,0.0,0.0,1035.0,1035.0
2020-03-23,11375544.250538396,659.7814320661845,659.7494616035484,326.9243617772919,5.720370698003943,708.043667760072,708.043667760072,986.7057938434764,1694.7494616035483
2020-03-24,11375334.703631744,213.21385147130877,209.54690665130852,758.1398927762099,656.1144872461842,932.9426240073383,224.89895624726628,971.3537442475186,1904.296368254857
2020-03-25,11374810.848451268,524.1980108681562,523.8551804765714,449.4686535977777,212.87102107972393,1454.4848842654944,521.5422602581561,973.6666644659339,2428.151548731428
2020-03-26,11374500.29146609,311.3998525990053,310.55698517696027,663.6237407664504,523.3551434461111,1763.684940542933,309.2000562774384,975.0235933654558,2738.7085339083887
2020-03-27,11374041.778153116,459.014018405106,458.5133129740597,518.0005112356905,310.89914716795903,2220.2073172416517,456.5223766987189,977.0145296407966,3197.2218468824485
2020-03-28,11373683.893795226,358.6224147971634,357.88435789050914,619.931740028606,458.27596149845175,2576.552049947188,356.3447327055363,978.5541548257694,3555.1062047729574
2020-03-29,11373255.599060077,428.8713705882265,428.29473514898274,551.5118974333888,358.0457793579196,3003.017671900325,426.46562195313686,980.3832680216153,3983.4009399219403
2020-03-30,11372874.58816496,381.7004851193781,381.0108951189926,600.2956747142339,428.18178058784105,3382.4156752073204,379.39800330699586,981.996159833612,4364.411835040933
2020-03-31,11372459.888987673,415.31292036925106,414.69917728511933,568.4249058774435,381.08674203524635,3795.3731860793573,412.9575108720367,983.7378262466946,4779.111012326051
2020-04-01,11372067.22124862,393.3355281787364,392.6677390546344,592.0371775895553,414.64513124514906,4186.406045612394,391.0328595330372,985.3727057682918,5171.778751380686
2020-04-02,11371658.256281199,409.597418699475,408.9649674200707,577.4639579913749,392.70307689933213,4593.682342109907,407.27629649751265,987.0613766908498,5580.743718800757
2020-04-03,11371259.372486781,399.5423934842435,398.8837944182078,589.1517415850269,408.93881963343927,4990.933378149694,397.25103603978727,988.6941350692705,5979.627513218965
2020-04-04,11370852.429619242,407.5852989491519,406.94286753924234,582.7603664417529,398.899962074334,5396.224715367302,405.29133721760803,990.3456653909047,6386.570380758207
2020-04-05,11370449.915850744,403.1691322410402,402.51376849858764,588.7957416881054,406.9299352066993,5797.119275327649,400.8945599603468,991.9648739291456,6789.084149256794
2020-04-06,11370043.247832349,407.3162813034223,406.66801839495116,586.2701745036643,402.5208693325691,6202.165711844659,405.04643651701014,993.5864558070866,7195.752167651746
2020-04-07,11369638.33864882,405.5641147132651,404.9091835291299,589.6224851620226,406.6613501192871,6605.474751305588,403.3090394609288,995.1865998752877,7600.6613511808755
2020-04-08,11369231.128684334,407.8620783292968,407.209964485377,588.9193132373871,404.91200086934526,7011.089924099569,405.6151727939808,996.7813915666839,8007.8713156662525
2020-04-09,11368824.418917328,407.3655757876824,406.70976700667995,590.9941384940771,407.20626954829436,7416.221368391173,405.13144429160434,998.3597142817596,8414.581082672932
2020-04-10,11368378.160945646,450.3302569469983,446.2579716821861,587.7286636407707,403.2932905228702,7822.78013376735,406.55876537617655,1038.058920587769,8860.83905435512
2020-04-11,11367934.3861447,448.276588478636,443.7748009475753,629.2447646213036,445.8284694159376,8227.092502202755,404.3123684354047,1077.5213530999395,9304.613855302694
2020-04-12,11367459.28243283,479.584969625686,475.1037118701871,640.1678247738182,443.79533072313706,8659.964772773377,432.8722705706224,1119.7527943995042,9779.717567172882
2020-04-13,11366975.951596256,488.125072811023,483.3308365743068,674.572057652336,474.7907333889698,9100.35127328383,440.38650051045204,1162.697130463359,10263.048403747189
2020-04-14,11366466.666997058,514.1642077350798,509.2845991978337,693.7635405867545,483.245464273777,9564.405254623189,464.0539813393585,1207.9277483218343,10772.333002945023
2020-04-15,11365942.916787643,528.8901216992804,523.7502094158116,725.5315822916415,509.02429545161107,10041.661508369913,477.2562537467241,1254.4217039909217,11296.083212360834
2020-04-16,11365395.208834989,552.9950745349153,547.707952653946,750.0243454339424,523.6029998183111,10540.771745045922,499.11023667601023,1303.0194199688576,11843.79116501478
2020-04-17,11364829.038439192,571.698486110746,566.1703957973024,781.5319452549297,547.4669842214716,11056.731129446407,515.9593844004843,1353.2304313656757,12409.961560812082
2020-04-18,11364239.113310512,595.6401901861525,589.9251286805194,809.8811666266205,565.9834246051129,11594.365332679828,537.6342032334221,1405.5213568127729,12999.886689492601
2020-04-19,11363627.821021937,617.246686574732,611.292288575012,842.4306595527241,589.6857921864324,12151.501631940157,557.1362992603288,1459.677346127456,13611.178978067612
2020-04-20,11362991.99482137,641.996590840103,635.8262005668646,873.9790949933337,611.0762963014937,12731.02949280104,579.5278608608842,1515.9756858334367,14247.005178634477
2020-04-21,11362332.394285506,666.0183419142903,659.6005358640795,908.3271083063968,635.5787847898921,13332.26026427787,601.230771476829,1574.345450220687,14906.605714498557
2020-04-22,11361646.910762785,692.1414654659469,685.4835227209619,942.8279299310726,659.3603991693053,13957.1198418225,624.8595775446295,1634.9693953970195,15592.08923721952
2020-04-23,11360935.433571031,718.3962778493722,711.47719175445,979.4568052587493,685.2223793710248,14605.713345865848,648.593504043348,1697.8530831081216,16303.566428973969
2020-04-24,11360196.361766923,746.2533499976761,739.0718041075376,1016.8801684914349,711.2147319592336,15279.504714592396,673.7913687265481,1763.1335184891109,17042.638233081507
2020-04-25,11359429.10121429,774.7205755269209,767.2605526343725,1056.1377152742007,738.7933271051277,15979.040494914758,699.5357803223618,1830.8582908011217,17809.89878571588
2020-04-26,11358632.27371896,804.5720947049133,796.8274953288742,1096.571721511115,766.9759761508818,16705.582464828723,726.5419699139675,1901.1438162160282,18606.72628104475
2020-04-27,11357804.997888444,835.318844654884,827.2758305160221,1138.743328448085,796.5290805660514,17459.939938457806,754.3574736290813,1974.0621731029692,19434.002111560774
2020-04-28,11356945.969516432,867.3787502089463,859.0283720113516,1182.3434811791103,826.9684664572893,18243.30825218407,783.3683137262641,2049.7222313880566,20293.030483572125
2020-04-29,11356054.118163982,900.5222218449536,891.8513524504123,1227.6894779254092,858.7078808144049,19056.670136252174,813.3618840681061,2128.211699770363,21184.881836022538
2020-04-30,11355128.134677934,934.9856786557916,925.983486048907,1274.6530456010776,891.520029238069,19901.226597814573,844.5564615624006,2209.638724256869,22110.86532207144
2020-05-01,11354166.807364736,970.6740244278609,961.3273131976883,1323.4282088897442,925.6389674256191,20778.090401951526,876.8638041369525,2294.102233317605,23072.19263526913
2020-05-02,11353168.778936591,1007.7319027663924,998.0284281441927,1373.9813727611938,960.9705498056612,21688.507787885737,910.4173859342116,2381.713275527586,24070.221063413323
2020-05-03,11352132.718252651,1046.1346126728968,1036.0606839405002,1426.4452506522998,997.657974033996,22633.70188402863,945.1940961428901,2472.5798633251966,25106.281747353827
2020-05-04,11351057.19495703,1085.9811222556546,1075.5232956217756,1480.8368052342855,1035.6767860390178,23614.987115485663,981.2852314570321,2566.8179274899403,26181.805042975604
2020-05-05,11349940.766838098,1127.2842766050587,1116.4281189302853,1537.2593089181091,1075.1249645808812,24633.68957638272,1018.7024608970574,2664.543585523168,27298.23316190589
2020-05-06,11348781.914821094,1170.1210672660889,1158.8520170033198,1595.757707277435,1116.0152263422897,25691.206404365683,1057.5168279829638,2765.878774543524,28457.085178909205
2020-05-07,11347579.087025471,1214.5250696770706,1202.827795622776,1656.4222486574379,1158.4237932117942,26788.965656197473,1097.7592518317913,2870.9473183345085,29659.91297453198
2020-05-08,11346330.664696323,1260.5634938399337,1248.4223291491578,1719.3143372413147,1202.3839049862947,27928.45747259989,1139.491816402418,2979.8778310812486,30908.33530368114
2020-05-09,11345034.984039925,1308.2820504445438,1295.6806563984253,1784.5196739587166,1247.9620997938152,29111.214235676303,1182.7567630764133,3092.8017244032603,32204.015960079563
2020-05-10,11343690.318008114,1357.7444508851,1344.6660318116622,1852.1102577912402,1295.203631371106,30338.827283214887,1227.6130475385824,3209.85470867634,33548.68199189123
2020-05-11,11342294.88673035,1409.0041544352637,1395.4312777629311,1922.1716324225524,1344.1715742127674,31612.93748279634,1274.1101995814552,3331.175786857816,34944.11326965415
2020-05-12,11340846.847419066,1462.1246125403816,1448.0393112846946,1994.7834188855027,1394.9188531795767,32935.244549512965,1322.3070667166264,3456.9080314258845,36392.15258093885
2020-05-13,11339344.298952851,1517.1647933397646,1502.5484662152783,2070.0332821764787,1447.5082854158952,34307.502971637885,1372.2584221249194,3587.198075516243,37894.70104715413
2020-05-14,11337785.275944743,1574.1895518706597,1559.0230081089219,2148.0069591356723,1501.9982495780268,35731.52754425672,1424.0245726188332,3722.196511006332,39453.724055263054
2020-05-15,11336167.75033239,1633.2622118526042,1617.5256123529807,2228.7954129198306,1558.4529523710362,37209.1920428436,1477.664498586878,3862.057624772435,41071.24966761604
2020-05-16,11334489.627588488,1694.4498712652965,1678.122743902997,2312.4897216865143,1616.9350844903047,38742.43281856722,1533.240775723621,4006.9395929518105,42749.37241151903
2020-05-17,11332748.746791208,1757.819595383117,1740.8807972792904,2399.184736012589,1677.5110731614698,40333.24887740261,1590.816058835395,4157.004331395706,44490.25320879832
2020-05-18,11330942.877951115,1823.4411222436931,1805.8688400923713,2488.9764513799028,1740.2473132317953,41983.70447526709,1650.4555978644814,4312.417573623596,46296.122048890684
2020-05-19,11329069.721328009,1891.3848997572206,1873.1566231066777,2581.96386661283,1805.2128455931502,43695.929905627316,1712.225430360223,4473.348766370051,48169.27867199737
2020-05-20,11327126.905360732,1961.723453119357,1942.8159672757715,2678.2476205845546,1872.4774139136352,45472.12356556923,1776.1936599419105,4639.971073703911,50112.09463927314
2020-05-21,11325111.985636042,2034.530359428878,2014.9197246904675,2777.930920508523,1942.1128183809465,47314.55308402621,1842.429518456978,4812.461279937401,52127.01436396361
2020-05-22,11323022.44317233,2109.8809225704836,2089.5424637120122,2881.1188165044077,2014.1919005704065,49225.557088600726,1911.0040045745216,4990.999739074891,54216.55682767562
2020-05-23,11320855.683263538,2187.851619781194,2166.759908791922,2987.918643343452,2088.7892115812115,51207.546473342896,1981.9893847421672,5175.770263124647,56383.31673646755
2020-05-24,11318609.034005743,2268.5204134416135,2246.6492577957224,3098.4396104056746,2165.980464135303,53263.00597041598,2055.4594970730805,5366.9600238472885,58629.96599426327
2020-05-25,11316279.745148027,2351.9664299055953,2329.288857715748,3212.7929823895533,2245.842841251766,55394.495439683866,2131.489469267887,5564.759412295149,60959.254851979014
2020-05-26,11313864.986824075,2438.270075571132,2414.7583239526557,3331.091817747561,2328.454678287119,57604.65128261298,2210.1558429291113,5769.361893318694,63374.01317593167
2020-05-27,11311361.84849791,2527.51282389011,2503.138326164863,3453.4510019686136,2413.895577845885,59896.18767623781,2291.5363936248323,5980.963825858724,65877.15150209653
2020-05-28,11308767.337902917,2619.7772199648875,2594.510594994308,3579.9870471036825,2502.246198919531,62271.89783002227,2375.710153784462,6199.76426706857,68471.66209709084
2020-05-29,11306078.38015069,2715.146710753934,2688.957752226142,3710.8180337530794,2593.5882614370958,64734.65510480997,2462.757274787699,6425.964744507013,71160.61984931698
2020-05-30,11303291.816903504,2813.70557977294,2786.56324718721,3846.0634248650645,2688.004378168204,67287.41409186619,2552.7589870562188,6659.769004638005,73947.18309650419
2020-05-31,11300404.405707525,2915.5387856752013,2887.411195979205,3985.84394298065,2785.5779900769435,69933.21156382754,2645.797471961358,6901.382728655852,76834.5942924834
2020-06-01,11297412.819439976,3020.7318467082623,2991.5862675489625,4130.281372118627,2886.3932065159015,72675.16734120547,2741.955777377925,7151.013218826889,79826.18056003236
2020-06-02,11294313.645927636,3129.3706682095685,3099.173512339161,4279.4983815602245,2990.5346908378547,75516.48502260173,2841.317681396257,7408.8690497697935,82925.35407237153
2020-06-03,11291103.387721045,3241.541385185006,3210.258206591321,4433.618300076572,3098.0874896158834,78460.45259370127,2943.9675710995352,7675.1596852615785,86135.61227896284
2020-06-04,11287778.462062363,3357.3301670708483,3324.9256586814404,4592.764889622615,3209.1368767955983,81510.44288095082,3049.9902872495554,7950.0950566934625,89460.53793764429
2020-06-05,11284335.201048028,3476.823020996629,3443.2610143345887,4757.062081425978,3323.768160408808,84669.91384955627,3159.4709686054443,8233.885102422608,92903.79895197887
2020-06-06,11280769.852015074,3600.1055661474825,3565.3490329539563,4926.633698856093,3442.066487803103,87942.40871992926,3272.494870372988,8526.739265003576,96469.14798493283
2020-06-07,11277078.578161644,3727.2627973180283,3691.2738534303594,5101.603147556126,3564.1166222598135,91331.55589348904,3389.147173559781,8828.865944874155,100160.4218383632
2020-06-08,11273257.459426766,3858.3788232837537,3821.118734877285,5282.093084657985,3690.0027089115597,94841.06866529875,3509.512771809701,9140.47190794174,103981.54057324049
2020-06-09,11269302.49364551,3993.536588810342,3954.965781255628,5468.225056538897,3819.8080157290397,98474.74470914688,3633.6760438481274,9461.76164534924,107936.50635449612
2020-06-10,11265209.598003406,4132.817572605017,4092.8956421040043,5660.119110562051,3953.6146583093296,102236.46531343306,3761.720604286175,9792.936683167067,112029.40199660012
2020-06-11,11260974.610809816,4276.301465349001,4234.987193590682,5857.893374880796,4091.5033008466976,106130.194349961,3893.7290365279523,10134.194840229797,116264.3891901908
2020-06-12,11256593.293614207,4424.065823575362,4381.317195610018,6061.663608556466,4233.552837383657,110159.97695366899,4029.7826037079867,10485.729432131828,120645.70638580082
2020-06-13,11252061.333687417,4576.185701216035,4531.95992678954,6271.542718498633,4379.8400491488665,114329.93789287569,4169.9609392067,10847.72841971467,125177.66631259036
