,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-03-21,7163933.0,855.0,0.0,0.0,0.0,0.0,0.0,855.0,855.0
2020-03-22,7163933.0,0.7902039133887229,0.0,854.2097960866113,854.2097960866113,0.0,0.0,855.0,855.0
2020-03-23,7163410.2070726985,522.7936576196792,522.7929273012877,277.2891349181958,0.7894735949972201,577.7101347634127,577.7101347634127,800.082792537875,1377.7929273012878
2020-03-24,7163240.51314,170.17710649228457,169.6939326979619,612.0663637564151,522.3104838253565,765.24338975055,187.5332549871373,782.2434702486996,1547.4868599992496
2020-03-25,7162865.952889247,374.71753100572886,374.56025075365943,368.1399403635739,170.01982624021514,1179.1896393836064,413.9462496330563,742.8574713693027,1922.0471107529092
2020-03-26,7162640.677679975,225.6215288741272,225.275209272471,493.53464092267984,374.37121140407265,1428.166150228573,248.9765108449667,719.156169796807,2147.32232002538
2020-03-27,7162294.572221819,348.2608738591666,346.10545815555025,383.21862559961323,223.4661131705108,1761.9482787221505,333.78212849357743,731.4794994587799,2493.4277781809305
2020-03-28,7162025.842049733,272.0571903912286,268.73017208665004,468.9781133896868,344.9338555545881,2021.122646486665,259.1743677645145,741.0353037809155,2762.1579502675804
2020-03-29,7161696.985798784,331.45527748462706,328.85625094945027,421.2619597318522,269.4581638560518,2338.2969640005513,317.1743175138864,752.7172372164792,3091.0142012170304
2020-03-30,7161401.602573547,298.54969571399175,295.3832252370743,464.64733359898497,328.28880700770964,2623.200397141128,284.90343314057685,763.1970293129767,3386.397426454105
2020-03-31,7161041.468035652,360.93135327754607,360.13453789424483,448.1548435994659,297.7528803306905,2937.4457674713376,314.2453703302096,809.086196877012,3746.5319643483494
2020-04-01,7160694.133811379,348.2975334268012,347.3342242734641,505.03154379758337,359.968044124209,3240.5371113974293,303.0913439260915,853.3290772243845,4093.8661886218138
2020-04-02,7160302.737324634,392.326076815755,391.39648674554365,510.84189490491093,347.3679433565898,3582.0947036466914,341.55759224926226,903.167971720666,4485.262675367358
