,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-04-16,2297901.0,795.0,0.0,0.0,0.0,0.0,0.0,795.0,795.0
2020-04-17,2297901.0,5.017516666228403,0.0,789.9824833337716,789.9824833337716,0.0,0.0,795.0,795.0
2020-04-18,2297674.793850781,226.23781648120243,226.20614921894347,575.6041717768614,4.985849403969435,219.36416096087953,219.36416096087953,801.8419882580639,1021.2061492189434
2020-04-19,2297509.9897083165,166.232006634097,164.80414246463087,640.5790279298077,224.8099523117363,379.1992571196696,159.8350961587901,806.8110345639047,1186.0102916835745
2020-04-20,2297326.595441242,184.4434140727805,183.3942670743564,627.8844232475944,165.18285963567288,557.0767214375558,177.8774643178862,812.327837320375,1369.4045587579308
2020-04-21,2297146.8499189387,180.9096077173594,179.74552230341442,636.811354743314,183.27932865883554,731.4291186006717,174.35239716311588,817.7209624606735,1549.1500810613452
2020-04-22,2296964.563132497,183.42856879605915,182.28678644159035,639.7479319826854,179.7678253628906,908.2603667241909,176.83124812351926,823.1765007787445,1731.4368675029355
2020-04-23,2296781.4502847698,184.27052810598568,183.11284772737352,644.3721367248107,182.270888417447,1085.9070503995126,177.64668367532167,828.6426648307964,1914.5497152303092
2020-04-24,2296597.028570019,185.5847090222058,184.42171475067562,648.5489270284818,183.1075338344555,1264.837793930297,178.9307435307844,834.1336360506875,2098.971429980985
2020-04-25,2296411.4263465274,186.77351200793711,185.6022234915647,652.8717832229386,184.4134205058334,1444.9283582416735,180.0905643113766,839.6452952308757,2284.5736534725493
2020-04-26,2295927.784126936,483.7304339712016,483.64221959148165,658.2661358451975,186.68529762821717,1626.2193032476318,181.29094500595826,1141.9965698163992,2768.2158730640313
2020-04-27,2295440.248514311,487.76408174644007,487.5356126250658,958.9792393910808,483.50196484982735,1809.0081645515759,182.78886130394406,1446.743321137521,3255.7514856890966
2020-04-28,2294730.144765869,710.3341226824901,710.1037484422761,1180.2213763042837,487.53370750622605,2075.2997351445993,266.29157059302327,1890.5554989867737,3965.855234131373
2020-04-29,2293856.486269875,873.9939915538812,873.6584959937629,1562.4934051500481,709.9986271223719,2403.026333421207,327.7265982766074,2436.4873967039293,4839.513730125136
2020-04-30,2292700.291385525,1156.6076775613997,1156.194884349905,2002.1978251350188,873.5811983423865,2836.9031117786226,433.876778357416,3158.8055026964184,5995.708614475041
2020-05-01,2291219.47613342,1481.3615256516096,1480.815252104796,2602.2843116616273,1156.061404014586,3392.8780292666,555.9749174879775,4083.645837313237,7476.523866579837
2020-05-02,2289296.083079773,1924.09271060999,1923.393053647279,3360.3378609858964,1480.6618686888985,4115.48634863123,722.6083193646291,5284.430571595886,9399.916920227115
2020-05-03,2288517.891886989,792.3022067599584,778.1911927836845,4337.2131774509235,1909.9816966337162,5048.592728799919,933.1063801686896,5129.515384210882,10178.108113010801
2020-05-04,2287513.816129197,1009.8863860700524,1004.0757577924378,3919.3373811467955,786.4915784823438,6252.960103586391,1204.3673747864716,4929.223767216848,11182.183870803237
2020-05-05,2286606.877758447,914.3447295127854,906.9383707496646,3833.486750146429,1002.4800273069316,7341.290761893689,1088.3306583072979,4747.831479659215,12089.122241552905
2020-05-06,2285720.157005402,893.4264233003809,886.7207530454393,3676.6343526421574,907.6390592578439,8405.782218655804,1064.4914567621156,4570.060775942538,12975.842994598343
2020-05-07,2284870.0474458626,856.6618180017689,850.1095595391466,3542.572196811482,886.8741648377586,9426.718539324238,1020.9363206684341,4399.234014813251,13825.95255413749
2020-05-08,2284051.2403167374,825.0897613599138,818.8071291249365,3409.2417510464106,850.3791857667916,10410.428170856101,983.709631531863,4234.331512406325,14644.759683262426
2020-05-09,2283263.5327053606,793.7586987752981,787.7076113770515,3281.5942996713993,819.0386739616673,11357.11429619278,946.6861253366786,4075.3529984466973,15432.467294639477
2020-05-10,2282505.579611659,763.7744036781713,757.9530937015558,3158.2910023177087,787.9373887986825,12268.354982345152,911.240686152373,3922.06540599588,16190.420388341032
2020-05-11,2281776.3481593323,734.8328618771724,729.2314523267947,3039.4624547530884,758.1729941277937,13145.356524037566,877.0015416924139,3774.295316630261,16919.651840667826
