,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-03-14,45918074.0,975.0,0.0,0.0,0.0,0.0,0.0,975.0,975.0
2020-03-15,45918074.0,3.066139946387807,0.0,971.9338600536122,971.9338600536122,0.0,0.0,975.0,975.0
2020-03-16,45917167.450889535,906.5587527375648,906.5491104666203,364.5837546542805,3.0564976754433606,610.406603074775,610.406603074775,1271.1425073918454,1881.5491104666203
2020-03-17,45916827.40043259,342.90136567209856,340.0504569484922,1039.3209450452744,903.7078440139584,839.3772566977395,228.97065362296456,1382.222310717373,2221.5995674151127
2020-03-18,45915858.023875296,970.454899421137,969.3765572929748,728.4160478492577,341.82302354393636,1492.1051774376926,652.7279207399531,1698.8709472703947,3190.9761247080874
2020-03-19,45915178.64323063,682.4324913655853,679.3806446647823,1238.3497359686999,967.403052720334,1949.5745420385845,457.4693646008919,1920.7822273342852,3870.3567693728696
2020-03-20,45914023.67362746,1157.1156888402322,1154.969603176141,1140.9115589403534,680.286405701494,2727.299124768425,777.7245827298404,2298.0272477805856,5025.326372549011
2020-03-21,45912959.608294554,1067.7041827867645,1064.0653329035388,1577.8582123319425,1153.4768389570065,3443.8293103338424,716.5301855654174,2645.562395118707,6089.39170545255
2020-03-22,45911488.06100326,1474.9049635425736,1471.5472912905038,1651.2575904454545,1064.3465105346947,4434.776442755025,990.9471324211827,3126.162553988028,7560.9389967430525
2020-03-23,45909948.10910195,1544.5901218483375,1539.9519013090107,2084.479964473173,1470.2667430032468,5471.820811730553,1037.0443689755286,3629.0700863215106,9100.890898052065
2020-03-24,45908004.2020858,1948.7643797099186,1943.907016147462,2315.090377519109,1539.732758285881,6780.9431569704975,1309.122345239945,4263.854757229028,11044.797914199526
2020-03-25,45905845.32795259,2165.002527369397,2158.8741332045493,2803.7730528311276,1942.635985545071,8234.89646720355,1453.9533102330527,4968.775580200525,13203.672047404076
2020-03-26,45903230.86912659,2621.2672370151254,2614.458826006717,3201.104979580946,2158.1941163609886,9995.758656814722,1760.8621896111704,5822.372216596072,15818.130873410793
2020-03-27,45900246.076718785,2993.035661325972,2984.7924078023107,3803.7291848776567,2613.023983491464,12006.158435009474,2010.3997781947533,6796.764846203629,18802.9232812131
2020-03-28,45896699.61266033,3555.8764340443513,3546.4640584523977,4398.484764501013,2983.6232857340183,14395.026141120135,2388.867706110662,7954.3611985453645,22349.3873396655
2020-03-29,45892598.93616232,4111.858872143077,4100.676498010931,5180.7849475015555,3544.694059912205,17157.420018031797,2762.3938769116626,9292.643819644632,26450.06383767643
2020-03-30,45887841.83962713,4780.203411931297,4757.096535187248,6015.832682724986,4088.7519953990286,20411.124278207393,3253.704260175598,10796.036094656283,31207.160372863676
2020-03-31,45882318.55876308,5550.143549394341,5523.280864052856,6991.031558874671,4753.340726589811,24189.26612864752,3778.1418504401267,12541.175108269012,36730.44123691653
