,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-03-14,12251961.0,62.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0
2020-03-15,12251961.0,0.3089044549555098,0.0,61.69109554504449,61.69109554504449,0.0,0.0,62.0,62.0
2020-03-16,12251937.961082395,23.040456669342642,23.03891760543472,39.35925466252991,0.3073653910475846,22.639206273562174,22.639206273562174,62.39971133187255,85.03891760543473
2020-03-17,12251923.262155233,14.813722319570614,14.698927162967882,47.840979376837396,22.92566151273991,37.08314307199459,14.443936798432418,62.65470169640801,99.7378447684026
2020-03-18,12251905.3957034,17.940258684819543,17.866451832900363,45.02436110372181,14.739915467651434,54.639676812761614,17.556533740767023,62.964619788541356,117.60429660130296
2020-03-19,12251888.581156198,16.903931489297765,16.814547201704297,46.352335569332276,17.850874397226075,71.16257674437722,16.52289993161561,63.256267058630044,134.41884380300726
2020-03-20,12251845.988568697,42.73282424558977,42.592587501471414,46.10579444588022,16.76369474517941,88.17281261300869,17.01023586863146,88.83861869146999,177.01143130447866
2020-03-21,12251803.622672064,42.720412512084195,42.365896632569566,71.56434183762484,42.37830836607514,105.09257358733922,16.919760974330526,114.28475434970903,219.37732793704825
2020-03-22,12251737.863540024,66.11354495206902,65.7591320415647,87.66788196463231,42.36599960157987,131.3550330619116,26.262459474572392,153.78142691670132,285.13645997861295
2020-03-23,12251657.307599235,81.10442551738991,80.55594078813799,121.06085566785703,65.5650602228171,163.527119581504,32.17208651959239,202.16528118524695,365.69240076675095
2020-03-24,12251546.068377057,111.9120727860794,111.23922217879024,157.0658944805824,80.43157491010075,207.9536556788794,44.4265360973754,268.9779672666618,476.93162294554116
2020-03-25,12251401.746505218,145.2503058380986,144.32187183888414,210.409980066595,110.98363878686494,265.5932088797317,57.63955320085232,355.66028590469364,621.2534947844254
2020-03-26,12251208.411061134,194.54045547231246,193.33544408275338,277.2396747813672,144.04529444853952,342.808808613499,77.21559973376729,471.78013025367966,814.5889388671787
