,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-04-24,1572116.0,750.0,0.0,0.0,0.0,0.0,0.0,750.0,750.0
2020-04-25,1572116.0,6.706331552436495,0.0,743.2936684475635,743.2936684475635,0.0,0.0,750.0,750.0
2020-04-26,1571755.0588340631,361.00113244742505,360.9411659369034,514.6776312334277,6.646365041914888,235.26240225605062,235.26240225605062,875.6787636808529,1110.9411659369034
2020-04-27,1571505.1903073413,253.09651776856788,249.86852672190457,709.5484083986303,357.77314140076174,398.16476649160984,162.9023642355592,962.6449261671982,1360.809692658808
2020-04-28,1571160.7696068059,346.68383275258793,344.420700535357,735.8002185068888,250.833385551337,622.7463419346883,224.5815754430785,1082.4840512594767,1705.2303931941651
2020-04-29,1570803.6843373918,360.18523838249,357.08526941407894,846.4934573137192,343.58386378417686,855.6369669120347,232.89062497734645,1206.6786956962092,2062.3156626082437
2020-04-30,1570392.9727906631,413.9322422338957,410.71154672871387,935.5314824290854,356.9645428773082,1123.5634846739767,267.9265177619421,1349.4637246629811,2473.0272093369576
2020-05-01,1569939.1794212325,457.49465857274026,453.79336943052164,1049.6541901725677,410.23095309167707,1419.6717300221715,296.1082453481947,1507.148848745308,2926.8205787674797
2020-05-02,1569430.176274231,513.0939614866558,509.0031470015124,1170.8284232722317,453.4038440875969,1751.9013410101045,332.22961098793303,1683.9223847588873,3435.8237257689916
2020-05-03,1569195.529772917,235.48591389241244,234.64650131383237,1312.5000933243691,512.2545489080757,2122.4842198660426,370.58287885593813,1547.9860072167817,3670.4702270828243
2020-05-04,1568932.5300853194,263.3849383568642,262.99968759767194,1132.1768963812606,235.10066313322017,2537.9080799423714,415.42386007632876,1395.5618347381248,3933.469914680496
2020-05-05,1568705.701709344,227.2592690414819,226.82837597537622,1036.7817888025088,262.95404529075853,2896.2572328118817,358.34915286951036,1264.0410578439908,4160.298290655873
2020-05-06,1568498.015498621,208.05800283796373,207.68621072316353,935.5139421967785,226.8874769266817,3224.4125563442935,328.15532353241196,1143.5719450347424,4367.984501379036
2020-05-07,1568173.1064250541,325.0421120408903,324.909073566838,847.3362129309664,207.92496436391144,3520.515249974017,296.10269362972355,1172.3783249718567,4692.893574945874
2020-05-08,1567878.8829158526,294.43135079385394,294.22350920161136,903.9772221763584,324.8342704486477,3788.7085111772726,268.19326120325576,1198.4085729702124,4987.117084147485
2020-05-09,1567565.05064425,314.02053976389686,313.83227160267035,912.0994054904887,294.2430826326274,4074.8294104957695,286.1208993184971,1226.1199452543856,5300.9493557501555
2020-05-10,1567248.4619899585,316.78944836246865,316.58865429128934,937.2274720516142,313.81974569271756,4363.521089627362,288.6916791315921,1254.016920414083,5617.538010041445
2020-05-11,1566923.217113065,325.44744148720014,325.24487689352367,957.1693070394166,316.5868837687922,4660.166138408352,296.6450487809898,1282.6167485266167,5942.782886934969
2020-05-12,1566591.120779073,332.30443476392907,332.0963339919852,979.4517410852352,325.2393407152563,4963.123045077789,302.95690666943767,1311.7561758491643,6274.879220926954
2020-05-13,1566251.3654281846,339.9678362258858,339.75535088853377,1001.5340950004527,332.09194942657706,5273.132640589149,310.0095955113595,1341.5019312263385,6614.634571815487
2020-05-14,1565904.0254256846,347.55738804418297,347.340002500049,1024.2855893702708,339.75045068175183,5590.131596901082,316.9989563119337,1371.8429774144538,6961.974574315536
2020-05-15,1565548.8738014267,355.3738627872103,355.1516242579526,1047.4206298558745,347.33514951492526,5914.331705930404,324.20010902932165,1402.7944926430848,7317.126198573488
2020-05-16,1565185.7829089065,363.31812913602323,363.0908925203757,1071.0445967975982,355.1466261715628,6245.854365160243,331.5226592298392,1434.3627259336213,7680.217091093864
