,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-04-06,881185.0,750.0,0.0,0.0,0.0,0.0,0.0,750.0,750.0
2020-04-07,881185.0,2.794890325992128,0.0,747.2051096740079,747.2051096740079,0.0,0.0,750.0,750.0
2020-04-08,881095.8104530361,89.19996217985656,89.18954696394412,735.3514005533192,2.7844751100796956,14.638184230768404,14.638184230768404,824.5513627331758,839.1895469639442
2020-04-09,881008.044698837,88.09815968091094,87.76575419907715,809.8129941010775,88.86755669802277,29.044147381032843,14.40596315026444,897.9111537819884,926.9553011630213
2020-04-10,880911.4014225964,96.97157583288002,96.6432762405735,881.7181449597176,87.76986008860442,44.90885661099717,15.864709229964326,978.6897207925977,1023.5985774035948
2020-04-11,880806.1885111966,105.5742779587243,105.21291139980225,961.0549811284479,96.61020927395798,62.18222971622485,17.273373105227684,1066.6292590871722,1128.811488803397
2020-04-12,880691.5222583851,115.0596775157285,114.66625281154124,1047.4082063495075,105.18085325453704,81.0098577497022,18.827628033477357,1162.467883865236,1243.4777416149382
2020-04-13,880566.5692211278,125.38180949672834,124.95303725726103,1141.519773507147,114.63090527626119,101.52919586832391,20.519338118621704,1266.9015830038752,1368.4307788721992
2020-04-14,880430.4082433997,136.62821560324937,136.16097772802564,1244.0713064779218,124.91457162150462,123.89223451905372,22.363038650729802,1380.6995220811712,1504.591756600225
2020-04-15,880282.0378198699,148.8795713671515,148.37042352975539,1355.818291204378,136.11906776585326,148.26431755845059,24.372083039396866,1504.6978625715296,1652.9621801299802
2020-04-16,880120.3674775539,162.22514508100517,161.67034231600263,1477.581788111324,148.32476860214896,174.82558925365362,26.56127169520302,1639.806933192329,1814.6325224459827
2020-04-17,879944.210183665,176.76182920704176,176.15729388888232,1610.255708203059,161.62060976284573,203.77227892476435,28.94668967111073,1787.0175374101007,1990.789816334865
2020-04-18,879752.2739296355,192.59496059812264,191.9362540295154,1754.812981636037,176.1031226384345,235.31812813022083,31.545849205456484,1947.4079422341597,2182.7260703643806
2020-04-19,879543.1526317336,209.83900695821404,209.12129790193333,1912.3124226099892,191.87725154184193,269.6959386981106,34.377810567889746,2122.151429568203,2391.847368266314
2020-04-20,879315.3162750313,228.61832604963786,227.83635670222012,2083.9061436741886,209.0570376107963,307.15925524470754,37.46331654659698,2312.5244697238263,2619.683724968534
2020-04-21,879067.1002468086,249.06797908644015,248.21602822267928,2270.8475811611765,227.766375185877,347.98419294359655,40.824937698889016,2519.9155602476167,2867.899753191213
2020-04-22,878796.6938002493,271.3346034730033,270.4064465593192,2474.5001737598004,248.13982217275603,392.4714225177286,44.48722957413206,2745.834777232804,3138.3061997505324
2020-04-23,878502.127586791,295.5773474028399,294.56621345836845,2696.3467405562733,270.32346952853186,440.9483252497877,48.47690273205904,2991.9240879591134,3432.872413208901
2020-04-24,878181.2601929281,321.9688688878811,320.867393862763,2937.999606469927,294.47587237772177,493.7713317138555,52.823006464067824,3259.968475357808,3753.7398070716636
2020-04-25,877831.7636150451,350.6964014522733,349.49657788303944,3201.211524632157,320.7690453186473,551.3284588702732,57.55712715641765,3551.90792608443,4103.236384954704
2020-04-26,877451.1076040518,381.96288829969325,380.656010993321,3487.88744651205,349.389524145901,614.0420611362811,62.713602266007875,3869.850334811743,4483.8923959480235
2020-04-27,877036.5428103707,415.9881861897182,414.5647936811891,3800.097191399205,380.53949579116414,682.3718120402901,68.3297509040091,4216.085377588923,4898.457189629213
