,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-04-13,3336487.0,870.0,0.0,0.0,0.0,0.0,0.0,870.0,870.0
2020-04-14,3336487.0,7.0644916154552675,0.0,862.9355083845447,862.9355083845447,0.0,0.0,870.0,870.0
2020-04-15,3336251.6159572015,235.4414072143869,235.38404279854228,836.8327905701843,7.007127199610626,33.109845013971025,33.109845013971025,1072.2741977845712,1105.3840427985422
2020-04-16,3336023.368090419,230.15967580198358,228.2478667822169,1038.2540750737187,233.52959819462023,65.21815870505696,32.10831369108593,1268.4137508757024,1333.6319095807594
2020-04-17,3335740.2015275485,285.03548367513724,283.1665628706326,1226.7082128769778,228.29075499747898,105.05477589927688,39.83661719421992,1511.7436965521151,1616.798472451392
2020-04-18,3335405.665625437,336.8504202542533,334.5359021111151,1462.3617922473418,282.720965531999,152.1221620609118,47.067386161634914,1799.212212501595,1951.3343745625068
2020-04-19,3335006.904572134,401.496314187815,398.76105330327624,1740.3678080887014,334.11515936971455,208.23130558926675,56.10914352835496,2141.8641222765164,2350.095427865783
2020-04-20,3334532.3927689763,477.7719955083015,474.5118031574785,2071.828014653653,398.236121836992,275.007220861307,66.7759152720403,2549.6000101619547,2824.6072310232616
2020-04-21,3333967.588614369,568.6837135228789,564.8041546075137,2466.2267882853744,473.8924365929363,354.50088382252204,79.49366296121502,3034.9105018082532,3389.4113856307754
2020-04-22,3333295.3806943186,676.825691689582,672.2079200504689,2935.6664389387597,564.0659418837658,449.12717505290243,94.62629123038037,3612.492130628342,4061.6193056812444
2020-04-23,3332495.3811323084,805.4954578996809,799.9995620099502,3494.3580829166513,671.3297957998512,561.7653268748625,112.63815182195998,4299.8535408163325,4861.618867691195
2020-04-24,3331543.3608431118,958.560997137453,952.0202891965109,4159.238323917845,798.9547499587388,695.8398358324074,134.07450895754494,5117.799321055299,5813.639156887706
2020-04-25,3330410.520995227,1140.6234641228816,1132.8398478847437,4950.430504135256,950.7773808993151,855.4250365143114,159.58520068190404,6091.053968258138,6946.47900477245
2020-04-26,3329062.644876181,1357.1381016883784,1347.8761190462087,5891.849649077753,1131.361481480712,1045.3673730525263,189.94233653821493,7248.987750766131,8294.355123818657
2020-04-27,3327459.0935540525,1614.5714264279616,1603.5513221286599,7011.904137860283,1346.1179973890767,1271.4308816590726,226.06350860654635,8626.475564288245,9897.906445947317
2020-04-28,3325551.622588758,1920.58145529975,1907.4709652945155,8344.32636049547,1601.4609364227272,1540.469595446614,269.03871378754144,10264.90781579522,11805.377411241834
2020-04-29,3323282.98973917,2284.2281732520005,2268.632849587904,9929.150266961822,1904.9861316356535,1860.631820615915,320.1622251693011,12213.378440213823,14074.010260829738
2020-04-30,3320585.3208171087,2716.217095368889,2697.668922061159,11813.860167442952,2265.67999994427,2241.6019200790547,380.9700994631396,14530.077262811841,16771.679182890897
2020-05-01,3317378.197121001,3229.1796649537014,3207.123696107736,14054.73703881566,2694.161126522924,2694.8861752292714,453.28425515021667,17283.916703769362,19978.802878998635
2020-05-02,3313566.4248073,3837.9935926296275,3811.772313701048,16718.431296124534,3202.958386025122,3234.15030394552,539.2641287162486,20556.42488875416,23790.57519269968
2020-05-03,3309037.444350389,4560.145369043537,4528.980456911006,19883.792956533805,3806.8286804970953,3875.6173240333446,641.4670200878247,24443.938325577343,28319.555649610687
2020-05-04,3303658.337703912,5416.135507080212,5379.106646476918,23643.9911510514,4523.116508440244,4638.535637955996,762.9183139226516,29060.126658131612,33698.66229608761
2020-05-05,3297272.3929733247,6429.924321251519,6385.944730587224,28108.9542646256,5372.155916415916,5545.7284407977095,907.1928028417136,34538.87858587712,40084.60702667483
2020-05-06,3289695.1928773406,7629.41175857666,7577.200095984139,33408.15861048051,6377.712658658998,6624.236753601797,1078.5083128040883,41037.57036905717,47661.80712265897
2020-05-07,3280710.206150128,9046.938354108494,8984.986727212723,39693.78604082093,7567.460131680889,7906.069454942266,1281.8327013404682,48740.72439492942,56646.79384987168
2020-05-08,3270063.88322906,10719.78501319203,10646.322921067731,47144.257291353395,8973.476261984195,9429.074466393995,1523.0050114517294,57864.04230454542,67293.11677093942
2020-05-09,3257460.292963201,12690.636049014072,12603.590265858695,55968.125479407274,10632.739230036652,11237.945508376766,1808.8710419827719,68658.76152842134,79896.7070367981
2020-05-10,3242555.3906896454,15007.951574662848,14904.902273555888,66408.27949063777,12587.586747907113,13385.37824505339,2147.432736676625,81416.23106530061,94801.609310354
2020-05-11,3224951.0861412636,17726.170695582463,17604.304548382042,78746.35545480243,14886.085427462429,15933.387708351154,2548.0094632977643,96472.52615038489,112405.91385873605
2020-05-12,3204189.389760129,20905.63475383931,20761.69638113463,93307.18050078586,17582.232322877782,18954.794985245495,3021.4072768943397,114212.81525462517,133167.61023987067
2020-05-13,3179747.0664070295,24612.079308771048,24442.323353099477,110462.9698773755,20735.878798167738,22534.884406823607,3580.0894215781127,135075.04918614653,157609.93359297013
2020-05-14,3151031.4243279835,28915.494754811192,28715.64207904598,130636.85914115,24412.226633005837,26773.22177605494,4238.337369231331,159552.3538959612,186325.57567201613
2020-05-15,3117378.120581315,33888.10060902753,33653.30374666879,154305.17068810054,28680.697892452452,31785.60812155685,5012.386345501909,188193.27129712806,219978.8794186849
2020-05-16,3078052.1723579657,39601.123168884966,39325.94822334913,181997.58405757195,33612.9256634917,37706.12041557715,5920.512294020298,221598.7072264569,259304.82764203404
2020-05-17,3032253.7159768604,46120.02167143798,45798.45638110556,214294.10352535825,39279.55787855255,44689.158826343395,6983.038410766243,260414.12519679623,305103.2840231396
2020-05-18,2979130.421652636,53497.793756870895,53123.29432422436,251817.40697005336,45745.52223879144,52911.37762043972,8222.218794096329,305315.20072692423,358226.578347364
2020-05-19,2917798.7919707224,61766.03740081094,61331.62968191351,295218.8481284993,53063.38603797346,62573.322499967246,9661.944879527526,356984.8855293102,419558.20802927745
2020-05-20,2847376.7421262204,70923.5965724768,70422.04984450218,345156.13043899083,61264.49067283632,73900.53086231204,11327.208362344783,416079.7270114676,489980.2578737796
2020-05-21,2767029.723644427,80922.92555457968,80347.01848179325,402260.57537009136,70347.68949969037,87143.7754309019,13243.244568589862,483183.50092467107,570327.276355573
2020-05-22,2676031.998467114,91654.8278544149,90997.72517731326,467092.1216691633,80265.82287747803,102578.05200930798,15434.276578406094,558746.9495235782,661325.0015328862
2020-05-23,2573843.248837875,102932.99648313902,102188.74962923845,540080.914070823,90910.58100051433,120499.84060816254,17921.788598854557,643013.910553962,763513.7511621246
2020-05-24,2460198.2927987603,114480.7828099294,113644.95603911467,621455.7989934477,102097.16971232429,141222.12539786217,20722.28478969961,735936.581803377,877158.7072012392
2020-05-25,2335204.168422133,125923.72038845636,124994.12437662705,711162.4400661942,113551.18679810008,165066.6711232158,23844.54572535366,837086.1604546505,1002152.8315778663
2020-05-26,2199434.452469168,136792.2298229317,135769.71595296482,808777.1600030512,124901.20651848949,192353.15770484836,27286.486581632555,945569.3898259829,1137922.5475308313
2020-05-27,2054006.080380444,146539.13939980872,145428.3720887242,913426.7711675465,135681.46251184717,223385.00905220018,31031.85134735183,1059965.9105673553,1283350.9196195556
2020-05-28,1900620.440761969,154575.55286172332,153385.63961847508,1023728.8605089972,145349.22615656047,258432.14586730994,35047.13681510977,1178304.4133707206,1436736.5592380306
2020-05-29,1741549.9637498762,160325.64677892713,159070.47701209263,1137769.9422210562,153320.38309488882,297711.44725013984,39279.301382829886,1298095.5889999834,1595807.0362501233
2020-05-30,1579555.7002455357,163296.12463929708,161994.26350434058,1253138.801068682,159023.78564397062,341366.3740464847,43654.926796344866,1416434.9257079791,1757801.2997544638
2020-05-31,1417731.5395344084,163150.1424391165,161824.16071112725,1367027.4464854077,161970.14291130783,389447.8715410669,48081.497494582225,1530177.5889245241,1919625.460465591
2020-06-01,1259285.8327904758,159770.50308108362,158445.7067439325,1476401.5184849675,161825.34610196538,441899.14564347244,52451.27410240552,1636172.021566051,2078071.1672095235
2020-06-02,1107287.7739914074,153295.41210873888,151998.05879906833,1578226.8365465223,158473.14977141307,498546.9773533308,56647.83170985835,1731522.2486552612,2230069.226008592
2020-06-03,964418.3908853799,144114.1579951424,142869.38310602753,1669722.7214732796,152050.637219624,559101.7296461975,60554.75229286674,1813836.879468422,2372938.6091146194
2020-06-04,832768.9310842857,132819.6819399735,131649.4598010941,1748601.312947341,142943.935856263,623167.0740283993,64065.34438220174,1881420.9948873145,2504588.0689157136
2020-06-05,713720.2590958363,120127.18179239467,119048.67198844941,1813250.6596799893,131741.17213602824,690258.8994317792,67091.82540337986,1933377.841472384,2623636.740904163
2020-06-06,607917.9589387287,106777.74552326926,105802.3001571076,1862830.0494706363,119151.73642623301,759831.2460673652,69572.34663558599,1969607.7949939056,2729439.041061271
2020-06-07,515335.7690449327,93449.23643168833,92582.18989379598,1897266.097539394,105910.6989853769,831305.8969839845,71474.6509166193,1990715.3339710822,2822021.2309550666
2020-06-08,435402.46320047515,80692.123484966,79933.30584445754,1917160.5937738703,92690.41879117988,904101.8195406881,72795.92255670359,1997852.7172588361,2901954.536799524
2020-06-09,367159.3837248165,68898.3080156504,68243.07947565865,1923638.2371757284,80036.89494497425,977661.0710838041,73559.25154311612,1992536.5451913788,2970197.616275183
2020-06-10,309417.9884256399,58300.856815608335,57741.3952991766,1918169.2923892809,68338.84649921866,1051468.8623694703,73807.79128566629,1976470.1492048893,3027939.0115743596
2020-06-11,260895.64879035996,48995.74873200148,48522.33963527996,1902398.785956922,57827.44771888682,1125066.8165207158,73597.95415124562,1951394.5346889235,3076461.3512096396
2020-06-12,220318.86349781783,40974.635931749224,40576.785292542125,1878003.826129526,48597.89809279438,1198059.6744409062,72992.85792019038,1918978.462061275,3117038.136502181
2020-06-13,186492.33762552487,34159.24423089776,33826.525872292965,1846588.8923915012,40641.91757314443,1270116.5257520752,72056.85131116903,1880748.136622399,3150864.662374474
2020-06-14,158338.31518584298,28431.399099980143,28154.022439681907,1809619.2636016596,33881.86757059953,1340968.0221125165,70851.49636044118,1838050.6627016398,3179018.684814156
2020-06-15,134913.16030451568,23656.020835991043,23425.154881327282,1768386.7826109447,28200.53314531638,1410401.0362485475,69433.01413603115,1792042.8034469357,3202443.8396954834
2020-06-16,115408.39105942962,19696.85862537445,19504.769245086067,1723999.742901243,23463.93145570266,1478252.0074139517,67850.9711654043,1743696.6015266175,3221948.608940569
