,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-03-25,4143787.0,810.0,0.0,0.0,0.0,0.0,0.0,810.0,810.0
2020-03-26,4143787.0,6.148723324437583,0.0,803.8512766755624,803.8512766755624,0.0,0.0,810.0,810.0
2020-03-27,4143563.479241499,223.56743356067045,223.5207585007686,808.5773273846265,6.102048264535752,1.375997555471605,1.375997555471605,1032.144760945297,1033.5207585007688
2020-03-28,4143338.656474189,226.51987137627577,224.82276731044965,1029.063569476522,221.87032949484433,2.7600849584204714,1.3840874029488663,1255.5834408527976,1258.3435258112181
2020-03-29,4143052.543620716,287.8323695430621,286.11285347321035,1252.102418647283,224.80035530642402,4.5215910940835204,1.761506135663049,1539.934788190345,1544.4563792844285
2020-03-30,4142704.4428148093,350.28574615881877,348.10080590679706,1535.6065536284805,285.6474292910404,6.6648854039264975,2.143294309842977,1885.8922997872992,1892.5571851912257
2020-03-31,4142277.560030964,429.5418087065229,426.88278384525773,1880.604690602952,347.6267212975536,9.29346972700866,2.6285843230821624,2310.1464993094746,2319.4399690364835
2020-04-01,4141754.825193795,525.9954961048827,522.7348371690618,2303.666703286779,426.281149770702,12.51260681388363,3.2191370868749707,2829.6621993916615,2842.1748062055453
2020-04-02,4141114.576405661,644.2416285973424,640.2487881338247,2821.72604273979,522.0026556413651,16.455923002237835,3.943316188354204,3465.9676713371323,3482.42359433937
2020-04-03,4140330.4667059593,789.0001485023122,784.1096997019046,3456.2471149662324,639.3511797969347,21.286030572730112,4.830107570492278,4245.247263468545,4266.5332940412745
2020-04-04,4139370.2162422067,966.2397768587887,960.2504637525159,4233.3416972949535,783.0108353960394,27.202283640048158,5.9162530673180465,5199.581474153742,5226.783757793791
2020-04-05,4138194.3380721426,1183.2129121050398,1175.8781700643347,5185.000282432638,958.9050348180837,34.448733320447054,7.246449680398894,6368.213194537679,6402.661927858126
2020-04-06,4136754.530677773,1448.7891830490444,1439.8073943694937,6350.355948518241,1174.2311234254892,43.3241906603331,8.87545733988605,7799.145131567286,7842.469322227619
2020-04-07,4134991.732661,1773.7957992940683,1762.7980167730725,7777.27708670414,1437.7914005280486,54.19445300248323,10.870262342150124,9551.072885998208,9605.267339000691
2020-04-08,4132833.754969289,2171.442604801943,2157.977691710698,9524.295169195575,1760.3308862028227,67.507256713871,13.312803711387769,11695.737773997518,11763.245030711389
2020-04-09,4130192.4076285735,2657.8307972485377,2641.3473407154224,11662.951044395531,2154.959148268828,83.81052978274307,16.30327306887207,14320.78184164407,14404.592371426812
2020-04-10,4126960.019748086,3252.563517790466,3232.3878804874403,14280.642073422396,2637.655159945512,103.77466070139107,19.96413091864799,17533.205591212864,17636.980251914254
2020-04-11,4123005.2361077536,3979.473903500371,3954.783640332404,17484.070347793247,3227.873254622499,128.2196409530366,24.44498025164553,21463.544251293617,21591.763892246654
2020-04-12,4118167.9567991626,4867.487560454726,4837.279308591215,21403.407530375793,3949.26565163686,158.14811000735273,29.928469054316132,26270.89509083052,26429.043200837874
2020-04-13,4112253.2705921954,5951.635385108133,5914.686206966926,26197.308493187586,4830.538382313519,194.78552950907755,36.63741950172481,32148.94387829572,32343.729407804796
2020-04-14,4105024.2200352075,7274.229519100382,7229.0505569880825,32058.921506099352,5906.456422995833,239.62893959314277,44.84341008406524,39333.15102519973,39572.77996479288
2020-04-15,4096193.230602428,8886.208228719486,8830.98943277948,39223.05516567418,7219.010723160376,294.5060031786908,54.877063585548,48109.26339439367,48403.76939757236
2020-04-16,4085412.043394072,10848.64256119765,10781.187208356,47974.66772643141,8818.752875877835,361.6463182992929,67.14031512060212,58823.310287629065,59184.95660592836
2020-04-17,4072260.0199791347,13234.375639078873,13152.023414937486,58658.83711968681,10766.290337056264,443.76726210016375,82.12094380087083,71893.21275876569,72336.98002086586
2020-04-18,4056230.7522518225,16129.730090492796,16029.267727312088,71692.34075660635,13133.913275898165,544.1769010787839,100.40963897862012,87822.07084709915,88366.24774817794
2020-04-19,4036717.0287614013,19636.164536870907,19513.72349042116,87576.90997860084,16007.289044043047,666.8967231273375,122.71982204855362,107213.07451547176,107879.9712385991
2020-04-20,4012994.4084714567,23871.678737957463,23722.620289944683,106914.10573262107,19487.106088858127,816.8070579652433,149.91033483790576,130785.78447057854,131602.5915285438
2020-04-21,3984203.9689214835,28971.649855960164,28790.439549973053,130421.56326145281,23690.468431970352,999.8179611038532,183.01090313860996,159393.213117413,160393.03107851685
2020-04-22,3949335.273554419,35088.61963770219,34868.69536706419,158950.03890311535,28751.72558532216,1223.0679047634876,223.24994365963425,194038.65854081753,195261.726445581
2020-04-23,3907211.295700182,42390.33614311198,42123.97785423709,193500.21650794795,34822.261348827305,1495.1516487581835,272.08374399469596,235890.55265105993,237385.7042998181
2020-04-24,3856477.9987605168,51055.0826786457,50733.29693966557,235237.54168096578,42068.55040413185,1826.3768798722028,331.2252311140194,286292.6243596115,288119.0012394837
2020-04-25,3795602.5433296734,61263.0154033092,60875.455430843416,285502.39502317226,50667.522706179916,2229.0462438456084,402.6693639734055,346765.41042648145,348994.45667032705
2020-04-26,3722885.66648754,73181.92539983154,72716.87684213313,345811.65132115805,60797.96684561079,2717.7567914706133,488.71054762500506,418993.5767209896,421711.33351246023
2020-04-27,3636495.5511911055,86945.64049598163,86390.11529643447,417846.10621927236,72626.40020028438,3309.7020936406834,591.9453021700702,504791.746715254,508101.44880889467
2020-04-28,3534532.1877168925,102623.36926146716,101963.36347421307,503416.49018771516,86285.63470872754,4024.9528339254457,715.2507402847624,606039.8594491823,610064.8122831078
2020-04-29,3415132.246909557,120178.95649154572,119399.9408073354,604399.1173735589,101844.35357725684,4886.679225338477,861.7263914130322,724578.0738651047,729464.7530904432
2020-04-30,3276623.85714004,139420.6702051787,138508.3897695168,722631.2093811663,119266.67605588381,5921.263273614948,1034.5840482764709,862051.8795863449,867973.1428599599
2020-05-01,3117736.9774184343,159945.22432259234,158886.87972160554,859756.5663986711,138362.3256041919,7158.231860302027,1236.9685866870789,1019701.7907212635,1026860.0225815655
2020-05-02,2937866.5741293393,181084.55011801425,179870.40328909483,1017015.9501002315,158731.07749367293,8629.925652414651,1471.6937921126237,1198100.5002182457,1206730.4258706602
2020-05-03,2737371.1038453593,201870.08608275276,200495.47028398002,1194985.0008732018,179709.9343192415,10370.809198685809,1740.8835462711575,1396855.0869559546,1407225.8961546405
2020-05-04,2517867.898904807,221035.60408475378,219503.20494055224,1393277.1646064818,200337.68693855123,12416.33240395703,2045.523205271221,1614312.7686912357,1626729.1010951928
2020-05-05,2282463.1644040323,237082.61940740087,235404.73450077482,1610249.9327019646,219357.71917812774,14801.283486602006,2384.951082644975,1847332.5521093656,1862133.8355959675
2020-05-06,2035835.4943071618,248427.3681607829,246627.67009687048,1842776.498441641,235282.92134348844,17557.639090414134,2756.3556038121283,2091203.8666024238,2108761.5056928378
2020-05-07,1784090.9428079466,253630.36773753483,251744.55149921525,2086163.665926696,246541.55192246332,20712.023527822475,3154.384437408343,2339794.0336642307,2360506.057192053
2020-05-08,1534338.296431038,251677.9586706041,249752.64637690847,2334297.717395148,251705.0554438392,24283.027503210058,3571.0039753875812,2585975.676065752,2610258.703568962
2020-05-09,1294000.4842563486,242248.30369904116,240337.81217468958,2580069.4355190657,249767.46714625251,28278.776525544497,3995.749022334441,2822317.739218107,2850596.5157436514
2020-05-10,1069968.2212048029,225871.17390989108,224032.2630515457,2816062.3780296664,240409.3928406958,32695.226855639703,4416.450330095204,3041933.5519395573,3074628.778795197
2020-05-11,867779.054372682,203903.75862883424,202189.16683212086,3035398.547386582,224156.5821131777,37515.6396119017,4820.412756262001,3239302.306015416,3276817.9456273178
2020-05-12,691024.9047780972,178301.98638053748,176754.14959458486,3232558.6063848347,202355.92184288162,42711.50245653052,5195.862844628822,3410860.5927653722,3453572.0952219027
2020-05-13,541130.7007560353,151247.69733373047,149894.20402206187,3403973.7466192096,176948.49306886888,48244.85529102438,5533.3528344938595,3555221.44395294,3603466.2992439643
