,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-04-07,844966.0,765.0,0.0,0.0,0.0,0.0,0.0,765.0,765.0
2020-04-08,844966.0,1.794144957298954,0.0,763.205855042701,763.205855042701,0.0,0.0,765.0,765.0
2020-04-09,844204.7253858624,761.2788219233554,761.2746141375674,59.38476086454773,1.7899371715109784,705.6110313496642,705.6110313496642,820.6635827879031,1526.2746141375674
2020-04-10,844145.5442616175,60.9665419696737,59.18112424489943,763.9748357932791,759.4934041985812,760.514360619514,54.90332926984984,824.9413777629528,1585.4557383824667
2020-04-11,843384.24254939,761.444696297903,761.3017122275254,118.47641221468757,60.82355789929612,1466.8363420974017,706.3219814778877,879.9211085125905,2346.7574506099922
2020-04-12,843266.287157721,119.74119841682682,117.95539166895105,768.5996334243083,759.6588895500272,1576.3720104378083,109.5356683404065,888.3408318411351,2464.7128422789433
2020-04-13,842501.1745976378,765.3933876221008,765.1125600831198,177.46223247929925,119.46037087784579,2286.969782260663,710.5977718228548,942.8556201014001,3229.825402362063
2020-04-14,842324.6777812771,178.29188392507103,176.4968163606891,776.9903897389008,763.5983200577189,2451.03994505878,164.07016279811725,955.2822736639719,3406.322218722752
2020-04-15,841552.0762010774,773.0197259310041,772.6015801996689,236.50880265572437,177.87373819373573,3169.3952703356927,718.3553252769123,1009.5285285867285,4178.923798922421
2020-04-16,841317.1190186441,236.77013595380038,234.95718243331444,789.0547523504067,771.2067724105182,3388.0560930515285,218.66082271583576,1025.824888304207,4413.8809813557355
2020-04-17,840533.4597289898,784.2145837006923,783.6592896543387,295.7603354928331,236.21484190744678,4117.565351816549,729.5092587650204,1079.9749191935255,5197.540271010074
2020-04-18,840239.9953748218,295.30356284867685,293.4643541679096,804.6947325897777,782.3753750199251,4391.00632973953,273.44097792298055,1099.9982954384545,5491.004625177984
2020-04-19,839441.8262412607,798.8617053234077,798.1691335611105,355.3367454081026,294.6109910863796,5134.975308007584,743.9689782680547,1154.1984507315103,6289.173758739094
2020-04-20,839089.7058747207,353.9939269323812,352.12036653998223,823.8033967640704,796.9881449310087,5463.496801582625,328.521493575041,1177.7973236964517,6641.294125279077
2020-04-21,838273.7016790515,816.834413210317,816.004195669245,415.33148638208803,353.16370939130906,6225.132421355916,761.6356197732914,1232.1658995924051,7457.298320948322
2020-04-22,837862.7023448405,412.9150457710299,410.9993342110174,846.2614168224843,814.9187016503046,6609.1211925658245,383.9887712099083,1259.1764625935143,7868.297655159338
2020-04-23,837025.6785211609,837.9922281857359,837.0238236796405,475.80919784527345,411.9466412649345,7391.5200528079695,782.3988602421454,1313.8014260310094,8705.32147883898
2020-04-24,836555.533290236,472.1105636444322,470.145230924883,871.9335210251462,836.0268954661867,7831.422625094284,439.90257228631395,1344.0440846695783,9175.466709763863
2020-04-25,835694.4630678345,862.1774574172204,861.0702224014684,536.8032135269458,471.00332862868026,8637.556261221165,806.1336361268807,1398.9806709441661,10036.53693216533
2020-04-26,835164.8934609037,531.5916609667801,529.5696069308036,900.6649018824185,860.1554033812439,9133.849976246936,496.2937150257712,1432.2565628491984,10566.106539096134
2020-04-27,834276.9283757843,889.2118204106929,887.9650851193651,598.3130051754737,530.3449256754523,9966.546798629333,832.696822382397,1487.5248255861666,11454.0716242155
2020-04-28,833687.6790466126,591.3347865620207,589.2493291717456,932.277657155084,887.1263630204178,10519.708509670141,553.1617110408075,1523.6124437171047,12043.320953387247
2020-04-29,832770.1726946156,918.8932020955165,917.5063519969731,660.3016515745861,589.9479364634773,11381.632451714117,861.9239420439751,1579.1948536701025,12960.827305384219
2020-04-30,832121.048247716,651.2795156640382,649.1244468995467,966.5673595553593,916.738133331025,11992.104877064368,610.4724253502518,1617.8468752193976,13609.951752283767
2020-05-01,831171.5830444689,950.9926409711549,949.4652032472061,722.6934427019207,649.7520779400894,12885.730871857897,893.625994793528,1673.6860836730757,14559.416955530973
2020-05-02,830462.4867412715,711.3266543754597,709.0963031973854,1003.2998711566329,948.7622897930805,13553.886733196265,668.1558613383684,1714.6265255320927,15268.513258728357
2020-05-03,829478.9033281758,985.2516786250037,983.5834130956703,785.3717482349634,709.6583888461263,14481.47324496406,927.5865117677957,1770.6234268599671,16252.096671824027
2020-05-04,828709.8772987799,771.3367278676111,769.0260293958785,1042.2085382756522,982.9409801532711,15207.577435076642,726.1041901125824,1813.5452661432632,17021.122701219905
2020-05-05,827690.3060918995,1021.380213286455,1019.5712068803332,848.1772976102536,769.5277214614893,16171.13639720353,963.5589621268879,1869.5575108967087,18040.69390810024
2020-05-06,826861.5725188496,831.1290033232536,828.7335730498512,1082.9919202664294,1018.9847830130526,16955.30655756041,784.1701603568769,1914.1209235896831,18869.42748115009
2020-05-07,825804.4667425512,1059.055012782378,1057.1057762984863,910.9070338625405,829.1797668393617,17956.57121080366,1001.2646532432506,1969.9620466449187,19926.53325744858
2020-05-08,824916.4693233303,890.4812077315689,887.9974192208686,1125.312219469002,1056.5712242716777,18798.737249468875,842.1660386652162,2015.793427200571,20814.530676669445
2020-05-09,823820.6387084126,1097.919049386216,1095.8306149176917,973.3137135987431,888.3927732630445,19839.128528602178,1040.3912791333034,2071.232762984959,21910.361291587138
2020-05-10,822874.0835410921,949.1301031714894,946.5551673205367,1168.7945874307998,1095.3441135352634,20738.991768305383,899.8632397032067,2117.924690602289,22856.91645890767
2020-05-11,821738.7277055358,1137.5818185476478,1135.3558355562416,1035.1064285765328,946.9041201800832,21819.584047339733,1080.59227903435,2172.6882471241806,23992.272294463914
2020-05-12,820734.6225858468,1006.7730761376854,1004.1051196889766,1213.0274822493752,1134.913862098939,22776.57685576583,956.9928084260968,2219.800558387061,24996.377414152892
2020-05-13,819559.3629648727,1177.620793310916,1175.2596209740575,1095.9522182695257,1004.4119038008268,23898.064023546507,1121.4871677806764,2273.5730115804417,26171.63703512695
