,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-03-22,14872239.0,825.0,0.0,0.0,0.0,0.0,0.0,825.0,825.0
2020-03-23,14872239.0,4.656070110988935,0.0,820.3439298890111,820.3439298890111,0.0,0.0,825.0,825.0
2020-03-24,14871992.644346893,246.38193066990422,246.35565310762732,682.6520092291519,4.629792548712032,142.32171320857123,142.32171320857123,929.0339398990561,1071.3556531076274
2020-03-25,14871787.642042782,206.39281507260483,205.00230411105346,809.20992813509,244.99141970835285,260.755214010986,118.43350080241476,1015.6027432076949,1276.357957218681
2020-03-26,14871544.637392048,244.1694742700524,243.00465073383128,874.0478477498682,205.2279915363837,401.1452859325915,140.39007192160554,1118.2173220199206,1519.362607952512
2020-03-27,14871282.166290287,263.8491262356361,262.4711017614971,965.2004756008738,242.7914497959134,552.7841078774993,151.63882194490776,1229.04960183651,1781.8337097140093
2020-03-28,14870992.327740029,291.3276412042987,289.8385502582668,1060.1075923373664,262.36003528960424,720.237026430611,167.45291855311163,1351.4352335416652,2071.672259972276
2020-03-29,14870673.995883584,319.9760284720026,318.33185644446775,1165.8726789556338,289.6834691767638,904.1554089891075,183.91838255849652,1485.8487074276363,2390.0041164167437
2020-03-30,14870323.912106838,351.8896322876115,350.08377674530675,1281.7752528863584,318.17017292969786,1106.4230079880808,202.26759899897326,1633.6648851739699,2740.087893162051
2020-03-31,14869939.034610653,386.86346321425617,384.8774961848486,1409.3033470059822,349.90366525820394,1328.798579126661,222.37557113858009,1796.1668102202384,3124.9653893468994
2020-04-01,14869515.87532156,425.3426386794652,423.1592890938827,1549.483002389537,384.68011362867367,1573.2990373717798,244.50045824511892,1974.8256410690021,3548.124678440782
2020-04-02,14869050.638743306,467.6370935829943,465.2365782534372,1703.6048572485506,422.9421233499081,1842.1193058626745,268.8202684908946,2171.2419508315447,4013.3612566942193
2020-04-03,14868539.14265391,514.1353028422133,511.496089394672,1873.0438222996183,464.99788013545304,2137.67822094706,295.55891508438526,2387.1791251418317,4524.857346088891
2020-04-04,14867976.792981585,565.2513087087395,562.349672325021,2059.3225570619907,511.2336664584946,2462.6331526431823,324.9549316961225,2624.57386577073,5087.207018413912
2020-04-05,14867358.539659422,621.4434430403168,618.2533221631336,2264.1112599130447,562.0611878315564,2819.905637623685,357.27248498050255,2885.5547029533614,5705.460340577047
2020-04-06,14866678.83258978,683.2143232665474,679.7070696413231,2489.2461111756897,617.9361894150925,3212.7069757761324,392.80133815244756,3172.460434442237,6385.16741021837
2020-04-07,14865931.572127488,751.1163335537544,747.2604622931958,2736.744512497535,679.3584520059887,3644.567026460276,431.8600506841434,3487.8608460512896,7132.4278725115655
2020-04-08,14865110.055055622,825.7561631513232,821.517071865826,3008.823132576313,746.8772422682572,4119.365648649755,474.79862218947926,3834.5792957276362,7953.944944377391
2020-04-09,14864206.91522564,907.8001676666557,903.1398299815481,3307.9173348601917,821.0958254662156,4641.367271832091,522.0016231823369,4215.717502526847,8857.084774358938
2020-04-10,14863214.058464222,997.9801326028853,992.8567614181296,3636.7025657479767,902.6767964819,5215.258837426206,573.8915655941149,4634.682698350862,9849.941535777067
2020-04-11,14862122.591179123,1097.0996068765396,1091.4672850986328,3998.1177631539895,992.3478108249785,5846.191450845172,630.9326134189658,5095.217370030529,10941.408820875702
2020-04-12,14860922.742082696,1206.0408208982751,1199.849096427541,4395.391001687094,1090.9078824058056,6539.826094717873,693.6346438727012,5601.431822585369,12141.257917303243
2020-04-13,14859603.77639203,1325.772248992211,1318.9656906663722,4832.067567676975,1199.2342625724364,7302.383791300428,762.5576965825549,6157.839816669186,13460.223607969614
2020-04-14,14858153.901812969,1457.3568682024834,1449.8745790600456,5312.0406831948785,1318.2899598497731,8140.700635632298,838.3168443318702,6769.397551397362,14910.09818702966
2020-04-15,14856560.165557053,1601.9611719816917,1593.7362559149256,5839.585111950969,1449.1319521357173,9062.288159011925,921.5875233796271,7441.546283932661,16503.834442944586
2020-04-16,14854808.34157965,1760.864999865987,1751.8239774031645,6419.393897712234,1592.920149518869,10075.399522769529,1013.1113637576036,8180.258897578222,18255.65842034775
2020-04-17,14852882.807163311,1935.4722477275777,1925.5344163392595,7056.618503160442,1750.9271684776688,11189.10208579899,1113.7025630294618,8992.09075088802,20181.19283668701
2020-04-18,14850766.407903183,2127.322526168446,2116.399260128091,7756.912634854472,1924.5489816872227,12413.356935792182,1224.2548499931927,9884.235161022918,22297.5920968151
2020-04-19,14848440.31008145,2338.1038372858593,2326.097821733706,8526.480057583854,2115.316510616293,13759.106023679093,1345.749087886911,10864.583894869713,24623.689918548807
2020-04-20,14845883.839345848,2569.666342138954,2556.470735601772,9372.126718617214,2324.9082307486774,15238.36759339441,1479.2615697153178,11941.793060756168,27180.16065415058
2020-04-21,14843074.304534048,2824.0372925887473,2809.5348117998415,10301.317518666141,2555.163861350048,16864.34065469553,1625.97306130112,13125.354811254889,29989.69546595042
2020-04-22,14839986.805412097,3103.4372015029967,3087.499121951069,11322.238081206468,2808.0992130368195,18651.519305192025,1787.1786504964937,14425.675282709464,33077.19458790149
2020-04-23,14836594.023022586,3410.297324292447,3392.7823895103265,12443.861884366279,3085.9222667208765,20615.81776875309,1964.298463561065,15854.159208658726,36469.97697741182
2020-04-24,14832865.991268411,3747.278521983171,3728.031754175627,13676.023128957986,3391.050556484903,22774.707080646287,2158.889311893197,17423.301650941157,40198.00873158744
2020-04-25,14828769.848293142,4117.291571054351,4096.14297526798,15029.495721228168,3726.1299261967993,25147.364414572905,2372.657333926618,19146.78729228252,44294.151706855424
2020-04-26,14824269.566161966,4523.518977506392,4500.282131176437,16516.0787480813,4094.0547247243962,27754.836112444165,2607.471697871262,21039.597725587693,48794.43383803186
2020-04-27,14819325.657301202,4969.438341379358,4943.908860764013,18148.688814137004,4497.989496891048,30620.21554327951,2865.3794308353454,23118.127155516362,53738.342698795874
2020-04-28,14813894.85612406,5458.8473023903625,5430.8011771422425,19941.459591859264,4941.392216131238,33768.83698168849,3148.621438408977,25400.306894249625,59169.14387593811
2020-04-29,14807929.77426059,5995.890076519118,5965.081863470497,21909.848905555213,5428.039089341742,37228.48675733428,3459.6497756457934,27905.73898207433,65134.225739408605
2020-04-30,14801378.527827322,6585.085566083742,6551.246433266705,24070.753624159435,5962.050943702081,41029.63298243214,3801.146225097859,30655.839190243176,71685.4721726753
2020-05-01,14794184.335224548,7231.35699075254,7194.1926027736945,26442.63257266523,6547.921178104897,45205.67521203124,4176.042229599102,33673.98956341777,78879.664775449
2020-05-02,14786285.084045919,7940.0629424436,7899.25117862962,29045.63758339758,7190.54522693856,49793.21542823745,4587.540216206208,36985.70052584118,86778.91595407863
2020-05-03,14777612.865837306,8717.029711334353,8672.218208612314,31901.752690796067,7895.251439721561,54832.35176056052,5039.1363323230735,40618.78240213042,95451.13416269094
2020-05-04,14768093.47766284,9568.584661127054,9519.388174465785,35034.94132082392,8667.833224673084,60366.99635520576,5534.644594645233,44603.525981950974,104970.52233715673
2020-05-05,14757645.889741456,10501.590346894534,10447.587921385273,38471.301131347354,9514.582235617792,66445.21878030011,6078.222425094361,48972.89147824189,115418.110258542
2020-05-06,14746181.678825505,11523.478965566428,11464.210915951851,42239.22591450542,10442.322297279958,73119.61629442201,6674.3975141218925,53762.70488007185,126882.32117449386
2020-05-07,14733604.427525312,12642.286604419869,12577.251300194192,46369.573666646684,11458.44366134075,80447.7122036215,7328.095909199483,59011.86027106655,139459.57247468806
2020-05-08,14719809.09046454,13866.686603550972,13795.337060771099,50895.8395549642,12570.937061639996,88492.38337694398,8044.67117332248,64762.526158515175,153254.90953545916
2020-05-09,14704681.329008985,15206.021170746011,15127.7614555542,55854.33205028032,13788.426888359161,97322.31776998703,8829.934393043042,71060.35322102634,168382.67099101335
2020-05-10,14688096.817377428,16670.33017783732,16584.51163155832,61284.34993894779,15120.20262446701,107012.50250578657,9690.18473579954,77954.68011678511,184967.18262257168
2020-05-11,14669920.524252785,18270.375822921953,18176.293124641536,67228.3572587406,16576.247479556903,117644.74266555067,10632.240159764096,85498.73308166255,203143.47574721323
2020-05-12,14650005.975603463,20017.661559366188,19914.548649322987,73732.15240809684,18167.262912878752,129308.21042907318,11663.467763522503,93749.81396746302,223058.0243965362
2020-05-13,14628194.50633986,21924.443367457174,21811.4692636045,80845.02673872313,19904.687455513515,142100.0235539604,12791.81312488723,102769.4701061803,244869.49366014072
2020-05-14,14604314.51071294,24003.731075964635,23879.995626918226,88619.9068419582,21800.707918410764,156125.8513691361,14025.827815175686,112623.63791792284,268749.48928705894
2020-05-15,14578180.704054128,26269.277028283872,26133.806658811125,97113.47346393618,23868.26070649189,171500.54545365,15374.69408451391,123382.75049222006,294883.29594587005
