,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-03-12,212559357.0,52.0,0.0,0.0,0.0,0.0,0.0,52.0,52.0
2020-03-13,212559357.0,0.12708088739465495,0.0,51.872919112605345,51.872919112605345,0.0,0.0,52.0,52.0
2020-03-14,212559305.9597751,51.04053548918416,51.0402249208776,28.744803794089204,0.12677031908809702,23.25488563760424,23.25488563760424,79.78533928327336,103.04022492087759
2020-03-15,212559277.67640635,28.408104823155984,28.28336873578937,66.77416579577056,50.915799401817544,36.14132303774043,12.886437400136188,95.18227061892654,131.32359365666696
2020-03-16,212559211.97416273,65.77166915082553,65.70224362832309,65.17765703121792,28.338679300653542,66.0765111029466,29.935188065206177,130.94932618204345,197.02583728499005
2020-03-17,212559147.842819,64.2920806749441,64.13134371184574,101.56912391186074,65.61093218772717,95.29597641003095,29.21946530708435,165.86120458680483,261.1571809968358
2020-03-18,212559047.90423992,100.09570012154708,99.93857907030439,120.17014402938918,64.1349596237014,140.8299159162039,45.53393950617297,220.26584415093626,361.0957600671402
2020-03-19,212558929.6633087,118.48555141877509,118.24093121885518,166.1483553277661,99.85107992162717,194.70278453945417,53.872868623250255,284.6339067465412,479.33669128599536
2020-03-20,212558766.18239185,163.7704793496439,163.48091686853346,209.85921660882423,118.19598893766465,269.18791219606067,74.48512765660652,373.6296959584681,642.8176081545288
2020-03-21,212558559.69253108,206.89009341583574,206.4898607649742,279.1485408200672,163.37024669878235,363.26883468360006,94.08092248753937,486.0386342359029,849.307468919503
2020-03-22,212558285.02607486,275.17206730990546,274.66645622020457,360.38935466317497,206.38448232613484,488.4125031666271,125.14366848302704,635.5614219730804,1123.9739251397075
2020-03-23,212557930.42368752,355.2748702253335,354.6023873311034,473.32461281625615,274.4995844156754,649.9768294292213,161.5643262625942,828.5994830415896,1478.576312470811
2020-03-24,212557464.70028168,466.5916490305771,465.72340584255295,615.5374800111476,354.4066270373093,862.1705892716391,212.1937598424178,1082.1291290417248,1944.2997183133639
2020-03-25,212556859.04915825,606.791409617912,605.651123448494,805.0403528279144,465.45136286115905,1138.1190793160313,275.9484900443923,1411.8317624458264,2549.9508417618576
2020-03-26,212556066.941089,793.59098445759,792.108069249942,1049.44528408936,605.308494410264,1499.0226424648497,360.9035631488184,1843.03626854695,3342.0589110118
2020-03-27,212555034.35809234,1034.5224244865844,1032.5829966686372,1370.6253407263991,791.6515566396426,1969.4941424674532,470.47150000260353,2405.1477652129834,4374.641907680437
2020-03-28,212553685.76225057,1351.1240730660804,1348.5958417635147,1788.1614294531869,1031.9941931840187,2583.9522469246845,614.4581044572311,3139.2855025192675,5723.2377494439515
