,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-03-20,9131058.0,1020.0,0.0,0.0,0.0,0.0,0.0,1020.0,1020.0
2020-03-21,9131058.0,9.263931756619627,0.0,1010.7360682433804,1010.7360682433804,0.0,0.0,1020.0,1020.0
2020-03-22,9130354.475400295,703.608737383711,703.5245997056802,413.13167223214225,9.179794078588936,606.784190089827,606.784190089827,1116.7404096158532,1723.5245997056802
2020-03-23,9130066.936536532,293.9292395735202,287.53886376324175,862.3310157729925,697.2183615734325,854.8032081224094,248.01901803258232,1156.2602553465126,2011.063463468922
2020-03-24,9129466.77467915,602.8314068096149,600.1618573814932,635.8998433527174,291.25969014539845,1372.494070688083,517.6908625656736,1238.7312501623323,2611.2253208504153
2020-03-25,9129024.23261937,448.01714704874496,442.5420597806751,851.5007436999861,597.3563195415451,1754.2494898823595,381.7554191942765,1299.5178907487311,3053.7673806310904
2020-03-26,9128431.676054465,596.6255847824316,592.5565649039463,784.2598420421302,443.9481271702597,2265.438518710475,511.18902882811545,1380.8854268245618,3646.3239455350367
2020-03-27,9127885.947636737,551.1471419458871,545.7284177285561,904.6450034265888,591.2068605651006,2736.260217891117,470.821699180642,1455.792145372476,4192.052363263593
2020-03-28,9127256.486652786,634.4666599412927,629.4609839502706,907.6928735656635,546.141465954865,3279.353813706907,543.0935958157903,1542.1595335069562,4821.513347213863
2020-03-29,9126624.948484514,637.3005759574804,631.5381682716505,991.4737749664646,628.7042522554628,3824.277164561569,544.9233508546617,1628.774350923945,5453.051515485514
2020-03-30,9125935.16648357,695.5701470659304,689.7820009442398,1027.7659188735001,631.5124298357898,4419.497450490323,595.2202859287542,1723.3360659394307,6142.833516429753
2020-03-31,9125220.189578177,721.2942724270449,714.976905393358,1100.0108268413464,689.2527800322435,5036.50532255472,617.0078720643974,1821.3050992683914,6857.810421823111
2020-04-01,9124455.014643887,771.7259351889521,765.1749342907121,1154.374796961622,714.7432715288049,5696.884623963249,660.3793014085295,1926.100732150574,7622.985356113823
2020-04-02,9123652.091099113,809.9325804594101,802.9235447747004,1226.0755884607033,764.7168995042424,6389.900731968411,693.0161080051611,2036.0081689201133,8425.908900888524
2020-04-03,9122799.371226713,860.0759117654796,852.7198723999514,1292.5912464933772,802.5765410938819,7125.961615029619,736.060883061208,2152.667158258857,9278.628773288476
2020-04-04,9121900.47458689,906.7080952672067,898.8966398239637,1368.862882074777,852.2644563222367,7901.954435770455,775.9928207408369,2275.5709773419835,10177.525413112438
2020-04-05,9120948.630756209,960.0788129529502,951.843830680666,1445.5543437160204,898.4731129949224,8723.736087124134,821.781651353679,2405.6331566689705,11129.369243793106
2020-04-06,9119943.56412284,1013.7863437636615,1005.066633367414,1529.0909263868039,951.3591025567027,9591.558607010054,867.8225198859193,2542.8772701504654,12134.43587716052
2020-04-07,9118880.533232976,1072.2383874191305,1063.0308898657781,1615.6969916773137,1004.5788462103092,10509.531387929854,917.9727809197994,2687.935379096444,13197.466767026297
2020-04-08,9117757.424343064,1132.8472656449133,1123.108889911699,1708.2312315575896,1062.5000116859162,11479.497159735494,969.9657718056403,2841.078497202503,14320.575656937997
2020-04-09,9116570.138979439,1197.5742065271734,1187.2853636255973,1805.271977734517,1122.5584227433371,12505.014836301903,1025.5176765664098,3002.8461842616903,15507.861020563594
2020-04-10,9115315.570011418,1265.4456795131482,1254.5689680202506,1908.1944603609743,1186.6974950342758,13588.789848709723,1083.7750124078184,3173.6401398741227,16762.429988583845
2020-04-11,9113989.657826731,1337.4053243123433,1325.9121846881092,2016.5836167482514,1253.952539888914,14734.35323221136,1145.563383501637,3353.9889410605947,18088.342173271954
2020-04-12,9112588.6350735,1413.16945093246,1401.0227532311176,2131.208631793748,1325.2586266110009,15944.986843776865,1210.6336115655045,3544.378082726208,19489.364926503073
2020-04-13,9111108.204128122,1493.265754548542,1480.4309453779754,2252.095805332883,1400.3346417618934,17224.434311999623,1279.4474682227578,3745.361559881425,20969.795871881048
2020-04-14,9109544.053805565,1577.7125892672195,1564.1503225567933,2379.7785508830575,1479.7034878381157,18576.455054287566,1352.0207422879412,3957.491140150277,22533.94619443784
2020-04-15,9107891.507609446,1666.8754331382158,1652.546196120048,2514.4882404811324,1563.3833522490518,20005.128716938543,1428.6736626509771,4181.363673619348,24186.49239055789
2020-04-16,9106145.734176695,1760.9124722204015,1745.773432750423,2656.6795032009563,1651.7363936682373,21514.673847886956,1509.5451309484133,4417.591975421357,25932.265823308313
2020-04-17,9104301.592919258,1860.1343681931933,1844.141257436301,2806.6907859613048,1744.9193614635092,23109.581926590115,1594.9080787031605,4666.825154154498,27776.40708074461
2020-04-18,9102353.71548093,1964.771710726137,1947.8774383289954,2964.9651929876322,1843.2400957960517,24794.54761535984,1684.9656887697242,4929.736903713769,29724.284519073608
2020-04-19,9100296.433937265,2075.1261623370983,2057.2815436650358,3131.908311185621,1946.9270920540746,26574.531589215923,1779.9839738560856,5207.034473522719,31781.566062738642
2020-04-20,9098123.807794027,2191.4730326046924,2172.626143237764,3307.981160592444,2056.27927297017,28454.73801277927,1880.2064235633468,5499.454193197136,33954.192205976404
2020-04-21,9095829.586573564,2314.124805384868,2294.2212204627876,3493.6408021166785,2171.569447682612,30440.64781893765,1985.9098061583777,5807.765607501547,36248.4134264392
2020-04-22,9093407.213732516,2443.3903844526253,2422.372841047345,3689.379551007166,2293.1072619795877,32538.01633202675,2097.3685130891004,6132.769935459792,38670.78626748654
2020-04-23,9090849.803499801,2579.601803084014,2557.410232715044,3895.7002647351555,2421.198814083655,34752.89443238242,2214.8781003556655,6475.30206781917,41228.196500201586
2020-04-24,9088150.134995282,2723.097185953027,2699.6685045186905,4113.132933520295,2556.173121649678,37091.63488524695,2338.740452864538,6836.230119473323,43927.865004720275
2020-04-25,9085300.63499574,2874.231947088498,2849.499999542114,4342.224427560141,2698.3652384066427,39560.908629613754,2469.2737443667975,7216.456374648638,46777.36500426239
2020-04-26,9082293.367975904,3033.3716165130163,3007.2670198360324,4583.545495650584,2848.1273504115143,42167.714911934825,2606.8062823210707,7616.9171121636,49784.63202409843
2020-04-27,9079120.02148088,3200.896443697798,3173.346495023442,4837.686454051546,3005.8216678386602,44919.395621372525,2751.6807094376977,8038.582897749344,52957.97851912187
2020-04-28,9075771.894684566,3377.19825338729,3348.126796314327,5105.260025139327,3171.8249866248348,47823.64703690958,2904.2514155370545,8482.458278526618,56306.105315436194
2020-04-29,9072239.8851981,3562.6821670040827,3532.009486466872,5386.899356286392,3346.5255728500797,50888.533278612595,3064.886241703015,8949.581523290475,59838.114801903066
2020-04-30,9068514.477485357,3757.765011238289,3725.407712742552,5683.258933855337,3530.324868508346,54122.49856955199,3233.9652909394,9441.023945093626,63563.52251464562
2020-05-01,9064585.73090078,3962.8756812650545,3928.7465845772854,5995.01337152974,3723.63591455052,57534.38004642811,3411.881476876117,9957.889052794795,67492.2690992229
2020-05-02,9060443.268841682,4178.4540295598745,4142.462059097907,6322.8572859758015,3926.883710803087,61133.41984278514,3599.0397963570254,10501.311315535677,71634.73115832082
2020-05-03,9056076.268284561,4404.950471805683,4367.000557121355,6667.504146056566,4140.504114875546,64929.27709757992,3795.857254794781,11072.45461786225,76001.73171544218
2020-05-04,9051473.450438038,4642.824866681687,4602.817846522768,7029.685422393976,4364.9434516467645,68932.03927288928,4002.7621753093545,11672.510289075664,80604.54956196494
2020-05-05,9046623.07232821,4892.545573280845,4850.378109827046,7410.149137444823,4600.657403227888,73152.23296106631,4220.193688177041,12302.694710725667,85454.92767179199
2020-05-06,9041512.91975464,5154.588071911465,5110.152573571244,7809.65835200081,4848.110074940624,77600.83382145096,4448.600860384638,12964.246423912275,90565.08024536324
2020-05-07,9036130.301685115,5429.43351279108,5382.618069524734,8228.98919362939,5107.772628645119,82289.27560846749,4688.441787016539,13658.42270642047,95947.69831488797
2020-05-08,9030462.046429653,5717.566923639273,5668.255255463195,8668.928630593331,5380.1218446150015,87229.45801611854,4940.182407651059,14386.495554232604,101615.95357035115
2020-05-09,9024494.499793122,6019.475214760204,5967.546636530303,9130.271806044977,5665.638345409372,92433.75318607627,5204.295169957726,15149.747020805182,107583.50020688145
2020-05-10,9018213.525532689,6335.644856118863,6280.97426043239,9613.818995808337,5964.804619073731,97915.01061538664,5481.257429310372,15949.4638519272,113864.47446731383
2020-05-11,9011604.508400958,6666.5592705368845,6609.0171317317245,10120.3720906967,6278.102717313703,103686.56023781198,5771.549622425341,16786.931361233583,120473.49159904556
2020-05-12,9004652.360121682,7012.695877446143,6952.148279275835,10650.73060750339,6606.011672366577,109762.21339337187,6075.653155559886,17663.426484949534,127425.63987832141
2020-05-13,8997341.528638955,7374.522792568092,7310.831482726338,11205.68716535308,6949.004567604389,116156.26140312657,6394.048009754699,18580.20995792117,134736.47136104773
2020-05-14,8989656.01102029,7752.495144046284,7685.517618665905,11786.022407429205,7307.545267187713,122883.47142823816,6727.210025111587,19538.51755147549,142421.98897971364
2020-05-15,8981579.37040261,8147.0509960708105,8076.640617680644,12392.499320976478,7682.084765656117,129959.07928034701,7075.607852108845,20539.550317047288,150498.6295973943
2020-05-16,8973094.757396188,8558.606853918227,8484.613006422835,13025.856927874152,8073.057148575419,137398.77882202476,7439.699541677745,21584.46378179238,158983.24260381714
2020-05-17,8964184.936372785,8987.552738918344,8909.821023402232,13686.803308868093,8480.875138402114,145218.70757943293,7819.928757408173,22674.356047786438,167893.06362721935
2020-05-18,8954832.317080274,9434.246817247527,9352.61929250992,14376.00793532513,8905.925214180737,153435.42816715664,8216.720587723701,23810.254752572655,177245.6829197293
2020-05-19,8945018.99203286,9899.009575542263,9813.325047414726,15094.093282109769,9348.562289119991,162065.90510949199,8630.476942335352,24993.102857652033,187059.00796714402
2020-05-20,8934726.780131165,10382.117538131997,10292.211901694795,15841.625704089682,9809.10393910506,171127.47662661714,9061.571517125147,26223.74324222168,197351.21986883882
2020-05-21,8923937.276963444,10883.79652886,10789.503167720335,16619.10556412467,10287.824176992332,180637.82094357448,9510.344316957344,27502.902092984674,208140.72303655915
2020-05-22,8912631.912230296,11404.214486379446,11305.364733147786,17426.956610626923,10784.946775628341,190614.91667270058,9977.09572912609,28831.17109700637,219446.08776970694
