,S,E,E_delta,I,I_delta,R,E+I
2020-01-05,1439323715.0,59.0,0.0,0.0,0.0,0.0,59.0
2020-01-06,1439323715.0,33.7601873672443,0.0,25.2398126327557,25.2398126327557,0.0,59.0
2020-01-07,1439323696.2491019,38.06869888507327,18.750898019455615,26.76519095931404,14.442386501626645,12.917008175068307,64.8338898443873
2020-01-08,1439323676.364986,41.66727534096733,19.884115897115166,29.353077590702174,16.285539441221104,26.614660984901278,71.0203529316695
2020-01-09,1439323654.5583045,45.64896980000162,21.80668128146577,32.156005861460564,17.82498682243148,41.63671953657437,77.80497566146218
2020-01-10,1439323630.6693015,50.00964329330833,23.889003063312877,35.227819028845516,19.528329570006175,58.093235939195594,85.23746232215385
2020-01-11,1439323604.4982197,54.78692812526785,26.171081892197655,38.5930343002123,21.393797060238136,76.12181772806694,93.37996242548016
2020-01-12,1439323575.8270879,60.020571789950246,28.671131810547042,42.279720536019084,23.437488145864645,95.8726196381248,102.30029232596934
2020-01-13,1439323544.4170825,65.75417065856074,31.410005412495355,46.31858548046239,25.67640654388486,117.51016123756636,112.07275613902313
2020-01-14,1439323510.0065668,72.0354839006181,34.410515737723735,50.743271781255146,28.129202495666366,141.21467743243997,122.77875568187325
2020-01-15,1439323472.3089106,78.91683302632616,37.6976561860723,55.59063580843876,30.81630706036425,167.1836204656206,134.50746883476492
2020-01-16,1439323431.010103,86.45553764292825,41.29880765312648,60.90105470337174,33.76010303652439,195.633304607212,147.35659234629998
2020-01-17,1439323385.7661364,94.7143929050907,45.243966637953406,66.71876270260891,36.98511137579096,226.8007079837658,161.43315560769963
2020-01-18,1439323336.2001412,103.76219257109743,49.56599509905241,73.09221959105831,40.51819543304568,260.9454465283621,176.85441216215574
2020-01-19,1439323281.899247,113.674302023678,54.300894178994376,80.07451435144469,44.3887847264138,298.3519364943895,193.7488163751227
2020-01-20,1439323222.4111428,124.53328602804902,59.488104076183134,87.72380737216719,48.62912007181211,339.33176354547913,212.2570934002162
2020-01-21,1439323157.2403102,136.42959645568635,65.1708325613548,96.10381489669734,53.27452213371747,384.22627815466643,232.5334113523837
2020-01-22,1439323085.8438954,149.4623257017324,71.39641487492732,105.28433974946167,58.363685628881264,433.4094389307834,254.74666545119408
2020-01-23,1439323007.6271875,163.74003207102177,78.21670800263908,115.34185275854401,63.9390016333497,487.29092755505076,279.08188482956575
2020-01-24,1439322921.938665,179.38164400703016,85.68852261319479,126.36012971774022,70.04691067718642,546.3195612730409,305.7417737247704
2020-01-25,1439322828.0645688,196.51745069460247,93.87409625525243,138.4309491930111,76.7382895676801,610.9870313654501,334.94839988761356
2020-01-26,1439322725.222957,215.2901872865597,102.8416117546449,151.65485698506095,84.06887516268768,681.8319987360879,366.94504427162065
2020-01-27,1439322612.5571918,235.85622379220172,112.66576512909373,166.14200361483364,92.0997286234517,759.4445807297669,401.99822740703536
2020-01-28,1439322489.1288042,258.38686752887276,123.42838774996711,182.0130618067807,100.89774401329608,844.471266551116,440.3999293356535
2020-01-29,1439322353.9096763,283.069789983311,135.2191279322928,199.40023161088232,110.53620547785451,937.6203022248689,482.4700215941933
2020-01-30,1439322205.7734787,310.110589965333,148.13619762900976,218.44834153412322,121.09539764698773,1039.6675899486156,528.5589314994562
2020-01-31,1439322043.4862883,339.73450607111414,162.2871904474478,239.31605485151982,132.6632743416667,1151.4631509728856,579.050560922634
2020-02-01,1439321865.6963105,372.18829271635445,177.78997779976106,262.17719114250247,145.33619115452075,1273.9382058364238,634.3654838588569
2020-02-02,1439321670.9226198,407.7422753612958,194.77369064945015,287.22217405776223,159.21970800450882,1408.1129309256728,694.964449419058
2020-02-03,1439321457.5428247,446.6926020411943,213.37979502858641,314.6596173725487,174.42946834868792,1555.1049559595742,761.352219413743
2020-02-04,1439321223.7795544,489.36370994984594,233.7632702808186,344.7180625335861,191.09216237216694,1716.138673170704,834.081772483432
2020-02-05,1439320967.6856546,536.1110276136842,256.0938998401827,377.6478821678272,209.34658217634438,1892.5554357128071,913.7589097815114
2020-02-06,1439320687.1279693,587.3239351546765,280.5576852922382,413.7233654026635,229.34477775124589,2085.8247302292166,1001.04730055734
2020-02-07,1439320379.7695737,643.4290072880192,307.35839548989844,453.2450023604242,251.25332335655582,2297.556416628012,1096.6740096484434
2020-02-08,1439320043.0503101,704.8935660532918,336.71926362001176,496.5419868475994,275.2547048547391,2529.514136995576,1201.4355529008913
2020-02-09,1439319674.1654637,772.22957285479,368.8848463476014,543.9749580749592,301.5488395461032,2783.630005314319,1316.2045309297491
