,S,E,E_delta,I,I_delta,R,E+I
2020-03-12,199999948.0,52.0,0.0,0.0,0.0,0.0,52.0
2020-03-13,199999948.0,3.6521619430294834,0.0,48.34783805697052,48.34783805697052,0.0,52.0
2020-03-14,199999900.8588255,47.39768001601466,47.14117449951249,49.1711935808244,3.3956564265273124,2.572300902673426,96.56887359683907
2020-03-15,199999852.91485605,51.272892583269,47.94396944591558,90.62384370649198,44.06875687866124,5.188407655667085,141.89673628976098
2020-03-16,199999764.5528409,91.96310951646927,88.36201515105286,133.47408620772165,47.67179821785258,10.009963372289993,225.43719572419093
2020-03-17,199999634.41011536,136.60165184155684,130.14272551965874,211.87690714425213,85.50418319457117,17.11132563033067,348.47855898580895
2020-03-18,199999427.82154816,216.18263170024932,206.58856719619743,327.6117844412254,127.00758733750497,28.384035670862396,543.7944161414747
2020-03-19,199999108.38711736,334.6177765759038,319.43443080206515,511.180795867014,200.99928592641066,45.81431017148441,845.7985724429178
2020-03-20,199998609.96644533,521.922177966354,498.4206720226682,795.1001767212731,311.11627063221806,73.01119994944345,1317.022354687627
2020-03-21,199997834.71553606,811.9075307208991,775.2509092672111,1238.063181879193,485.2655565126659,115.31375130418931,2049.970712600092
2020-03-22,199996627.56464478,1264.1743102264259,1207.1508912849276,1927.0773154278831,754.8841117794009,181.18372953490018,3191.251625654309
2020-03-23,199994748.61444905,1967.7380669916297,1878.9501957384662,2999.9354322007703,1175.3864389732623,283.71205173527517,4967.6734991924
2020-03-24,199991823.6273373,3063.188997946266,2924.987111751704,4669.862891484395,1829.5361807970676,443.3207732487179,7733.051889430661
2020-03-25,199987270.49967557,4768.267321017114,4553.12766173623,7269.456600821082,2848.049338665382,691.776402577413,12037.723921838196
2020-03-26,199980182.9231966,7422.470410584571,7087.576478968997,11316.06544132587,4433.37338940154,1078.5409514741639,18738.53585191044
2020-03-27,199969150.37410277,11553.858016077713,11032.54909383157,17615.166392538846,6901.161488338429,1680.6014885996171,29169.02440861656
2020-03-28,199951977.49121088,17984.355210011712,17172.88289190623,27420.353857182057,10742.38569797223,2617.7997219286362,45404.70906719377
2020-03-29,199925247.90623176,27992.69608811444,26729.58497911581,42682.724018571585,16721.244101013082,4076.6736615521904,70675.42010668603
2020-03-30,199883646.0002048,43567.94178342184,41601.90602696411,66438.4904709165,26026.660331656713,6347.567540863989,110006.43225433835
2020-03-31,199818903.3495407,67802.59641250636,64742.65066409218,103411.68958678955,40507.99603500766,9882.364459998596,171214.2859992959
2020-04-01,199718163.87944332,105501.50975615779,100739.47009738196,160950.32540338044,63040.55675373053,15384.28539713824,266451.8351595382
2020-04-02,199561451.65298364,164122.00720705668,156712.2264596799,250478.84488802828,98091.729008781,23947.49492127139,414600.85209508496
2020-04-03,199317759.71411964,255218.86480121754,243691.9388640017,389747.4366042544,152595.08126984086,37273.98447488608,644966.301405472
2020-04-04,198939035.80640826,396648.91973388917,378723.9077113854,606305.1463974137,237293.8527787138,58010.12746044065,1002954.0661313029
2020-04-05,198350998.7155354,615895.2848996886,588037.090872845,942837.9814096186,368790.7257070456,90268.01815528129,1558733.2663093072
2020-04-06,197439271.50197595,954983.9312594982,911727.2135594608,1465313.7473730086,572638.5671996512,140430.8193915424,2420297.678632507
2020-04-07,196028821.74249336,1477521.9896739388,1410449.7594825807,2275264.8192476383,887911.7010681401,218391.44858505286,3752786.8089215774
