,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-03-20,3013963.0,1305.0,0.0,0.0,0.0,0.0,0.0,1305.0,1305.0
2020-03-21,3013963.0,5.766938557696221,0.0,1299.2330614423038,1299.2330614423038,0.0,0.0,1305.0,1305.0
2020-03-22,3013497.624399961,465.4010847749341,465.37560003905037,864.6614496064851,5.74145382181251,440.31306565763117,440.31306565763117,1330.0625343814193,1770.3756000390504
2020-03-23,3013187.956934691,311.7241238605941,309.66746527010963,1034.9701265239355,463.3444261844496,733.3488149246305,293.0357492669993,1346.6942503845296,2080.04306530916
2020-03-24,3012817.3336791024,372.0007987833441,370.62325558851217,994.5629565362722,310.34658066576213,1084.1025655780559,350.75375065342547,1366.5637553196163,2450.6663208976724
2020-03-25,3012461.22405579,357.7535357648176,356.1096233127123,1027.8601748385424,370.3568863312388,1421.1622336070245,337.05966802896853,1385.61371060336,2806.7759442103843
2020-03-26,3012093.235651359,369.5693566604263,367.98840443088284,1035.688586660599,356.17258353527416,1769.5064053202423,348.3441717132177,1405.2579433210253,3174.7643486412676
2020-03-27,3011722.4898594846,372.3789595163938,370.74579187450263,1052.6275372368618,367.9361890185351,2120.5036437625145,350.99723844227213,1425.0064967532558,3545.51014051577
2020-03-28,3011345.7268056488,378.4086374218317,376.76305383584713,1066.6230255077003,370.73337593040924,2477.2415314220852,356.7378876595709,1445.031662929532,3922.2731943516173
2020-03-29,3010964.0021581165,383.3968769282908,381.724647532342,1081.878442785897,376.7364080258829,2838.7225221697713,361.48099074768606,1465.2753197141878,4303.997841883959
2020-03-30,3010576.866959287,388.82947180479584,387.1351988297322,1096.9299600717789,381.70260395322714,3205.3736088371165,366.6510866673453,1485.7594318765746,4691.133040713691
2020-03-31,3010184.3962521846,394.1889873116873,392.4707071022469,1112.2890712553808,387.1111915953554,3577.12568924887,371.7520804117534,1506.478058567068,5083.603747815938
2020-04-01,3009786.4820872056,399.6561294769455,397.91416497890185,1127.7787756351408,392.4470228136436,3954.0830076827538,376.9573184338837,1527.4349051120864,5481.51791279484
2020-04-02,3009383.0799139524,405.16829765405544,403.4021732533656,1143.461965921554,397.8900050762557,4336.289822472596,382.2068147898425,1548.6302635756097,5884.920086048205
2020-04-03,3008974.122743202,410.747654028701,408.95717075046554,1159.317896333848,403.37781437582,4723.811706436122,387.52188396352614,1570.065550362549,6293.877256798671
2020-04-04,3008559.5510721602,416.38681010932424,414.5716710415071,1175.354916132503,408.93251496088385,5116.707201598351,392.8954951622289,1591.741726241827,6708.448927840178
2020-04-05,3008139.302477654,422.0886536250654,420.24859450618754,1191.5711891534643,414.5467509904464,5515.037679567837,398.3304779694851,1613.6598427785298,7128.697522346367
2020-04-06,3007713.315260648,427.85247319906995,425.9872170064596,1207.9683764808356,420.22339743245504,5918.863889672921,403.82621010508376,1635.8208496799055,7554.684739352826
2020-04-07,3007281.527196889,433.6787909044766,431.7880637591146,1224.5468680203048,425.96174605370794,6328.247144187159,409.3832545142388,1658.2256589247813,7986.472803111941
2020-04-08,3006843.875992854,439.5676783187687,437.6512040345372,1241.3074413036675,431.76231662024514,6743.2488875240415,415.0017433368825,1680.8751196224362,8424.124007146478
2020-04-09,3006400.2991485614,445.5193422180897,443.57684429256216,1258.250681616584,437.6251803932411,7163.930827604366,420.6819400803246,1703.7700238346738,8867.70085143904
2020-04-10,3005950.7340277033,451.5339198412472,449.5651208582304,1275.3771817524387,443.5505432350729,7590.354870703584,426.4240430992181,1726.911101593686,9317.265972297271
2020-04-11,3005495.1178563805,457.61154938602766,455.6161713228551,1292.6874702379118,449.53854177807466,8022.583123996185,432.22825329260144,1750.2990196239396,9772.882143620125
