,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-03-27,4017840.0,810.0,0.0,0.0,0.0,0.0,0.0,810.0,810.0
2020-03-28,4017840.0,2.885176138127008,0.0,807.114823861873,807.114823861873,0.0,0.0,810.0,810.0
2020-03-29,4017603.266544183,236.74373265823382,236.73345581706343,659.9559342794613,2.8748992969566163,150.03378887936827,150.03378887936827,896.6996669376952,1046.7334558170635
2020-03-30,4017409.7074135444,194.4023989942921,193.5591306383456,773.177832427305,235.90046430228733,272.71235503381195,122.67856615444367,967.5802314215971,1240.292586455409
2020-03-31,4017182.952245165,227.44761919732207,226.75516837908384,823.1625060240158,193.70994817605387,416.4376296131551,143.72527457934314,1050.610125221338,1467.047754834493
2020-04-01,4016941.5513547612,242.21104650708983,241.40089040390228,896.7830922241203,226.63746309413452,569.454506507185,153.01687689402996,1138.9941387312101,1708.448645238395
2020-04-02,4016678.5762722115,263.83782518139896,262.9750825495804,971.4292601064504,241.34830387527128,736.1566425001262,166.70213599294115,1235.2670852878493,1971.4237277879756
2020-04-03,4016393.730395989,285.78565226898803,284.8458762226316,1053.749269769138,262.8980491350425,916.7346819724811,180.57803947235493,1339.534922038126,2256.269604010607
2020-04-04,4016084.768271224,309.9800777829011,308.96212476494367,1142.6365430903536,284.7676992510306,1112.6151079022961,195.88042592981503,1452.6166208732548,2565.231728775551
2020-04-05,4015749.7699302696,336.10247320590173,334.998340954403,1239.1088939862448,308.87594553140235,1325.0187025378073,212.40359463551118,1575.2113671921466,2900.230069729954
2020-04-06,4015386.518114907,364.44899417197547,363.2518153625197,1343.677442355219,334.905294396446,1555.355448565279,230.33674602747166,1708.1264365271945,3263.4818850924735
2020-04-07,4014992.647066755,395.1691957342815,393.8710481521218,1457.053397259,363.1508465898157,1805.1303402513138,249.7748916860349,1852.2225929932815,3657.352933244595
2020-04-08,4014565.584114393,428.4705236384086,427.06295236179704,1579.9647841453489,393.76162445766994,2075.9805778226346,270.85023757132086,2008.4353077837575,4084.4158856063923
2020-04-09,4014102.545041127,464.56526206935337,463.0390732660295,1713.2110033553543,426.94433483508476,2369.678693447714,293.69811562507937,2177.7762654247076,4547.454958872422
2020-04-10,4013600.513510988,503.6862864461563,502.03153013908815,1857.6543835191424,462.9105057622852,2688.1458190462113,318.46712559849703,2361.3406699652987,5049.48648901151
2020-04-11,4013056.223033495,546.0845807710039,544.290477493527,2014.2290017666728,501.8921831686795,3033.46338396736,345.3175649211489,2560.3135825376767,5593.776966505036
2020-04-12,4012466.1364164767,592.0317407242451,590.0866170182703,2183.945390550305,544.1394570650291,3407.886452248757,374.42306828139687,2775.97713127455,6183.863583523307
2020-04-13,4011826.4239254943,641.8212759841073,639.7124909824389,2367.896863699828,589.9229557225767,3813.857934821811,405.971482573054,3009.718139683935,6823.576074505746
2020-04-14,4011132.939690295,695.7703678291948,693.484235199057,2567.265964214201,639.5351433539695,4254.023977661407,440.16604283959606,3263.036332043396,7517.060309704803
2020-04-15,4010381.1963401926,754.2216464767047,751.7433501027829,2783.3314648215833,693.292071455273,4731.250548509298,477.2265708478911,3537.553111298288,8268.803659807585
2020-04-16,4009566.337726922,817.5451099339173,814.8586132706167,3017.4758382194996,751.5351498134041,5248.641324924786,517.390776415488,3835.0209481534166,9083.662273078204
2020-04-17,4008683.109621356,886.1401569769845,883.2281055658441,3271.1932506959874,814.6330585227769,5809.556970971075,560.9156460462889,4157.333407672972,9966.890378644046
2020-04-18,4007725.828258759,960.4377458509333,957.2813625966788,3546.0980955617147,882.98377372273,6417.635899828078,608.0789288570028,4506.535841412648,10924.171741240727
2020-04-19,4006688.3466071533,1040.9026788482618,1037.481651605687,3843.9340913215397,957.0167186083585,7076.816622676612,659.1807228485334,4884.836770169802,11961.653392846412
2020-04-20,4005564.0182315144,1128.0360146154665,1124.3283756387684,4166.583965036869,1037.1950398715637,7791.361788832846,714.5451661562347,5294.619979652335,13085.98176848518
2020-04-21,4004345.658626854,1222.3776078610197,1218.359604660629,4516.079739371233,1124.0180114150758,8565.884025913558,774.522237080712,5738.457347232253,14304.34137314581
2020-04-22,4003025.5038951435,1324.508774557459,1320.1547317105685,4894.613638048652,1218.0235650141292,9405.373692250267,839.4896663367098,6219.1224126061115,15624.496104856378
2020-04-23,4001595.1666451977,1435.0550784782497,1430.337249946036,5304.549619815747,1319.7909460252454,10315.228656508418,909.8549642581509,6739.604698293997,17054.833354802417
2020-04-24,4000045.5890014414,1554.6892322368583,1549.5776437562122,5748.435544978226,1429.9434899976036,11301.286221343542,986.0575648351246,7303.124777215085,18604.410998558626
2020-04-25,3998366.9926175643,1684.1341027353108,1678.596383877221,6229.015971017484,1549.1515133787684,12369.857308683053,1068.5710873395108,7913.150073752795,20283.007382435848
2020-04-26,3996548.8256050264,1824.1658070150465,1818.1670125377404,6749.245564385796,1678.1353082580047,13527.763023572745,1157.9057148896925,8573.411371400842,22101.174394973586
2020-04-27,3994579.706305024,1975.6168798273968,1969.1193000022276,7312.303104019566,1817.6682271898774,14782.373711128852,1254.6106875561077,9287.919983846963,24070.293694975815
2020-04-28,3992447.363856675,2139.379488694719,2132.3424483493372,7921.606038040885,1968.5798394820154,16141.650616589548,1359.2769054606952,10060.985526735603,26202.63614332515
2020-04-29,3990138.575544872,2316.4086656934833,2308.7883118031373,8580.825538137282,2131.759134804373,17614.190251297525,1472.5396347079763,10897.234203830765,28511.42445512829
2020-04-30,3987639.1009495794,2507.725517525163,2499.4745952925587,9293.90197576911,2308.157743460879,19209.271557126576,1595.0813058290505,11801.627493294272,31010.89905042085
2020-05-01,3984933.6129655703,2714.420366507888,2705.487984008955,10065.060720156618,2498.79313502623,20936.9059477653,1727.6343906387217,12779.481086664506,33716.387034429805
2020-05-02,3982005.625819156,2937.6557647727436,2927.9871464143553,10898.828129398184,2704.7517481494997,22807.890286673235,1870.9843389079344,13836.483894170928,36644.37418084416
2020-05-03,3978837.4202778847,3178.6693120301034,3168.2055412713953,11800.047572475045,2927.1919940140356,24833.86283761041,2025.9725509371747,14978.71688450515,39812.57972211556
2020-05-04,3975409.9663322167,3438.7761936308266,3427.453945667782,12773.895280670771,3167.347064067059,27027.362193481742,2193.499355871333,16212.671474301598,43240.03366778334
2020-05-05,3971702.8437266694,3719.3713401379214,3707.1226055475227,13825.895781406562,3426.527459040428,29401.88915178638,2374.5269583046384,17545.267121544483,46947.15627333087
2020-05-06,3967694.160833862,4021.931092115157,4008.6828928072564,14961.936614975308,3706.123140830021,31971.971459047658,2570.082307261275,18983.867707090463,50955.83916613812
2020-05-07,3963360.4725003983,4348.01423422462,4333.688333463927,16188.281974455016,4007.6051913544634,34753.23129092241,2781.2598318747546,20536.296208679636,55289.527499602045
2020-05-08,3958676.6976507124,4699.2622409410415,4683.774849685707,17511.58484052616,4332.526842969285,37762.45526782055,3009.2239768981394,22210.847081467204,59973.302349287755
2020-05-09,3953616.037616116,5077.398552231384,5060.660034596366,18938.897105398755,4682.523723306023,41017.66672625398,3255.211458433429,24016.29565763014,65033.96238388412
2020-05-10,3948149.8963633245,5484.226671491238,5466.14125279166,20477.677093072052,5059.313133531806,44538.199872112484,3520.5331458585083,25961.903764563292,70500.10363667578
2020-05-11,3942247.804031692,5921.626850062983,5902.092331632531,22135.793786371938,5464.692153060786,48344.77533187339,3806.575459760901,28057.420636434923,76402.19596830831
2020-05-12,3935877.3454527548,6391.551093118381,6370.458578937277,23921.52696455618,5900.534335881879,52459.57648957102,4114.801157697637,30313.07805767456,82772.65454724559
2020-05-13,3929004.0956205525,6896.016191090315,6873.249832202063,25843.56233901175,6368.784734230128,56906.32584934558,4446.749359774555,32739.578530102066,89645.90437944765
2020-05-14,3921591.5644068643,7437.094449938297,7412.531213688086,27910.980649426034,6871.452954840104,61710.3604937714,4804.03464442582,35348.07509936433,97058.43559313573
2020-05-15,3913601.1531712012,8016.901763371841,7990.41123566325,30133.239550143946,7410.603922229706,66898.70551528319,5188.3450215117955,38150.141313515785,105048.84682879897
2020-05-16,3904992.126299041,8637.582642122787,8609.026872160579,32520.146978361972,7988.345993409633,72500.1440804748,5601.438565191607,41157.72962048476,113657.87370095955
2020-05-17,3895721.6011094325,9301.291791250307,9270.525189608143,35081.824555479936,8606.816040480622,78545.28254383746,6045.1384633626585,44383.11634673024,122928.3988905677
2020-05-18,3885744.559998571,10010.171808552632,9977.041110861432,37828.659434665504,9268.161093559107,85066.60875821099,6521.326214373539,47838.831243218134,132905.44000142912
2020-05-19,3875013.889120245,10766.326568252834,10730.670878326184,40771.24287727682,9974.516118625981,92098.54143422566,7031.932676014666,51537.569445529654,143636.11087975532
2020-05-20,3863480.448334869,11571.789857610676,11533.4407853761,43920.29372574579,10727.977496018259,99677.46808177495,7578.926647549286,55492.08358335646,155169.5516651314
2020-05-21,3851093.1775697344,12428.488853989755,12387.270765134695,47286.564850339164,11530.571768755617,107841.76872593719,8164.300644162245,59715.05370432892,167556.82243026613
2020-05-22,3837799.2451032335,13338.202070790392,13293.932466500875,50880.73059359992,12384.219249700238,116631.82223237667,8790.053506439483,64218.93266439031,180850.75489676697
2020-05-23,3823544.243589023,14302.511467716797,14255.001514210426,54713.25323335912,13290.692117284021,126089.99170990149,9458.169477524814,69015.76470107592,195105.7564109774
2020-05-24,3808272.4398406805,15322.7485197029,15271.803748342474,58794.22654965629,14251.56669635637,136260.5850899607,10170.593380059203,74116.97506935919,210377.5601593199
2020-05-25,3791927.084465832,16399.93417534171,16345.35537484842,63133.19473187802,15268.169719209607,147189.78662694857,10929.201536987875,79533.12890721974,226722.9155341683
2020-05-26,3774450.7873276477,17534.712815652998,17476.297138184418,67738.94512136655,16341.51849787313,158925.5547353332,11735.768108384611,85273.65793701954,244199.21267235273
2020-05-27,3755785.964472402,18727.28055278259,18664.82285524601,72619.27367490594,17472.255118116416,171517.48129991023,12591.926564577021,91346.55422768852,262864.03552759875
2020-05-28,3735875.3615416847,19977.30848995518,19910.602930717032,77780.72258006808,18660.574993544444,185016.60738829253,13499.12608838231,97758.03107002325,282774.63845831575
2020-05-29,3714662.6577317026,21283.861901042877,21212.70380998211,83228.2901782831,19906.150398894413,199475.1901889719,14458.582800679382,104512.15207932598,303987.3422682979
2020-05-30,3692093.153015236,22645.316680027343,22569.504716466752,88965.11427747461,21208.049937482287,214946.4160272627,15471.225838290786,111610.43095750196,326556.8469847647
2020-05-31,3668114.5395538607,24059.274853135306,23978.613461375375,94992.13108046525,22564.65528826741,231484.05451253947,16537.638485276777,119051.40593360056,350535.46044614003
