,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-03-28,7017514.0,840.0,0.0,0.0,0.0,0.0,0.0,840.0,840.0
2020-03-29,7017514.0,2.0319728411888036,0.0,837.9680271588112,837.9680271588112,0.0,0.0,840.0,840.0
2020-03-30,7017414.030137493,99.97477788044411,99.96986250707825,839.3388550458358,2.027057467822936,0.6562295807983096,0.6562295807983096,939.3136329262799,939.9698625070781
2020-03-31,7017313.898161244,100.37381676591959,100.13197624989941,938.4144893066294,99.73293736442393,1.3135326844286286,0.657303103630319,1038.788306072549,1040.1018387569775
2020-04-01,7017201.948194918,112.19277212302455,111.94996632584026,1037.8106090540127,100.1310109687353,2.0484239057807296,0.7348912213521009,1150.0033811770372,1152.051805082818
2020-04-02,7017078.142551944,124.07703900551458,123.80564297464355,1148.9192548284755,111.92137609215352,2.8611542234715768,0.8127303176908472,1272.99629383399,1275.8574480574616
2020-04-03,7016941.084618427,137.35807777114252,137.0579335170064,1271.7964078516122,123.77689475137848,3.7608959517133247,0.8997417282417479,1409.1544856227547,1412.915381574468
2020-04-04,7016789.371273774,152.04561594332262,151.7133446533835,1407.8262450397926,137.0258064812034,4.756865244736349,0.9959692930230242,1559.8718609831153,1564.6287262278518
2020-04-05,7016621.43448054,168.30459390275075,167.93679323344284,1558.4015633250478,151.6778152740147,5.85936223349584,1.102496988759492,1726.7061572277985,1732.5655194612943
2020-04-06,7016435.540306233,186.30130569318737,185.8941743076425,1725.0786102995705,167.89746251720587,7.079777776179083,1.2204155426832424,1911.379915992758,1918.459693768937
2020-04-07,7016229.769486012,206.22148592710423,205.7708202206202,1909.578306602755,185.85063998670336,8.430721459698017,1.350943683518933,2115.799792529859,2124.230513989557
2020-04-08,7016001.997853768,228.27048517047953,227.7716322434873,2113.8055105041076,205.72263300011198,9.92615055845763,1.4954290987596128,2342.075995674587,2352.0021462330446
2020-04-09,7015749.874492472,252.67555108909406,252.1233612958662,2339.868442360211,227.71829537725168,11.581514079605887,1.6553635211482562,2592.5439934493047,2604.1255075289105
2020-04-10,7015470.797588691,279.68812980141104,279.0769037806427,2590.1003694881765,252.06432506832567,13.413912019965764,1.8323979403598767,2869.7884992895874,2883.202411309553
2020-04-11,7015161.887726478,309.58643207467543,308.9098622130571,2867.0835698431083,279.01155993979273,15.442271604826926,2.0283595848611617,3176.670001917784,3192.112273522611
2020-04-12,7014819.958354737,342.67826605380134,341.9293717419248,3173.67583691756,308.8375377627989,17.687542293174193,2.2452706883472655,3516.3541029713615,3534.041645264536
2020-04-13,7014441.483132212,379.30416648860415,378.475222524453,3513.0397897609496,341.8493220896502,20.172911539434743,2.48536924626055,3892.3439562495537,3912.5168677889883
2020-04-14,7014022.559824421,419.84085036842686,418.92330779121903,3888.6752817032907,378.3866239113963,22.92404350848981,2.7511319690550664,4308.516132071718,4331.440175580207
2020-04-15,7013558.870393811,464.70503204536533,463.6894306101627,4304.455230974397,418.8252489332242,25.969343170608386,3.0452996621185777,4769.160263019762,4795.12960619037
2020-04-16,7013045.636888372,514.3576340153622,513.2335054388385,4764.665229157788,463.5809034688416,29.340248456057996,3.3709052854496107,5279.022863173151,5308.363111629209
2020-04-17,7012477.572694464,569.308432888313,568.064193908578,5274.047319221583,513.1133950356273,33.07155342789068,3.7313049718326834,5843.3557521098965,5876.427305537787
2020-04-18,7011848.828676583,630.121183682262,628.7440178800134,5837.848373997354,567.9312670860644,37.20176573818364,4.130212310292961,6467.969557679617,6505.1713234178005
2020-04-19,7011152.933679932,697.4192694277937,695.8949966517222,6461.873548671291,628.5969109061905,41.77350197043768,4.571736232254043,7159.292818099085,7201.066320069523
2020-04-20,7010382.728820644,771.8919271622029,770.2048592879185,7152.545327353544,695.7322015535092,46.83392484169431,5.060422871256632,7924.437254515747,7971.271179357441
2020-04-21,7009530.294933299,854.3011057176798,852.4338873458626,7916.9687343404175,770.0247087903857,52.43522664520641,5.601301803512099,8771.269840058098,8823.705066703304
2020-04-22,7008586.8724854905,945.489015242936,943.4224478083934,8763.003335507405,852.2345382831371,58.63516376135716,6.199937116150753,9708.49235075034,9767.127514511698
2020-04-23,7007542.773204762,1046.386433110838,1044.0992807291523,9699.342714575698,943.2018628612503,65.49764755431502,6.8624837929578595,10745.729147686536,10811.226795240851
2020-04-24,7006387.282593831,1158.0218357077506,1155.4906109298106,10735.602172954763,1043.855208332898,73.09339750814812,7.595749953833094,11893.624008662513,11966.717406170661
2020-04-25,7005108.552435849,1281.531430506143,1278.730157982736,11882.415470604808,1155.2205631843437,81.5006630424456,8.407265534297478,13163.94690111095,13245.447564153395
2020-04-26,7003693.482312271,1418.1701676987518,1415.0701235774204,13151.541498944416,1278.4313863848115,90.80602108765004,9.305358045204446,14569.711666643168,14660.517687730819
2020-04-27,7002127.589072188,1569.3238153979726,1565.8932400825583,14555.981855217318,1414.7395923833376,101.10525719808487,10.299236110434835,16125.305670615291,16226.410927813376
2020-04-28,7000394.86310367,1736.522186817887,1732.725968517983,16110.110370773644,1565.5275970980686,112.50433873982819,11.39908154174331,17846.632557591533,17959.13689633136
