,S,E,E_delta,I,I_delta,R,E+I
2020-02-23,60461749.0,79.0,0.0,0.0,0.0,0.0,79.0
2020-02-24,60461749.0,41.088599759599155,0.0,37.911400240400845,37.911400240400845,0.0,79.0
2020-02-25,60461718.04641038,52.32413430584111,30.9535896197078,49.94398377905815,19.71805507346584,7.685471534808534,102.26811808489927
2020-02-26,60461677.26857636,67.99207974348278,40.7778340186699,64.92913248672654,25.10988858102824,17.81021140816838,132.92121223020933
2020-02-27,60461624.25583285,88.37602643669692,53.01274350754865,84.39537143344712,32.628796814334514,30.972769275782312,172.77139787014403
2020-02-28,60461555.349533245,114.87145376415347,68.9062996046447,109.69745266866943,42.41087227718814,48.08156031774814,224.5689064328229
2020-02-29,60461465.78494225,149.31025160309332,89.56459100159202,142.5851685094603,55.12579316265219,70.31963763960945,291.8954201125536
2020-03-01,60461349.368716784,194.07380987124895,116.4162254646091,185.33269775488804,71.65266719645345,99.22477559063515,379.406507626137
2020-03-02,60461198.050793536,252.25743081096132,151.3179232461475,240.89600125799842,93.13430230643513,136.7957743939599,493.1534320689598
2020-03-03,60461001.36779134,327.884326386834,196.68300219725973,313.11720996536496,121.05610662138707,185.6306723079804,641.001536352199
2020-03-04,60460745.71957702,426.18375677580264,255.64821431562035,406.99027447812375,157.34878392665175,249.1063917218734,833.1740312539264
2020-03-05,60460413.429004475,553.9525194598926,332.2905725459267,529.0062378238451,204.52180986183672,331.6122382379888,1082.9587572837377
2020-03-06,60459981.51986422,720.02475238553,431.9091402600984,687.6019892856544,265.8369073344611,438.8533941106406,1407.6267416711844
2020-03-07,60459420.12863428,935.8824814264663,561.3912299356622,893.7435003719672,345.5335008947258,578.2453839190536,1829.6259817984335
2020-03-08,60458690.440367065,1216.4490355912217,729.6882672196703,1161.6838223948248,449.12171305491484,759.4267749511108,2378.1328579860465
2020-03-09,60457742.00625311,1581.1200323254493,948.4341139538278,1509.9481742602334,583.7631172196002,994.9255403053023,3091.0682065856827
2020-03-10,60456509.257836044,2055.1029509932187,1232.7484170678408,1962.6140920928092,758.7654984000712,1301.0251208727977,4017.717043086028
2020-03-11,60454906.977622576,2671.1574618004934,1602.280213469715,2550.9749139292626,986.2257026624404,1698.8900016987848,5222.132375729756
2020-03-12,60452824.414209686,3471.856069126623,2082.56341288881,3315.701208049647,1281.8648055626802,2216.028513141081,6787.55727717627
2020-03-13,60450117.63723751,4512.520066441437,2706.7769721720824,4309.648895135777,1666.1129748572682,2888.193800912219,8822.168961577214
