,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-03-31,7074416.0,765.0,0.0,0.0,0.0,0.0,0.0,765.0,765.0
2020-04-01,7074416.0,2.336107683502746,0.0,762.6638923164973,762.6638923164973,0.0,0.0,765.0,765.0
2020-04-02,7074048.765047124,367.24208673101987,367.2349528759755,547.5312085984675,2.328973828458406,217.46165754648817,217.46165754648817,914.7732953294874,1132.2349528759755
2020-04-03,7073785.133633762,264.75287357224084,263.6314133624135,757.5318910921497,366.12062652119255,373.5816015739985,156.11994402751034,1022.2847646643907,1395.8663662383892
2020-04-04,7073420.402350253,365.5397687656186,364.73128350786493,805.4779315880912,263.9443883144872,589.5799493925442,215.99834781854568,1171.0177003537099,1760.597649746254
2020-04-05,7073032.606330653,388.9122813820717,387.79601960110546,940.232028646656,364.42350698465236,819.2493593186318,229.66940992608758,1329.1443100287277,2148.3936693473597
2020-04-06,7072579.957991156,453.83597475049737,452.64833949723567,1059.8642457412768,387.72464612881,1087.341788352821,268.0924290341891,1513.7002204917742,2601.0420088445953
2020-04-07,7072069.748729689,511.5951565092782,510.2092614665794,1210.1106444106267,452.4500797077986,1389.5454693912695,302.2036810384487,1721.705800919905,3111.2512703111743
2020-04-08,7071487.254206163,584.0567998350613,582.4945235266115,1375.09943743317,510.0328802008284,1734.5895565695548,345.0440871782852,1959.156237268231,3693.7457938377856
2020-04-09,7070825.395787229,663.641973937996,661.8584189344709,1565.2846262179073,582.2732448315362,2126.6776126163536,392.08805604679884,2228.9266001559035,4355.604212772258
2020-04-10,7070072.068562161,755.3538121451267,753.3272250674646,1780.58363075222,661.615386860334,2572.9939949423747,446.31638232602126,2535.9374428973465,5108.931437839721
2020-04-11,7069215.215313821,859.1598991172804,856.8532483403976,2025.925272501037,753.0471613682439,3080.6995145618016,507.7055196194268,2885.0851716183174,5965.784686180119
2020-04-12,7068240.416805752,977.4221551825023,974.7985080691882,2304.800680374509,856.5362520039663,3658.360358692296,577.6608441304943,3282.222835557011,6940.583194249307
2020-04-13,7067131.586935445,1111.8146590737233,1108.829870306733,2622.0602502299084,974.4373664155119,4315.538155252409,657.1777965601123,3733.8749093036317,8049.41306455604
2020-04-14,7065870.322718204,1264.6594051721493,1261.2642172405244,2982.8403300932996,1108.4194711420985,5063.177546531116,747.6393912787071,4247.499735265449,9310.677281796565
2020-04-15,7064435.772026058,1438.4126275098465,1434.550692145877,3393.1276224648655,1260.7974698081798,5913.68772396773,850.5101774366142,4831.540249974712,10745.227973942441
2020-04-16,7062804.231349419,1635.9332083922393,1631.540676639072,3859.6505487845866,1434.0200957566792,6881.1848934046875,967.4971694369582,5495.583757176826,12376.768650581515
2020-04-17,7060948.797888843,1860.4291679453002,1855.4334605755978,4390.069178591705,1630.937501022537,7981.703764620106,1100.5188712154184,6250.498346537005,14232.202111157112
2020-04-18,7058838.932944536,2115.546202965368,2109.864944306741,4993.0576563146205,1854.7479092866733,9233.463196183864,1251.7594315637584,7108.603859279989,16342.067055463853
2020-04-19,7056439.989090986,2405.4041721641515,2398.9438535503577,5678.451393828901,2109.0858843515744,10657.155343021159,1423.692146837294,8083.855565993053,18741.01090901421
2020-04-20,7053712.670987077,2734.663572102664,2727.3181039085175,6457.388667192681,2398.058703970005,12276.276773627384,1619.121430606225,9192.052239295346,21468.32901292273
2020-04-21,7050612.433792638,3108.5881337629944,3100.2371944393553,7342.47811222587,2726.312632779025,14117.49996137322,1841.2231877458366,10451.066245988864,24568.566207362084
2020-04-22,7047088.808381536,3533.1182171462287,3523.6254111016156,8347.980866768085,3099.095327718381,16211.092534549387,2093.5925731761677,11881.099083914312,28092.1916184637
2020-04-23,7043084.648410239,4014.949179942558,4004.1599712970697,9490.01394839623,3522.32900850074,18591.38846142198,2380.2959268725936,13504.963128338788,32096.351589760765
2020-04-24,7038535.291718128,4561.617285089195,4549.356692111239,10786.773771525874,4002.6885869646017,21297.31722525694,2705.9287638349583,15348.39105661507,36645.70828187201
2020-04-25,7033367.629800504,5181.591890419854,5167.661917623912,12258.781577332727,4547.687312293253,24372.996731743337,3075.6795064863986,17440.373467752583,41813.37019949592
2020-04-26,7027499.079173629,5884.373838152851,5868.550626874439,13929.15079130473,5165.768679141443,27868.396196912778,3495.3994651694397,19813.52462945758,47681.92082637036
2020-04-27,7020836.449611146,6680.598883968477,6662.629562483626,15823.876237010394,5866.404516668,31840.075267875112,3971.6790709623347,22504.47512097887,54344.55038885398
2020-04-28,7013274.70572288,7582.144670466812,7561.743888266501,17972.143998325584,6660.1981017681655,36352.00560832809,4511.930340452977,25554.288668792396,61906.29427712048
2020-04-29,7004695.620735641,8602.238851843435,8579.084987239374,20406.659576091173,7558.990805862752,41476.480836425246,5124.475228097161,29008.898427934608,70485.37926435986
2020-04-30,6994966.3246949045,9755.565003189511,9729.296040735764,23163.990270533737,8575.969889389688,47295.12003137237,5818.639194947122,32919.55527372325,80214.67530509562
2020-05-01,6983937.753983431,11058.361626978649,11028.570711474254,26284.91552458537,9725.774087685117,53899.96886500585,6604.848833633486,37343.27715156402,91243.24601656987
2020-05-02,6971443.0153548885,12528.50794038999,12494.738628541969,29814.77607644315,11024.592315130627,61394.7006282787,7494.731763272846,42343.284016833146,103737.98464511184
2020-05-03,6957295.686008616,14185.588096158008,14147.329346272558,33803.809082099,12490.24919050454,69895.91681312739,8501.216184848696,47989.397178257,117885.31399138439
2020-05-04,6941288.082021133,16050.923021922976,16007.603987483186,38307.45170766796,14142.269061718218,79534.54324927664,9638.626436149254,54358.37472959094,133892.9179788676
