,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-03-21,21167966.0,825.0,0.0,0.0,0.0,0.0,0.0,825.0,825.0
2020-03-22,21167966.0,3.261815439971315,0.0,821.7381845600287,821.7381845600287,0.0,0.0,825.0,825.0
2020-03-23,21167475.641997166,490.3708991248162,490.35800283395025,396.36825503642837,3.248919149105333,428.61884867270567,428.61884867270567,886.7391541612446,1315.3580028339502
2020-03-24,21167239.1215979,238.45918638055335,236.52039926530736,678.0545831500178,488.43211200957023,635.3646325686865,206.74578389598082,916.5137695305712,1551.8784020992575
2020-03-25,21166834.518185005,405.54621272250495,404.6034128971242,561.8975245279796,237.51638655517263,989.0380777458972,353.6734451772108,967.4437372504846,1956.4818149963817
2020-03-26,21166499.23351007,336.88808935779207,335.2846749356343,672.7544293400312,403.9427983003472,1282.1239712341928,293.08589348829565,1009.6425186978232,2291.766489932016
2020-03-27,21166097.806795504,402.75867428809784,401.426714565177,657.4016753898259,335.55612963487124,1633.0328548192695,350.9088835850766,1060.1603496779237,2693.193204497193
2020-03-28,21165705.54837504,393.85081375302866,392.258420465301,715.6670732190416,401.1662810003702,1975.9337379904239,342.9008831711545,1109.5178869720703,3085.451624962494
2020-03-29,21165278.532071773,428.57347740847734,427.01630326866535,734.6685831494343,392.29363961321667,2349.225867673248,373.292129682824,1163.2420605579116,3512.46792823116
2020-03-30,21164840.187001754,440.03952770001166,438.3450700202866,778.3442807225817,426.87901972875227,2732.429189828853,383.2033221556048,1218.3838084225933,3950.8129982514465
2020-03-31,21164375.792144053,466.1346488842944,464.3948577016888,810.6594399832795,438.2997365174061,3138.413767085561,405.9845772567083,1276.794088867574,4415.207855953135
2020-04-01,21163892.12723605,485.50787187412993,483.66490800160096,852.1109523464645,464.2916850117654,3561.2539397341416,422.84017264858045,1337.6188242205944,4898.872763954736
2020-04-02,21163383.742670856,510.30412528057695,508.38456519244767,891.2379719610485,483.58831178600065,4005.715231905558,444.46129217141663,1401.5420972416255,5407.257329147184
2020-04-03,21162852.02700196,533.7332663203673,531.7156688962203,934.6545441394773,508.28652785643,4470.58518758356,464.86995567800125,1468.3878104598446,5938.972998043404
2020-04-04,21162294.422865115,559.7143664305963,557.6041368440386,978.7615299667948,531.6230367338096,4958.101238490051,487.51605090649207,1538.4758963973911,6496.577134887442
2020-04-05,21161710.52039371,586.1154228744931,583.9024714049209,1025.7406788557869,557.5014149610241,5468.623504562083,510.522266072032,1611.85610173028,7080.479606292363
2020-04-06,21161098.60832572,614.2294017318123,611.9120679912822,1074.5121657595964,583.798089133963,6003.650106792236,535.0266022301535,1688.7415674914087,7692.3916742836445
2020-04-07,21160457.619855132,643.4169590070517,640.9884705873509,1125.8472567133585,611.8009133121116,6564.1159291505855,560.4658223583496,1769.2642157204102,8333.380144870996
2020-04-08,21159786.028341684,674.1354011713019,671.5915134486005,1179.478108978553,640.8730712843503,7151.358148169741,587.2422190191558,1853.6135101498548,9004.971658319595
2020-04-09,21159082.46722983,706.2264515642794,703.5611118549803,1235.7320850693682,671.4700614620027,7766.574233540929,615.2160853711878,1941.9585366336476,9708.532770174575
2020-04-10,21158345.375014894,739.8844335346251,737.0922149360451,1294.6081442489221,703.4342329656994,8411.132407327073,644.5581737861454,2034.4925777835474,10445.62498511062
2020-04-11,21157573.19117812,775.1091294619015,772.1838367720861,1356.299343678329,736.9591408448098,9086.400348742476,675.267941415403,2131.4084731402304,11217.808821882707
2020-04-12,21156764.240443874,812.0152953676034,808.9507342450075,1420.8978250937225,772.0445683393057,9793.846435666388,707.446086923912,2232.913120461326,12026.759556127714
2020-04-13,21155916.79301566,850.6579058257138,847.4474282161102,1488.561971386755,808.8048177579998,10534.987107131356,741.1406714649672,2339.219877212469,12874.206984343824
2020-04-14,21155029.02511087,891.1311642924121,887.7679047877382,1559.4223101121552,847.2946463210399,11311.421414726996,776.4343075956398,2450.553474404567,13761.974889131563
2020-04-15,21154099.03562464,933.5127654941084,929.9894862326191,1633.6351166209897,887.6078850309228,12124.816493249084,813.3950785220884,2567.147882115098,14691.964375364181
2020-04-16,21153124.830827717,977.8956409861147,974.2047969232068,1711.3525405445182,929.8219214312005,12976.920990756757,852.104497507672,2689.248181530633,15666.16917228739
2020-04-17,21152104.326886702,1024.3702623475829,1020.503941013705,1792.7399343575194,974.029319652237,13869.562916595993,892.6419258392357,2817.110196705102,16686.673113301094
2020-04-18,21151035.342055574,1073.0348999022247,1068.9848311289243,1877.966516521598,1020.3201935742825,14804.656528006197,935.093611410204,2951.001416423823,17755.65794443002
2020-04-19,21149915.594441798,1123.9900886911878,1119.7476137770918,1967.2111228960011,1068.7924249881287,15784.204346619923,979.5478186137254,3091.201211587189,18875.405558207112
2020-04-20,21148742.696349695,1177.3420293444933,1172.8980921012599,2060.65944606392,1119.5461514479543,16810.30217489996,1026.0978282800356,3238.001475408413,20048.30365030837
2020-04-21,21147514.15027772,1233.2009476238363,1228.5460719760265,2158.506102052259,1172.6871536966835,17885.142672608305,1074.8404977083446,3391.7070496760953,21276.8497222844
2020-04-22,21146227.343691774,1291.6823118757097,1286.806585946562,2260.953985078546,1228.3252216946887,19011.020011276705,1125.8773386684018,3552.6362969542556,22563.656308230962
2020-04-23,21144879.544192467,1352.9064439231863,1347.799499306927,2368.21517150168,1286.5753672594503,20190.334192113023,1179.3141808363166,3721.121615424866,23911.455807537888
2020-04-24,21143467.894153457,1416.9990464355465,1411.650039008122,2480.510964701939,1347.5574364957617,21425.595835408527,1235.2616432955028,3897.5100111374854,25323.105846546012
2020-04-25,21141989.405344017,1484.0912207946928,1478.4888094394346,2598.0724418361256,1411.3966350802882,22719.43099335463,1293.8351579461016,4082.163662630818,26801.594655985446
