,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-04-01,2778221.0,765.0,0.0,0.0,0.0,0.0,0.0,765.0,765.0
2020-04-02,2778221.0,4.404501662798452,0.0,760.5954983372015,760.5954983372015,0.0,0.0,765.0,765.0
2020-04-03,2778129.490124044,91.53523495572078,91.50987595585464,668.118662953575,4.379142662932316,96.85597804655886,96.85597804655886,759.6538979092958,856.5098759558547
2020-04-04,2778049.109103811,80.9080360428614,80.38102023296973,674.0471167142576,91.00821914582912,181.93574343170542,85.07976538514654,754.9551527571191,936.8908961888245
2020-04-05,2777968.01718063,81.5577526965682,81.09192318116357,668.654614935462,80.44220652745676,267.7704517379579,85.83470830625248,750.2123676320301,1017.982819369988
2020-04-06,2777887.5763560096,80.91039489156148,80.44082462049462,664.5947826192203,81.08818242550134,352.9184664797009,85.14801474174297,745.5051775107818,1098.4236439904826
2020-04-07,2777807.6262545427,80.41594456350506,79.95010146698537,660.408308046174,80.44455179504179,437.54949284778894,84.63102636808803,740.8242526096791,1178.373745457468
2020-04-08,2777728.1820684075,79.90718242464692,79.444186135045,656.2633452415562,79.95294827390315,521.64740392631,84.09791107852097,736.170527666203,1257.817931592513
2020-04-09,2777649.238760699,79.4033747908483,78.94330770867981,652.1403785911256,79.44711534247843,605.217485919219,83.57008199290904,731.5437533819738,1336.7612393011927
2020-04-10,2777570.7936428622,78.90228423728452,78.44511783689484,648.0415330334819,78.94620839045862,688.2625398673213,83.0450539481023,726.9438172707664,1415.2063571380877
2020-04-11,2777492.843771313,78.40415291148094,77.94987154923032,643.9664383698523,78.44800287503391,770.7856374059847,82.52309753866352,722.3705912813332,1493.156228687318
2020-04-12,2777415.386247589,77.9089370861747,77.45752372425454,639.9150122967825,77.95273954956077,852.7898030286153,82.00416562263058,717.8239493829572,1570.6137524115725
2020-04-13,2777338.418183709,77.41662602721678,76.96806387957898,635.8871395160269,77.4603749385369,934.2780507479079,81.4882477192925,713.3037655432437,1647.5818162911514
2020-04-14,2777261.9367061383,76.92720522842461,76.48147757082315,631.8827087393363,76.97089836961531,1015.2533798942137,80.97532914630584,708.8099139677608,1724.0632938619747
2020-04-15,2777185.9389552954,76.44066065114191,75.99775084285037,627.9016084275,76.48429542013307,1095.718775626183,80.46539573196928,704.342269078642,1800.061044704825
2020-04-16,2777110.422085578,75.95697823604293,75.5168697171627,623.9437272871382,76.00055213226169,1175.6772088988066,79.9584332726235,699.9007055231812,1875.5779144219878
2020-04-17,2777035.3832653267,75.47614396000877,75.03882025158812,620.0089542188467,75.51965452762228,1255.1316364947204,79.45442759591383,695.4850981788555,1950.616734673576
2020-04-18,2776960.8196767927,74.99814383014971,74.56358853397523,616.0971783284941,75.04158866383429,1334.0850010489073,78.95336455418692,691.0953221586439,2025.1803232075513
