,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-04-04,3483566.0,900.0,0.0,0.0,0.0,0.0,0.0,900.0,900.0
2020-04-05,3483566.0,2.3713343956807194,0.0,897.6286656043193,897.6286656043193,0.0,0.0,900.0,900.0
2020-04-06,3483363.4945174637,202.51173056589337,202.50548253609767,643.5288356003941,2.36508636588501,256.4649163698101,256.4649163698101,846.0405661662875,1102.5054825360976
2020-04-07,3483218.3225251203,145.70557349033845,145.17199234342766,661.6419021315623,201.97814941898258,440.3299992576244,183.86508288781434,807.3474756219008,1247.677474879525
2020-04-08,3483069.07067377,149.63575872613123,149.25185135050899,617.9233319001136,145.3216661147162,629.3702356037894,189.040236346165,767.5590906262448,1396.9293262300343
2020-04-09,3482929.686742377,139.77819408344786,139.38393139290224,590.6155913624387,149.2414960355856,805.9194721770498,176.54923657326043,730.3937854458866,1536.3132576229364
2020-04-10,3482796.4679036024,133.58712859604492,133.21883877449358,561.2784579575996,139.40990426189651,974.6665098437854,168.7470376667357,694.8655865536446,1669.53209639743
2020-04-11,3482669.8711704668,126.94871063863724,126.59673313545943,534.1485958817304,133.2351510928671,1135.0315230125216,160.3650131687362,661.0973065203677,1796.1288295328893
2020-04-12,3482549.3979752013,120.80768175887033,120.47319526550953,508.149183429704,126.61422414527644,1287.6451596098245,152.61363659730287,628.9568651885743,1916.6020247983988
2020-04-13,3482434.7927163015,114.92356491212541,114.60525889988402,483.45331406838164,120.48937574662894,1432.8304047177758,145.1852451079513,598.3768789805071,2031.207283698283
2020-04-14,3482325.7608203604,109.33469838825722,109.03189594120126,459.9447826368699,114.62076246506945,1570.959698614357,138.1292938965812,569.2794810251271,2140.239179639484
2020-04-15,3482222.0339865363,104.01491063619493,103.7268338240511,437.5788226703917,109.0466215761134,1702.3722801569486,131.41258154259162,541.5937333065866,2243.966013463535
2020-04-16,3482123.3540676394,98.95397904695758,98.67991889667395,416.29735550804855,103.7408504859113,1827.394597805203,125.02231764825443,515.2513345550061,2342.645932360209
2020-04-17,3482029.476066668,94.13872649801867,93.87800097123699,396.0487006908098,98.6932535201759,1946.3365061426175,118.94190833741466,490.1874271888285,2436.523933331446
2020-04-18,3481940.166688559,89.55741633115929,89.30937810881449,376.78280117785977,93.89068827567387,2059.493093931241,113.15658778862391,466.34021750901906,2525.8333114402603
2020-04-19,3481855.2039692947,85.19868657763976,84.96271926460157,358.45219618252486,89.3214490181211,2167.1451479446973,107.65205401345598,443.6508827601646,2610.796030704862
2020-04-20,3481774.3766860813,81.05176607543059,80.82728321326573,341.0116530888225,84.9742037154749,2269.5598947538747,102.41474680917726,422.0634191642531,2691.6233139181277
2020-04-21,3481697.4838509634,77.10639160751253,76.89283511781773,324.418120082341,80.83820958573578,2366.991637346092,97.43174259221733,401.5245116898535,2768.5161490359455
2020-04-22,3481624.3342154995,73.35279661770129,73.1496354637616,308.63060967175727,76.90323045357285,2459.6823782102483,92.69074086415655,381.98340628945857,2841.665784499707
2020-04-23,3481554.7458020537,69.78168456734718,69.58841344552616,293.61010423542365,73.15952549588026,2547.862409142462,88.18003093221387,363.39178880277086,2911.254197945233
2020-04-24,3481488.545456701,66.38420725153422,66.20034535286412,279.31946198149967,69.59782266867708,2631.7508740650633,83.88846492260107,345.7036692330339,2977.454543298097
2020-04-25,3481425.5684236204,63.15194325180733,62.97703308071227,265.7233281499061,66.20929708043916,2711.5563049770963,79.80543091203276,328.8752714017134,3040.4315763788095
2020-04-26,3481365.657939772,60.076877598599296,59.91048384839142,252.78805009460834,62.98554950159946,2787.4771325339934,75.92082755689721,312.8649276932076,3100.342060227201
2020-04-27,3481308.6648489535,57.151382336593315,56.993090818554805,240.48159634407804,59.918586080560786,2859.7021723650846,72.22503983109108,297.6329786806714,3157.335151045756
2020-04-28,3481254.4472343177,54.36819801192515,54.21761463559686,228.77347940386846,57.00079896026502,2928.411088265559,68.7089159004746,283.1416774157936,3211.552765681353
2020-04-29,3481202.8700684896,51.72041602591636,51.5771658281643,217.63468215154123,54.22494781417309,2993.7748333320596,65.36374506650033,269.3550981774576,3263.129931509517
2020-04-30,3481153.8048804495,49.20146181949352,49.06518804006999,207.0375876618076,51.58414224649283,3055.956070068286,62.181236736226445,256.2390494813011,3312.195119549587
2020-05-01,3481107.1294383984,46.805078849891665,46.675442051302404,196.95591231032222,49.07182502090426,3115.1095704406757,59.15350037238964,243.76099116021388,3358.8705616008897
