,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-04-03,8601740.0,1125.0,0.0,0.0,0.0,0.0,0.0,1125.0,1125.0
2020-04-04,8601740.0,8.351244687444023,0.0,1116.648755312556,1116.648755312556,0.0,0.0,1125.0,1125.0
2020-04-05,8601492.73057176,247.33142227287846,247.26942823925216,1100.3974909735273,8.289250653817746,24.540514992846347,24.540514992846347,1347.7289132464057,1372.269428239252
2020-04-06,8601249.066809649,245.49978453377403,243.66376211040128,1321.7095287793725,245.4953998495057,48.72387703650679,24.18336204366045,1567.2093133131466,1615.9331903496534
2020-04-07,8600956.405661557,294.48357366565057,292.6611480911116,1536.3397658456365,243.67735895923508,77.77099892947771,29.04712189297092,1830.823339511287,1908.5943384407647
2020-04-08,8600616.231325826,342.3603840692762,340.1743357313964,1794.873254918974,292.29752532777076,111.53503518391095,33.764036254433236,2137.2336389882503,2248.7686741721614
2020-04-09,8600218.828562265,399.9442171953535,397.4027635609981,2095.2463759057223,339.81893043492084,150.98084463208338,39.44580944817243,2495.1905931010756,2646.171437733159
2020-04-10,8599754.9416422,466.85583741465683,463.88692006432206,2446.174586317297,396.9752998450187,197.02793406552752,46.04708943344414,2913.0304237319538,3110.058357797481
2020-04-11,8599213.388533851,545.0187326447626,541.5531083496414,2855.805384199911,463.39021311953564,250.7873493024491,53.759415236921576,3400.8241168446734,3651.6114661471224
2020-04-12,8598581.187995508,636.2463914949249,632.2005383433186,3334.01641981496,540.9728794931564,313.5491931805562,62.761843878107086,3970.262811309885,4283.812004490441
2020-04-13,8597843.178316198,742.7327453517267,738.009679310058,3892.2682894522254,631.5233254532561,386.8206489965469,73.27145581599068,4635.001034803952,5021.821683800499
2020-04-14,8596981.669324279,867.0225411591189,861.5089919201773,4543.9473657564795,737.2191961127852,472.3607688050776,85.54011980853072,5410.969906915599,5883.3306757206765
2020-04-15,8595976.01941196,1012.0861055540055,1005.6499123177839,5304.67168640757,860.5863479228973,572.2227960768844,99.86202727180677,6316.757791961575,6888.980588038459
2020-04-16,8594802.146090819,1181.3863688856352,1173.8733211414185,6192.66432944228,1004.5730578097888,688.8032108519625,116.58041477507811,7374.050698327916,8062.853909179878
2020-04-17,8593431.955595104,1378.9603149473242,1370.1904957144575,7229.185109409795,1172.6165496527685,824.8989805372164,136.09576968525388,8608.145424357119,9433.044404894335
2020-04-18,8591832.679244736,1609.5128259268088,1599.2763503673423,8439.03363127323,1368.7238393878577,983.7742980616381,158.87531752442172,10048.54645720004,11032.320755261679
2020-04-19,8589966.101619272,1878.5255680754349,1866.5776254648622,9851.13443703768,1597.564883316236,1169.238375613426,185.46407755178788,11729.660005113114,12898.89838072654
2020-04-20,8587787.663524127,2192.3830077403572,2178.4380951442527,11499.217370025033,1864.5806554793303,1385.7360981054019,216.497722491976,13691.60037776539,15077.336475870792
2020-04-21,8585245.420241121,2558.518062512663,2542.2432830048997,13422.608067402447,2176.108228232594,1638.4536289605812,252.71753085517935,15981.12612991511,17619.57975887569
2020-04-22,8582278.832819566,2985.580141890578,2966.5874215552108,15667.145650041168,2539.525342177296,1933.4413884991568,294.9877595385757,18652.725791931745,20586.1671804309
2020-04-23,8578817.367151748,3483.6286103061975,3461.4656678182846,18286.24703760887,2963.417199402665,2277.757200334119,344.3158118349622,21769.87564791507,24047.632848249188
2020-04-24,8574778.872313933,4064.3549577475214,4038.4948378143235,21342.13990016753,3457.7684903729996,2679.632828148457,401.8756278143381,25406.49485791505,28086.127686063508
2020-04-25,8570067.706186116,4741.337170261354,4711.166127817998,24907.289034653008,4034.1839153041656,3148.667608967145,469.0347808186881,29648.626204914362,32797.29381388151
2020-04-26,8564572.572774762,5530.329915224536,5495.133411353847,29066.04387620122,4706.140666390665,3696.053433809596,547.3858248424509,34596.37379142576,38292.427225235355
2020-04-27,8558164.032090342,6449.594140708921,6408.540684420626,33916.53783335874,5489.276458936241,4334.835935588314,638.7825017787178,40366.13197406766,44700.96790965598
2020-04-28,8550691.640088059,7520.2694589962975,7472.392002281839,39572.873034371114,6401.716683994463,5080.217418570406,745.3814829820924,47093.14249336741,52173.35991193782
2020-04-29,8541980.6733823,8766.79213719569,8710.966705757832,46167.62667863784,7464.444027558439,5949.907801862118,869.6903832917114,54934.41881583353,60884.326617695646
2020-04-30,8531828.39164989,10217.360511309125,10152.281732409852,53854.71719398476,8701.713358296418,6964.530644811616,1014.6228429494989,64072.07770529389,71036.6083501055
2020-05-01,8519999.79049066,11904.447983842094,11828.601159228965,62812.66936373396,10141.513686695997,8148.0921617584145,1183.5615169467983,74717.11734757606,82865.20950933447
2020-05-02,8506222.799912473,13865.36120750447,13776.990578187124,73248.31688575516,11816.077354524748,9528.521994261968,1380.429832503554,87113.67809325963,96642.2000875216
2020-05-03,8490182.889774349,16142.837270679347,16039.91013812498,85400.97760074437,13762.434074950103,11138.295354222853,1609.7733599608864,101543.81487142372,112682.11022564657
2020-05-04,8471517.05509608,18785.668264043754,18665.834678268613,99547.12971415493,16023.003684904206,13015.146925716506,1876.8515714936532,118332.79797819868,131347.9449039152
2020-05-05,8449807.17328958,21849.333995201734,21709.88180649935,116005.6051793693,18646.21607534137,15202.8875358435,2187.7406101269935,137854.93917457105,153057.82671041455
2020-05-06,8424572.754889522,25396.613186237104,25234.41840005789,135143.29696402096,21687.13920902252,17752.334960214364,2549.4474243708632,160539.91015025807,178292.24511047243
2020-05-07,8395263.15281493,29498.129479880885,29309.602074591432,157381.34754853844,25208.08578094765,20722.370156644545,2970.0351964301794,186879.47702841932,207601.84718506387
2020-05-08,8361249.356978458,34232.77014501248,34013.79583647169,183201.74337345522,29279.155171340095,24181.129503067867,3458.7593464233196,217434.5135184677,241615.64302153556
