,S,E,E_delta,I,I_delta,R,R_delta,E+I,E+I+R
2020-04-08,4017302.0,825.0,0.0,0.0,0.0,0.0,0.0,825.0,825.0
2020-04-09,4017302.0,1.9892710396721895,0.0,823.0107289603278,823.0107289603278,0.0,0.0,825.0,825.0
2020-04-10,4016931.534718251,370.47007835419413,370.46528174901925,485.00281813210097,1.9844744344973064,339.99238526272416,339.99238526272416,855.4728964862951,1195.4652817490191
2020-04-11,4016713.238491942,219.18951770017543,218.29622630873894,654.2210202144604,369.57678696275764,540.3509701431224,200.35858488039818,873.4105379146358,1413.7615080577582
2020-04-12,4016418.7943908786,294.972619075449,294.4441010636179,602.6180278006443,218.6609996883443,810.6149622452828,270.2639921021604,897.5906468760934,1708.2056091213763
2020-04-13,4016147.5950392797,271.91060067588654,271.1993515987677,647.9330190159393,294.26136999833017,1059.5613410283179,248.94637878303521,919.8436196918258,1979.4049607201437
2020-04-14,4015856.0220336406,292.22864670982216,291.57300563915015,651.5216106456203,271.25495960521454,1327.2277090038515,267.66636797553355,943.7502573554425,2270.977966359294
2020-04-15,4015562.855429829,293.8712365192507,293.16660381153866,673.8967804601912,291.5240140021101,1596.3765531913907,269.14884418753917,967.7680169794419,2564.1445701708326
2020-04-16,4015259.642758758,303.92126445321577,303.21267107115466,688.6672158810034,293.1626431371896,1874.7687609077682,278.3922077163774,992.5884803342192,2867.357241241987
2020-04-17,4014949.807684978,310.5679001675458,309.8350737800096,707.3616599553746,303.1884380656796,2159.2627548990763,284.4939939913083,1017.9295601229205,3177.192315021997
2020-04-18,4014631.586437794,318.9701001895279,318.22124718388534,724.9638871549944,309.81904716190326,2451.4795748613597,292.2168199622835,1043.9339873445224,3495.413562205882
2020-04-19,4014305.472314838,326.8832356625178,326.11412295605913,743.676432325127,318.20098748306924,2750.968017174296,299.4884423129365,1070.5596679876448,3821.527685161941
2020-04-20,4013970.967808787,335.2926992077004,334.50450605126673,762.5527288383131,326.0950425060841,3058.1867631671944,307.21874599289805,1097.8454280460135,4156.032191213208
2020-04-21,4013628.0013549645,343.77492419347396,342.96645382214376,782.0202609982603,334.4842288363702,3373.2034598436176,315.016696676423,1125.7951851917342,4498.998645035352
2020-04-22,4013276.3092172877,352.52106070797373,351.69213767662393,801.9073705752747,342.94600116212416,3696.262351428727,323.0588915851097,1154.4284312832485,4850.690782711976
2020-04-23,4012915.7049987223,361.4542306101638,360.60421856538693,822.3040019218665,351.67104866319687,4027.536768745332,331.274417316605,1183.7582325320304,5211.295001277363
2020-04-24,4012545.9619845157,370.61456624657353,369.7430142064283,843.1862498818538,360.5826785700186,4367.237199355363,339.70043061003133,1213.8008161284274,5581.038015483791
2020-04-25,4012166.864351991,379.99127231071515,379.09763252463637,864.5801202902253,369.72092646049475,4715.564255407487,348.32705605212317,1244.5713926009405,5960.135648008427
2020-04-26,4011778.184732732,389.59586851179046,388.6796192592621,886.4901064848693,379.0750230581868,5072.729292271029,357.16503686354275,1276.0859749966598,6348.81526726769
2020-04-27,4011379.6938935528,399.43024739529795,398.4908391790477,908.9303375019142,388.6564602955402,5438.9455215495245,366.2162292784954,1308.3605848972122,6747.3061064467365
2020-04-28,4010971.156412031,409.50060276213566,408.53748152151434,931.9109935405675,398.46712615467663,5814.431991665548,375.4864701160233,1341.4115963027032,7155.843587968251
2020-04-29,4010552.3324601273,419.8113551639216,418.82395190355425,955.444228143621,408.5131995017683,6199.411956564262,384.9799648987148,1375.2555833075426,7574.667539871805
2020-04-30,4010122.976925768,430.36779929377815,429.3555343592895,979.5415840197089,418.7990902294329,6594.1136909176075,394.701734353345,1409.909383313487,8004.023074231094
2020-05-01,4009682.8396964665,441.17494833134333,440.13722930159474,1004.2151174175779,429.33008026402956,6998.770237783769,404.6565468661607,1445.3900657489212,8444.16030353269
2020-05-02,4009231.6654379675,452.23803613328494,451.1742584991705,1029.4769051438261,440.1111706972289,7413.619620754749,414.84938297098057,1481.714941277111,8895.33456203186
2020-05-03,4008769.193594874,463.5622964613934,462.471843093735,1055.3392562152148,451.14758276562657,7838.904852448987,425.28523169423795,1518.9015526766082,9357.806405125595
2020-05-04,4008295.158296596,475.15305712842365,474.0352982781999,1081.8146158361228,462.4445376111696,8274.874030439249,435.9691779902616,1556.9676729645464,9831.841703403796
2020-05-05,4007809.288306897,487.01569662735966,485.8699896989266,1108.9156029625274,474.0073501999906,8721.780393512834,446.9063630735861,1595.931299589887,10317.711693102721
2020-05-06,4007311.306957031,499.15566043693013,497.98134986581914,1136.65498908184,485.84138605624867,9179.88239344977,458.10199993693595,1635.8106495187703,10815.693042968542
2020-05-07,4006800.932088895,511.5784510448078,510.37486813620706,1165.0457020251654,497.95207752832937,9649.443758034775,469.5613645850041,1676.624153069973,11326.067911104748
2020-05-08,4006277.8759969673,524.2896291363443,523.0560919276367,1194.1008182519386,510.3449138361002,10130.733555644101,481.28979760932714,1718.3904473882828,11849.124003032384
2020-05-09,4005741.8453742308,537.2948096158988,536.0306227363334,1223.833559507711,523.0254422567789,10624.026256645107,493.2927010010064,1761.12836912361,12385.154625768717
2020-05-10,4005192.5412601274,550.5996595631398,549.3041141030973,1254.2572868935551,535.9992641558563,11129.60179341512,505.5755367700122,1804.856946456695,12934.458739871816
2020-05-11,4004629.6589917275,564.2098950148967,562.8822684000818,1285.3854953466725,549.2720329483249,11647.745617910328,518.1438244952074,1849.5953903615691,13497.341008271898
2020-05-12,4004052.8881579423,578.1312779119368,576.7708337853312,1317.2318071907223,562.8494508882911,12178.74875695457,531.0031390442414,1895.3630851026592,14074.11184205723
2020-05-13,4003461.9125572196,592.3696126115577,590.9756007227348,1349.8099653046968,576.7372660231139,12722.90786486371,544.1591079091394,1942.1795779162544,14665.087442779964
2020-05-14,4002856.4101589057,606.930742210951,605.5023983137995,1383.133825634794,590.9412687144062,13280.525273248018,557.6174083843089,1990.064567845745,15270.589841093763
2020-05-15,4002236.053068588,621.8205445583136,620.3570903176263,1417.2173491319236,605.4672879702638,13851.909037721152,571.3837644731342,2039.037893690237,15890.946931411389
2020-05-16,4001600.5074976915,637.0449279886325,635.5455708963136,1452.0745930406233,620.3211874659947,14437.372981278448,585.4639435572951,2089.119521029256,16526.492502307705
2020-05-17,4000949.433737639,652.6098267511188,651.0737600526729,1487.7197015326628,635.5088612901866,15037.236734076594,599.8637527981472,2140.3295282837817,17177.566262360375
2020-05-18,4000282.486138881,668.5211961254689,666.9475987575156,1524.1668956484398,651.0362293831655,15651.825769343983,614.5890352673886,2192.6880917739086,17844.51386111789
2020-05-19,3999599.313095131,684.7850072107378,683.1730437503022,1561.4304625217042,666.9092326650333,16281.471435135752,629.6456657917689,2246.215469732442,18527.686904868195
2020-05-20,3998899.5570331286,701.4072413762474,699.7560620026159,1599.5247438570746,683.1338278371063,16926.51098163749,645.0395465017358,2300.931985233322,19227.44296687081
2020-05-21,3998182.854408297,718.3938843613332,716.7026248312894,1638.4641236318741,699.7159818462036,17587.287583708894,660.776602071404,2356.858007993207,19944.1455917021
2020-05-22,3997448.835706648,735.750920011756,734.0187016490437,1678.2630149924107,716.661665998621,18264.15035834698,676.8627746380844,2414.013935004167,20678.164293351147
2020-05-23,3996697.1254533078,753.4843236400849,751.7102533399739,1718.9358463150247,733.976849711645,18957.45437673601,693.3040183890308,2472.4201699551095,21429.874546691117
